FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
360,3428,4.827202,-74.07196,53,37,0,0.0,1.81e-06,0.0,0.0,0.00012938,0.0,2.29e-06,1.992e-05,0.00024356,0.00043419,8.96e-06,0.0,1.509e-05,0.00013306,0.0001075,0.00020865,3.226e-05,0.00016466,0.0,0.0,0.00095366,0.0,1.046e-05,0.0001656,5.536e-05,0.00087682,0.0,0.00018076,0.00082663,2.401e-05,9.459e-05,0.00062623,0.0,0.0,2.122e-05
360,3428,4.827202,-74.07196,53,37,1,0.0,9.7e-07,0.0,0.0,6.876e-05,0.0,2.03e-06,2.052e-05,0.00021612,0.00045924,6.29e-06,0.0,1.147e-05,6.992e-05,1.71e-06,7.534e-05,1.714e-05,8.75e-05,0.0,0.0,0.00066893,0.0,1.106e-05,8.872e-05,4.606e-05,0.00043841,0.0,1.205e-05,0.00085168,1.276e-05,4.73e-05,0.00047594,0.0,0.0,1.765e-05
360,3428,4.827202,-74.07196,53,37,2,0.0,2.14e-06,0.0,0.0,5.62e-05,0.0,3.87e-06,2.173e-05,0.00041165,0.00057614,6.03e-06,0.0,1.167e-05,5.298e-05,0.0,4.057e-05,1.401e-05,7.152e-05,0.0,0.0,0.00064149,0.0,1.388e-05,0.00019517,4.187e-05,0.00032011,0.0,1.808e-05,0.00090178,1.043e-05,0.0,0.00048429,0.0,0.0,1.605e-05
360,3428,4.827202,-74.07196,53,37,3,0.0,2.4e-06,0.0,0.0,7.306e-05,0.0,3.58e-06,3.48e-05,0.00038078,0.00085168,8.48e-06,0.0,1.79e-05,6.16e-05,6.143e-05,0.00017387,1.822e-05,9.297e-05,0.0,0.0,0.0009022,0.0,2.052e-05,0.00021883,3.908e-05,0.00040362,0.0,2.41e-05,0.00144452,1.356e-05,9.459e-05,0.00074313,0.0,0.0,1.498e-05
360,3428,4.827202,-74.07196,53,37,4,0.0,1.036e-05,0.0,0.0,0.00016344,0.0,7.48e-06,6.558e-05,0.00079586,0.00177851,1.873e-05,0.0,3.319e-05,0.00014907,0.00023377,0.00142574,4.076e-05,0.000208,0.0,0.0,0.00199308,0.0,4.285e-05,0.0009463,0.0003489,0.00151008,0.0,0.00078932,0.00272203,3.033e-05,0.0010405,0.00137772,0.0,6.33e-06,0.00013372
360,3428,4.827202,-74.07196,53,37,5,0.0,2.416e-05,0.0,0.0,0.00083526,0.0,1.367e-05,6.779e-05,0.0014545,0.00317292,4.608e-05,0.0,4.627e-05,0.00077617,0.00038051,0.00339628,0.00020828,0.00106297,0.0,0.0,0.00490209,0.0,7.644e-05,0.00220606,0.00155611,0.00258175,0.0,0.00272947,0.00281388,0.000155,0.0027589,0.00192045,0.0,5.294e-05,0.00059638
360,3428,4.827202,-74.07196,53,37,6,0.0,2.429e-05,0.0,0.0,0.00148876,0.0,1.474e-05,9.25e-06,0.00156771,0.00138607,3.321e-05,0.0,8.85e-06,0.00218035,0.00033615,0.00401062,0.00037124,0.00189463,0.0,0.0,0.00353335,0.0,3.339e-05,0.00221789,0.00254468,0.00248433,0.0,0.00584457,0.00038409,0.00027627,0.0030742,0.00036739,0.0,0.00010128,0.00097524
360,3428,4.827202,-74.07196,53,37,7,0.0,2.966e-05,0.0,0.0,0.00110186,0.0,1.158e-05,2.82e-06,0.00123153,0.00063458,2.789e-05,0.0,1.61e-06,0.00226074,0.0002969,0.00421927,0.00027476,0.00140225,0.0,0.0,0.00296732,0.0,1.529e-05,0.00270878,0.00132072,0.00258871,0.0,0.00861019,0.0001169,0.00020447,0.0033895,6.68e-05,0.0,0.00013523,0.00050616
360,3428,4.827202,-74.07196,53,37,8,0.0,3.446e-05,0.0,0.0,0.00123662,0.0,1.893e-05,7.04e-06,0.00201366,0.00223775,3.747e-05,0.0,6.84e-06,0.00174668,0.00025766,0.00442212,0.00030836,0.00157374,0.0,0.0,0.00398616,0.0,5.391e-05,0.00314644,0.00086249,0.00297841,0.0,0.00841136,0.00029224,0.00022947,0.00296385,0.00028389,0.0,0.0001312,0.00033055
360,3428,4.827202,-74.07196,53,37,9,0.0,2.487e-05,0.0,0.0,0.00131143,0.0,1.744e-05,1.368e-05,0.00185586,0.00142782,3.972e-05,0.0,9.86e-06,0.00135799,0.00020135,0.00400483,0.00032702,0.00166896,0.0,0.0,0.00422629,0.0,3.44e-05,0.00227112,0.00032285,0.00329156,0.0,0.00701951,0.00056779,0.00024336,0.00272737,0.00040914,0.0,0.00010588,0.00012373
