FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
360,3428,4.827202,-74.07196,53,37,0,1.59e-06,6.31e-05,3.71e-06,2.4e-07,0.00535053,2.28e-06,6.419e-05,0.00069299,0.00072582,0.0012939,0.00025135,5.53e-06,0.00052499,0.00320975,0.00431739,0.00086716,0.00091725,0.00490273,2.1e-06,9.5e-07,0.00284194,5.65e-06,0.00036399,0.0004935,0.00192612,0.00261295,4.5e-05,0.00074284,0.00246339,0.0008356,0.00028188,0.0018662,1.1e-06,0.0,6.323e-05
360,3428,4.827202,-74.07196,53,37,1,1.21e-06,3.38e-05,2.6e-06,2e-07,0.0028433,1.21e-06,5.696e-05,0.00071399,0.00064404,0.00136855,0.00017631,2.94e-06,0.00039899,0.00168661,6.853e-05,0.00031314,0.00048743,0.00260534,2.16e-06,8.4e-07,0.00199345,3.03e-06,0.00038499,0.00026438,0.00160241,0.00130648,2.392e-05,4.952e-05,0.00253804,0.00044404,0.00014094,0.00141832,1.17e-06,0.0,5.26e-05
360,3428,4.827202,-74.07196,53,37,2,1.23e-06,7.437e-05,2.5e-06,1.8e-07,0.00232407,9.9e-07,0.0001085,0.00075599,0.00122674,0.00171691,0.00016908,2.4e-06,0.00040599,0.00127796,0.0,0.00016861,0.00039842,0.00212957,2.29e-06,1.6e-06,0.00191167,6.66e-06,0.00048299,0.00058163,0.00145673,0.00095393,1.955e-05,7.428e-05,0.00268733,0.00036295,0.0,0.0014432,1.46e-06,0.0,4.782e-05
360,3428,4.827202,-74.07196,53,37,3,1.89e-06,8.338e-05,3.51e-06,1.7e-07,0.00302112,1.29e-06,0.00010036,0.00121098,0.00113473,0.00253804,0.00023779,3.12e-06,0.00062299,0.001486,0.00246708,0.00072263,0.00051792,0.00276828,3.67e-06,1.48e-06,0.0026886,7.47e-06,0.00071399,0.00065213,0.00135962,0.00120279,2.541e-05,9.905e-05,0.00430471,0.00047181,0.00028188,0.00221456,2.16e-06,0.0,4.463e-05
360,3428,4.827202,-74.07196,53,37,4,3.5e-06,0.00036057,7.76e-06,1.51e-06,0.00675884,2.88e-06,0.00020976,0.00228197,0.00237169,0.00530002,0.00052531,6.98e-06,0.00115498,0.00359611,0.0093886,0.00592558,0.00115868,0.00619318,6.92e-06,3.1e-06,0.00593945,3.229e-05,0.00149098,0.00282001,0.01213944,0.00450008,5.685e-05,0.00324372,0.00811177,0.00105554,0.00310073,0.00410565,4.52e-06,0.0008259,0.00039848
360,3428,4.827202,-74.07196,53,37,5,4.88e-06,0.00084057,1.909e-05,6.74e-06,0.03454104,1.473e-05,0.00038336,0.00235897,0.00433447,0.00945543,0.00129202,3.567e-05,0.00160998,0.01872355,0.01528218,0.01411541,0.00592143,0.03165024,7.15e-06,5.66e-06,0.0146084,7.527e-05,0.00265996,0.00657414,0.05414189,0.00769369,0.00029054,0.01121685,0.00838548,0.00539432,0.00822164,0.00572303,8.06e-06,0.00690751,0.00177723
360,3428,4.827202,-74.07196,53,37,6,9.3e-07,0.00084507,1.376e-05,1.102e-05,0.06156574,2.625e-05,0.00041319,0.000322,0.00467182,0.00413053,0.00093127,6.358e-05,0.000308,0.05259683,0.0135004,0.01666871,0.01055432,0.05641319,9.8e-07,6.1e-06,0.0105295,7.567e-05,0.00116198,0.00660939,0.08853697,0.00740336,0.00051785,0.02401842,0.00114461,0.0096148,0.00916125,0.00109484,3.52e-06,0.01321436,0.00290626
360,3428,4.827202,-74.07196,53,37,7,1.7e-07,0.00103212,1.155e-05,5.72e-06,0.04556572,1.943e-05,0.00032459,9.8e-05,0.00366999,0.00189109,0.00078209,4.706e-05,5.6e-05,0.05453605,0.01192421,0.01753587,0.00781141,0.04175224,3e-07,4.8e-06,0.00884273,9.242e-05,0.00053199,0.00807227,0.04595182,0.00771443,0.00038327,0.03538384,0.00034836,0.00711605,0.01010087,0.00019906,1.61e-06,0.01764417,0.00150838
360,3428,4.827202,-74.07196,53,37,8,7.2e-07,0.00119888,1.552e-05,3.73e-06,0.05113852,2.181e-05,0.00053073,0.000245,0.00600079,0.00666857,0.00105062,5.281e-05,0.000238,0.04213542,0.01034802,0.01837894,0.00876676,0.04685864,7.4e-07,7.84e-06,0.01187891,0.00010735,0.00187597,0.00937652,0.03000869,0.00887574,0.00043014,0.03456671,0.0008709,0.00798636,0.00883239,0.00084601,5.69e-06,0.0171186,0.00098505
360,3428,4.827202,-74.07196,53,37,9,1.04e-06,0.00086536,1.646e-05,1.4e-06,0.05423255,2.313e-05,0.00048914,0.00047599,0.00553054,0.00425495,0.00111391,5.601e-05,0.00034299,0.03275878,0.00808653,0.01664463,0.00929718,0.04969372,1.44e-06,7.23e-06,0.0125945,7.749e-05,0.00119698,0.00676801,0.01123303,0.00980894,0.00045617,0.02884686,0.00169202,0.00846956,0.00812768,0.00121925,3.63e-06,0.01381501,0.00036873
