FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
360,3428,4.827202,-74.07196,53,37,0,0.0,0.0,0.0,0.0,1.28e-06,0.0,0.0,0.0,2.83e-06,1.68e-06,0.0,0.0,0.0,0.0,1.11e-06,2.25e-06,0.0,0.0,0.0,0.0,1.109e-05,0.0,0.0,9.6e-07,0.0,8.91e-06,0.0,1.9e-06,3.2e-06,0.0,5e-07,2.43e-06,0.0,0.0,2.2e-07
360,3428,4.827202,-74.07196,53,37,1,0.0,0.0,0.0,0.0,6.8e-07,0.0,0.0,0.0,2.51e-06,1.78e-06,0.0,0.0,0.0,0.0,2e-08,8.1e-07,0.0,0.0,0.0,0.0,7.78e-06,0.0,0.0,5.2e-07,0.0,4.45e-06,0.0,1.3e-07,3.3e-06,0.0,2.5e-07,1.84e-06,0.0,0.0,1.8e-07
360,3428,4.827202,-74.07196,53,37,2,0.0,0.0,0.0,0.0,5.6e-07,0.0,0.0,0.0,4.78e-06,2.23e-06,0.0,0.0,0.0,0.0,0.0,4.4e-07,0.0,0.0,0.0,0.0,7.46e-06,0.0,0.0,1.13e-06,0.0,3.25e-06,0.0,1.9e-07,3.49e-06,0.0,0.0,1.88e-06,0.0,0.0,1.6e-07
360,3428,4.827202,-74.07196,53,37,3,0.0,0.0,0.0,0.0,7.2e-07,0.0,0.0,0.0,4.43e-06,3.3e-06,0.0,0.0,0.0,0.0,6.3e-07,1.87e-06,0.0,0.0,0.0,0.0,1.049e-05,0.0,0.0,1.27e-06,0.0,4.1e-06,0.0,2.5e-07,5.6e-06,0.0,5e-07,2.88e-06,0.0,0.0,1.5e-07
360,3428,4.827202,-74.07196,53,37,4,0.0,0.0,0.0,0.0,1.62e-06,0.0,0.0,0.0,9.25e-06,6.89e-06,0.0,0.0,0.0,0.0,2.41e-06,1.536e-05,0.0,0.0,0.0,0.0,2.317e-05,0.0,0.0,5.5e-06,0.0,1.534e-05,0.0,8.31e-06,1.055e-05,0.0,5.52e-06,5.34e-06,0.0,9e-08,1.36e-06
360,3428,4.827202,-74.07196,53,37,5,0.0,0.0,0.0,0.0,8.26e-06,0.0,0.0,0.0,1.691e-05,1.229e-05,0.0,0.0,0.0,0.0,3.92e-06,3.659e-05,0.0,0.0,0.0,0.0,5.698e-05,0.0,0.0,1.281e-05,0.0,2.623e-05,0.0,2.875e-05,1.09e-05,0.0,1.464e-05,7.44e-06,0.0,7.3e-07,6.06e-06
360,3428,4.827202,-74.07196,53,37,6,0.0,0.0,0.0,0.0,1.472e-05,0.0,0.0,0.0,1.822e-05,5.37e-06,0.0,0.0,0.0,0.0,3.46e-06,4.321e-05,0.0,0.0,0.0,0.0,4.107e-05,0.0,0.0,1.288e-05,0.0,2.524e-05,0.0,6.155e-05,1.49e-06,0.0,1.631e-05,1.42e-06,0.0,1.4e-06,9.91e-06
360,3428,4.827202,-74.07196,53,37,7,0.0,0.0,0.0,0.0,1.09e-05,0.0,0.0,0.0,1.431e-05,2.46e-06,0.0,0.0,0.0,0.0,3.06e-06,4.546e-05,0.0,0.0,0.0,0.0,3.449e-05,0.0,0.0,1.573e-05,0.0,2.63e-05,0.0,9.068e-05,4.5e-07,0.0,1.798e-05,2.6e-07,0.0,1.87e-06,5.14e-06
360,3428,4.827202,-74.07196,53,37,8,0.0,0.0,0.0,0.0,1.223e-05,0.0,0.0,0.0,2.341e-05,8.67e-06,0.0,0.0,0.0,0.0,2.65e-06,4.764e-05,0.0,0.0,0.0,0.0,4.633e-05,0.0,0.0,1.827e-05,0.0,3.026e-05,0.0,8.858e-05,1.13e-06,0.0,1.572e-05,1.1e-06,0.0,1.82e-06,3.36e-06
360,3428,4.827202,-74.07196,53,37,9,0.0,0.0,0.0,0.0,1.297e-05,0.0,0.0,0.0,2.157e-05,5.53e-06,0.0,0.0,0.0,0.0,2.07e-06,4.315e-05,0.0,0.0,0.0,0.0,4.912e-05,0.0,0.0,1.319e-05,0.0,3.344e-05,0.0,7.393e-05,2.2e-06,0.0,1.447e-05,1.59e-06,0.0,1.47e-06,1.26e-06
360,3428,4.827202,-74.07196,53,37,10,0.0,0.0,0.0,0.0,1.341e-05,0.0,0.0,0.0,2.369e-05,1.533e-05,0.0,0.0,0.0,0.0,1.88e-06,4.115e-05,0.0,0.0,0.0,0.0,7.492e-05,0.0,0.0,1.563e-05,0.0,2.623e-05,0.0,6.288e-05,9.32e-06,0.0,1.598e-05,5.14e-06,0.0,1.19e-06,1.23e-06
360,3428,4.827202,-74.07196,53,37,11,0.0,0.0,0.0,0.0,1.313e-05,0.0,0.0,0.0,2.129e-05,1.113e-05,0.0,0.0,0.0,0.0,2.06e-06,3.734e-05,0.0,0.0,0.0,0.0,6.934e-05,0.0,0.0,1.398e-05,0.0,2.199e-05,0.0,6.098e-05,8.06e-06,0.0,1.489e-05,3.43e-06,0.0,1.11e-06,1.28e-06
360,3428,4.827202,-74.07196,53,37,12,0.0,0.0,0.0,0.0,1.309e-05,0.0,0.0,0.0,2.54e-05,1.226e-05,0.0,0.0,0.0,0.0,2.32e-06,3.509e-05,0.0,0.0,0.0,0.0,5.997e-05,0.0,0.0,1.508e-05,0.0,2.439e-05,0.0,6.092e-05,6.6e-06,0.0,1.489e-05,5.56e-06,0.0,9.6e-07,1.9e-06
360,3428,4.827202,-74.07196,53,37,13,0.0,0.0,0.0,0.0,1.392e-05,0.0,0.0,0.0,1.798e-05,1.207e-05,0.0,0.0,0.0,0.0,2.04e-06,3.653e-05,0.0,0.0,0.0,0.0,6.444e-05,0.0,0.0,1.511e-05,0.0,2.51e-05,0.0,6.003e-05,9.29e-06,0.0,1.439e-05,2.69e-06,0.0,8.9e-07,2.99e-06
360,3428,4.827202,-74.07196,53,37,14,0.0,0.0,0.0,0.0,1.463e-05,0.0,0.0,0.0,2.436e-05,1.139e-05,0.0,0.0,0.0,0.0,1.97e-06,3.49e-05,0.0,0.0,0.0,0.0,6.372e-05,0.0,0.0,1.192e-05,0.0,2.354e-05,0.0,6.504e-05,8.15e-06,0.0,1.564e-05,3.27e-06,0.0,9.6e-07,4.34e-06
360,3428,4.827202,-74.07196,53,37,15,0.0,0.0,0.0,0.0,1.295e-05,0.0,0.0,0.0,2.392e-05,1.191e-05,0.0,0.0,0.0,0.0,2.09e-06,3.771e-05,0.0,0.0,0.0,0.0,6.791e-05,0.0,0.0,1.23e-05,0.0,2.425e-05,0.0,6.701e-05,8.19e-06,0.0,1.497e-05,2.75e-06,0.0,1.09e-06,8.93e-06
360,3428,4.827202,-74.07196,53,37,16,0.0,0.0,0.0,0.0,1.314e-05,0.0,0.0,0.0,2.165e-05,1.106e-05,0.0,0.0,0.0,0.0,3.18e-06,4.14e-05,0.0,0.0,0.0,0.0,6.918e-05,0.0,0.0,1.237e-05,0.0,2.672e-05,0.0,7.691e-05,6.31e-06,0.0,1.514e-05,2.39e-06,0.0,1.35e-06,7.39e-06
360,3428,4.827202,-74.07196,53,37,17,0.0,0.0,0.0,0.0,1.446e-05,0.0,0.0,0.0,1.455e-05,5.44e-06,0.0,0.0,0.0,0.0,3.53e-06,3.515e-05,0.0,0.0,0.0,0.0,5.172e-05,0.0,0.0,1.202e-05,0.0,3.09e-05,0.0,8.42e-05,1e-06,0.0,1.506e-05,8.7e-07,0.0,1.53e-06,4.96e-06
360,3428,4.827202,-74.07196,53,37,18,0.0,0.0,0.0,0.0,1.442e-05,0.0,0.0,0.0,1.2e-05,2.56e-06,0.0,0.0,0.0,0.0,2.9e-06,3.01e-05,0.0,0.0,0.0,0.0,3.78e-05,0.0,0.0,1.316e-05,0.0,2.807e-05,0.0,6.821e-05,3.6e-07,0.0,1.539e-05,2.3e-07,0.0,1.66e-06,2.82e-06
360,3428,4.827202,-74.07196,53,37,19,0.0,0.0,0.0,0.0,1.488e-05,0.0,0.0,0.0,6.74e-06,3.56e-06,0.0,0.0,0.0,0.0,3.3e-06,2.86e-05,0.0,0.0,0.0,0.0,3.206e-05,0.0,0.0,1.061e-05,0.0,3.061e-05,0.0,6.079e-05,5.86e-06,0.0,1.38e-05,1.88e-06,0.0,1.76e-06,1.19e-06
360,3428,4.827202,-74.07196,53,37,20,0.0,0.0,0.0,0.0,1.376e-05,0.0,0.0,0.0,5.42e-06,2.94e-06,0.0,0.0,0.0,0.0,3.46e-06,2.697e-05,0.0,0.0,0.0,0.0,2.576e-05,0.0,0.0,8.42e-06,0.0,3.189e-05,0.0,5.514e-05,7.18e-06,0.0,1.154e-05,1.68e-06,0.0,1.7e-06,6.4e-07
360,3428,4.827202,-74.07196,53,37,21,0.0,0.0,0.0,0.0,1.073e-05,0.0,0.0,0.0,4.03e-06,1.94e-06,0.0,0.0,0.0,0.0,2.3e-06,1.811e-05,0.0,0.0,0.0,0.0,2.353e-05,0.0,0.0,5.5e-06,0.0,2.856e-05,0.0,5.286e-05,5.63e-06,0.0,1.171e-05,3.04e-06,0.0,1.68e-06,4.3e-07
360,3428,4.827202,-74.07196,53,37,22,0.0,0.0,0.0,0.0,5.75e-06,0.0,0.0,0.0,3.99e-06,1.81e-06,0.0,0.0,0.0,0.0,3.69e-06,9.8e-06,0.0,0.0,0.0,0.0,1.595e-05,0.0,0.0,3.92e-06,0.0,2.644e-05,0.0,3.046e-05,4.14e-06,0.0,7.53e-06,2.72e-06,0.0,1.16e-06,4.3e-07
360,3428,4.827202,-74.07196,53,37,23,0.0,0.0,0.0,0.0,2.56e-06,0.0,0.0,0.0,3.31e-06,2.04e-06,0.0,0.0,0.0,0.0,1.9e-06,3.18e-06,0.0,0.0,0.0,0.0,1.224e-05,0.0,0.0,1.85e-06,0.0,2.538e-05,0.0,1.555e-05,4.56e-06,0.0,2.17e-06,2.65e-06,0.0,1.4e-07,2.3e-07
1117,295,4.755493,-74.062965,45,38,0,0.0,0.0,0.0,0.0,9.6e-07,0.0,0.0,0.0,2.13e-06,1.26e-06,0.0,0.0,0.0,0.0,8.3e-07,1.69e-06,0.0,0.0,0.0,0.0,8.33e-06,0.0,0.0,7.2e-07,0.0,6.69e-06,0.0,1.43e-06,2.41e-06,0.0,3.8e-07,1.82e-06,0.0,0.0,1.6e-07
1117,295,4.755493,-74.062965,45,38,1,0.0,0.0,0.0,0.0,5.1e-07,0.0,0.0,0.0,1.89e-06,1.34e-06,0.0,0.0,0.0,0.0,1e-08,6.1e-07,0.0,0.0,0.0,0.0,5.84e-06,0.0,0.0,3.9e-07,0.0,3.35e-06,0.0,1e-07,2.48e-06,0.0,1.9e-07,1.39e-06,0.0,0.0,1.3e-07
1117,295,4.755493,-74.062965,45,38,2,0.0,0.0,0.0,0.0,4.2e-07,0.0,0.0,0.0,3.6e-06,1.68e-06,0.0,0.0,0.0,0.0,0.0,3.3e-07,0.0,0.0,0.0,0.0,5.6e-06,0.0,0.0,8.5e-07,0.0,2.44e-06,0.0,1.4e-07,2.63e-06,0.0,0.0,1.41e-06,0.0,0.0,1.2e-07
1117,295,4.755493,-74.062965,45,38,3,0.0,0.0,0.0,0.0,5.4e-07,0.0,0.0,0.0,3.33e-06,2.48e-06,0.0,0.0,0.0,0.0,4.8e-07,1.41e-06,0.0,0.0,0.0,0.0,7.88e-06,0.0,0.0,9.6e-07,0.0,3.08e-06,0.0,1.9e-07,4.21e-06,0.0,3.8e-07,2.16e-06,0.0,0.0,1.1e-07
1117,295,4.755493,-74.062965,45,38,4,0.0,0.0,0.0,0.0,1.21e-06,0.0,0.0,0.0,6.95e-06,5.18e-06,0.0,0.0,0.0,0.0,1.81e-06,1.154e-05,0.0,0.0,0.0,0.0,1.741e-05,0.0,0.0,4.13e-06,0.0,1.153e-05,0.0,6.25e-06,7.93e-06,0.0,4.15e-06,4.01e-06,0.0,7e-08,1.02e-06
1117,295,4.755493,-74.062965,45,38,5,0.0,0.0,0.0,0.0,6.21e-06,0.0,0.0,0.0,1.271e-05,9.24e-06,0.0,0.0,0.0,0.0,2.95e-06,2.75e-05,0.0,0.0,0.0,0.0,4.282e-05,0.0,0.0,9.63e-06,0.0,1.971e-05,0.0,2.16e-05,8.19e-06,0.0,1.1e-05,5.59e-06,0.0,5.5e-07,4.55e-06
1117,295,4.755493,-74.062965,45,38,6,0.0,0.0,0.0,0.0,1.107e-05,0.0,0.0,0.0,1.37e-05,4.04e-06,0.0,0.0,0.0,0.0,2.6e-06,3.247e-05,0.0,0.0,0.0,0.0,3.087e-05,0.0,0.0,9.68e-06,0.0,1.897e-05,0.0,4.626e-05,1.12e-06,0.0,1.226e-05,1.07e-06,0.0,1.05e-06,7.45e-06
1117,295,4.755493,-74.062965,45,38,7,0.0,0.0,0.0,0.0,8.19e-06,0.0,0.0,0.0,1.076e-05,1.85e-06,0.0,0.0,0.0,0.0,2.3e-06,3.416e-05,0.0,0.0,0.0,0.0,2.592e-05,0.0,0.0,1.182e-05,0.0,1.977e-05,0.0,6.815e-05,3.4e-07,0.0,1.351e-05,1.9e-07,0.0,1.41e-06,3.86e-06
1117,295,4.755493,-74.062965,45,38,8,0.0,0.0,0.0,0.0,9.19e-06,0.0,0.0,0.0,1.759e-05,6.52e-06,0.0,0.0,0.0,0.0,1.99e-06,3.581e-05,0.0,0.0,0.0,0.0,3.482e-05,0.0,0.0,1.373e-05,0.0,2.274e-05,0.0,6.657e-05,8.5e-07,0.0,1.182e-05,8.3e-07,0.0,1.37e-06,2.52e-06
1117,295,4.755493,-74.062965,45,38,9,0.0,0.0,0.0,0.0,9.75e-06,0.0,0.0,0.0,1.621e-05,4.16e-06,0.0,0.0,0.0,0.0,1.56e-06,3.243e-05,0.0,0.0,0.0,0.0,3.692e-05,0.0,0.0,9.91e-06,0.0,2.513e-05,0.0,5.556e-05,1.65e-06,0.0,1.087e-05,1.19e-06,0.0,1.1e-06,9.4e-07
1117,295,4.755493,-74.062965,45,38,10,0.0,0.0,0.0,0.0,1.008e-05,0.0,0.0,0.0,1.78e-05,1.152e-05,0.0,0.0,0.0,0.0,1.41e-06,3.093e-05,0.0,0.0,0.0,0.0,5.631e-05,0.0,0.0,1.175e-05,0.0,1.971e-05,0.0,4.726e-05,7e-06,0.0,1.201e-05,3.87e-06,0.0,8.9e-07,9.3e-07
1117,295,4.755493,-74.062965,45,38,11,0.0,0.0,0.0,0.0,9.87e-06,0.0,0.0,0.0,1.6e-05,8.36e-06,0.0,0.0,0.0,0.0,1.55e-06,2.806e-05,0.0,0.0,0.0,0.0,5.211e-05,0.0,0.0,1.051e-05,0.0,1.652e-05,0.0,4.583e-05,6.05e-06,0.0,1.119e-05,2.58e-06,0.0,8.3e-07,9.6e-07
