FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
360,3428,4.827202,-74.07196,53,37,0,0.00968911,0.16765589,0.01785339,0.00019502,0.15789499,0.29252102,0.04174163,1.6045614,0.29792115,0.17712403,0.16343907,0.885545,1.21557682,3.50552994,0.14442379,0.23842733,0.28315781,1.80380604,0.01278962,0.00455968,1.16650815,0.00459688,0.84279993,0.1012357,3.41673174,0.93786221,7.21233853,0.2017747,0.33721691,1.57049248,0.0528146,0.25546735,0.00671778,0.0,0.02269348
360,3428,4.827202,-74.07196,53,37,1,0.00736372,0.08981566,0.01252306,0.00016225,0.08390631,0.15544736,0.03703835,1.65318447,0.26435257,0.18734273,0.11464251,0.47058374,0.92383838,1.84202615,0.00229244,0.08609876,0.1504717,0.95855296,0.01317719,0.00404591,0.81823413,0.00246261,0.891423,0.05423341,2.84249111,0.4689311,3.8326784,0.01345165,0.3474356,0.83456878,0.0264073,0.19415519,0.00710535,0.0,0.01887945
360,3428,4.827202,-74.07196,53,37,2,0.00749291,0.19759444,0.01200929,0.0001475,0.06858383,0.12706048,0.07054924,1.75043062,0.5035287,0.23502997,0.10993923,0.38464849,0.94004607,1.39572025,0.0,0.04636087,0.12299344,0.78350764,0.01395231,0.0077065,0.78466555,0.00541775,1.11833067,0.11931351,2.58408283,0.34239414,3.13277716,0.02017747,0.36787299,0.68216473,0.0,0.19756142,0.00891398,0.0,0.01716314
360,3428,4.827202,-74.07196,53,37,3,0.01149774,0.22154528,0.01689008,0.00013766,0.08915373,0.1651689,0.06525805,2.80393052,0.46576404,0.3474356,0.15462041,0.50001361,1.44248449,1.62293053,0.08252788,0.19868944,0.15988206,1.01849999,0.02234954,0.00712851,1.10356706,0.00607445,1.65318447,0.13377575,2.41181064,0.43171435,4.07237061,0.02690329,0.58927803,0.88676195,0.0528146,0.30315459,0.01317719,0.0,0.01601893
360,3428,4.827202,-74.07196,53,37,4,0.02131604,0.95803365,0.0373123,0.00122915,0.19945458,0.36951558,0.13639519,5.28370723,0.97348881,0.72552729,0.3415759,1.11862963,2.674269,3.92749188,0.31406443,1.62925343,0.35768788,2.2785865,0.04211532,0.01489923,2.4379181,0.02626788,3.45223816,0.57848974,21.53402359,1.61520713,9.11070082,0.88108285,1.11043143,1.98386238,0.58096063,0.56202818,0.02751706,0.01483869,0.14302616
360,3428,4.827202,-74.07196,53,37,5,0.02971326,2.23341596,0.09177156,0.005482,1.01931209,1.88840837,0.24927398,5.46199183,1.77913473,1.29436793,0.84012385,5.71675363,3.7277689,20.44892466,0.51121437,3.88106712,1.82796293,11.64471,0.04353639,0.02722963,5.99618755,0.06123699,6.15892254,1.34860421,96.04174521,2.76148316,46.56021138,3.04679795,1.14789998,10.13852322,1.54042592,0.78343322,0.04909147,0.12410544,0.63789666
360,3428,4.827202,-74.07196,53,37,6,0.00568428,2.24539138,0.06614745,0.00896459,1.81681558,3.36588742,0.26867502,0.74555378,1.91760512,0.56543441,0.60554763,10.18950636,0.7131384,57.44362605,0.4516109,4.58310316,3.25814983,20.75545916,0.00594265,0.02934892,4.32195464,0.06156534,2.69047669,1.35583533,157.05481205,2.65727625,82.98863313,6.52404859,0.15668664,18.07084116,1.71647459,0.14987418,0.02144522,0.23741911,1.04313745
360,3428,4.827202,-74.07196,53,37,7,0.0010335,2.74237134,0.05555102,0.00465274,1.34465237,2.4911436,0.2110598,0.22690767,1.50639002,0.25887359,0.50854243,7.54140602,0.12966153,59.56155039,0.39888476,4.82153049,2.41140541,15.36142567,0.00180863,0.02305528,3.62960268,0.0751918,1.23178451,1.65592688,81.51345729,2.76892651,61.42112826,9.61120147,0.04768724,13.37449975,1.89252327,0.02724985,0.00981829,0.31700846,0.54140168
360,3428,4.827202,-74.07196,53,37,8,0.0043924,3.1854619,0.0746246,0.00303846,1.50910664,2.79581654,0.34510336,0.56726918,2.46309454,0.91287001,0.68315179,8.46373837,0.55106149,46.01819513,0.34615861,5.05333484,2.70632617,17.2401655,0.00452158,0.03769763,4.8758362,0.08734069,4.34366116,1.92347839,53.23210631,3.18575416,68.93308206,9.38924931,0.1192181,15.01023369,1.65485756,0.11581187,0.03462241,0.30756566,0.35356066
360,3428,4.827202,-74.07196,53,37,9,0.00633022,2.29928077,0.07912006,0.00113737,1.60041181,2.96497127,0.31805948,1.10212298,2.2700752,0.58246557,0.72430551,8.97581823,0.79417685,35.7775035,0.27050805,4.57648017,2.87006648,18.28324377,0.00878479,0.03474347,5.16956128,0.0630429,2.77151514,1.38837538,19.92614983,3.52070495,73.10372648,7.83558413,0.23162373,15.91839484,1.52282105,0.16690534,0.02209116,0.24821088,0.13234687
