FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
360,3428,4.827202,-74.07196,53,37,0,3e-08,0.00019392,6e-08,0.0,2.915e-05,9.7e-07,4.919e-05,0.00185594,4.723e-05,2.807e-05,0.00019262,2.94e-06,0.00140601,0.00331444,2.79e-05,3.81e-05,0.00033443,0.00207588,4e-08,2e-08,0.00018492,2e-08,0.00097484,1.605e-05,0.00395201,0.00014864,2.392e-05,3.224e-05,5.344e-05,0.00135043,8.37e-06,4.049e-05,2e-08,0.0,3.6e-06
360,3428,4.827202,-74.07196,53,37,1,2e-08,0.00010389,4e-08,0.0,1.549e-05,5.2e-07,4.365e-05,0.00191218,4.191e-05,2.969e-05,0.00013511,1.56e-06,0.00106857,0.00174161,4.4e-07,1.376e-05,0.00017772,0.00110313,4e-08,1e-08,0.00012971,1e-08,0.00103108,8.6e-06,0.00328781,7.432e-05,1.271e-05,2.15e-06,5.506e-05,0.00071763,4.19e-06,3.077e-05,2e-08,0.0,2.99e-06
360,3428,4.827202,-74.07196,53,37,2,2e-08,0.00022855,4e-08,0.0,1.266e-05,4.2e-07,8.314e-05,0.00202466,7.982e-05,3.725e-05,0.00012957,1.28e-06,0.00108732,0.00131964,0.0,7.41e-06,0.00014527,0.00090169,5e-08,3e-08,0.00012439,2e-08,0.00129353,1.891e-05,0.00298892,5.427e-05,1.039e-05,3.22e-06,5.83e-05,0.00058658,0.0,3.131e-05,3e-08,0.0,2.72e-06
360,3428,4.827202,-74.07196,53,37,3,4e-08,0.00025625,6e-08,0.0,1.646e-05,5.5e-07,7.691e-05,0.0032432,7.384e-05,5.506e-05,0.00018222,1.66e-06,0.00166847,0.00153446,1.594e-05,3.175e-05,0.00018884,0.00117212,7e-08,2e-08,0.00017495,2e-08,0.00191218,2.121e-05,0.00278965,6.842e-05,1.35e-05,4.3e-06,9.339e-05,0.00076251,8.37e-06,4.805e-05,4e-08,0.0,2.54e-06
360,3428,4.827202,-74.07196,53,37,4,7e-08,0.00110812,1.2e-07,0.0,3.682e-05,1.22e-06,0.00016074,0.00611147,0.00015433,0.00011499,0.00040255,3.71e-06,0.00309323,0.0037134,6.067e-05,0.00026033,0.00042246,0.00262227,1.4e-07,5e-08,0.00038648,9e-08,0.00399308,9.171e-05,0.02490763,0.000256,3.021e-05,0.00014076,0.00017599,0.00170587,9.209e-05,8.907e-05,9e-08,3.36e-06,2.267e-05
360,3428,4.827202,-74.07196,53,37,5,1e-07,0.00258332,3.1e-07,2e-08,0.00018816,6.26e-06,0.00029377,0.00631769,0.00028204,0.00020514,0.0009901,1.896e-05,0.00431177,0.01933421,9.875e-05,0.00062014,0.00215899,0.01340111,1.4e-07,9e-08,0.00095057,2e-07,0.0071238,0.00021379,0.11108802,0.00043767,0.00015439,0.00048676,0.00018193,0.00871787,0.00024418,0.00012416,1.6e-07,2.813e-05,0.0001011
360,3428,4.827202,-74.07196,53,37,6,2e-08,0.00259717,2.2e-07,3e-08,0.00033537,1.116e-05,0.00031664,0.00086235,0.000304,8.961e-05,0.00071365,3.379e-05,0.00082486,0.05431226,8.724e-05,0.00073232,0.00384817,0.02388605,2e-08,1e-07,0.00068515,2e-07,0.00311198,0.00021494,0.18165964,0.00042116,0.00027519,0.0010423,2.483e-05,0.01553868,0.00027209,2.375e-05,7e-08,5.381e-05,0.00016533
360,3428,4.827202,-74.07196,53,37,7,0.0,0.00317201,1.9e-07,2e-08,0.00024821,8.26e-06,0.00024874,0.00026246,0.00023881,4.103e-05,0.00059933,2.501e-05,0.00014997,0.05631473,7.705e-05,0.00077041,0.00284809,0.01767842,1e-08,8e-08,0.0005754,2.5e-07,0.00142476,0.00026251,0.09428368,0.00043885,0.00020367,0.00153551,7.56e-06,0.01150041,0.0003,4.32e-06,3e-08,7.185e-05,8.581e-05
360,3428,4.827202,-74.07196,53,37,8,1e-08,0.00368451,2.5e-07,1e-08,0.00027857,9.27e-06,0.00040671,0.00065614,0.00039047,0.00014468,0.00080511,2.807e-05,0.00063739,0.04350965,6.687e-05,0.00080745,0.00319641,0.01984054,1e-08,1.3e-07,0.00077296,2.9e-07,0.00502415,0.00030492,0.06157166,0.00050492,0.00022858,0.00150005,1.889e-05,0.01290693,0.00026232,1.835e-05,1.1e-07,6.971e-05,5.604e-05
360,3428,4.827202,-74.07196,53,37,9,2e-08,0.0026595,2.6e-07,0.0,0.00029542,9.83e-06,0.00037484,0.00127479,0.00035987,9.231e-05,0.00085361,2.976e-05,0.0009186,0.0338272,5.225e-05,0.00073126,0.00338981,0.02104094,3e-08,1.2e-07,0.00081952,2.1e-07,0.00320571,0.00022009,0.02304786,0.000558,0.00024241,0.00125183,3.671e-05,0.01368784,0.00024139,2.645e-05,7e-08,5.625e-05,2.098e-05
360,3428,4.827202,-74.07196,53,37,10,7e-08,0.00315123,4e-07,0.0,0.00030539,1.016e-05,0.00041156,0.00539909,0.00039513,0.00025589,0.00130189,3.077e-05,0.00298075,0.03475555,4.738e-05,0.00069739,0.00350417,0.02175084,1.2e-07,1.3e-07,0.00124991,2.4e-07,0.008886,0.00026079,0.02261613,0.00043767,0.00025059,0.00106486,0.00015547,0.01414965,0.00026651,8.583e-05,2e-07,4.555e-05,2.058e-05
360,3428,4.827202,-74.07196,53,37,11,5e-08,0.00281879,3.7e-07,0.0,0.00029904,9.95e-06,0.00036999,0.00466796,0.00035522,0.00018571,0.00120489,3.013e-05,0.00198717,0.03471719,5.181e-05,0.00063284,0.00343137,0.02129896,1.1e-07,1.1e-07,0.00115678,2.2e-07,0.00644891,0.00023328,0.02347959,0.00036689,0.00024538,0.00103263,0.00013442,0.01385569,0.00024837,5.722e-05,1.5e-07,4.25e-05,2.137e-05
360,3428,4.827202,-74.07196,53,37,12,7e-08,0.00304042,3.2e-07,1e-08,0.00029809,9.92e-06,0.00044135,0.00382436,0.00042373,0.0002046,0.00104207,3.003e-05,0.00322446,0.03345893,5.845e-05,0.00059474,0.00342037,0.02123066,9e-08,1.4e-07,0.00100046,2.4e-07,0.00710505,0.00025162,0.03487068,0.000407,0.0002446,0.00103155,0.00011013,0.01381126,0.00024837,9.285e-05,1.6e-07,3.699e-05,3.174e-05
360,3428,4.827202,-74.07196,53,37,13,4e-08,0.00304734,3.5e-07,1e-08,0.00031706,1.055e-05,0.00031248,0.00538034,0.0003,0.00020136,0.00111967,3.194e-05,0.00155599,0.03267635,5.137e-05,0.00061908,0.0036381,0.02258216,1.2e-07,1e-07,0.00107496,2.4e-07,0.00699257,0.00025219,0.05473036,0.0004188,0.00026017,0.00101651,0.00015493,0.01469045,0.00024,4.481e-05,1.6e-07,3.424e-05,4.981e-05
