FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
360,3428,4.827202,-74.07196,53,37,0,0.00098863,2.771e-05,8.616e-05,0.00016455,0.00074987,0.00015798,6e-08,3.49e-06,1.852e-05,2.159e-05,2e-08,5e-08,2.661e-05,0.00539665,4.539e-05,2.87e-06,7.07e-05,0.00019046,1e-08,0.00399204,0.00462256,2e-08,0.00613657,4.91e-06,3.492e-05,2.294e-05,0.0,1e-08,7.558e-05,0.00079674,8.68e-06,1.576e-05,0.00013272,0.00262456,0.0
360,3428,4.827202,-74.07196,53,37,1,0.00074467,2.771e-05,6.49e-05,0.00017668,0.00070301,0.00016963,5e-08,3.49e-06,1.587e-05,2.024e-05,2e-08,5e-08,2.661e-05,0.00406825,0.0,2.16e-06,5.325e-05,0.00017314,1e-08,0.00300694,0.0040855,1e-08,0.00462226,3.7e-06,0.0,1.62e-05,0.0,1e-08,5.803e-05,0.00056241,6.54e-06,1.433e-05,3.539e-05,0.00201529,0.0
360,3428,4.827202,-74.07196,53,37,2,0.00071105,5.196e-05,6.197e-05,0.00014723,0.00051554,0.00014135,4e-08,1.047e-05,2.65e-06,1.485e-05,1e-08,5e-08,4.989e-05,0.00381917,0.0,2.06e-06,5.085e-05,0.00019046,2e-08,0.00287117,0.00303056,3e-08,0.00441357,3.48e-06,2.69e-06,3.239e-05,0.0,1e-08,5.263e-05,0.00112481,6.24e-06,1.576e-05,3.244e-05,0.00182782,0.0
360,3428,4.827202,-74.07196,53,37,3,0.00070744,4.677e-05,6.165e-05,0.00016109,0.00112481,0.00015466,7e-08,6.98e-06,1.587e-05,3.239e-05,3e-08,5e-08,4.49e-05,0.00348707,0.0,2.05e-06,5.059e-05,0.00015583,1e-08,0.00285659,0.00368271,2e-08,0.00439115,3.17e-06,2.69e-06,2.834e-05,0.0,1e-08,8.368e-05,0.00098421,6.21e-06,1.29e-05,3.539e-05,0.00290576,0.0
360,3428,4.827202,-74.07196,53,37,4,0.00061269,0.00010739,5.34e-05,0.00025463,0.00182782,0.00024446,9e-08,5.93e-05,0.00011112,5.263e-05,4e-08,8e-08,0.00010311,0.00655901,3.764e-05,1.78e-06,4.381e-05,0.00095229,3e-08,0.00247399,0.00295384,6e-08,0.00380302,5.97e-06,8.865e-05,7.693e-05,0.0,7e-08,0.00011877,0.00267143,5.38e-06,7.881e-05,0.00017696,0.00412431,0.0
360,3428,4.827202,-74.07196,53,37,5,0.00106004,0.00020266,9.238e-05,0.00052658,0.00267143,0.00050555,1.4e-07,0.00018488,0.00045241,7.693e-05,6e-08,1.6e-07,0.00019457,0.0150276,7.75e-05,3.07e-06,7.581e-05,0.00185265,6e-08,0.0042804,0.01200716,1.1e-07,0.00657982,1.368e-05,0.00029818,0.00014171,9.94e-06,1.4e-07,0.0001795,0.00492105,9.31e-06,0.00015332,0.00029788,0.00623333,0.0
360,3428,4.827202,-74.07196,53,37,6,0.0024663,0.0003014,0.00021494,0.00071018,0.00154661,0.00068183,7e-08,0.00027558,0.00064554,4.454e-05,4e-08,2.2e-07,0.00028936,0.02432645,5.093e-05,7.15e-06,0.00017637,0.00244134,9e-08,0.00995879,0.02798474,9e-08,0.01530865,2.214e-05,0.00066352,0.00011607,1.529e-05,1.9e-07,8.233e-05,0.00403057,2.166e-05,0.00020204,0.00029788,0.00285889,0.0
360,3428,4.827202,-74.07196,53,37,7,0.00306232,0.00018707,0.00026688,0.00068593,0.00154661,0.00065854,7e-08,0.00024418,0.00044182,4.454e-05,4e-08,2.1e-07,0.0001796,0.01909585,3.432e-05,8.88e-06,0.00021899,0.00240671,6e-08,0.01236546,0.03070841,7e-08,0.01900818,1.738e-05,0.00116587,9.042e-05,1.987e-05,1.9e-07,8.503e-05,0.0031401,2.689e-05,0.00019917,0.00030673,0.00295263,0.0
360,3428,4.827202,-74.07196,53,37,8,0.00334157,0.00022518,0.00029122,0.00076042,0.00140601,0.00073005,5e-08,0.00021628,0.00053971,4.049e-05,3e-08,2.3e-07,0.00021619,0.01602391,2.546e-05,9.69e-06,0.00023896,0.00238939,7e-08,0.01349306,0.02664209,9e-08,0.02074153,1.458e-05,0.0012196,0.00011607,1.758e-05,1.9e-07,6.883e-05,0.00403057,2.934e-05,0.00019774,0.00031852,0.00239022,0.0
360,3428,4.827202,-74.07196,53,37,9,0.003306,0.00030313,0.00028812,0.00076561,0.00145288,0.00073504,7e-08,0.00022325,0.00044182,4.184e-05,3e-08,2.4e-07,0.00029102,0.01353314,2.989e-05,9.59e-06,0.00023642,0.00232014,9e-08,0.01334945,0.02180853,7e-08,0.02052077,1.232e-05,0.00100469,9.042e-05,1.987e-05,1.8e-07,8.503e-05,0.0031401,2.903e-05,0.00019201,0.00027133,0.00295263,0.0
