FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
360,3428,4.827202,-74.07196,53,37,0,4.33e-05,0.00061354,7.979e-05,8.7e-07,0.00059668,0.00130728,0.00016547,0.00587197,0.00124121,0.00073773,0.00064789,0.0039575,0.00444847,0.01578312,0.00052761,0.0009886,0.00107525,0.00668112,5.716e-05,2.038e-05,0.00485997,2.054e-05,0.00308427,0.00042177,0.0125037,0.00390641,0.03223194,0.00083668,0.00140453,0.00427953,0.00022002,0.00106404,3.002e-05,0.0,9.452e-05
360,3428,4.827202,-74.07196,53,37,1,3.291e-05,0.00032868,5.597e-05,7.3e-07,0.00031708,0.00069469,0.00014682,0.00604991,0.00110136,0.00078029,0.00045445,0.00210304,0.00338083,0.00829345,8.37e-06,0.00035699,0.00057139,0.00355039,5.889e-05,1.808e-05,0.00340897,1.101e-05,0.00326221,0.00022595,0.01040224,0.0019532,0.01712824,5.578e-05,0.00144709,0.00227417,0.00011001,0.00080867,3.175e-05,0.0,7.864e-05
360,3428,4.827202,-74.07196,53,37,2,3.349e-05,0.00072311,5.367e-05,6.6e-07,0.00025917,0.00056783,0.00027966,0.00640579,0.00209783,0.00097891,0.00043581,0.00171899,0.00344015,0.00628402,0.0,0.00019223,0.00046705,0.00290204,6.235e-05,3.444e-05,0.00326912,2.421e-05,0.00409259,0.00049709,0.00945658,0.00142615,0.01400038,8.367e-05,0.00153221,0.00185887,0.0,0.00082286,3.984e-05,0.0,7.149e-05
360,3428,4.827202,-74.07196,53,37,3,5.138e-05,0.00081076,7.548e-05,6.2e-07,0.00033691,0.00073814,0.00025869,0.01026113,0.00194049,0.00144709,0.00061293,0.00223456,0.00527885,0.007307,0.00030149,0.00082383,0.00060713,0.00377242,9.988e-05,3.186e-05,0.00459774,2.715e-05,0.00604991,0.00055734,0.00882614,0.00179819,0.01819942,0.00011156,0.00245438,0.00241639,0.00022002,0.00126266,5.889e-05,0.0,6.672e-05
360,3428,4.827202,-74.07196,53,37,4,9.526e-05,0.00350597,0.00016675,5.49e-06,0.00075373,0.00165137,0.00054068,0.019336,0.0040558,0.00302186,0.00135404,0.00499916,0.00978662,0.01768294,0.00114734,0.0067554,0.00135827,0.00843966,0.00018821,6.658e-05,0.01015698,0.00011739,0.01263364,0.00241011,0.07880484,0.0067277,0.04071572,0.00365348,0.00462501,0.00540594,0.00242021,0.00234088,0.00012297,4.688e-05,0.00059574
360,3428,4.827202,-74.07196,53,37,5,0.00013279,0.0081733,0.00041013,2.45e-05,0.00385192,0.0084393,0.00098814,0.01998844,0.00741233,0.00539112,0.00333033,0.02554817,0.01364196,0.09206821,0.00186757,0.01609214,0.00694141,0.04313087,0.00019456,0.00012169,0.02498164,0.00027367,0.02253889,0.00561857,0.35146957,0.01150219,0.20807758,0.0126338,0.00478107,0.02762706,0.00641722,0.00326305,0.00021939,0.0003921,0.00265698
360,3428,4.827202,-74.07196,53,37,6,2.54e-05,0.00821712,0.00029561,4.006e-05,0.00686563,0.01504215,0.00106505,0.00272839,0.00798923,0.00235507,0.00240045,0.0455369,0.00260977,0.25863131,0.00164983,0.01900301,0.01237233,0.0768762,2.656e-05,0.00013116,0.01800636,0.00027514,0.00984594,0.00564869,0.57474994,0.01106815,0.3708762,0.02705252,0.00065261,0.0492423,0.00715062,0.00062423,9.584e-05,0.0007501,0.0043449
360,3428,4.827202,-74.07196,53,37,7,4.62e-06,0.01003584,0.00024826,2.079e-05,0.00508136,0.01113292,0.00083666,0.00083038,0.006276,0.00107822,0.00201591,0.03370254,0.0004745,0.26816694,0.00145721,0.0199916,0.00915694,0.05689722,8.08e-06,0.00010303,0.01512184,0.00033603,0.00450778,0.00689894,0.29830257,0.0115332,0.27449102,0.03985365,0.00019862,0.03644497,0.00788401,0.0001135,4.388e-05,0.00100155,0.00225506
360,3428,4.827202,-74.07196,53,37,8,1.963e-05,0.01165735,0.0003335,1.358e-05,0.00570282,0.0124945,0.00136802,0.00207595,0.01026188,0.00380216,0.00270808,0.03782445,0.00201664,0.20719002,0.00126459,0.02095274,0.01027686,0.06385589,2.021e-05,0.00016847,0.02031397,0.00039033,0.01589585,0.00801361,0.19480556,0.01326938,0.30806194,0.03893331,0.00049655,0.04090227,0.00689393,0.00048236,0.00015473,0.00097172,0.00147266
360,3428,4.827202,-74.07196,53,37,9,2.829e-05,0.00841433,0.00035359,5.08e-06,0.00604786,0.01325046,0.00126082,0.00403328,0.00945771,0.002426,0.00287121,0.04011293,0.00290633,0.16108284,0.00098822,0.01897554,0.01089864,0.06771935,3.926e-05,0.00015527,0.0215377,0.00028174,0.0101425,0.00578426,0.07292074,0.01466452,0.32670055,0.03249091,0.00096473,0.04337698,0.00634388,0.00069517,9.873e-05,0.00078419,0.00055125
360,3428,4.827202,-74.07196,53,37,10,9.18e-05,0.00997011,0.00053928,4.99e-06,0.0062519,0.01369751,0.00138434,0.01708211,0.01038425,0.00672471,0.00437907,0.04146629,0.00943075,0.16550358,0.0008961,0.01809679,0.01126635,0.07000412,0.00016627,0.00017048,0.03284849,0.00033383,0.0281143,0.00685375,0.07155479,0.01150219,0.33772304,0.02763819,0.0040859,0.04484046,0.00700394,0.00225576,0.00027366,0.00063503,0.00054093
360,3428,4.827202,-74.07196,53,37,11,6.12e-05,0.00891831,0.0004991,5.18e-06,0.00612202,0.01341294,0.0012445,0.01476891,0.00933534,0.00488038,0.00405279,0.04060482,0.00628717,0.1653209,0.00097985,0.01642167,0.01103229,0.06854978,0.00014376,0.00015326,0.03040103,0.00029861,0.02040363,0.00613072,0.07428669,0.009642,0.33070678,0.02680151,0.0035326,0.04390889,0.00652723,0.00150384,0.00019861,0.00059241,0.00056158
360,3428,4.827202,-74.07196,53,37,12,9.93e-05,0.00961951,0.00043165,7.69e-06,0.00610239,0.01336993,0.00148455,0.01209983,0.01113597,0.00537693,0.00350512,0.04047462,0.01020181,0.15932916,0.00110547,0.01543308,0.01099691,0.06832996,0.00011778,0.00018282,0.02629278,0.00032209,0.02247958,0.00661274,0.11032677,0.01069611,0.32964631,0.02677362,0.00289418,0.04376809,0.00652723,0.00244019,0.00021881,0.00051569,0.00083403
360,3428,4.827202,-74.07196,53,37,13,4.792e-05,0.00964142,0.0004638,1.207e-05,0.00649085,0.01422103,0.00105107,0.0170228,0.00788434,0.00529181,0.00376614,0.04305114,0.00492297,0.15560259,0.00097147,0.01606468,0.01169695,0.07267968,0.0001657,0.00012944,0.02825075,0.00032283,0.0221237,0.0066278,0.17316049,0.01100614,0.35063081,0.02638317,0.00407171,0.04655427,0.00630721,0.00117753,0.00021535,0.00047733,0.00130903
360,3428,4.827202,-74.07196,53,37,14,5.831e-05,0.00760357,0.00045863,1.756e-05,0.00682161,0.0149457,0.00142395,0.01494685,0.01068144,0.00499388,0.00372419,0.04524492,0.0059906,0.15680824,0.00093797,0.01535069,0.012293,0.07638327,0.00014549,0.00017536,0.02793608,0.00025459,0.02087813,0.00522692,0.25196533,0.01032407,0.36849817,0.02858642,0.00357516,0.04892657,0.00685726,0.0014329,0.00020322,0.00051569,0.00190477
360,3428,4.827202,-74.07196,53,37,15,4.907e-05,0.00784461,0.00048877,3.612e-05,0.00603933,0.01323178,0.00139832,0.01500616,0.01048914,0.00522087,0.00396889,0.04005638,0.00504159,0.1798253,0.0009966,0.01658644,0.01088327,0.06762388,0.00014607,0.0001722,0.02977168,0.00026266,0.02182714,0.00539262,0.51822061,0.0106341,0.32623994,0.02945099,0.00358935,0.04331582,0.0065639,0.00120591,0.00021246,0.00058388,0.00391756
360,3428,4.827202,-74.07196,53,37,16,4.272e-05,0.00788843,0.00049795,2.99e-05,0.00612598,0.01342163,0.00126548,0.01156601,0.00949267,0.00485201,0.00404347,0.04063113,0.00438915,0.21603149,0.00151583,0.01820664,0.01103943,0.06859418,0.00011258,0.00015584,0.0303311,0.00026413,0.020285,0.00542275,0.42890846,0.01171922,0.33092102,0.0338017,0.0027665,0.04393734,0.00663724,0.00104985,0.00019745,0.00072453,0.00324239
360,3428,4.827202,-74.07196,53,37,17,1.559e-05,0.00766931,0.00037224,2.007e-05,0.0067409,0.01476888,0.00085064,0.0018387,0.00638089,0.00238344,0.0030227,0.04470963,0.00160145,0.30762475,0.00168333,0.01546054,0.01214756,0.07547958,1.79e-05,0.00010476,0.02267403,0.00025679,0.00996456,0.00527211,0.28790034,0.01354841,0.36413845,0.03700896,0.0004398,0.04834771,0.00660057,0.00038305,9.699e-05,0.00081829,0.00217642
360,3428,4.827202,-74.07196,53,37,18,4.04e-06,0.00839242,0.00027208,1.139e-05,0.00672484,0.01473369,0.00070149,0.00065244,0.00526205,0.00112079,0.00220934,0.0446031,0.00041519,0.22889181,0.00138183,0.0132362,0.01211861,0.07529973,6.35e-06,8.639e-05,0.01657284,0.00028101,0.00468572,0.0057692,0.16338869,0.01230828,0.36327079,0.02998088,0.00015606,0.04823251,0.00674725,9.931e-05,4.561e-05,0.00088648,0.00123516
360,3428,4.827202,-74.07196,53,37,19,3.349e-05,0.00677091,0.00023075,4.8e-06,0.00694019,0.01520551,0.00039386,0.01073563,0.00295444,0.00156059,0.00187375,0.04603143,0.00344015,0.13883302,0.00157445,0.01257713,0.01250669,0.07771106,0.0001045,4.85e-05,0.01405545,0.00022671,0.00652442,0.00465452,0.06882289,0.01342439,0.37490386,0.02671785,0.00256788,0.04977707,0.00605052,0.00082286,6.351e-05,0.00094188,0.00052028
360,3428,4.827202,-74.07196,53,37,20,3.002e-05,0.00536852,0.0001854,2.59e-06,0.00641708,0.01405941,0.00031695,0.01316746,0.00237754,0.00129103,0.00150552,0.04256187,0.00308427,0.10825322,0.00164983,0.01186315,0.01156401,0.0718537,0.00012817,3.903e-05,0.01129331,0.00017976,0.00539747,0.00369048,0.03719588,0.01398245,0.34664601,0.02423571,0.00314955,0.04602519,0.00506044,0.00073773,5.254e-05,0.00090779,0.00028119
360,3428,4.827202,-74.07196,53,37,21,5.427e-05,0.00350597,0.00016933,1.74e-06,0.00500382,0.01096305,0.00023538,0.01032044,0.00176567,0.00085123,0.00137501,0.03318829,0.00557541,0.10386902,0.00109709,0.00796369,0.00901722,0.05602906,0.00010046,2.899e-05,0.01031432,0.00011739,0.00355877,0.00241011,0.02490233,0.0125253,0.27030269,0.0232317,0.00246857,0.03588887,0.00513378,0.00133359,3.464e-05,0.00089926,0.00018825
360,3428,4.827202,-74.07196,53,37,22,4.85e-05,0.002498,0.0001148,1.74e-06,0.00267919,0.00586993,0.00023305,0.00759205,0.00174819,0.00079448,0.00093221,0.01776995,0.00498228,0.07573707,0.0017587,0.00431138,0.00482808,0.02999955,7.39e-05,2.87e-05,0.00699276,8.364e-05,0.00332152,0.0017172,0.0250074,0.0115952,0.14472773,0.01338681,0.00181596,0.01921592,0.00330029,0.00119172,3.233e-05,0.00062224,0.00018905
