FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
360,3428,4.827202,-74.07196,53,37,0,0.78704207,0.02166349,0.4228047,0.12862697,0.60328843,0.97605874,0.01808633,0.02155127,0.11307366,0.13340739,0.00516752,0.01525245,0.16438884,4.34171572,0.20724598,0.86473063,21.32062189,0.15322768,0.00256883,4.37853345,4.15430353,0.00549049,4.94098762,0.03034372,0.21326525,0.14174535,0.0,0.00451479,0.46692586,0.64099396,2.61778757,0.0973807,0.81994034,2.11150951,0.00026632
360,3428,4.827202,-74.07196,53,37,1,0.59282539,0.02166349,0.31847009,0.13810474,0.56558291,1.04797885,0.01388772,0.02155127,0.09692028,0.12506943,0.00484455,0.01637631,0.16438884,3.2729857,0.0,0.65134291,16.05937793,0.13929789,0.00256883,3.29805218,3.67164586,0.00387564,3.72171074,0.0228745,0.0,0.10005554,0.0,0.00410436,0.35853236,0.45246632,1.97180177,0.08852791,0.21865076,1.62133766,0.00020076
360,3428,4.827202,-74.07196,53,37,2,0.56605977,0.04061904,0.3040914,0.11508728,0.4147608,0.87331571,0.01259584,0.06465382,0.01615338,0.09171758,0.00355267,0.01364693,0.30822907,3.07259882,0.0,0.62193527,15.334309,0.15322768,0.00481656,3.14914758,2.72356829,0.00775129,3.55367828,0.02147402,0.01640502,0.20011108,0.0,0.00451479,0.32518051,0.90493265,1.88277639,0.0973807,0.20042986,1.47051555,0.00018847
360,3428,4.827202,-74.07196,53,37,3,0.56318412,0.03655714,0.30254659,0.12591903,0.90493265,0.95551013,0.02002415,0.04310255,0.09692028,0.20011108,0.00775129,0.01493134,0.27740617,2.80541631,0.0,0.61877577,15.25640903,0.1253681,0.00433491,3.13314957,3.30965261,0.00678237,3.53562521,0.01960671,0.01640502,0.1750972,0.0,0.00369392,0.51695363,0.79181607,1.87321168,0.07967512,0.21865076,2.33774268,0.00017208
360,3428,4.827202,-74.07196,53,37,4,0.48775373,0.08394602,0.26202483,0.1990333,1.47051555,1.51032246,0.02842138,0.36637164,0.67844198,0.32518051,0.01259584,0.02360115,0.63700675,5.2768545,0.17186252,0.53589967,13.21303296,0.76613839,0.00995423,2.71350935,2.6546172,0.0184093,3.06207918,0.03687929,0.54136563,0.47526382,0.0,0.02257396,0.73374064,2.14921504,1.62232198,0.4869035,1.09325379,3.31808638,0.00032368
360,3428,4.827202,-74.07196,53,37,5,0.84389137,0.15841426,0.45334455,0.41160629,2.14921504,3.12338795,0.04295504,1.14221747,2.76222807,0.47526382,0.0184093,0.04880783,1.20209339,12.0900084,0.35383461,0.9271915,22.86064432,1.49048742,0.01878459,4.69480188,10.79084652,0.03391187,5.29788302,0.08449559,1.82095713,0.87548599,0.0345592,0.04391661,1.10894891,3.95908034,2.80687453,0.94724862,1.84031055,5.01483509,0.00074159
360,3428,4.827202,-74.07196,53,37,6,1.9634023,0.23559044,1.05475393,0.5551269,1.24428239,4.21246401,0.01970118,1.70255057,3.94142485,0.27515274,0.01065802,0.06582635,1.78772863,19.57111857,0.23251988,2.15720884,53.18770092,1.96410024,0.02793606,10.92295191,25.14991227,0.02777544,12.32608379,0.13678015,4.05203973,0.71706471,0.053168,0.05787142,0.50861567,3.24267532,6.53048974,1.24824351,1.84031055,2.30003715,0.00120047
360,3428,4.827202,-74.07196,53,37,7,2.43788381,0.14622855,1.30964883,0.53617135,1.24428239,4.06862378,0.02034712,1.50858912,2.69761455,0.27515274,0.01065802,0.06357862,1.10962467,15.3629941,0.15669818,2.67852621,66.04119557,1.93624067,0.01733962,13.56262426,27.59767618,0.02163901,15.30484108,0.10737008,7.11977832,0.55864344,0.0691184,0.05705055,0.52529159,2.52627031,8.1086669,1.23053793,1.89497324,2.3754482,0.00094235
360,3428,4.827202,-74.07196,53,37,8,2.66019334,0.17601585,1.42907512,0.59439198,1.13116581,4.51041879,0.01647148,1.33617893,3.29528963,0.25013885,0.00968911,0.07048236,1.33565932,12.89155592,0.11625994,2.9227798,72.06346229,1.92231088,0.02087177,14.79939383,23.94326809,0.02777544,16.70048261,0.09009751,7.4478787,0.71706471,0.0611432,0.05664011,0.42523605,3.24267532,8.84809256,1.22168513,1.96785682,1.92298188,0.00079075
360,3428,4.827202,-74.07196,53,37,9,2.63187929,0.23694441,1.4138646,0.59845388,1.16887134,4.54124169,0.02034712,1.37928148,2.69761455,0.25847681,0.01001208,0.07096401,1.79800293,10.88768712,0.13647906,2.89167089,71.29644723,1.86659172,0.02809661,14.64187492,19.59934904,0.02163901,16.52272926,0.07609271,6.13547717,0.55864344,0.0691184,0.05499837,0.52529159,2.52627031,8.75391696,1.18627397,1.67632248,2.3754482,0.00066784
