FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
360,3428,4.827202,-74.07196,53,37,0,3.3e-07,0.00028136,6.2e-07,1e-08,5.418e-05,1.01e-05,7.022e-05,0.00269274,9.624e-05,5.72e-05,0.00027496,3.058e-05,0.00203995,0.00579677,5.052e-05,7.724e-05,0.00047966,0.00300356,4.4e-07,1.6e-07,0.00037682,1.6e-07,0.00141437,3.27e-05,0.00573387,0.00030289,0.00024903,6.536e-05,0.0001089,0.00195916,1.706e-05,8.25e-05,2.3e-07,0.0,7.33e-06
360,3428,4.827202,-74.07196,53,37,1,2.5e-07,0.00015073,4.3e-07,1e-08,2.879e-05,5.37e-06,6.231e-05,0.00277433,8.539e-05,6.05e-05,0.00019286,1.625e-05,0.00155036,0.00304599,8e-07,2.789e-05,0.0002549,0.00159611,4.5e-07,1.4e-07,0.00026432,9e-08,0.00149596,1.752e-05,0.0047702,0.00015144,0.00013233,4.36e-06,0.0001122,0.00104111,8.53e-06,6.27e-05,2.5e-07,0.0,6.1e-06
360,3428,4.827202,-74.07196,53,37,2,2.6e-07,0.0003316,4.1e-07,1e-08,2.353e-05,4.39e-06,0.00011869,0.00293753,0.00016266,7.59e-05,0.00018495,1.328e-05,0.00157756,0.00230798,0.0,1.502e-05,0.00020835,0.00130464,4.8e-07,2.7e-07,0.00025347,1.9e-07,0.00187676,3.854e-05,0.00433654,0.00011058,0.00010817,6.54e-06,0.0001188,0.00085099,0.0,6.38e-05,3.1e-07,0.0,5.54e-06
360,3428,4.827202,-74.07196,53,37,3,4e-07,0.00037179,5.8e-07,0.0,3.059e-05,5.7e-06,0.00010978,0.00470549,0.00015046,0.0001122,0.00026012,1.726e-05,0.00242074,0.00268369,2.887e-05,6.437e-05,0.00027084,0.00169593,7.7e-07,2.5e-07,0.00035649,2.1e-07,0.00277433,4.321e-05,0.00404744,0.00013942,0.00014061,8.72e-06,0.0001903,0.00110622,1.706e-05,9.79e-05,4.5e-07,0.0,5.17e-06
360,3428,4.827202,-74.07196,53,37,4,7.4e-07,0.00160775,1.29e-06,4e-08,6.844e-05,1.276e-05,0.00022946,0.00886699,0.00031447,0.0002343,0.00057464,3.862e-05,0.00448789,0.00649453,0.00010986,0.00052782,0.00060592,0.00379413,1.45e-06,5.1e-07,0.00078752,9.1e-07,0.00579346,0.00018687,0.03613787,0.00052164,0.00031457,0.00028542,0.0003586,0.00247483,0.00018765,0.0001815,9.5e-07,5.58e-06,4.619e-05
360,3428,4.827202,-74.07196,53,37,5,1.03e-06,0.00374807,3.17e-06,1.9e-07,0.00034976,6.52e-05,0.00041936,0.00916618,0.00057472,0.000418,0.00141335,0.00019739,0.00625585,0.03381452,0.00017883,0.00125732,0.00309653,0.01938991,1.5e-06,9.4e-07,0.00193696,2.12e-06,0.01033576,0.00043564,0.16117489,0.00089183,0.00160763,0.00098698,0.0003707,0.01264761,0.00049756,0.000253,1.69e-06,4.664e-05,0.00020601
360,3428,4.827202,-74.07196,53,37,6,2e-07,0.00376817,2.28e-06,3.1e-07,0.00062341,0.00011622,0.000452,0.00125117,0.00061945,0.0001826,0.00101872,0.00035182,0.00119677,0.09498928,0.00015798,0.00148475,0.00551924,0.03456045,2.1e-07,1.01e-06,0.00139613,2.13e-06,0.00451509,0.00043797,0.26356551,0.00085818,0.00286543,0.0021134,5.06e-05,0.02254301,0.00055443,4.84e-05,7.4e-07,8.922e-05,0.00033688
360,3428,4.827202,-74.07196,53,37,7,4e-08,0.00460219,1.92e-06,1.6e-07,0.0004614,8.601e-05,0.00035507,0.00038079,0.00048661,8.36e-05,0.00085553,0.00026039,0.00021759,0.0984915,0.00013954,0.00156199,0.00408487,0.02557871,6e-08,8e-07,0.00117248,2.6e-06,0.00206715,0.00053491,0.13679387,0.00089423,0.00212075,0.00311346,1.54e-05,0.01668442,0.00061129,8.8e-06,3.4e-07,0.00011913,0.00017485
360,3428,4.827202,-74.07196,53,37,8,1.5e-07,0.00534577,2.58e-06,1e-07,0.00051782,9.653e-05,0.00058057,0.00095198,0.00079566,0.0002948,0.00114928,0.00029224,0.00092478,0.07609609,0.00012109,0.00163709,0.00458446,0.02870704,1.6e-07,1.3e-06,0.00157505,3.02e-06,0.00728943,0.00062134,0.08933281,0.00102885,0.00238012,0.00304156,3.85e-05,0.01872497,0.00053452,3.74e-05,1.2e-06,0.00011558,0.00011418
360,3428,4.827202,-74.07196,53,37,9,2.2e-07,0.0038586,2.73e-06,4e-08,0.00054915,0.00010237,0.00053508,0.00184956,0.00073331,0.0001881,0.00121851,0.00030992,0.00133277,0.05916199,9.463e-05,0.0014826,0.00486183,0.0304439,3e-07,1.2e-06,0.00166993,2.18e-06,0.00465109,0.00044848,0.03343957,0.00113702,0.00252413,0.00253826,7.48e-05,0.01985788,0.00049188,5.39e-05,7.6e-07,9.327e-05,4.274e-05
360,3428,4.827202,-74.07196,53,37,10,7.1e-07,0.00457204,4.17e-06,4e-08,0.00056768,0.00010583,0.0005875,0.00783341,0.00080514,0.0005214,0.00185843,0.00032037,0.0043247,0.06078562,8.581e-05,0.00141394,0.00502587,0.03147104,1.28e-06,1.32e-06,0.00254691,2.58e-06,0.0128925,0.00053141,0.03281318,0.00089183,0.00260929,0.00215916,0.0003168,0.02052786,0.00054305,0.0001749,2.11e-06,7.553e-05,4.194e-05
360,3428,4.827202,-74.07196,53,37,11,4.7e-07,0.00408972,3.86e-06,4e-08,0.00055589,0.00010363,0.00052815,0.00677264,0.00072382,0.0003784,0.00171996,0.00031372,0.00288313,0.06071853,9.383e-05,0.00128306,0.00492145,0.03081722,1.11e-06,1.18e-06,0.00235715,2.31e-06,0.00935658,0.00047535,0.03406596,0.0007476,0.00255508,0.00209379,0.0002739,0.02010139,0.00050609,0.0001166,1.53e-06,7.046e-05,4.354e-05
360,3428,4.827202,-74.07196,53,37,12,7.7e-07,0.00441127,3.34e-06,6e-08,0.00055411,0.0001033,0.00063003,0.00554867,0.00086343,0.0004169,0.00148753,0.00031271,0.00467829,0.0585179,0.00010585,0.00120582,0.00490567,0.0307184,9.1e-07,1.41e-06,0.00203862,2.49e-06,0.01030856,0.00051272,0.05059301,0.00082933,0.00254688,0.00209162,0.0002244,0.02003693,0.00050609,0.0001892,1.69e-06,6.134e-05,6.467e-05
360,3428,4.827202,-74.07196,53,37,13,3.7e-07,0.00442132,3.58e-06,9e-08,0.00058938,0.00010987,0.00044606,0.00780622,0.00061131,0.0004103,0.00159831,0.00033262,0.00225755,0.05714922,9.302e-05,0.00125517,0.00521796,0.03267386,1.28e-06,1e-06,0.00219043,2.5e-06,0.01014536,0.00051389,0.07940694,0.00085337,0.00270901,0.00206111,0.0003157,0.02131244,0.00048903,9.13e-05,1.66e-06,5.677e-05,0.0001015
360,3428,4.827202,-74.07196,53,37,14,4.5e-07,0.00348681,3.54e-06,1.4e-07,0.00061941,0.00011547,0.00060431,0.00685424,0.00082819,0.0003872,0.0015805,0.00034957,0.00274714,0.05759203,8.982e-05,0.00119938,0.00548385,0.03433885,1.12e-06,1.36e-06,0.00216603,1.97e-06,0.00957417,0.00040527,0.11554481,0.00080048,0.00284706,0.00223324,0.0002772,0.02239847,0.00053168,0.0001111,1.57e-06,6.134e-05,0.00014769
360,3428,4.827202,-74.07196,53,37,15,3.8e-07,0.00359734,3.78e-06,2.8e-07,0.00054838,0.00010223,0.00059343,0.00688144,0.00081328,0.0004048,0.00168435,0.00030948,0.00231195,0.06604566,9.543e-05,0.00129594,0.00485498,0.03040098,1.13e-06,1.33e-06,0.00230835,2.03e-06,0.01000936,0.00041812,0.23764261,0.00082452,0.00252057,0.00230078,0.0002783,0.01982988,0.00050893,9.35e-05,1.64e-06,6.945e-05,0.00030375
360,3428,4.827202,-74.07196,53,37,16,3.3e-07,0.00361744,3.85e-06,2.3e-07,0.00055625,0.0001037,0.00053705,0.00530387,0.00073602,0.0003762,0.001716,0.00031392,0.00201275,0.07934335,0.00014515,0.00142253,0.00492464,0.03083719,8.7e-07,1.2e-06,0.00235173,2.04e-06,0.00930218,0.00042045,0.19668636,0.00090866,0.00255673,0.00264066,0.0002145,0.02011441,0.00051462,8.14e-05,1.53e-06,8.618e-05,0.0002514
360,3428,4.827202,-74.07196,53,37,17,1.2e-07,0.00351696,2.88e-06,1.6e-07,0.00061208,0.0001141,0.000361,0.00084318,0.00049474,0.0001848,0.0012828,0.00034543,0.00073438,0.11298343,0.00016119,0.00120797,0.00541897,0.03393259,1.4e-07,8.1e-07,0.00175804,1.99e-06,0.00456949,0.00040878,0.13202367,0.00105048,0.00281337,0.00289122,3.41e-05,0.02213347,0.00051178,2.97e-05,7.5e-07,9.733e-05,0.00016875
360,3428,4.827202,-74.07196,53,37,18,3e-08,0.00384856,2.1e-06,9e-08,0.00061063,0.00011383,0.0002977,0.00029919,0.00040799,8.69e-05,0.00093762,0.00034461,0.0001904,0.08406665,0.00013232,0.00103417,0.00540606,0.03385173,5e-08,6.7e-07,0.00128498,2.17e-06,0.00214875,0.00044732,0.07492584,0.00095433,0.00280667,0.00234217,1.21e-05,0.02208073,0.00052315,7.7e-06,3.5e-07,0.00010544,9.577e-05
360,3428,4.827202,-74.07196,53,37,19,2.6e-07,0.00310497,1.78e-06,4e-08,0.00063018,0.00011748,0.00016715,0.00492308,0.00022907,0.000121,0.0007952,0.00035564,0.00157756,0.05099015,0.00015076,0.00098268,0.00557918,0.03493577,8.1e-07,3.7e-07,0.00108979,1.75e-06,0.00299193,0.00036089,0.0315604,0.00104087,0.00289655,0.00208726,0.0001991,0.02278783,0.00046913,6.38e-05,4.9e-07,0.00011203,4.034e-05
360,3428,4.827202,-74.07196,53,37,20,2.3e-07,0.00246187,1.43e-06,2e-08,0.00058268,0.00010862,0.00013451,0.00603826,0.00018434,0.0001001,0.00063893,0.00032884,0.00141437,0.0397589,0.00015798,0.00092689,0.00515866,0.03230254,9.9e-07,3e-07,0.00087563,1.39e-06,0.00247514,0.00028614,0.01705707,0.00108414,0.00267823,0.00189335,0.0002442,0.02107023,0.00039236,5.72e-05,4.1e-07,0.00010797,2.18e-05
360,3428,4.827202,-74.07196,53,37,21,4.2e-07,0.00160775,1.31e-06,1e-08,0.00045435,8.47e-05,9.989e-05,0.00473269,0.0001369,6.6e-05,0.00058354,0.00025642,0.00255674,0.03814868,0.00010505,0.00062222,0.00402254,0.02518841,7.8e-07,2.2e-07,0.00079972,9.1e-07,0.00163196,0.00018687,0.01141957,0.00097116,0.00208839,0.00181491,0.0001914,0.01642984,0.00039805,0.0001034,2.7e-07,0.00010696,1.46e-05
