FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
360,3428,4.827202,-74.07196,53,37,0,0.00141795,3.956e-05,0.00016016,0.0002349,0.00108797,0.00032192,6.2e-07,7.11e-06,3.755e-05,4.4e-05,1.8e-07,5.3e-07,5.422e-05,0.00782987,8.22e-05,2.986e-05,0.00073616,0.00027633,9e-08,0.00579153,0.00808462,1.9e-07,0.00887893,1.001e-05,7.081e-05,4.675e-05,0.0,1.6e-07,0.000154,0.00115597,9.039e-05,3.212e-05,0.00027043,0.00380791,1e-08
360,3428,4.827202,-74.07196,53,37,1,0.00106804,3.956e-05,0.00012064,0.00025221,0.00101998,0.00034564,4.8e-07,7.11e-06,3.218e-05,4.125e-05,1.7e-07,5.7e-07,5.422e-05,0.00590252,0.0,2.249e-05,0.0005545,0.00025121,9e-08,0.00436237,0.00714533,1.3e-07,0.0066879,7.54e-06,0.0,3.3e-05,0.0,1.4e-07,0.00011825,0.00081598,6.808e-05,2.92e-05,7.212e-05,0.00292393,1e-08
360,3428,4.827202,-74.07196,53,37,2,0.00101982,7.418e-05,0.00011519,0.00021017,0.00074798,0.00028804,4.3e-07,2.132e-05,5.36e-06,3.025e-05,1.2e-07,4.7e-07,0.00010166,0.00554114,0.0,2.147e-05,0.00052946,0.00027633,1.7e-07,0.00416541,0.00530029,2.7e-07,0.00638594,7.08e-06,5.45e-06,6.6e-05,0.0,1.6e-07,0.00010725,0.00163196,6.501e-05,3.212e-05,6.611e-05,0.00265194,1e-08
360,3428,4.827202,-74.07196,53,37,3,0.00101464,6.676e-05,0.00011461,0.00022995,0.00163196,0.00031515,6.9e-07,1.422e-05,3.218e-05,6.6e-05,2.7e-07,5.2e-07,9.149e-05,0.0050593,0.0,2.136e-05,0.00052677,0.00022609,1.5e-07,0.00414425,0.00644086,2.3e-07,0.0063535,6.47e-06,5.45e-06,5.775e-05,0.0,1.3e-07,0.0001705,0.00142797,6.468e-05,2.628e-05,7.212e-05,0.0042159,1e-08
360,3428,4.827202,-74.07196,53,37,4,0.00087875,0.0001533,9.926e-05,0.00036348,0.00265194,0.00049813,9.8e-07,0.00012084,0.00022529,0.00010725,4.3e-07,8.2e-07,0.0002101,0.0095163,6.816e-05,1.85e-05,0.00045622,0.00138166,3.4e-07,0.00358919,0.00516611,6.4e-07,0.00550254,1.216e-05,0.00017975,0.00015675,0.0,7.8e-07,0.000242,0.00387591,5.602e-05,0.00016059,0.00036058,0.00598386,1e-08
360,3428,4.827202,-74.07196,53,37,5,0.00152037,0.0002893,0.00017173,0.00075168,0.00387591,0.00103015,1.48e-06,0.00037673,0.00091724,0.00015675,6.4e-07,1.69e-06,0.00039647,0.02180318,0.00014034,3.201e-05,0.00078933,0.00268796,6.5e-07,0.00620986,0.02099989,1.17e-06,0.00952027,2.787e-05,0.00060461,0.00028875,1.647e-05,1.52e-06,0.00036575,0.00713983,9.692e-05,0.00031242,0.00060697,0.00904379,3e-08
360,3428,4.827202,-74.07196,53,37,6,0.0035373,0.00043024,0.00039955,0.00101378,0.00224395,0.00138935,6.8e-07,0.00056153,0.00130881,9.075e-05,3.7e-07,2.27e-06,0.00058963,0.03529465,9.222e-05,7.448e-05,0.00183646,0.00354208,9.6e-07,0.01444789,0.04894383,9.6e-07,0.02214991,4.511e-05,0.00134539,0.0002365,2.535e-05,2e-06,0.00016775,0.00584786,0.00022548,0.00041169,0.00060697,0.0041479,4e-08
360,3428,4.827202,-74.07196,53,37,7,0.00439213,0.00026704,0.0004961,0.00097916,0.00224395,0.00134191,7e-07,0.00049756,0.00089578,9.075e-05,3.7e-07,2.2e-06,0.00036597,0.0277057,6.215e-05,9.248e-05,0.00228027,0.00349184,6e-07,0.01793942,0.05370739,7.5e-07,0.02750272,3.541e-05,0.00236396,0.00018425,3.295e-05,1.97e-06,0.00017325,0.00455589,0.00027998,0.00040586,0.000625,0.0042839,3e-08
360,3428,4.827202,-74.07196,53,37,8,0.00479265,0.00032144,0.00054134,0.00108548,0.00203995,0.00148762,5.7e-07,0.0004407,0.00109425,8.25e-05,3.3e-07,2.43e-06,0.00044053,0.02324869,4.611e-05,0.00010092,0.00248821,0.00346671,7.2e-07,0.0195753,0.0465956,9.6e-07,0.03001068,2.972e-05,0.0024729,0.0002365,2.915e-05,1.96e-06,0.00014025,0.00584786,0.00030551,0.00040294,0.00064904,0.00346792,3e-08
360,3428,4.827202,-74.07196,53,37,9,0.00474164,0.00043271,0.00053558,0.0010929,0.00210795,0.00149779,7e-07,0.00045491,0.00089578,8.525e-05,3.5e-07,2.45e-06,0.00059302,0.01963491,5.413e-05,9.984e-05,0.00246172,0.00336623,9.7e-07,0.01936695,0.03814197,7.5e-07,0.02969126,2.51e-05,0.00203715,0.00018425,3.295e-05,1.9e-06,0.00017325,0.00455589,0.00030226,0.00039126,0.00055289,0.0042839,2e-08
360,3428,4.827202,-74.07196,53,37,10,0.00529718,0.0003882,0.00059833,0.000994,0.00115597,0.00136224,7.9e-07,0.00039805,0.00077778,4.675e-05,1.9e-07,2.23e-06,0.00053202,0.01794847,5.613e-05,0.00011154,0.00275015,0.00316526,8.7e-07,0.02163603,0.04320744,6.4e-07,0.03316997,2.294e-05,0.00143254,0.00015675,2.661e-05,1.79e-06,0.00019525,0.00387591,0.00033767,0.0003679,0.00057091,0.00482789,2e-08
360,3428,4.827202,-74.07196,53,37,11,0.00518041,0.00036842,0.00058514,0.00106076,0.00183596,0.00145373,7.4e-07,0.00037673,0.00084751,7.425e-05,3e-07,2.38e-06,0.00050491,0.02180318,7.618e-05,0.00010908,0.00268952,0.00246187,8.3e-07,0.0211591,0.04327453,6.7e-07,0.03243879,2.787e-05,0.00127458,0.000165,2.535e-05,1.39e-06,0.0001815,0.0040799,0.00033022,0.00028614,0.00099159,0.00448789,3e-08
360,3428,4.827202,-74.07196,53,37,12,0.00458103,0.00026704,0.00051744,0.00081597,0.00142797,0.00111826,8.5e-07,0.00038383,0.00083678,5.775e-05,2.3e-07,1.83e-06,0.00036597,0.01903261,7.217e-05,9.646e-05,0.00237834,0.00301453,6e-07,0.01871097,0.05541824,5.9e-07,0.02868558,2.433e-05,0.00142709,0.00014575,3.422e-05,1.7e-06,0.000209,0.00360391,0.00029202,0.00035038,0.00080529,0.00516788,2e-08
360,3428,4.827202,-74.07196,53,37,13,0.00511864,0.00024232,0.00057816,0.00090993,0.00258394,0.00124703,8.9e-07,0.00039094,0.00081532,0.0001045,4.2e-07,2.04e-06,0.00033209,0.02505559,5.613e-05,0.00010778,0.00265745,0.00339135,5.4e-07,0.0209068,0.05830321,7.4e-07,0.03205199,3.203e-05,0.00151424,0.0001815,3.041e-05,1.91e-06,0.00022,0.00448789,0.00032629,0.00039418,0.00061899,0.00543987,3e-08
360,3428,4.827202,-74.07196,53,37,14,0.0049405,0.00025221,0.00055804,0.0005959,0.00197195,0.00081667,7.5e-07,0.00034119,0.0007295,7.975e-05,3.2e-07,1.34e-06,0.00034564,0.0175871,6.616e-05,0.00010403,0.00256497,0.00374305,5.7e-07,0.0201792,0.05353966,7.1e-07,0.03093651,2.248e-05,0.00158505,0.000176,3.295e-05,2.11e-06,0.00018425,0.0043519,0.00031493,0.00043505,0.00057091,0.00455589,2e-08
360,3428,4.827202,-74.07196,53,37,15,0.00598663,0.00041046,0.0006762,0.0006775,0.00475989,0.00092849,1.01e-06,0.00037673,0.00082069,0.0001925,7.8e-07,1.52e-06,0.00056252,0.02216456,6.816e-05,0.00012606,0.00310809,0.00391889,9.2e-07,0.02445204,0.05464668,6.1e-07,0.03748715,2.833e-05,0.0016722,0.00015125,3.168e-05,2.21e-06,0.00025025,0.00373991,0.00038162,0.00045549,0.00069712,0.00618785,3e-08
360,3428,4.827202,-74.07196,53,37,16,0.00615042,0.00029672,0.0006947,0.00048463,0.00237994,0.00066418,6.4e-07,0.00033408,0.00071341,9.625e-05,3.9e-07,1.09e-06,0.00040664,0.01686434,6.215e-05,0.00012951,0.00319312,0.00384353,6.7e-07,0.02512104,0.05310356,4.5e-07,0.0385128,2.156e-05,0.00131815,0.00011,3.168e-05,2.17e-06,0.00015675,0.00271994,0.00039206,0.00044673,0.00055289,0.00387591,2e-08
360,3428,4.827202,-74.07196,53,37,17,0.00600895,0.00030166,0.00067872,0.00043271,0.00224395,0.00059302,5e-07,0.00034829,0.00064368,9.075e-05,3.7e-07,9.7e-07,0.00041342,0.01385285,6.215e-05,0.00012653,0.00311967,0.0035672,6.8e-07,0.02454319,0.05253327,3.3e-07,0.0376269,1.771e-05,0.0014979,8.25e-05,3.168e-05,2.01e-06,0.00012375,0.00203995,0.00038304,0.00041461,0.00045072,0.00305993,2e-08
360,3428,4.827202,-74.07196,53,37,18,0.00604202,0.0002077,0.00068246,0.00033133,0.00149596,0.00045408,4.7e-07,0.00036962,0.00069732,6.05e-05,2.5e-07,7.4e-07,0.00028465,0.01433469,7.618e-05,0.00012722,0.00313685,0.00346671,4.7e-07,0.02467829,0.04139595,1.1e-07,0.03783402,1.832e-05,0.00155237,2.75e-05,2.154e-05,1.96e-06,0.0001155,0.00067998,0.00038515,0.00040294,0.00056491,0.00285593,2e-08
