FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
11,2856,4.728607,-74.05397,42,39,0,0.0,4.568e-05,0.0,0.0,0.00014606,0.0,8.75e-06,0.00043715,0.00027793,0.00016519,3.427e-05,0.0,0.00033118,0.00035383,0.00013327,0.0002223,7.328e-05,0.00046463,0.0,0.0,0.00108825,0.0,0.00022962,9.444e-05,0.00093086,0.00087473,0.0,0.00018812,0.0003145,0.00031796,4.927e-05,0.00023826,0.0,0.0,2.117e-05
11,2856,4.728607,-74.05397,42,39,1,0.0,2.447e-05,0.0,0.0,7.762e-05,0.0,7.77e-06,0.0004504,0.00024662,0.00017472,2.404e-05,0.0,0.00025169,0.00018593,2.12e-06,8.027e-05,3.894e-05,0.00024691,0.0,0.0,0.00076334,0.0,0.00024286,5.059e-05,0.00077442,0.00043736,0.0,1.254e-05,0.00032403,0.00016897,2.463e-05,0.00018108,0.0,0.0,1.761e-05
11,2856,4.728607,-74.05397,42,39,2,0.0,5.383e-05,0.0,0.0,6.345e-05,0.0,1.479e-05,0.00047689,0.00046975,0.0002192,2.305e-05,0.0,0.00025611,0.00014088,0.0,4.322e-05,3.183e-05,0.00020182,0.0,0.0,0.00073203,0.0,0.00030468,0.00011131,0.00070401,0.00031934,0.0,1.881e-05,0.0003431,0.00013811,0.0,0.00018425,0.0,0.0,1.601e-05
11,2856,4.728607,-74.05397,42,39,3,0.0,6.036e-05,0.0,0.0,8.247e-05,0.0,1.368e-05,0.00076391,0.00043452,0.00032403,3.242e-05,0.0,0.000393,0.00016381,7.616e-05,0.00018525,4.138e-05,0.00026235,0.0,0.0,0.00102953,0.0,0.0004504,0.0001248,0.00065708,0.00040265,0.0,2.508e-05,0.00054959,0.00017953,4.927e-05,0.00028274,0.0,0.0,1.494e-05
11,2856,4.728607,-74.05397,42,39,4,0.0,0.00026101,0.0,0.0,0.00018451,0.0,2.86e-05,0.00143951,0.00090818,0.00067666,7.163e-05,0.0,0.00072859,0.00039643,0.00028982,0.00151903,9.257e-05,0.00058692,0.0,0.0,0.00227437,0.0,0.00094054,0.00053968,0.00586679,0.00150647,0.0,0.00082147,0.00103564,0.00040165,0.00054193,0.00052417,0.0,1.355e-05,0.0001334
11,2856,4.728607,-74.05397,42,39,5,0.0,0.00060848,0.0,0.0,0.00094294,0.0,5.227e-05,0.00148808,0.00165978,0.00120719,0.00017617,0.0,0.00101561,0.00206404,0.00047174,0.00361849,0.00047307,0.00299946,0.0,0.0,0.00559393,0.0,0.00167796,0.00125812,0.02616587,0.00257559,0.0,0.00284065,0.00107058,0.00205266,0.00143695,0.00073067,0.0,0.00011335,0.00059495
11,2856,4.728607,-74.05397,42,39,6,0.0,0.00061174,0.0,0.0,0.00168069,0.0,5.634e-05,0.00020312,0.00178896,0.00052735,0.00012698,0.0,0.00019429,0.00579814,0.00041674,0.00427303,0.00084319,0.00534622,0.0,0.0,0.00403201,0.0,0.000733,0.00126486,0.04278844,0.00247839,0.0,0.00608263,0.00014613,0.00365864,0.00160117,0.00013978,0.0,0.00021684,0.00097292
11,2856,4.728607,-74.05397,42,39,7,0.0,0.00074714,0.0,0.0,0.00124391,0.0,4.426e-05,6.182e-05,0.00140533,0.00024144,0.00010664,0.0,3.533e-05,0.00601191,0.00036809,0.00449533,0.00062406,0.00395681,0.0,0.0,0.00338611,0.0,0.00033559,0.00154482,0.02220775,0.00258253,0.0,0.00896091,4.448e-05,0.00270782,0.00176539,2.541e-05,0.0,0.00028953,0.00050496
11,2856,4.728607,-74.05397,42,39,8,0.0,0.00086786,0.0,0.0,0.00139604,0.0,7.237e-05,0.00015455,0.00229786,0.00085138,0.00014325,0.0,0.00015013,0.0046449,0.00031943,0.00471145,0.00070038,0.00444074,0.0,0.0,0.00454874,0.0,0.0011834,0.00179442,0.0145027,0.0029713,0.0,0.00875397,0.00011119,0.00303899,0.00154369,0.00010801,0.0,0.00028091,0.00032976
11,2856,4.728607,-74.05397,42,39,9,0.0,0.00062642,0.0,0.0,0.0014805,0.0,6.67e-05,0.00030027,0.00211779,0.00054323,0.00015188,0.0,0.00021637,0.00361124,0.00024962,0.00426686,0.00074276,0.00470942,0.0,0.0,0.00482276,0.0,0.00075508,0.00129522,0.00542873,0.0032837,0.0,0.00730543,0.00021602,0.00322286,0.00142053,0.00015566,0.0,0.0002267,0.00012344
