FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
11,2856,4.728607,-74.05397,42,39,0,7.229e-05,1.89e-06,0.00028769,1.124e-05,5.791e-05,0.0006878,1.7e-07,1.519e-05,7.955e-05,9.401e-05,5e-08,1.4e-07,0.00011584,0.00041676,0.00013919,7.9e-06,0.00019478,1.471e-05,2e-08,0.00030827,0.00044034,5e-08,0.00045418,2.138e-05,0.00015005,9.988e-05,0.0,4e-08,0.00023267,6.153e-05,2.392e-05,6.862e-05,0.00057779,0.00020268,0.0
11,2856,4.728607,-74.05397,42,39,1,5.445e-05,1.89e-06,0.0002167,1.207e-05,5.429e-05,0.00073848,1.3e-07,1.519e-05,6.819e-05,8.813e-05,4e-08,1.5e-07,0.00011584,0.00031417,0.0,5.95e-06,0.00014672,1.337e-05,2e-08,0.0002322,0.00038918,4e-08,0.0003421,1.612e-05,0.0,7.051e-05,0.0,4e-08,0.00023972,4.343e-05,1.801e-05,6.238e-05,0.00015408,0.00015563,0.0
11,2856,4.728607,-74.05397,42,39,2,5.199e-05,3.55e-06,0.00020692,1.006e-05,3.981e-05,0.0006154,1.1e-07,4.556e-05,1.136e-05,6.463e-05,3e-08,1.2e-07,0.0002172,0.00029494,0.0,5.68e-06,0.00014009,1.471e-05,4e-08,0.00022172,0.00028868,7e-08,0.00032666,1.513e-05,1.154e-05,0.00014101,0.0,4e-08,0.00025382,8.686e-05,1.72e-05,6.862e-05,0.00014124,0.00014115,0.0
11,2856,4.728607,-74.05397,42,39,3,5.173e-05,3.19e-06,0.00020586,1.1e-05,8.686e-05,0.00067332,1.8e-07,3.037e-05,6.819e-05,0.00014101,7e-08,1.4e-07,0.00019548,0.00026929,0.0,5.65e-06,0.00013938,1.203e-05,4e-08,0.00022059,0.00035081,6e-08,0.000325,1.382e-05,1.154e-05,0.00012339,0.0,3e-08,0.00040659,7.601e-05,1.711e-05,5.615e-05,0.00015408,0.0002244,0.0
11,2856,4.728607,-74.05397,42,39,4,4.48e-05,7.33e-06,0.00017829,1.739e-05,0.00014115,0.00106428,2.6e-07,0.00025817,0.00047733,0.00022915,1.1e-07,2.2e-07,0.00044888,0.00050652,0.00011543,4.9e-06,0.00012071,7.354e-05,9e-08,0.00019104,0.00028138,1.7e-07,0.00028147,2.599e-05,0.00038089,0.00033491,0.0,2.1e-07,0.00076617,0.0002063,1.482e-05,0.00034311,0.00077039,0.0003185,0.0
11,2856,4.728607,-74.05397,42,39,5,7.751e-05,1.384e-05,0.00030847,3.596e-05,0.0002063,0.00220096,3.9e-07,0.00080489,0.0019434,0.00033491,1.7e-07,4.5e-07,0.00084708,0.00116051,0.00023765,8.47e-06,0.00020885,0.00014307,1.7e-07,0.00033054,0.00114378,3.1e-07,0.00048699,5.954e-05,0.00128119,0.00061693,2.184e-05,4e-07,0.00079203,0.00038003,2.564e-05,0.0006675,0.00129682,0.00048137,1e-08
11,2856,4.728607,-74.05397,42,39,6,0.00018034,2.058e-05,0.0007177,4.85e-05,0.00011944,0.0029684,1.8e-07,0.00119975,0.00277303,0.00019389,1e-07,6e-07,0.00125976,0.00187861,0.00015617,1.971e-05,0.00048592,0.00018853,2.5e-07,0.00076903,0.00266577,2.5e-07,0.00113303,9.639e-05,0.00285094,0.0005053,3.36e-05,5.3e-07,0.00010811,0.00031126,5.966e-05,0.00087961,0.00129682,0.00022078,1e-08
11,2856,4.728607,-74.05397,42,39,7,0.00022392,1.278e-05,0.00089114,4.684e-05,0.00011944,0.00286704,1.9e-07,0.00106307,0.00189794,0.00019389,1e-07,5.8e-07,0.00078192,0.00147468,0.00010524,2.447e-05,0.00060335,0.00018586,1.6e-07,0.00095488,0.00292522,2e-07,0.00140684,7.566e-05,0.00500934,0.00039366,4.368e-05,5.2e-07,3.29e-05,0.00024249,7.408e-05,0.00086713,0.00133534,0.00022802,1e-08
11,2856,4.728607,-74.05397,42,39,8,0.00024434,1.538e-05,0.0009724,5.193e-05,0.00010858,0.00317836,1.5e-07,0.00094157,0.00231844,0.00017627,9e-08,6.4e-07,0.0009412,0.00123745,7.808e-05,2.67e-05,0.00065837,0.00018452,1.9e-07,0.00104195,0.00253787,2.5e-07,0.00153513,6.349e-05,0.00524018,0.0005053,3.864e-05,5.2e-07,8.226e-05,0.00031126,8.084e-05,0.00086089,0.0013867,0.00018459,1e-08
11,2856,4.728607,-74.05397,42,39,9,0.00024174,2.07e-05,0.00096205,5.229e-05,0.0001122,0.00320008,1.9e-07,0.00097195,0.00189794,0.00018214,9e-08,6.5e-07,0.001267,0.0010451,9.166e-05,2.642e-05,0.00065136,0.00017917,2.6e-07,0.00103086,0.00207743,2e-07,0.00151879,5.362e-05,0.0043168,0.00039366,4.368e-05,5e-07,0.00015982,0.00024249,7.998e-05,0.00083594,0.00118126,0.00022802,1e-08
