FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
11,2856,4.728607,-74.05397,42,39,0,0.0,7.773e-05,0.0,0.0,1.776e-05,0.0,2.305e-05,0.00074396,3.454e-05,2.053e-05,9.024e-05,0.0,0.00056361,0.00224063,1.609e-05,2.76e-05,0.00014173,0.00087186,0.0,0.0,0.00013524,0.0,0.00039077,1.174e-05,0.00158418,0.0001087,0.0,2.335e-05,3.908e-05,0.00054304,6.12e-06,2.961e-05,0.0,0.0,2.63e-06
11,2856,4.728607,-74.05397,42,39,1,0.0,4.164e-05,0.0,0.0,9.44e-06,0.0,2.045e-05,0.00076651,3.065e-05,2.171e-05,6.33e-05,0.0,0.00042834,0.00117737,2.6e-07,9.97e-06,7.532e-05,0.00046331,0.0,0.0,9.486e-05,0.0,0.00041331,6.29e-06,0.00131793,5.435e-05,0.0,1.56e-06,4.027e-05,0.00028857,3.06e-06,2.25e-05,0.0,0.0,2.19e-06
11,2856,4.728607,-74.05397,42,39,2,0.0,9.162e-05,0.0,0.0,7.71e-06,0.0,3.895e-05,0.0008116,5.838e-05,2.724e-05,6.07e-05,0.0,0.00043586,0.0008921,0.0,5.37e-06,6.156e-05,0.00037871,0.0,0.0,9.097e-05,0.0,0.00051852,1.383e-05,0.00119812,3.968e-05,0.0,2.34e-06,4.264e-05,0.00023588,0.0,2.29e-05,0.0,0.0,1.99e-06
11,2856,4.728607,-74.05397,42,39,3,0.0,0.00010272,0.0,0.0,1.003e-05,0.0,3.603e-05,0.00130006,5.4e-05,4.027e-05,8.537e-05,0.0,0.00066881,0.00103733,9.19e-06,2.3e-05,8.003e-05,0.00049229,0.0,0.0,0.00012794,0.0,0.00076651,1.551e-05,0.00111825,5.004e-05,0.0,3.11e-06,6.83e-05,0.00030662,6.12e-06,3.514e-05,0.0,0.0,1.86e-06
11,2856,4.728607,-74.05397,42,39,4,0.0,0.0004442,0.0,0.0,2.243e-05,0.0,7.531e-05,0.00244982,0.00011286,8.409e-05,0.00018859,0.0,0.00123994,0.00251034,3.498e-05,0.00018858,0.00017904,0.00110135,0.0,0.0,0.00028264,0.0,0.00160065,6.707e-05,0.00998435,0.00018721,0.0,0.00010198,0.0001287,0.00068597,6.735e-05,6.514e-05,0.0,1.59e-06,1.658e-05
11,2856,4.728607,-74.05397,42,39,5,0.0,0.00103553,0.0,0.0,0.00011465,0.0,0.00013763,0.00253248,0.00020627,0.00015002,0.00046384,0.0,0.0017284,0.01307036,5.694e-05,0.00044921,0.00091497,0.00562843,0.0,0.0,0.00069518,0.0,0.00285561,0.00015635,0.04453021,0.00032007,0.0,0.00035265,0.00013304,0.00350564,0.00017857,9.08e-05,0.0,1.329e-05,7.393e-05
11,2856,4.728607,-74.05397,42,39,6,0.0,0.00104108,0.0,0.0,0.00020436,0.0,0.00014834,0.00034568,0.00022232,6.553e-05,0.00033433,0.0,0.00033065,0.03671629,5.03e-05,0.00053047,0.00163083,0.01003208,0.0,0.0,0.00050107,0.0,0.00124745,0.00015719,0.07281921,0.00030799,0.0,0.00075513,1.816e-05,0.00624844,0.00019898,1.737e-05,0.0,2.541e-05,0.0001209
11,2856,4.728607,-74.05397,42,39,7,0.0,0.00127151,0.0,0.0,0.00015125,0.0,0.00011653,0.00010521,0.00017465,3e-05,0.00028077,0.0,6.012e-05,0.03807001,4.443e-05,0.00055807,0.001207,0.00742489,0.0,0.0,0.0004208,0.0,0.00057112,0.00019198,0.0377941,0.00032093,0.0,0.00111246,5.53e-06,0.00462456,0.00021938,3.16e-06,0.0,3.393e-05,6.275e-05
11,2856,4.728607,-74.05397,42,39,8,0.0,0.00147695,0.0,0.0,0.00016974,0.0,0.00019054,0.00026302,0.00028556,0.0001058,0.00037718,0.0,0.0002555,0.02941349,3.856e-05,0.0005849,0.00135462,0.00833297,0.0,0.0,0.00056529,0.0,0.00201396,0.000223,0.02468132,0.00036924,0.0,0.00108677,1.382e-05,0.00519016,0.00019183,1.342e-05,0.0,3.292e-05,4.098e-05
11,2856,4.728607,-74.05397,42,39,9,0.0,0.00106607,0.0,0.0,0.00018001,0.0,0.0001756,0.000511,0.00026319,6.751e-05,0.0003999,0.0,0.00036822,0.02286794,3.013e-05,0.00052971,0.00143658,0.00883714,0.0,0.0,0.00059934,0.0,0.00128503,0.00016096,0.00923885,0.00040806,0.0,0.00090694,2.685e-05,0.00550417,0.00017653,1.934e-05,0.0,2.657e-05,1.534e-05
