FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
11,2856,4.728607,-74.05397,42,39,0,0.00041898,1.298e-05,5.25e-05,7.709e-05,0.00030059,0.00011554,0.0,2.55e-06,1.342e-05,1.579e-05,0.0,0.0,1.946e-05,0.00216328,2.617e-05,0.0,0.0,7.635e-05,0.0,0.00160529,0.00312496,0.0,0.00257734,3.59e-06,2.53e-05,1.678e-05,0.0,0.0,3.908e-05,0.00031938,0.0,1.153e-05,9.706e-05,0.00105207,0.0
11,2856,4.728607,-74.05397,42,39,1,0.00031559,1.298e-05,3.955e-05,8.277e-05,0.0002818,0.00012405,0.0,2.55e-06,1.15e-05,1.48e-05,0.0,0.0,1.946e-05,0.00163078,0.0,0.0,0.0,6.941e-05,0.0,0.00120915,0.00276189,0.0,0.00194134,2.71e-06,0.0,1.184e-05,0.0,0.0,4.027e-05,0.00022544,0.0,1.048e-05,2.588e-05,0.00080784,0.0
11,2856,4.728607,-74.05397,42,39,2,0.00030134,2.434e-05,3.776e-05,6.898e-05,0.00020666,0.00010338,0.0,7.65e-06,1.92e-06,1.086e-05,0.0,0.0,3.649e-05,0.00153093,0.0,0.0,0.0,7.635e-05,0.0,0.00115456,0.00204873,0.0,0.00185369,2.54e-06,1.95e-06,2.369e-05,0.0,0.0,4.264e-05,0.00045089,0.0,1.153e-05,2.372e-05,0.00073269,0.0
11,2856,4.728607,-74.05397,42,39,3,0.00029981,2.191e-05,3.757e-05,7.547e-05,0.00045089,0.00011311,0.0,5.1e-06,1.15e-05,2.369e-05,0.0,0.0,3.284e-05,0.00139781,0.0,0.0,0.0,6.247e-05,0.0,0.0011487,0.00248959,0.0,0.00184427,2.32e-06,1.95e-06,2.073e-05,0.0,0.0,6.83e-05,0.00039453,0.0,9.43e-06,2.588e-05,0.00116479,0.0
11,2856,4.728607,-74.05397,42,39,4,0.00025965,5.031e-05,3.254e-05,0.00011929,0.00073269,0.00017878,0.0,4.337e-05,8.049e-05,3.849e-05,0.0,0.0,7.54e-05,0.00262921,2.171e-05,0.0,0.0,0.00038173,0.0,0.00099484,0.00199686,0.0,0.00159726,4.37e-06,6.423e-05,5.626e-05,0.0,0.0,0.0001287,0.00107086,0.0,5.764e-05,0.00012941,0.00165325,0.0
11,2856,4.728607,-74.05397,42,39,5,0.00044924,9.494e-05,5.629e-05,0.00024669,0.00107086,0.00036972,0.0,0.0001352,0.00032771,5.626e-05,0.0,0.0,0.0001423,0.00602389,4.469e-05,0.0,0.0,0.00074264,0.0,0.00172124,0.00811711,0.0,0.00276351,1e-05,0.00021603,0.00010363,4.69e-06,0.0,0.00013304,0.00197263,0.0,0.00011213,0.00021784,0.00249866,0.0
11,2856,4.728607,-74.05397,42,39,6,0.00104521,0.0001412,0.00013097,0.00033271,0.00061997,0.00049864,0.0,0.00020153,0.00046761,3.257e-05,0.0,0.0,0.00021162,0.00975138,2.937e-05,0.0,0.0,0.00097862,0.0,0.00400464,0.01891831,0.0,0.00642959,1.619e-05,0.00048072,8.488e-05,7.22e-06,0.0,1.816e-05,0.00161568,0.0,0.00014776,0.00021784,0.001146,0.0
11,2856,4.728607,-74.05397,42,39,7,0.0012978,8.764e-05,0.00016262,0.00032135,0.00061997,0.00048161,0.0,0.00017857,0.00032005,3.257e-05,0.0,0.0,0.00013135,0.00765467,1.979e-05,0.0,0.0,0.00096474,0.0,0.00497242,0.02075957,0.0,0.00798339,1.271e-05,0.00084466,6.613e-05,9.39e-06,0.0,5.53e-06,0.00125872,0.0,0.00014566,0.00022431,0.00118358,0.0
11,2856,4.728607,-74.05397,42,39,8,0.00141614,0.00010549,0.00017745,0.00035624,0.00056361,0.00053391,0.0,0.00015816,0.00039095,2.961e-05,0.0,0.0,0.00015811,0.00642327,1.468e-05,0.0,0.0,0.0009578,0.0,0.00542585,0.01801064,0.0,0.00871139,1.066e-05,0.00088358,8.488e-05,8.3e-06,0.0,1.382e-05,0.00161568,0.0,0.00014462,0.00023293,0.00095813,0.0
11,2856,4.728607,-74.05397,42,39,9,0.00140107,0.00014201,0.00017556,0.00035867,0.00058239,0.00053756,0.0,0.00016326,0.00032005,3.06e-05,0.0,0.0,0.00021283,0.00542483,1.724e-05,0.0,0.0,0.00093004,0.0,0.0053681,0.01474305,0.0,0.00861867,9.01e-06,0.00072789,6.613e-05,9.39e-06,0.0,2.685e-05,0.00125872,0.0,0.00014042,0.00019842,0.00118358,0.0
11,2856,4.728607,-74.05397,42,39,10,0.00156522,0.0001274,0.00019613,0.00032622,0.00031938,0.00048891,0.0,0.00014286,0.00027788,1.678e-05,0.0,0.0,0.00019094,0.0049589,1.787e-05,0.0,0.0,0.00087451,0.0,0.00599704,0.01670101,0.0,0.00962845,8.23e-06,0.00051186,5.626e-05,7.58e-06,0.0,0.0001137,0.00107086,0.0,0.00013204,0.00020489,0.00133387,0.0
11,2856,4.728607,-74.05397,42,39,11,0.00153072,0.00012091,0.00019181,0.00034813,0.00050725,0.00052175,0.0,0.0001352,0.0003028,2.665e-05,0.0,0.0,0.00018121,0.00602389,2.426e-05,0.0,0.0,0.00068018,0.0,0.00586484,0.01672695,0.0,0.00941621,1e-05,0.00045542,5.922e-05,7.22e-06,0.0,9.83e-05,0.00112722,0.0,0.0001027,0.00035587,0.00123994,0.0
11,2856,4.728607,-74.05397,42,39,12,0.00135361,8.764e-05,0.00016962,0.00026779,0.00039453,0.00040135,0.0,0.00013775,0.00029897,2.073e-05,0.0,0.0,0.00013135,0.00525843,2.298e-05,0.0,0.0,0.00083287,0.0,0.00518628,0.02142086,0.0,0.00832674,8.73e-06,0.00050991,5.231e-05,9.75e-06,0.0,8.054e-05,0.00099571,0.0,0.00012575,0.00028901,0.00142781,0.0
11,2856,4.728607,-74.05397,42,39,13,0.00151247,7.953e-05,0.00018952,0.00029863,0.0007139,0.00044756,0.0,0.0001403,0.0002913,3.75e-05,0.0,0.0,0.00011919,0.00692248,1.787e-05,0.0,0.0,0.00093698,0.0,0.00579491,0.02253599,0.0,0.00930393,1.149e-05,0.00054105,6.514e-05,8.66e-06,0.0,0.0001133,0.00123994,0.0,0.00014147,0.00022215,0.00150295,0.0
11,2856,4.728607,-74.05397,42,39,14,0.00145983,8.277e-05,0.00018293,0.00019557,0.00054482,0.0002931,0.0,0.00012245,0.00026064,2.862e-05,0.0,0.0,0.00012405,0.00485905,2.107e-05,0.0,0.0,0.00103414,0.0,0.00559324,0.02069473,0.0,0.00898013,8.07e-06,0.00056635,6.317e-05,9.39e-06,0.0,9.949e-05,0.00120236,0.0,0.00015614,0.00020489,0.00125872,0.0
