FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
11,2856,4.728607,-74.05397,42,39,0,25.89828035,28.46311111,53.03611612,0.57080591,376.50240474,37.97069591,28.36946825,273.17681126,187.79173747,130.71774318,111.08045313,50.36820447,206.95212974,677.51000334,331.24741714,189.7720242,324.67678016,3379.80528225,34.18573007,13.54519512,735.29722557,13.45430461,143.48680995,54.00004037,600.79113764,664.40758587,425.54442197,158.14343095,248.86647259,1559.23832889,26.11854295,188.53520651,17.95614105,0.0,16.07669298
11,2856,4.728607,-74.05397,42,39,1,19.68269307,15.24809524,37.20159224,0.47487215,200.07555506,20.17784738,25.17290844,281.45489645,166.63210507,138.25915144,77.91614518,26.76595512,157.2836186,356.00641379,5.25789551,68.52878652,172.53511847,1796.04807123,35.22166128,12.01897596,515.76603952,7.20766319,151.76489514,28.92859305,499.8178372,332.20379293,226.13676661,10.5428954,256.40788085,828.5882645,13.05927147,143.28675695,18.99207226,0.0,13.37472778
11,2856,4.728607,-74.05397,42,39,2,20.02800347,33.54580952,35.67537307,0.43170195,163.53893087,16.49308726,47.94839704,298.01106683,317.39448586,173.45238999,74.71958538,21.87811341,160.04298033,269.74935318,0.0,36.90011582,141.02776726,1468.06430838,37.29352371,22.89328753,494.60640713,15.85685901,190.39595936,63.64290472,454.379852,242.5614996,184.84099685,15.81434309,271.49069737,677.27633628,0.0,145.8005597,23.82641793,0.0,12.15884343
11,2856,4.728607,-74.05397,42,39,3,30.73262602,37.61196825,50.17445518,0.40292182,212.58809759,21.43975153,44.35226726,477.36957927,293.58989942,256.40788085,105.0869035,28.43987351,245.58319396,313.66203858,189.28423836,158.1433535,183.32530724,1908.37127768,59.73870002,21.17629097,695.62291484,17.77890252,281.45489645,71.3571962,424.08786186,305.83841254,240.27915351,21.08579079,434.88787635,880.40741801,26.11854295,223.72844506,35.22166128,0.0,11.34825387
11,2856,4.728607,-74.05397,42,39,4,56.97621678,162.6463492,110.84166715,3.59751625,475.60174158,47.96497679,92.70023427,899.55192394,613.62933932,535.43998648,232.15015565,63.62563815,455.29468543,759.06213337,720.33168488,1296.7754987,410.13507524,4269.4050774,112.57119194,44.2603559,1536.71830235,76.88174064,587.74404846,308.57165924,3786.49876663,1144.257509,537.55212625,690.55964848,819.49969762,1969.64602463,287.30397242,414.77745432,73.55111621,57.81073694,101.32369527
11,2856,4.728607,-74.05397,42,39,5,79.42139309,379.16930157,272.62089906,16.04492248,2430.56138655,245.12488137,169.41766953,929.90490296,1121.46051669,955.24504631,570.98549471,325.15864799,634.65319787,3952.14168616,1172.51069876,3089.06683836,2095.99416904,21818.782854,116.36960639,80.88961596,3779.63933575,179.23055787,1048.55745735,719.35768061,16887.7844992,1956.31122505,2747.15865627,2387.96580733,847.15152791,10065.8705679,761.79083595,578.17463329,131.2179538,483.50798168,451.90368089
11,2856,4.728607,-74.05397,42,39,6,15.19365781,381.20238094,196.50071801,26.2378852,4332.21760033,436.90907427,182.60347871,126.93063957,1208.7440003,417.29125707,411.55707456,579.56076547,121.41191611,11102.0678557,1035.80541549,3647.84002072,3735.88705867,38889.6637711,15.88427862,87.18527003,2724.30267027,180.19157963,458.05404716,723.21482635,27616.1976713,1882.48815996,4896.51861806,5113.30426735,115.63492666,17941.3455172,848.85264577,110.60732115,57.32152719,924.97179105,738.98748415
11,2856,4.728607,-74.05397,42,39,7,2.76248324,465.57517458,165.02244765,13.61779818,3206.33902343,323.36293875,143.44562113,38.63106422,949.53850352,191.04900926,345.62802864,428.9415884,22.07489384,11511.396816,914.87381876,3837.61204492,2764.98587293,28782.8216543,4.83434567,68.48908521,2287.88525222,220.07398258,209.71149147,883.28637458,14333.159998,1961.58430113,3623.98664438,7532.89876087,35.19323855,13278.658085,935.91445559,20.11042203,26.24359076,1235.04756192,383.54396115
11,2856,4.728607,-74.05397,42,39,8,11.74055376,540.79911109,221.6833343,8.89306017,3598.48210634,362.91101485,234.5475755,96.57766055,1552.58802665,673.69913792,464.3003113,481.40219086,93.81829882,8893.88710406,793.94222203,4022.11262401,3103.15038906,32303.0309447,12.08586417,111.98633152,3073.43660471,255.63178763,739.50894361,1026.00076698,9360.22495115,2256.87656151,4067.20904996,7358.94098682,87.98309637,14902.6703558,818.38101233,85.46929362,92.54318847,1198.25891113,250.4721747
11,2856,4.728607,-74.05397,42,39,9,16.92020983,390.35123808,235.03775202,3.3289017,3816.20034637,384.86814707,216.16735664,187.63659763,1430.92014041,429.86027084,492.27020958,510.52837091,135.20872476,6914.67964058,620.43167019,3642.56857561,3290.89967369,34257.4547371,23.48110752,103.2105713,3258.58338813,184.51617754,471.85085581,740.57198218,3503.77352539,2494.16498504,4313.28658212,6141.23656852,170.93858723,15804.3236267,753.08465496,123.17633492,59.04807921,967.01596337,93.75819269
11,2856,4.728607,-74.05397,42,39,10,54.90435435,462.52555554,358.47072732,3.26654476,3944.954409,397.85314079,237.34456533,794.6961782,1571.10270499,1191.54250513,750.79198359,527.75299118,438.73851505,7104.44517393,562.59481958,3473.88233187,3401.93071617,35413.2605313,99.44939656,113.3217733,4969.86865771,218.63244995,1307.93745996,877.50065597,3438.14088011,1956.31122505,4458.81174337,5224.00466901,723.97519299,16337.5427163,831.4402838,399.6946378,163.67713184,783.07270947,92.0019153
11,2856,4.728607,-74.05397,42,39,11,36.6029029,413.73165078,331.76189186,3.39125865,3862.99725543,389.5876686,213.37036681,687.08107074,1412.40546206,864.74814719,694.85218706,516.7888257,292.49234337,7096.60362297,615.17377468,3152.32417976,3331.25497971,34677.5435291,85.98229078,101.87512953,4599.57509088,195.56792775,949.22043508,784.9291582,3569.40617068,1639.92666035,4366.17910914,5065.86123806,625.93688561,15998.1272608,774.85010742,266.46309187,118.78677923,730.51749407,95.51447007
11,2856,4.728607,-74.05397,42,39,12,59.39338961,446.26092062,286.92920377,5.03652275,3850.60983833,388.33838349,254.52607427,562.90979289,1684.83572909,952.73124356,600.95324286,515.13164649,474.61021754,6839.40075132,694.04220733,2962.55215556,3320.57269281,34566.3435546,70.44332257,121.52520133,3978.01088941,210.94427588,1045.79809562,846.64349004,5301.09827329,1819.21124702,4352.17814611,5060.58979036,512.8157617,15946.8262989,774.85010742,432.37407359,130.87264339,635.91810635,141.85317337
11,2856,4.728607,-74.05397,42,39,13,28.66076359,447.2774603,308.29627214,7.90494238,4095.7305465,413.05908582,180.20605886,791.93681647,1192.87427601,937.64842703,645.70508009,547.92370783,229.02702358,6679.43311164,609.91587917,3083.79539324,3531.95249088,36766.7551692,99.10408616,86.04060565,4274.24574287,211.42478676,1029.24192524,848.57206291,8320.19995657,1871.9420078,4629.22750558,4986.78952259,721.46139024,16961.963516,748.73156448,208.64562854,128.80078096,588.61841249,222.64193307
11,2856,4.728607,-74.05397,42,39,14,34.87635088,352.73926983,304.86227901,11.50245863,4304.43975591,434.10764706,244.13725491,695.35915593,1616.06692382,884.85856921,638.51282054,575.84466664,278.69553472,6731.187348,588.88429713,2946.73782021,3711.93283961,38640.3062529,87.01822199,116.56498903,4226.63656999,166.73727501,971.29532892,669.21478598,12106.6987232,1755.93433408,4865.12251914,5403.23389075,633.47829387,17826.3069964,814.02792184,253.8940781,121.54926247,635.91810635,323.96562833
11,2856,4.728607,-74.05397,42,39,15,29.3513844,363.92120633,324.8939056,23.65726687,3810.81995308,384.32552829,239.74198518,698.11851766,1586.97242928,925.07941327,680.46766794,509.808586,234.54574704,7719.22276954,625.6895657,3183.95285046,3286.25989252,34209.1557582,87.3635324,114.46643767,4504.35674512,172.02289468,1015.44511659,690.42908755,24900.0158894,1808.66509486,4307.20535574,5566.6487694,635.99209662,15782.0413907,779.20319791,213.67323404,127.07422894,720.00645099,666.30462008
11,2856,4.728607,-74.05397,42,39,16,25.55296995,365.9542857,330.99878227,19.58008179,3865.49976394,389.84004943,216.96649659,538.07553732,1436.2100485,859.72054168,693.25390715,517.12360938,204.19276801,9273.41817073,951.67908733,3494.96811234,3333.41301746,34700.0081704,67.33552892,103.5921261,4588.99527468,172.98391644,943.70171161,694.2862333,20608.6506206,1993.2227576,4369.00758652,6388.99461033,490.19153692,16008.4910915,787.9093789,186.02140375,118.09615842,893.43866181,551.47109877
11,2856,4.728607,-74.05397,42,39,17,9.32338093,355.78888887,247.43828277,13.14292604,4253.51370781,428.97169716,145.84304099,85.54021363,965.40822781,422.31886258,518.24225797,569.03181877,74.50276671,13205.1718244,1056.83699753,2967.82360067,3668.01677129,38183.1508025,10.70462255,69.63374959,3430.5054013,168.17880765,463.57277062,675.00050459,13833.3421608,2304.33424622,4807.56300443,6995.21109564,77.92788536,17615.4030416,783.5562884,67.87267434,58.01214799,1009.06013569,370.16923338
11,2856,4.728607,-74.05397,42,39,18,2.41717283,389.3346984,180.85697153,7.45885036,4243.37854836,427.9495548,120.27056257,30.35297903,796.13116869,198.59041752,378.79233659,567.67594487,19.31553211,9825.46335865,867.55275917,2540.83654622,3659.27671839,38092.1690054,3.79841445,57.42399623,2507.41643827,184.03566666,217.98957666,738.64340931,7850.67410952,2093.41120309,4796.10767104,5666.80627567,27.65183029,17573.4295273,800.96865037,17.59661927,27.27952197,1093.14848033,210.07779485
