FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
11,2856,4.728607,-74.05397,42,39,0,18.46080154,0.38694495,3.75610407,2.29748562,10.29629876,7.34134666,4.58755668,0.0466589,0.57634272,0.45851603,1.31073048,3.89489325,1.23643733,87.60388951,1.11129421,10.20421584,65.41419639,2.25378368,0.65598202,67.48019362,56.71571097,1.39265114,115.57911318,0.16021372,1.10251406,0.48717328,0.0,0.9744774,1.13482718,10.93981743,8.03168272,0.26587488,4.32925474,36.03704566,0.05748185
11,2856,4.728607,-74.05397,42,39,1,13.90526929,0.38694495,2.82921835,2.46677403,9.65278009,7.88228799,3.52258817,0.0466589,0.49400805,0.42985878,1.22880983,4.18188539,1.23643733,66.03985517,0.0,7.68614347,49.27207598,2.04889426,0.65598202,50.82825152,50.12633376,0.98304786,87.05790425,0.1207765,0.0,0.34388702,0.0,0.88588855,1.16921588,7.72222407,6.04972166,0.24170444,1.15446793,27.67130292,0.04333247
11,2856,4.728607,-74.05397,42,39,2,13.27745675,0.72552177,2.70148126,2.05564503,7.0787054,6.56857333,3.19490555,0.13997671,0.08233467,0.31522977,0.90112721,3.48490449,2.31832,61.99659873,0.0,7.33911982,47.04747852,2.25378368,1.22996629,48.53339389,37.18291424,1.96609572,83.12730484,0.11338202,0.08480877,0.68777405,0.0,0.9744774,1.23799329,15.44444814,5.77658125,0.26587488,1.05826227,25.09722823,0.04067946
11,2856,4.728607,-74.05397,42,39,3,13.21000582,0.6529696,2.68775744,2.2491175,15.44444814,7.18679199,5.07908061,0.09331781,0.49400805,0.68777405,1.96609572,3.8128955,2.086488,56.60559014,0.0,7.30183629,46.80847218,1.84400483,1.10696966,48.28683894,45.18430085,1.72033376,82.70500904,0.10352271,0.08480877,0.60180229,0.0,0.79729969,1.98308184,13.51389212,5.74723558,0.217534,1.15446793,39.89815769,0.03714212
11,2856,4.728607,-74.05397,42,39,4,11.44071596,1.49941167,2.32777107,3.55505669,25.09722823,11.35976799,7.20901765,0.79320138,3.45805632,1.11763283,3.19490555,6.02683482,4.79119466,106.47241955,0.92156105,6.32386058,40.53915206,11.26891842,2.54193033,41.81951291,36.24157464,4.66947734,71.62786525,0.19472129,2.79868953,1.63346336,0.0,4.87238701,3.73690566,36.68056433,4.97747622,1.32937442,5.77233965,56.62964318,0.06986255
11,2856,4.728607,-74.05397,42,39,5,19.7942546,2.82953492,4.02741344,7.35195398,36.68056433,23.49230932,10.89544712,2.47292196,14.0792293,1.63346336,4.66947734,12.46365841,9.04144799,243.94313847,1.89733157,10.94128258,70.13916785,21.92316856,4.79686853,72.35439535,147.31964757,8.60166878,123.92757639,0.44613359,9.41377386,3.00901146,0.16857178,9.47900745,3.86299757,67.56946061,8.61182394,2.5862375,9.71677175,85.58798344,0.16006484
11,2856,4.728607,-74.05397,42,39,6,46.05342171,4.20802629,9.37020228,9.91546424,21.23611619,31.68370664,4.99715996,3.68605349,20.08966052,0.94568932,2.70338162,16.8095393,13.44625599,394.89137886,1.24681789,25.45604829,163.18617402,28.88940904,7.13380448,168.34013451,343.3536195,7.04517634,288.3305814,0.72219415,20.94776706,2.46452367,0.2593412,12.49102851,0.52729344,55.34260583,20.03631697,3.4080326,9.71677175,39.25463902,0.25911048
11,2856,4.728607,-74.05397,42,39,7,57.18282567,2.61187839,11.63463264,9.57688742,21.23611619,30.60182398,5.16100127,3.26612335,13.7498906,0.94568932,2.70338162,16.23555503,8.34595199,309.98299364,0.84024684,31.60783102,202.6222199,28.47963018,4.42787864,209.02170149,376.77117534,5.48868389,358.00938909,0.56691008,36.80700771,1.92003588,0.33714356,12.3138508,0.16048061,43.11575105,24.87835166,3.35969171,10.00538873,40.54167636,0.20339731
11,2856,4.728607,-74.05397,42,39,8,62.39730165,3.14392769,12.69558953,10.61680196,19.30556017,33.92474931,4.17795341,2.89285211,16.79627355,0.85971756,2.45761965,17.99850671,10.04605333,260.11616423,0.62340894,34.49013482,221.09924839,28.27474076,5.32985392,228.08229581,326.88017648,7.04517634,390.65610319,0.47571151,38.50318318,2.46452367,0.29824238,12.22526194,0.40120153,55.34260583,27.14699729,3.33552126,10.39021137,32.81945229,0.17067687
11,2856,4.728607,-74.05397,42,39,9,61.73316939,4.23221035,12.56046268,10.68935414,19.94907885,34.15658131,5.16100127,2.98616992,13.7498906,0.88837481,2.53954031,18.12150334,13.52353332,219.68359984,0.73182789,34.12303543,218.74595521,27.45518306,7.17480336,225.65467783,267.57578161,5.48868389,386.49811373,0.40176671,31.7184813,1.92003588,0.33714356,11.87090652,0.77947725,43.11575105,26.85805536,3.23883949,8.8509208,40.54167636,0.14414679
11,2856,4.728607,-74.05397,42,39,10,68.96598483,3.79689728,14.03207849,9.72199177,10.93981743,31.06548798,5.81636651,2.61289868,11.93852777,0.48717328,1.39265114,16.48154829,12.13254132,200.81506979,0.75893263,38.12097722,244.37478876,25.81606765,6.43682359,252.09295492,303.11135156,4.66947734,431.78121766,0.36725914,22.30470744,1.63346336,0.27230826,11.16219569,3.30131543,36.68056433,30.00481357,3.04547594,9.13953778,45.68982574,0.13176608
11,2856,4.728607,-74.05397,42,39,11,67.44574457,3.60342481,13.7227647,10.37496137,17.37500416,33.15197598,5.40676323,2.47292196,13.00887853,0.7737458,2.21185769,17.58851795,11.51432266,243.94313847,1.02998,37.28066378,238.98795359,20.07916373,6.10883257,246.53598563,303.58202136,4.9152393,422.26331992,0.44613359,19.84525301,1.71943512,0.2593412,8.68170776,2.8542623,38.61112035,29.34340743,2.36870351,15.87393404,42.47223238,0.16006484
