FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
11,2856,4.728607,-74.05397,42,39,0,0.0,0.0,0.0,0.0,3.91e-06,0.0,2.4e-07,0.0,8.63e-06,5.13e-06,9.5e-07,0.0,0.0,0.0,3.38e-06,6.86e-06,6.6e-07,3.71e-06,0.0,0.0,3.38e-05,0.0,0.0,2.93e-06,0.0,2.717e-05,0.0,5.8e-06,9.77e-06,0.0,1.53e-06,7.4e-06,0.0,0.0,6.6e-07
11,2856,4.728607,-74.05397,42,39,1,0.0,0.0,0.0,0.0,2.08e-06,0.0,2.2e-07,0.0,7.66e-06,5.43e-06,6.7e-07,0.0,0.0,0.0,5e-08,2.48e-06,3.5e-07,1.97e-06,0.0,0.0,2.371e-05,0.0,0.0,1.57e-06,0.0,1.359e-05,0.0,3.9e-07,1.006e-05,0.0,7.7e-07,5.62e-06,0.0,0.0,5.5e-07
11,2856,4.728607,-74.05397,42,39,2,0.0,0.0,0.0,0.0,1.7e-06,0.0,4.1e-07,0.0,1.459e-05,6.81e-06,6.4e-07,0.0,0.0,0.0,0.0,1.33e-06,2.9e-07,1.61e-06,0.0,0.0,2.274e-05,0.0,0.0,3.46e-06,0.0,9.92e-06,0.0,5.8e-07,1.065e-05,0.0,0.0,5.72e-06,0.0,0.0,5e-07
11,2856,4.728607,-74.05397,42,39,3,0.0,0.0,0.0,0.0,2.21e-06,0.0,3.8e-07,0.0,1.35e-05,1.006e-05,9e-07,0.0,0.0,0.0,1.93e-06,5.72e-06,3.7e-07,2.09e-06,0.0,0.0,3.198e-05,0.0,0.0,3.88e-06,0.0,1.251e-05,0.0,7.7e-07,1.707e-05,0.0,1.53e-06,8.78e-06,0.0,0.0,4.6e-07
11,2856,4.728607,-74.05397,42,39,4,0.0,0.0,0.0,0.0,4.94e-06,0.0,8e-07,0.0,2.821e-05,2.101e-05,1.99e-06,0.0,0.0,0.0,7.35e-06,4.686e-05,8.3e-07,4.68e-06,0.0,0.0,7.065e-05,0.0,0.0,1.676e-05,0.0,4.679e-05,0.0,2.534e-05,3.216e-05,0.0,1.683e-05,1.628e-05,0.0,2.7e-07,4.14e-06
11,2856,4.728607,-74.05397,42,39,5,0.0,0.0,0.0,0.0,2.522e-05,0.0,1.45e-06,0.0,5.156e-05,3.749e-05,4.9e-06,0.0,0.0,0.0,1.196e-05,0.00011164,4.26e-06,2.392e-05,0.0,0.0,0.00017376,0.0,0.0,3.907e-05,0.0,8e-05,0.0,8.764e-05,3.325e-05,0.0,4.463e-05,2.269e-05,0.0,2.23e-06,1.848e-05
11,2856,4.728607,-74.05397,42,39,6,0.0,0.0,0.0,0.0,4.495e-05,0.0,1.57e-06,0.0,5.557e-05,1.638e-05,3.53e-06,0.0,0.0,0.0,1.056e-05,0.00013183,7.6e-06,4.264e-05,0.0,0.0,0.00012525,0.0,0.0,3.928e-05,0.0,7.698e-05,0.0,0.00018766,4.54e-06,0.0,4.973e-05,4.34e-06,0.0,4.27e-06,3.022e-05
11,2856,4.728607,-74.05397,42,39,7,0.0,0.0,0.0,0.0,3.327e-05,0.0,1.23e-06,0.0,4.365e-05,7.5e-06,2.97e-06,0.0,0.0,0.0,9.33e-06,0.00013869,5.62e-06,3.156e-05,0.0,0.0,0.00010518,0.0,0.0,4.797e-05,0.0,8.022e-05,0.0,0.00027647,1.38e-06,0.0,5.483e-05,7.9e-07,0.0,5.7e-06,1.568e-05
11,2856,4.728607,-74.05397,42,39,8,0.0,0.0,0.0,0.0,3.734e-05,0.0,2.01e-06,0.0,7.138e-05,2.644e-05,3.99e-06,0.0,0.0,0.0,8.1e-06,0.00014536,6.31e-06,3.542e-05,0.0,0.0,0.0001413,0.0,0.0,5.572e-05,0.0,9.229e-05,0.0,0.00027008,3.45e-06,0.0,4.794e-05,3.35e-06,0.0,5.53e-06,1.024e-05
11,2856,4.728607,-74.05397,42,39,9,0.0,0.0,0.0,0.0,3.96e-05,0.0,1.86e-06,0.0,6.578e-05,1.687e-05,4.23e-06,0.0,0.0,0.0,6.33e-06,0.00013164,6.69e-06,3.756e-05,0.0,0.0,0.00014981,0.0,0.0,4.022e-05,0.0,0.000102,0.0,0.00022539,6.71e-06,0.0,4.412e-05,4.83e-06,0.0,4.47e-06,3.83e-06
11,2856,4.728607,-74.05397,42,39,10,0.0,0.0,0.0,0.0,4.093e-05,0.0,2.04e-06,0.0,7.223e-05,4.676e-05,6.45e-06,0.0,0.0,0.0,5.74e-06,0.00012554,6.92e-06,3.883e-05,0.0,0.0,0.00022848,0.0,0.0,4.766e-05,0.0,8e-05,0.0,0.00019173,2.841e-05,0.0,4.871e-05,1.569e-05,0.0,3.62e-06,3.76e-06
