FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
11,2856,4.728607,-74.05397,42,39,0,0.0,0.0,0.0,0.0,0.0,0.0,2.71e-06,0.0,0.0,0.0,1.062e-05,0.0,0.0,0.0,0.0,0.0,7.35e-06,4.096e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2856,4.728607,-74.05397,42,39,1,0.0,0.0,0.0,0.0,0.0,0.0,2.41e-06,0.0,0.0,0.0,7.45e-06,0.0,0.0,0.0,0.0,0.0,3.91e-06,2.177e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2856,4.728607,-74.05397,42,39,2,0.0,0.0,0.0,0.0,0.0,0.0,4.58e-06,0.0,0.0,0.0,7.14e-06,0.0,0.0,0.0,0.0,0.0,3.19e-06,1.779e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2856,4.728607,-74.05397,42,39,3,0.0,0.0,0.0,0.0,0.0,0.0,4.24e-06,0.0,0.0,0.0,1.005e-05,0.0,0.0,0.0,0.0,0.0,4.15e-06,2.313e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2856,4.728607,-74.05397,42,39,4,0.0,0.0,0.0,0.0,0.0,0.0,8.86e-06,0.0,0.0,0.0,2.22e-05,0.0,0.0,0.0,0.0,0.0,9.28e-06,5.175e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2856,4.728607,-74.05397,42,39,5,0.0,0.0,0.0,0.0,0.0,0.0,1.62e-05,0.0,0.0,0.0,5.46e-05,0.0,0.0,0.0,0.0,0.0,4.744e-05,0.00026445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2856,4.728607,-74.05397,42,39,6,0.0,0.0,0.0,0.0,0.0,0.0,1.746e-05,0.0,0.0,0.0,3.935e-05,0.0,0.0,0.0,0.0,0.0,8.455e-05,0.00047135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2856,4.728607,-74.05397,42,39,7,0.0,0.0,0.0,0.0,0.0,0.0,1.372e-05,0.0,0.0,0.0,3.305e-05,0.0,0.0,0.0,0.0,0.0,6.258e-05,0.00034885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2856,4.728607,-74.05397,42,39,8,0.0,0.0,0.0,0.0,0.0,0.0,2.243e-05,0.0,0.0,0.0,4.44e-05,0.0,0.0,0.0,0.0,0.0,7.023e-05,0.00039152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2856,4.728607,-74.05397,42,39,9,0.0,0.0,0.0,0.0,0.0,0.0,2.067e-05,0.0,0.0,0.0,4.707e-05,0.0,0.0,0.0,0.0,0.0,7.448e-05,0.00041521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2856,4.728607,-74.05397,42,39,10,0.0,0.0,0.0,0.0,0.0,0.0,2.27e-05,0.0,0.0,0.0,7.179e-05,0.0,0.0,0.0,0.0,0.0,7.7e-05,0.00042922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2856,4.728607,-74.05397,42,39,11,0.0,0.0,0.0,0.0,0.0,0.0,2.04e-05,0.0,0.0,0.0,6.644e-05,0.0,0.0,0.0,0.0,0.0,7.54e-05,0.0004203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2856,4.728607,-74.05397,42,39,12,0.0,0.0,0.0,0.0,0.0,0.0,2.434e-05,0.0,0.0,0.0,5.746e-05,0.0,0.0,0.0,0.0,0.0,7.515e-05,0.00041895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2856,4.728607,-74.05397,42,39,13,0.0,0.0,0.0,0.0,0.0,0.0,1.723e-05,0.0,0.0,0.0,6.174e-05,0.0,0.0,0.0,0.0,0.0,7.994e-05,0.00044562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2856,4.728607,-74.05397,42,39,14,0.0,0.0,0.0,0.0,0.0,0.0,2.334e-05,0.0,0.0,0.0,6.106e-05,0.0,0.0,0.0,0.0,0.0,8.401e-05,0.00046833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2856,4.728607,-74.05397,42,39,15,0.0,0.0,0.0,0.0,0.0,0.0,2.292e-05,0.0,0.0,0.0,6.507e-05,0.0,0.0,0.0,0.0,0.0,7.438e-05,0.00041462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2856,4.728607,-74.05397,42,39,16,0.0,0.0,0.0,0.0,0.0,0.0,2.075e-05,0.0,0.0,0.0,6.629e-05,0.0,0.0,0.0,0.0,0.0,7.545e-05,0.00042057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2856,4.728607,-74.05397,42,39,17,0.0,0.0,0.0,0.0,0.0,0.0,1.395e-05,0.0,0.0,0.0,4.956e-05,0.0,0.0,0.0,0.0,0.0,8.302e-05,0.00046279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2856,4.728607,-74.05397,42,39,18,0.0,0.0,0.0,0.0,0.0,0.0,1.15e-05,0.0,0.0,0.0,3.622e-05,0.0,0.0,0.0,0.0,0.0,8.282e-05,0.00046169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2856,4.728607,-74.05397,42,39,19,0.0,0.0,0.0,0.0,0.0,0.0,6.46e-06,0.0,0.0,0.0,3.072e-05,0.0,0.0,0.0,0.0,0.0,8.547e-05,0.00047647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2856,4.728607,-74.05397,42,39,20,0.0,0.0,0.0,0.0,0.0,0.0,5.2e-06,0.0,0.0,0.0,2.468e-05,0.0,0.0,0.0,0.0,0.0,7.903e-05,0.00044056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2856,4.728607,-74.05397,42,39,21,0.0,0.0,0.0,0.0,0.0,0.0,3.86e-06,0.0,0.0,0.0,2.254e-05,0.0,0.0,0.0,0.0,0.0,6.163e-05,0.00034353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2856,4.728607,-74.05397,42,39,22,0.0,0.0,0.0,0.0,0.0,0.0,3.82e-06,0.0,0.0,0.0,1.528e-05,0.0,0.0,0.0,0.0,0.0,3.3e-05,0.00018394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2856,4.728607,-74.05397,42,39,23,0.0,0.0,0.0,0.0,0.0,0.0,3.17e-06,0.0,0.0,0.0,1.173e-05,0.0,0.0,0.0,0.0,0.0,1.472e-05,8.205e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
