FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
11,2856,4.728607,-74.05397,42,39,0,2.62e-05,0.00031912,4.828e-05,5.3e-07,0.00051823,0.00079106,8.721e-05,0.00305417,0.00111374,0.00066197,0.00034147,0.00239475,0.00231377,0.00734468,0.00045258,0.00088578,0.00056258,0.00352742,3.459e-05,1.233e-05,0.00436083,1.243e-05,0.00160421,0.00037845,0.00650351,0.00350521,0.01950411,0.00074968,0.00126028,0.00222196,0.00019742,0.00095476,1.817e-05,0.0,8.482e-05
11,2856,4.728607,-74.05397,42,39,1,1.991e-05,0.00017096,3.387e-05,4.4e-07,0.00027539,0.00042037,7.738e-05,0.00314672,0.00098825,0.00070016,0.00023952,0.00127259,0.00175846,0.00385936,7.18e-06,0.00031987,0.00029896,0.00187449,3.563e-05,1.094e-05,0.00305886,6.66e-06,0.00169676,0.00020274,0.00541048,0.0017526,0.0103646,4.998e-05,0.00129847,0.00118076,9.871e-05,0.00072562,1.921e-05,0.0,7.056e-05
11,2856,4.728607,-74.05397,42,39,2,2.026e-05,0.00037611,3.248e-05,4e-07,0.0002251,0.00034361,0.0001474,0.00333182,0.00188237,0.00087838,0.00022969,0.00104019,0.00178931,0.00292427,0.0,0.00017224,0.00024437,0.00153218,3.773e-05,2.084e-05,0.00293337,1.465e-05,0.00212866,0.00044603,0.00491862,0.00127968,0.00847188,7.497e-05,0.00137485,0.00096514,0.0,0.00073835,2.411e-05,0.0,6.415e-05
11,2856,4.728607,-74.05397,42,39,3,3.109e-05,0.0004217,4.568e-05,3.7e-07,0.00029262,0.00044666,0.00013634,0.00533709,0.0017412,0.00129847,0.00032305,0.00135217,0.00274567,0.00340032,0.00025862,0.00073815,0.00031766,0.00199172,6.044e-05,1.928e-05,0.00412554,1.643e-05,0.00314672,0.0005001,0.00459071,0.00161351,0.01101279,9.996e-05,0.00220231,0.00125461,0.00019742,0.00113298,3.563e-05,0.0,5.987e-05
11,2856,4.728607,-74.05397,42,39,4,5.764e-05,0.00182355,0.0001009,3.32e-06,0.00065464,0.00099927,0.00028497,0.01005717,0.00363926,0.00271151,0.00071365,0.00302508,0.00509028,0.00822877,0.00098419,0.00605286,0.00071066,0.00445587,0.00011389,4.029e-05,0.00911382,7.103e-05,0.00657109,0.00216258,0.04098851,0.00603674,0.0246378,0.00327361,0.00415001,0.0028068,0.00217164,0.00210047,7.441e-05,3.786e-05,0.00053455
11,2856,4.728607,-74.05397,42,39,5,8.035e-05,0.00425115,0.00024818,1.482e-05,0.00334553,0.00510677,0.00052081,0.01039652,0.00665105,0.00483744,0.00175526,0.01545965,0.00709555,0.04284399,0.001602,0.01441861,0.00363183,0.0227717,0.00011774,7.364e-05,0.02241593,0.0001656,0.01172308,0.00504152,0.18280877,0.01032088,0.1259114,0.01132019,0.00429005,0.01434416,0.00575814,0.00292792,0.00013276,0.00031663,0.0023841
11,2856,4.728607,-74.05397,42,39,6,1.537e-05,0.00427395,0.00017888,2.424e-05,0.00596306,0.00910228,0.00056134,0.00141911,0.00716871,0.0021132,0.00126516,0.02755518,0.00135741,0.12035422,0.00141522,0.01702675,0.00647335,0.04058814,1.607e-05,7.937e-05,0.01615704,0.00016649,0.00512113,0.00506855,0.29894289,0.00993142,0.2244237,0.02423971,0.00058558,0.02556695,0.00641622,0.00056012,5.799e-05,0.00060574,0.00389867
11,2856,4.728607,-74.05397,42,39,7,2.79e-06,0.00521991,0.00015023,1.258e-05,0.00441335,0.00673673,0.00044096,0.0004319,0.00563143,0.00096749,0.00106249,0.020394,0.0002468,0.12479163,0.00124999,0.01791254,0.00479103,0.03003989,4.89e-06,6.235e-05,0.01356878,0.00020334,0.00234462,0.00619039,0.15515518,0.0103487,0.16609934,0.03570984,0.00017822,0.01892248,0.00707429,0.00010184,2.655e-05,0.00080879,0.00202346
11,2856,4.728607,-74.05397,42,39,8,1.188e-05,0.0060633,0.00020181,8.22e-06,0.00495311,0.00756065,0.00072102,0.00107976,0.00920794,0.00341167,0.0014273,0.02288824,0.00104891,0.09641599,0.00108476,0.01877371,0.00537698,0.03371384,1.223e-05,0.00010194,0.01822765,0.00023619,0.00826785,0.00719058,0.1013236,0.01190657,0.18641369,0.03488519,0.00044555,0.02123674,0.00618589,0.00043282,9.363e-05,0.0007847,0.00132141
11,2856,4.728607,-74.05397,42,39,9,1.712e-05,0.00437652,0.00021396,3.08e-06,0.00525279,0.00801809,0.00066452,0.00209781,0.00848637,0.00217685,0.00151328,0.02427304,0.00151166,0.07495999,0.00084769,0.01700215,0.0057023,0.03575363,2.376e-05,9.396e-05,0.0193257,0.00017048,0.00527538,0.00519019,0.03792804,0.01315843,0.19769224,0.02911264,0.00086565,0.02252163,0.00569234,0.00062378,5.974e-05,0.00063327,0.00049464
11,2856,4.728607,-74.05397,42,39,10,5.555e-05,0.00518572,0.00032633,3.02e-06,0.00543001,0.00828861,0.00072962,0.00888486,0.00931775,0.00603407,0.002308,0.02509198,0.00490518,0.07701718,0.00076867,0.01621478,0.00589469,0.03695991,0.00010062,0.00010316,0.02947483,0.000202,0.014623,0.00614984,0.03721757,0.01032088,0.20436215,0.02476448,0.00366627,0.02328148,0.0062846,0.00202409,0.0001656,0.00051281,0.00048537
11,2856,4.728607,-74.05397,42,39,11,3.703e-05,0.00463866,0.00030201,3.13e-06,0.0053172,0.00811641,0.00065592,0.0076817,0.00837656,0.00437916,0.00213604,0.02457069,0.00327012,0.07693217,0.00084051,0.01471387,0.00577223,0.03619206,8.699e-05,9.274e-05,0.02727873,0.00018069,0.01061247,0.00550107,0.0386385,0.00865174,0.20011648,0.0240148,0.0031698,0.0227978,0.00585685,0.00134939,0.00012018,0.00047839,0.0005039
11,2856,4.728607,-74.05397,42,39,12,6.009e-05,0.00500337,0.0002612,4.65e-06,0.00530015,0.00809039,0.00078244,0.00629344,0.00999227,0.00482471,0.00184738,0.0244919,0.00530623,0.07414391,0.00094827,0.01382808,0.00575372,0.036076,7.127e-05,0.00011063,0.02359241,0.0001949,0.01169223,0.00593358,0.05738392,0.00959759,0.19947477,0.02398981,0.00259694,0.0227247,0.00585685,0.00218958,0.00013241,0.00041644,0.00074837
11,2856,4.728607,-74.05397,42,39,13,2.9e-05,0.00501476,0.00028065,7.3e-06,0.00563755,0.0086054,0.00055397,0.00885401,0.00707459,0.00474833,0.00198496,0.026051,0.00256057,0.07240975,0.00083333,0.014394,0.00611999,0.03837252,0.00010027,7.833e-05,0.0253493,0.00019534,0.01150713,0.0059471,0.09006543,0.00987578,0.21217287,0.02363996,0.00365354,0.0241713,0.00565943,0.0010566,0.00013031,0.00038547,0.00117459
11,2856,4.728607,-74.05397,42,39,14,3.529e-05,0.00395482,0.00027753,1.063e-05,0.00592482,0.00904391,0.0007505,0.00777425,0.00958442,0.004481,0.00196285,0.0273785,0.00311587,0.0729708,0.00080459,0.01375427,0.00643185,0.04032789,8.804e-05,0.00010611,0.02506694,0.00015406,0.01085927,0.0046901,0.13105394,0.00926376,0.22298472,0.02561412,0.00320799,0.02540301,0.00615299,0.00128574,0.00012298,0.00041644,0.00170914
