FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
11,2856,4.728607,-74.05397,42,39,0,0.00018761,0.00560035,0.00034569,3.78e-06,0.00477614,0.00566396,0.00141402,0.0535986,0.00979853,0.0058239,0.00553658,0.01714644,0.040605,0.12936269,0.004245,0.00780919,0.00956454,0.060242,0.00024764,8.829e-05,0.03836608,8.901e-05,0.0281528,0.00332957,0.11413187,0.03083835,0.1396495,0.00660906,0.0110878,0.03899634,0.0017369,0.00839985,0.00013007,0.0,0.0007462
11,2856,4.728607,-74.05397,42,39,1,0.00014258,0.00300019,0.00024248,3.14e-06,0.00253807,0.00300986,0.00125469,0.0552228,0.00869447,0.00615989,0.00388357,0.00911172,0.0308598,0.0679753,6.738e-05,0.00281998,0.00508265,0.03201295,0.00025514,7.834e-05,0.02691146,4.768e-05,0.029777,0.0017837,0.09495004,0.01541918,0.07421055,0.0004406,0.0114238,0.02072288,0.00086845,0.00638389,0.00013758,0.0,0.00062079
11,2856,4.728607,-74.05397,42,39,2,0.00014508,0.00660042,0.00023253,2.86e-06,0.00207458,0.00246022,0.00238989,0.0584712,0.0165609,0.00772786,0.00372424,0.00744779,0.0314012,0.05150552,0.0,0.00151845,0.00415449,0.02616693,0.00027015,0.00014922,0.0258074,0.0001049,0.0373566,0.00392414,0.08631822,0.01125845,0.06065866,0.00066091,0.01209578,0.01693859,0.0,0.00649588,0.0001726,0.0,0.00056435
11,2856,4.728607,-74.05397,42,39,3,0.00022263,0.00740047,0.00032704,2.67e-06,0.0026968,0.0031981,0.00221065,0.0936622,0.01531883,0.0114238,0.00523784,0.00968155,0.0481846,0.05989014,0.00242571,0.00650765,0.00540052,0.03401501,0.00043274,0.00013803,0.03629597,0.00011762,0.0552228,0.00439979,0.08056367,0.01419543,0.07885161,0.00088121,0.01937565,0.02201887,0.0017369,0.00996782,0.00025514,0.0,0.00052673
11,2856,4.728607,-74.05397,42,39,4,0.00041273,0.03200202,0.00072246,2.38e-05,0.00603327,0.00715478,0.00462045,0.1764964,0.03201774,0.02385557,0.01157104,0.02165956,0.089331,0.14493413,0.00923119,0.05336277,0.01208202,0.07609832,0.00081546,0.00028849,0.08018235,0.00050861,0.1153182,0.01902614,0.71931848,0.0531105,0.1764067,0.02885956,0.03651135,0.04926058,0.01910589,0.01847967,0.0005328,0.00038622,0.00470292
11,2856,4.728607,-74.05397,42,39,5,0.00057532,0.07460472,0.00177693,0.00010615,0.03083299,0.03656446,0.00844427,0.1824518,0.05851518,0.04255924,0.02845959,0.11069111,0.124522,0.7546157,0.01502594,0.12711619,0.06174515,0.38890026,0.00084298,0.00052724,0.1972127,0.00118571,0.20573201,0.04435469,3.20816044,0.09080182,0.90152594,0.09979681,0.03774332,0.25174607,0.05065956,0.02575954,0.00095054,0.00323023,0.02097502
11,2856,4.728607,-74.05397,42,39,6,0.00011006,0.07500474,0.00128079,0.00017358,0.05495653,0.06517227,0.00910149,0.0249044,0.06306942,0.01859167,0.02051321,0.19729516,0.0238216,2.11981134,0.01327404,0.1501099,0.11005418,0.69317342,0.00011506,0.00056827,0.14214771,0.00119207,0.0898724,0.04459251,5.24622948,0.08737533,1.60687426,0.21369295,0.00515191,0.44871063,0.05644922,0.00492791,0.00041523,0.00617957,0.03429996
11,2856,4.728607,-74.05397,42,39,7,2.001e-05,0.09160579,0.00107561,9.009e-05,0.04067415,0.04823497,0.00714975,0.0075796,0.04954469,0.00851185,0.01722711,0.1460211,0.0043312,2.19796797,0.01172428,0.15791908,0.08145274,0.51302802,3.502e-05,0.00044641,0.11937648,0.00145591,0.0411464,0.05446232,2.72286024,0.09104657,1.18927167,0.31481157,0.00156797,0.33209745,0.06223888,0.00089598,0.00019011,0.00825113,0.01780212
11,2856,4.728607,-74.05397,42,39,8,8.505e-05,0.10640673,0.00144492,5.883e-05,0.0456487,0.05413422,0.01169054,0.018949,0.0810104,0.03001546,0.02314209,0.16387983,0.0184076,1.69818479,0.01017452,0.16551135,0.09141461,0.57577259,8.755e-05,0.00072992,0.1603647,0.00169114,0.1450952,0.06326191,1.77815529,0.1047525,1.33472249,0.3075416,0.00391993,0.37271378,0.05442284,0.00380793,0.00067038,0.00800536,0.01162562
11,2856,4.728607,-74.05397,42,39,9,0.00012257,0.07680485,0.00153197,2.202e-05,0.04841057,0.0574095,0.01077441,0.0368152,0.07466205,0.01915166,0.02453619,0.17379502,0.0265286,1.32027803,0.00795095,0.14989298,0.09694545,0.61060845,0.0001701,0.00067272,0.17002523,0.00122068,0.0925794,0.04566273,0.66560937,0.1157662,1.41547694,0.25665184,0.00761586,0.395264,0.05008059,0.0054879,0.00042774,0.00646046,0.00435177
