FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
11,2856,4.728607,-74.05397,42,39,0,4.07e-05,5.5e-07,0.00032331,3.27e-06,3.43e-06,0.00068243,8.4e-07,3.301e-05,8.498e-05,0.00027976,2.4e-07,9e-07,0.00011494,3.226e-05,0.0001478,1.91e-06,3.774e-05,7.6e-07,1.5e-07,3.026e-05,7.921e-05,2.6e-07,0.00020755,2.427e-05,0.00016407,0.00029724,0.0,1.57e-06,0.0006924,3.65e-06,4.63e-06,0.00013623,0.00065575,1.202e-05,9e-08
11,2856,4.728607,-74.05397,42,39,1,3.065e-05,5.5e-07,0.00024353,3.51e-06,3.22e-06,0.00073271,6.5e-07,3.301e-05,7.284e-05,0.00026227,2.3e-07,9.7e-07,0.00011494,2.432e-05,0.0,1.44e-06,2.843e-05,6.9e-07,1.5e-07,2.279e-05,7.001e-05,1.8e-07,0.00015633,1.829e-05,0.0,0.00020982,0.0,1.43e-06,0.00071338,2.58e-06,3.49e-06,0.00012385,0.00017487,9.23e-06,7e-08
11,2856,4.728607,-74.05397,42,39,2,2.927e-05,1.03e-06,0.00023253,2.92e-06,2.36e-06,0.0006106,5.9e-07,9.904e-05,1.214e-05,0.00019233,1.7e-07,8.1e-07,0.0002155,2.283e-05,0.0,1.38e-06,2.714e-05,7.6e-07,2.8e-07,2.177e-05,5.193e-05,3.6e-07,0.00014927,1.717e-05,1.262e-05,0.00041964,0.0,1.57e-06,0.00075535,5.15e-06,3.33e-06,0.00013623,0.00016029,8.37e-06,7e-08
11,2856,4.728607,-74.05397,42,39,3,2.912e-05,9.3e-07,0.00023135,3.2e-06,5.15e-06,0.00066806,9.3e-07,6.603e-05,7.284e-05,0.00041964,3.6e-07,8.8e-07,0.00019395,2.085e-05,0.0,1.37e-06,2.7e-05,6.2e-07,2.6e-07,2.165e-05,6.31e-05,3.2e-07,0.00014852,1.568e-05,1.262e-05,0.00036718,0.0,1.29e-06,0.00120996,4.51e-06,3.32e-06,0.00011146,0.00017487,1.331e-05,6e-08
11,2856,4.728607,-74.05397,42,39,4,2.522e-05,2.13e-06,0.00020037,5.06e-06,8.37e-06,0.00105597,1.32e-06,0.00056122,0.00050988,0.00068191,5.9e-07,1.39e-06,0.00044538,3.921e-05,0.00012257,1.19e-06,2.339e-05,3.8e-06,5.9e-07,1.875e-05,5.061e-05,8.6e-07,0.00012862,2.949e-05,0.00041648,0.00099664,0.0,7.87e-06,0.00228003,1.223e-05,2.87e-06,0.00068117,0.00087433,1.889e-05,1.1e-07
11,2856,4.728607,-74.05397,42,39,5,4.364e-05,4.03e-06,0.00034667,1.046e-05,1.223e-05,0.00218378,2e-06,0.00174969,0.00207592,0.00099664,8.6e-07,2.88e-06,0.00084047,8.984e-05,0.00025235,2.05e-06,4.046e-05,7.39e-06,1.11e-06,3.245e-05,0.00020575,1.58e-06,0.00022254,6.758e-05,0.0014009,0.00183591,1.614e-05,1.531e-05,0.00235696,2.254e-05,4.97e-06,0.00132519,0.00147179,2.855e-05,2.6e-07
11,2856,4.728607,-74.05397,42,39,6,0.00010152,5.99e-06,0.00080656,1.411e-05,7.08e-06,0.00294522,9.2e-07,0.00260803,0.00296214,0.000577,5e-07,3.88e-06,0.00124992,0.00014543,0.00016583,4.77e-06,9.415e-05,9.74e-06,1.65e-06,7.549e-05,0.00047953,1.29e-06,0.00051777,0.00010939,0.00311732,0.0015037,2.484e-05,2.018e-05,0.00032172,1.846e-05,1.156e-05,0.00174628,0.00147179,1.309e-05,4.2e-07
11,2856,4.728607,-74.05397,42,39,7,0.00012606,3.72e-06,0.00100147,1.362e-05,7.08e-06,0.00284466,9.5e-07,0.00231091,0.00202736,0.000577,5e-07,3.75e-06,0.00077582,0.00011416,0.00011175,5.93e-06,0.0001169,9.61e-06,1.02e-06,9.374e-05,0.0005262,1.01e-06,0.00064289,8.587e-05,0.00547739,0.00117149,3.229e-05,1.989e-05,9.792e-05,1.438e-05,1.435e-05,0.00172151,0.00151551,1.352e-05,3.3e-07
11,2856,4.728607,-74.05397,42,39,8,0.00013755,4.47e-06,0.0010928,1.51e-05,6.44e-06,0.00315355,7.7e-07,0.00204681,0.00247654,0.00052455,4.5e-07,4.16e-06,0.00093385,9.58e-05,8.291e-05,6.47e-06,0.00012756,9.54e-06,1.23e-06,0.00010229,0.00045652,1.29e-06,0.00070151,7.206e-05,0.00572981,0.0015037,2.856e-05,1.975e-05,0.00024479,1.846e-05,1.566e-05,0.00170913,0.0015738,1.095e-05,2.8e-07
11,2856,4.728607,-74.05397,42,39,9,0.00013609,6.02e-06,0.00108116,1.521e-05,6.65e-06,0.0031751,9.5e-07,0.00211284,0.00202736,0.00054203,4.7e-07,4.19e-06,0.00125711,8.091e-05,9.733e-05,6.4e-06,0.0001262,9.26e-06,1.66e-06,0.0001012,0.00037369,1.01e-06,0.00069405,6.086e-05,0.00472015,0.00117149,3.229e-05,1.918e-05,0.00047559,1.438e-05,1.55e-05,0.00165959,0.00134064,1.352e-05,2.3e-07
