FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
11,2856,4.728607,-74.05397,42,39,0,0.01701402,0.00021333,0.01095985,0.00126667,0.0012223,0.00659645,0.00124265,0.00015849,0.00122787,0.00094429,0.00035504,0.00076494,0.00111098,0.0100063,0.00719183,0.00157846,0.03113464,0.00046469,0.00012883,0.06593236,0.01051483,0.00037723,0.18319711,0.00026394,0.00228034,0.00100331,0.0,0.00053882,0.00233712,0.0012987,0.00382277,0.00073991,0.00789347,0.00427806,3.178e-05
11,2856,4.728607,-74.05397,42,39,1,0.0128155,0.00021333,0.00825531,0.00136,0.00114591,0.00708251,0.00095418,0.00015849,0.00105246,0.00088527,0.00033285,0.0008213,0.00111098,0.00754321,0.0,0.00118895,0.02345161,0.00042244,0.00012883,0.04966237,0.00929319,0.00026628,0.13798996,0.00019897,0.0,0.00070822,0.0,0.00048984,0.00240794,0.00091673,0.00287943,0.00067265,0.00210493,0.00328494,2.396e-05
11,2856,4.728607,-74.05397,42,39,2,0.01223689,0.0004,0.00788259,0.00113333,0.00084033,0.00590209,0.00086542,0.00047548,0.00017541,0.0006492,0.00024409,0.00068442,0.00208309,0.00708138,0.0,0.00113527,0.02239279,0.00046469,0.00024156,0.04742015,0.00689354,0.00053256,0.13175981,0.00018679,0.00017541,0.00141644,0.0,0.00053882,0.00254958,0.00183345,0.00274943,0.00073991,0.00192951,0.00297936,2.249e-05
11,2856,4.728607,-74.05397,42,39,3,0.01217473,0.00036,0.00784255,0.00124,0.00183345,0.00645758,0.00137579,0.00031699,0.00105246,0.00141644,0.00053256,0.00074884,0.00187478,0.00646561,0.0,0.0011295,0.02227903,0.0003802,0.0002174,0.04717925,0.00837696,0.00046599,0.13109046,0.00017055,0.00017541,0.00123938,0.0,0.00044085,0.00408406,0.00160427,0.00273546,0.00060538,0.00210493,0.00473642,2.054e-05
11,2856,4.728607,-74.05397,42,39,4,0.0105441,0.00082667,0.00679215,0.00196,0.00297936,0.01020714,0.00195274,0.00269438,0.00736724,0.00230171,0.00086542,0.00118364,0.00430505,0.0121615,0.00596396,0.00097822,0.01929508,0.00232344,0.00049922,0.04086027,0.00671902,0.00126484,0.11353278,0.00032079,0.00578854,0.00336404,0.0,0.0026941,0.00769597,0.00435445,0.00236909,0.00369956,0.01052463,0.00672267,3.863e-05
11,2856,4.728607,-74.05397,42,39,5,0.01824296,0.00156,0.0117515,0.00405333,0.00435445,0.02110864,0.00295129,0.00840011,0.02999519,0.00336404,0.00126484,0.00244781,0.00812405,0.02786369,0.01227873,0.00169248,0.03338355,0.00452015,0.00094208,0.07069475,0.02731239,0.00232997,0.19642973,0.00073498,0.01947056,0.00619691,0.00228034,0.00524125,0.00795565,0.00802136,0.0040989,0.00719732,0.01771645,0.01016039,8.851e-05
11,2856,4.728607,-74.05397,42,39,6,0.04244418,0.00232,0.0273411,0.00546666,0.002521,0.0284689,0.0013536,0.01252092,0.04280015,0.0019476,0.00073228,0.00330132,0.01208192,0.04510532,0.00806888,0.00393773,0.07767034,0.00595645,0.00140105,0.1644788,0.06365618,0.00190836,0.4570145,0.00118977,0.04332638,0.00507556,0.00350821,0.00690669,0.00108593,0.00656988,0.00953652,0.00948432,0.01771645,0.00466003,0.00014327
11,2856,4.728607,-74.05397,42,39,7,0.05270137,0.00144,0.03394843,0.00528,0.002521,0.02749679,0.00139798,0.01109449,0.02929354,0.0019476,0.00073228,0.00318859,0.00749912,0.0354069,0.00543772,0.00488934,0.09644038,0.00587196,0.00086962,0.20422723,0.06985164,0.00148674,0.56745795,0.00093395,0.07612813,0.00395422,0.00456067,0.00680873,0.0003305,0.00511839,0.01184114,0.00934979,0.01824269,0.00481282,0.00011246
11,2856,4.728607,-74.05397,42,39,8,0.05750718,0.00173333,0.03704417,0.00585333,0.00229182,0.03048255,0.0011317,0.00982655,0.03578373,0.00177054,0.00066571,0.00353483,0.00902672,0.02971101,0.00403444,0.00533519,0.10523474,0.00582972,0.00104676,0.22285062,0.06060208,0.00190836,0.61920418,0.0007837,0.07963634,0.00507556,0.00403444,0.00675974,0.00082625,0.00656988,0.01292093,0.00928253,0.01894433,0.00389609,9.437e-05
11,2856,4.728607,-74.05397,42,39,9,0.0568951,0.00233333,0.03664989,0.00589333,0.00236821,0.03069086,0.00139798,0.01014353,0.02929354,0.00182956,0.0006879,0.00355898,0.01215136,0.02509272,0.00473608,0.00527841,0.10411466,0.00566074,0.0014091,0.22047869,0.04960732,0.00148674,0.61261362,0.00066189,0.06560351,0.00395422,0.00456067,0.00656381,0.00160529,0.00511839,0.0127834,0.00901347,0.01613776,0.00481282,7.97e-05
11,2856,4.728607,-74.05397,42,39,10,0.06356107,0.00209333,0.04094388,0.00536,0.0012987,0.0279134,0.0015755,0.00887559,0.02543451,0.00100331,0.00037723,0.0032369,0.0109015,0.02293752,0.00491149,0.00589684,0.116313,0.00532279,0.00126416,0.24631053,0.05619545,0.00126484,0.68438899,0.00060504,0.04613295,0.00336404,0.00368362,0.00617194,0.00679889,0.00435445,0.01428114,0.00847535,0.01666399,0.00542397,7.286e-05
11,2856,4.728607,-74.05397,42,39,11,0.06215997,0.00198667,0.04004134,0.00572,0.00206264,0.02978819,0.00146455,0.00840011,0.02771485,0.00159349,0.00059914,0.00345431,0.01034601,0.02786369,0.0066656,0.00576685,0.11374907,0.00413995,0.00119975,0.24088102,0.05628271,0.00133141,0.66930278,0.00073498,0.04104604,0.00354109,0.00350821,0.0048004,0.00587821,0.00458364,0.01396633,0.00659194,0.02894272,0.005042,8.851e-05
11,2856,4.728607,-74.05397,42,39,12,0.05496799,0.00144,0.03540851,0.0044,0.00160427,0.02291399,0.00168645,0.0085586,0.02736403,0.00123938,0.00046599,0.00265716,0.00749912,0.024323,0.00631478,0.00509962,0.10058817,0.00506932,0.00086962,0.2130108,0.07207677,0.00117608,0.59186364,0.00064158,0.04595754,0.00312796,0.00473608,0.00587804,0.00481588,0.00404888,0.01235041,0.00807176,0.023505,0.00580594,7.726e-05
11,2856,4.728607,-74.05397,42,39,13,0.06141878,0.00130667,0.03956389,0.00490666,0.00290297,0.02555257,0.00177521,0.0087171,0.02666239,0.00224269,0.00084323,0.00296314,0.00680476,0.03202016,0.00491149,0.00569809,0.11239273,0.00570299,0.0007891,0.23800876,0.07582895,0.00146455,0.66132201,0.00084461,0.0487641,0.0038952,0.00420985,0.00661279,0.00677529,0.005042,0.0137998,0.00908073,0.01806728,0.00611151,0.00010171
11,2856,4.728607,-74.05397,42,39,14,0.05928127,0.00136,0.03818698,0.00321333,0.00221542,0.01673416,0.00148674,0.00760765,0.02385582,0.00171153,0.00064352,0.00194053,0.00708251,0.02247569,0.00578854,0.00549978,0.10848121,0.00629441,0.0008213,0.22972552,0.06963349,0.00142017,0.63830652,0.00059285,0.05104444,0.00377716,0.00456067,0.00729856,0.00594903,0.00488921,0.01331953,0.01002244,0.01666399,0.00511839,7.139e-05
11,2856,4.728607,-74.05397,42,39,15,0.07183377,0.00221333,0.04627287,0.00365333,0.00534757,0.01902555,0.00201931,0.00840011,0.0268378,0.00413127,0.00155331,0.00220625,0.01152643,0.02832552,0.00596396,0.00666433,0.13145154,0.00659012,0.00133663,0.2783687,0.07107328,0.00122046,0.7734646,0.00074716,0.05385101,0.003246,0.00438526,0.00764145,0.00597264,0.00420167,0.01613988,0.01049329,0.02034761,0.00695185,8.997e-05
11,2856,4.728607,-74.05397,42,39,16,0.07379913,0.0016,0.04753889,0.00261333,0.00267379,0.01360952,0.00126484,0.00744916,0.02332959,0.00206564,0.00077666,0.00157819,0.00833236,0.02155203,0.00543772,0.00684667,0.13504804,0.00646339,0.00096624,0.28598483,0.0690663,0.00088761,0.79462649,0.00056849,0.04244933,0.00236073,0.00438526,0.0074945,0.00460342,0.00305576,0.01658146,0.0102915,0.01613776,0.00435445,6.846e-05
11,2856,4.728607,-74.05397,42,39,17,0.07210155,0.00162667,0.04644537,0.00233333,0.002521,0.01215136,0.00099856,0.00776614,0.02104925,0.0019476,0.00073228,0.0014091,0.00847123,0.01770345,0.00543772,0.00668918,0.13194158,0.0059987,0.00098234,0.27940642,0.06832459,0.00066571,0.77634797,0.00046697,0.04823787,0.00177054,0.00438526,0.00695568,0.00073183,0.00229182,0.01620004,0.00955159,0.01315578,0.00343773,5.623e-05
11,2856,4.728607,-74.05397,42,39,18,0.07249845,0.00112,0.04670104,0.00178667,0.00168067,0.00930447,0.00093199,0.00824162,0.02280336,0.0012984,0.00048818,0.00107897,0.00583265,0.01831922,0.0066656,0.006726,0.13266788,0.00582972,0.00067637,0.28094447,0.05383943,0.0002219,0.78062154,0.00048322,0.04999198,0.00059018,0.00298198,0.00675974,0.00025968,0.00076394,0.01628922,0.00928253,0.01648858,0.00320854,5.819e-05
