FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
11,2856,4.728607,-74.05397,42,39,0,0.00010155,7.177e-05,0.00013167,3.53e-06,0.00056174,8.09e-05,5.569e-05,0.00046147,0.00029,0.00018726,0.00021804,0.00019593,0.0003496,0.00107704,0.00065071,0.00037183,0.00087205,0.00938968,0.00013404,3.363e-05,0.00113549,8.322e-05,0.00024239,0.00011427,0.0011115,0.00130142,0.00159579,0.00030986,0.00035651,0.00337933,5.77e-05,0.00027008,7.041e-05,0.0,2.932e-05
11,2856,4.728607,-74.05397,42,39,1,7.718e-05,3.845e-05,9.236e-05,2.94e-06,0.00029851,4.299e-05,4.941e-05,0.00047546,0.00025732,0.00019806,0.00015294,0.00010412,0.0002657,0.00056594,1.033e-05,0.00013427,0.00046341,0.00498973,0.00013811,2.984e-05,0.00079648,4.458e-05,0.00025637,6.122e-05,0.0009247,0.00065071,0.00084801,2.066e-05,0.00036731,0.0017958,2.885e-05,0.00020526,7.447e-05,0.0,2.439e-05
11,2856,4.728607,-74.05397,42,39,2,7.853e-05,8.458e-05,8.857e-05,2.67e-06,0.000244,3.514e-05,9.412e-05,0.00050342,0.00049014,0.00024848,0.00014667,8.511e-05,0.00027036,0.00042882,0.0,7.23e-05,0.00037878,0.00407854,0.00014623,5.684e-05,0.0007638,9.808e-05,0.00032163,0.00013468,0.00084063,0.00047512,0.00069315,3.099e-05,0.00038892,0.00146786,0.0,0.00020886,9.342e-05,0.0,2.217e-05
11,2856,4.728607,-74.05397,42,39,3,0.0001205,9.484e-05,0.00012457,2.49e-06,0.00031718,4.568e-05,8.706e-05,0.00080641,0.00045338,0.00036731,0.00020627,0.00011063,0.00041486,0.00049863,0.00037183,0.00030986,0.00049239,0.00530179,0.00023424,5.257e-05,0.00107422,0.00010997,0.00047546,0.00015101,0.00078459,0.00059907,0.00090105,4.131e-05,0.00062299,0.0019081,5.77e-05,0.0003205,0.00013811,0.0,2.07e-05
11,2856,4.728607,-74.05397,42,39,4,0.00022341,0.0004101,0.00027519,2.225e-05,0.0007096,0.0001022,0.00018196,0.00151959,0.0009476,0.00076704,0.00045569,0.00024751,0.00076912,0.00120668,0.00141504,0.00254087,0.00110158,0.01186114,0.0004414,0.00010989,0.00237309,0.00047553,0.00099286,0.000653,0.00700527,0.00224134,0.00201582,0.00135306,0.00117396,0.00426881,0.00063468,0.00059418,0.0002884,0.00011362,0.00018478
11,2856,4.728607,-74.05397,42,39,5,0.00031141,0.00095605,0.00067684,9.924e-05,0.0036264,0.00052228,0.00033255,0.00157087,0.00173182,0.00136842,0.00112078,0.00126488,0.0010721,0.00628272,0.00230331,0.00605264,0.00562961,0.06061635,0.00045629,0.00020083,0.00583674,0.00110857,0.0017713,0.0015223,0.03124352,0.00383196,0.01030184,0.00467892,0.00121357,0.02181573,0.00168287,0.00082825,0.00051451,0.00095024,0.00082413
11,2856,4.728607,-74.05397,42,39,6,5.958e-05,0.00096118,0.00048786,0.00016229,0.00646367,0.00093091,0.00035843,0.00021442,0.00186661,0.00059778,0.00080784,0.00225452,0.0002051,0.01764896,0.00203476,0.00714749,0.01003417,0.1080422,6.228e-05,0.00021646,0.00420702,0.00111452,0.00077378,0.00153046,0.0510918,0.00368736,0.01836194,0.01001887,0.00016565,0.03888422,0.0018752,0.00015845,0.00022476,0.00181786,0.00134768
11,2856,4.728607,-74.05397,42,39,7,1.083e-05,0.00117392,0.0004097,8.423e-05,0.00478386,0.00068898,0.00028157,6.526e-05,0.00146633,0.00027368,0.00067843,0.0016686,3.729e-05,0.01829967,0.0017972,0.00751932,0.00742644,0.07996365,1.896e-05,0.00017004,0.00353308,0.0013612,0.00035426,0.0018692,0.0265173,0.00384229,0.01358995,0.01475976,5.042e-05,0.02877879,0.00206753,2.881e-05,0.0001029,0.00242725,0.00069946
11,2856,4.728607,-74.05397,42,39,8,4.604e-05,0.00136359,0.00055038,5.501e-05,0.00536894,0.00077325,0.00046039,0.00016315,0.0023976,0.0009651,0.00091137,0.00187267,0.00015849,0.01413862,0.00155964,0.00788083,0.00833471,0.0897434,4.739e-05,0.00027803,0.00474618,0.00158113,0.00124923,0.00217121,0.01731704,0.0044207,0.01525203,0.01441892,0.00012604,0.03229851,0.00180789,0.00012244,0.00036287,0.00235495,0.00045678
11,2856,4.728607,-74.05397,42,39,9,6.634e-05,0.00098425,0.00058353,2.059e-05,0.00569378,0.00082003,0.00042431,0.00031697,0.00220971,0.00061579,0.00096627,0.00198598,0.0002284,0.01099227,0.00121879,0.00713716,0.00883899,0.09517313,9.207e-05,0.00025624,0.00503209,0.00114126,0.00079709,0.00156719,0.00648221,0.00488549,0.01617482,0.01203298,0.00024488,0.03425266,0.00166364,0.00017645,0.00023153,0.00190049,0.00017099
11,2856,4.728607,-74.05397,42,39,10,0.00021528,0.00116623,0.00088998,2.02e-05,0.00588588,0.0008477,0.00046588,0.00134246,0.00242619,0.00170693,0.00147372,0.00205298,0.00074115,0.01129394,0.00110517,0.00680664,0.0091372,0.09838415,0.00038995,0.00028135,0.00767476,0.00135228,0.00220947,0.00185696,0.00636079,0.00383196,0.01672054,0.01023578,0.00103712,0.0354083,0.00183673,0.00057258,0.00064179,0.00153898,0.00016778
11,2856,4.728607,-74.05397,42,39,11,0.00014352,0.0010432,0.00082367,2.098e-05,0.0057636,0.00083009,0.00041882,0.00116067,0.00218112,0.00123878,0.00136392,0.00201033,0.0004941,0.01128147,0.00120846,0.00617658,0.00894738,0.09634021,0.00033714,0.00025293,0.00710293,0.00120962,0.0016035,0.00166106,0.00660364,0.00321224,0.01637317,0.00992592,0.00089668,0.03467269,0.00171172,0.00038172,0.00046577,0.00143569,0.00017419
11,2856,4.728607,-74.05397,42,39,12,0.00023288,0.00112522,0.00071236,3.115e-05,0.00574511,0.00082743,0.00049961,0.00095091,0.00260182,0.00136482,0.00117961,0.00200388,0.00080175,0.0108726,0.00136339,0.00580475,0.00891869,0.09603127,0.00027621,0.00030171,0.00614307,0.00130473,0.00176664,0.00179166,0.00980738,0.00356341,0.01632067,0.00991559,0.00073463,0.03456151,0.00171172,0.00061939,0.00051316,0.00124978,0.00025869
11,2856,4.728607,-74.05397,42,39,13,0.00011238,0.00112778,0.00076541,4.889e-05,0.00611083,0.0008801,0.00035373,0.0013378,0.0018421,0.00134321,0.00126745,0.00213145,0.00038689,0.0106183,0.00119813,0.00604231,0.00948643,0.1021444,0.00038859,0.00021361,0.00660054,0.0013077,0.00173867,0.00179574,0.01539292,0.0036667,0.0173596,0.00977098,0.00103352,0.03676161,0.00165402,0.00029889,0.00050503,0.00115682,0.00040603
11,2856,4.728607,-74.05397,42,39,14,0.00013675,0.00088941,0.00075689,7.114e-05,0.00642223,0.00092495,0.00047922,0.00117465,0.00249562,0.00126759,0.00125333,0.00224006,0.00047079,0.01070057,0.00115682,0.00577376,0.00996984,0.10734945,0.0003412,0.0002894,0.00652702,0.0010313,0.00164079,0.00141619,0.0223982,0.00343947,0.01824421,0.01058696,0.00090748,0.0386349,0.00179827,0.00036371,0.0004766,0.00124978,0.00059081
11,2856,4.728607,-74.05397,42,39,15,0.00011509,0.0009176,0.00080662,0.00014632,0.00568575,0.00081888,0.00047059,0.00117931,0.00245069,0.00132521,0.00133569,0.00198318,0.00039621,0.01227125,0.00122912,0.00623856,0.00882653,0.09503894,0.00034256,0.00028419,0.00695589,0.00106399,0.00171537,0.00146108,0.04606668,0.00354276,0.01615202,0.01090715,0.00091108,0.03420437,0.00172134,0.00030609,0.00049826,0.00141504,0.00121513
11,2856,4.728607,-74.05397,42,39,16,0.00010019,0.00092273,0.00082178,0.00012111,0.00576733,0.00083063,0.00042588,0.00090896,0.00221788,0.00123158,0.00136078,0.00201163,0.00034494,0.01474196,0.0018695,0.00684795,0.00895317,0.09640262,0.00026403,0.00025719,0.00708659,0.00106993,0.00159417,0.00146924,0.03812737,0.00390426,0.01638378,0.01251843,0.00070222,0.03469515,0.00174057,0.00026648,0.00046306,0.00175589,0.00100571
11,2856,4.728607,-74.05397,42,39,17,3.656e-05,0.0008971,0.00061432,8.129e-05,0.00634625,0.000914,0.00028627,0.0001445,0.00149084,0.00060499,0.00101725,0.00221356,0.00012586,0.02099227,0.00207608,0.00581508,0.00985188,0.10607939,4.197e-05,0.00017288,0.00529758,0.00104021,0.0007831,0.00142843,0.0255926,0.00451366,0.01802836,0.01370623,0.00011163,0.03817781,0.00173095,9.723e-05,0.00022747,0.00198312,0.00067507
11,2856,4.728607,-74.05397,42,39,18,9.48e-06,0.00098168,0.00044902,4.613e-05,0.00633113,0.00091182,0.00023608,5.127e-05,0.00122943,0.00028449,0.00074353,0.00220828,3.263e-05,0.01561954,0.00170424,0.00497845,0.00982841,0.10582663,1.489e-05,0.00014257,0.0038721,0.00113829,0.00036824,0.00156311,0.01452427,0.00410051,0.0179854,0.01110339,3.961e-05,0.03808684,0.00176942,2.521e-05,0.00010696,0.00214838,0.00038311
11,2856,4.728607,-74.05397,42,39,19,7.853e-05,0.00079201,0.00038081,1.943e-05,0.00653387,0.00094102,0.00013255,0.0008437,0.00069028,0.00039612,0.00063059,0.002279,0.00027036,0.00947394,0.0019418,0.00473056,0.01014314,0.10921552,0.00024507,8.005e-05,0.00328393,0.00091836,0.00051275,0.0012611,0.00611794,0.00447234,0.01856135,0.00989493,0.0006518,0.0393065,0.00158671,0.00020886,0.00014894,0.00228265,0.00016138
11,2856,4.728607,-74.05397,42,39,20,7.041e-05,0.00062797,0.00030598,1.05e-05,0.00604139,0.0008701,0.00010667,0.00103481,0.00055549,0.0003277,0.00050667,0.00210722,0.00024239,0.00738718,0.00203476,0.00446201,0.00937862,0.10098356,0.00030058,6.442e-05,0.00263858,0.00072815,0.00042418,0.0009999,0.00330649,0.00465826,0.01716232,0.00897567,0.00079945,0.03634383,0.00132706,0.00018726,0.00012321,0.00220002,8.722e-05
11,2856,4.728607,-74.05397,42,39,21,0.00012727,0.0004101,0.00027945,7.03e-06,0.00471087,0.00067847,7.922e-05,0.00081107,0.00041253,0.00021607,0.00046274,0.00164314,0.00043816,0.00708801,0.00135306,0.00299533,0.00731313,0.07874352,0.00023559,4.784e-05,0.00240985,0.00047553,0.00027968,0.000653,0.00221367,0.00417281,0.01338259,0.00860384,0.00062659,0.02833967,0.0013463,0.0003385,8.124e-05,0.00217936,5.839e-05
11,2856,4.728607,-74.05397,42,39,22,0.00011373,0.0002922,0.00018946,7.06e-06,0.00252233,0.00036327,7.843e-05,0.00059665,0.00040845,0.00020166,0.00031373,0.00087978,0.00039155,0.00516829,0.00216903,0.00162161,0.00391566,0.04216152,0.00017331,4.736e-05,0.0016338,0.00033881,0.00026103,0.00046526,0.00222301,0.00386295,0.00716542,0.00495779,0.00046094,0.01517386,0.00086548,0.00030249,7.582e-05,0.001508,5.864e-05
11,2856,4.728607,-74.05397,42,39,23,0.00011103,0.00013841,0.00014541,3.8e-06,0.00112516,0.00016205,6.51e-05,0.00065725,0.00033901,0.00022687,0.00024078,0.00039245,0.00038223,0.00186736,0.0011155,0.00052677,0.0017467,0.01880745,0.00019091,3.931e-05,0.00125394,0.00016049,0.00029366,0.00022039,0.00119557,0.00370802,0.00319636,0.00253054,0.00050776,0.00676877,0.00025003,0.00029529,8.53e-05,0.00017559,3.154e-05
