FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
11,2856,4.728607,-74.05397,42,39,0,0.03935865,0.00053173,0.1312058,0.00315715,0.00338153,0.23553165,0.00033699,0.00911359,0.03357737,0.08072227,9.628e-05,0.00035997,0.03966849,0.03176525,0.06748163,0.00076532,0.01509558,0.00074844,6.063e-05,0.0875294,0.0756455,0.0001023,0.2016092,0.00970987,0.06526817,0.08576741,0.0,0.00062963,0.19978763,0.00359288,0.00185347,0.03936226,0.26237775,0.01183536,3.714e-05
11,2856,4.728607,-74.05397,42,39,1,0.0296462,0.00053173,0.09882843,0.00338979,0.00317019,0.25288661,0.00025876,0.00911359,0.02878061,0.07567713,9.027e-05,0.0003865,0.03966849,0.02394612,0.0,0.00057646,0.01137048,0.0006804,6.063e-05,0.06592996,0.06685681,7.221e-05,0.15185853,0.00731975,0.0,0.0605417,0.0,0.00057239,0.2058418,0.00253615,0.00139609,0.03578387,0.0699674,0.00908786,2.8e-05
11,2856,4.728607,-74.05397,42,39,2,0.0283077,0.000997,0.0943664,0.00282482,0.0023248,0.21073884,0.00023469,0.02734078,0.00479677,0.05549656,6.619e-05,0.00032208,0.07437842,0.02248003,0.0,0.00055043,0.01085711,0.00074844,0.00011368,0.06295327,0.04959332,0.00014442,0.14500223,0.0068716,0.00502063,0.12108341,0.0,0.00062963,0.21795014,0.0050723,0.00133306,0.03936226,0.06413678,0.00824248,2.628e-05
11,2856,4.728607,-74.05397,42,39,3,0.02816389,0.0008973,0.093887,0.00309069,0.0050723,0.23057309,0.0003731,0.01822718,0.02878061,0.12108341,0.00014442,0.00035239,0.06694057,0.02052524,0.0,0.00054764,0.01080196,0.00061236,0.00010231,0.06263346,0.0602653,0.00012637,0.14426561,0.00627407,0.00502063,0.10594798,0.0,0.00051515,0.34912383,0.00443826,0.00132629,0.03220549,0.0699674,0.01310343,2.4e-05
11,2856,4.728607,-74.05397,42,39,4,0.02439174,0.00206046,0.08131219,0.00488528,0.00824248,0.36445424,0.00052956,0.15493106,0.20146424,0.19676054,0.00023469,0.00055701,0.15371539,0.038607,0.05596038,0.00047429,0.00935519,0.00374221,0.00023493,0.05424461,0.04833779,0.00034301,0.12494331,0.01180123,0.16568074,0.2875731,0.0,0.00314816,0.65788652,0.0120467,0.00114865,0.1968113,0.34983699,0.01859842,4.514e-05
11,2856,4.728607,-74.05397,42,39,5,0.04220159,0.00388829,0.140683,0.0101029,0.0120467,0.75370128,0.00080035,0.48302037,0.82024726,0.2875731,0.00034301,0.00115191,0.29007582,0.08845402,0.11521254,0.0008206,0.01618596,0.0072803,0.00044333,0.09385178,0.19648998,0.00063186,0.21617175,0.02703826,0.55728976,0.52973992,0.00896427,0.00612461,0.68008515,0.0221913,0.00198734,0.38288744,0.58889227,0.02810897,0.00010342
11,2856,4.728607,-74.05397,42,39,6,0.09818644,0.00578258,0.32731385,0.01362562,0.00697441,1.01650502,0.00036708,0.71997376,1.17041129,0.16648969,0.00019858,0.00155356,0.43139481,0.14318799,0.0757111,0.0019092,0.03765835,0.00959367,0.00065932,0.21835608,0.45795349,0.00051752,0.50294639,0.04376912,1.24009524,0.43388222,0.01379119,0.00807074,0.09283061,0.01817573,0.00462377,0.50455261,0.58889227,0.01289209,0.00016742
11,2856,4.728607,-74.05397,42,39,7,0.12191447,0.00358919,0.40641346,0.01316035,0.00697441,0.98179509,0.00037911,0.63795143,0.80106019,0.16648969,0.00019858,0.00150051,0.2677623,0.11240013,0.0510227,0.00237059,0.04675897,0.00945759,0.00040923,0.27112465,0.5025247,0.00040318,0.62448988,0.03435801,2.17895277,0.33802452,0.01792854,0.00795627,0.0282528,0.01416016,0.00574116,0.49739584,0.60638412,0.01331478,0.00013142
11,2856,4.728607,-74.05397,42,39,8,0.13303179,0.00432032,0.44347412,0.01458938,0.00634037,1.08840415,0.0003069,0.5650427,0.97854059,0.15135426,0.00018053,0.00166345,0.32230647,0.09431837,0.03785555,0.00258676,0.0510229,0.00938955,0.00049259,0.29584838,0.43598176,0.00051752,0.68143683,0.02883085,2.27936534,0.43388222,0.01585986,0.00789903,0.07063199,0.01817573,0.00626469,0.49381745,0.62970659,0.01077863,0.00011028
11,2856,4.728607,-74.05397,42,39,9,0.13161585,0.00581581,0.43875396,0.01468908,0.00655172,1.09584199,0.00037911,0.58326988,0.80106019,0.1563994,0.00018655,0.00167482,0.43387409,0.07965748,0.04443912,0.00255923,0.05047984,0.00911739,0.00066311,0.29269949,0.35688356,0.00040318,0.67418389,0.02434937,1.87771506,0.33802452,0.01792854,0.00767007,0.13722786,0.01416016,0.00619801,0.4795039,0.53641673,0.01331478,9.314e-05
