FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
11,2856,4.728607,-74.05397,42,39,0,0.00434247,5.873e-05,0.0076071,0.00034872,0.00036642,0.01549259,2.524e-05,0.00074946,0.00193137,0.00635108,7.21e-06,2.696e-05,0.00260928,0.00344208,0.00347381,5.732e-05,0.00113066,8.11e-05,4.54e-06,0.00323263,0.00845015,7.66e-06,0.02215804,0.00055092,0.00372874,0.00674802,0.0,4.716e-05,0.01571891,0.00038932,0.00013882,0.0030928,0.01488689,0.00128247,2.78e-06
11,2856,4.728607,-74.05397,42,39,1,0.00327089,5.873e-05,0.00572991,0.00037442,0.00034352,0.01663414,1.938e-05,0.00074946,0.00165546,0.00595413,6.76e-06,2.895e-05,0.00260928,0.0025948,0.0,4.318e-05,0.00085165,7.373e-05,4.54e-06,0.00243492,0.00746839,5.41e-06,0.01669015,0.00041531,0.0,0.00476331,0.0,4.287e-05,0.01619525,0.00027482,0.00010457,0.00281164,0.00396984,0.00098476,2.1e-06
11,2856,4.728607,-74.05397,42,39,2,0.00312321,0.00011012,0.00547121,0.00031202,0.00025191,0.01386179,1.758e-05,0.00224839,0.00027591,0.00436637,4.96e-06,2.412e-05,0.0048924,0.00243593,0.0,4.123e-05,0.0008132,8.11e-05,8.51e-06,0.00232499,0.00553993,1.082e-05,0.0159366,0.00038988,0.00028683,0.00952661,0.0,4.716e-05,0.01714791,0.00054963,9.985e-05,0.0030928,0.00363902,0.00089315,1.97e-06
11,2856,4.728607,-74.05397,42,39,3,0.00310734,9.911e-05,0.00544342,0.00034138,0.00054963,0.01516643,2.794e-05,0.00149893,0.00165546,0.00952661,1.082e-05,2.639e-05,0.00440316,0.00222411,0.0,4.102e-05,0.00080907,6.636e-05,7.66e-06,0.00231317,0.00673207,9.47e-06,0.01585564,0.00035598,0.00028683,0.00833579,0.0,3.859e-05,0.02746841,0.00048093,9.934e-05,0.00253048,0.00396984,0.00141988,1.8e-06
11,2856,4.728607,-74.05397,42,39,4,0.00269116,0.00022759,0.00471435,0.0005396,0.00089315,0.02397274,3.966e-05,0.01274086,0.01158825,0.01548075,1.758e-05,4.172e-05,0.01011095,0.00418345,0.00288072,3.552e-05,0.0007007,0.00040551,1.76e-05,0.00200336,0.00539968,2.569e-05,0.01373201,0.00066958,0.00946526,0.02262571,0.0,0.0002358,0.05176127,0.00130538,8.603e-05,0.01546402,0.01984918,0.00201532,3.38e-06
11,2856,4.728607,-74.05397,42,39,5,0.00465614,0.00042948,0.00815657,0.00111592,0.00130538,0.04957628,5.995e-05,0.03972151,0.04718072,0.02262571,2.569e-05,8.628e-05,0.01908034,0.00958486,0.0059309,6.146e-05,0.00121233,0.00078889,3.321e-05,0.00346613,0.02194935,4.733e-05,0.02375855,0.00153411,0.0318377,0.04167894,0.0004099,0.00045873,0.05350782,0.00240464,0.00014885,0.03008456,0.03341279,0.00304588,7.75e-06
11,2856,4.728607,-74.05397,42,39,6,0.01083299,0.00063871,0.01897713,0.00150502,0.00075574,0.06686274,2.749e-05,0.05920754,0.06732219,0.0130991,1.487e-05,0.00011636,0.02837589,0.01551582,0.00389745,0.000143,0.00282061,0.00103957,4.938e-05,0.00806431,0.05115671,3.876e-05,0.05527678,0.00248339,0.07084606,0.03413704,0.00063061,0.0006045,0.00730374,0.00196951,0.00034632,0.03964414,0.03341279,0.00139698,1.254e-05
11,2856,4.728607,-74.05397,42,39,7,0.01345092,0.00039644,0.0235632,0.00145363,0.00075574,0.06457962,2.84e-05,0.05246238,0.04607707,0.0130991,1.487e-05,0.00011239,0.01761262,0.01217966,0.00262654,0.00017756,0.00350225,0.00102483,3.065e-05,0.01001316,0.05613563,3.02e-05,0.06863513,0.00194942,0.12448256,0.02659513,0.00081979,0.00059592,0.00222288,0.00153439,0.00043001,0.03908181,0.03440525,0.00144278,9.84e-06
11,2856,4.728607,-74.05397,42,39,8,0.01467751,0.0004772,0.02571192,0.00161147,0.00068704,0.07159206,2.299e-05,0.04646668,0.05628577,0.01190827,1.352e-05,0.00012459,0.02120038,0.01022032,0.00194872,0.00019375,0.00382162,0.00101745,3.69e-05,0.01092625,0.04870231,3.876e-05,0.07489393,0.00163582,0.13021908,0.03413704,0.0007252,0.00059164,0.00555719,0.00196951,0.00046923,0.03880064,0.03572853,0.00116797,8.26e-06
11,2856,4.728607,-74.05397,42,39,9,0.01452128,0.00064239,0.02543825,0.00162248,0.00070994,0.07208129,2.84e-05,0.0479656,0.04607707,0.01230521,1.397e-05,0.00012544,0.02853897,0.00863167,0.00228763,0.00019169,0.00378094,0.00098796,4.967e-05,0.01080996,0.03986647,3.02e-05,0.07409679,0.00138154,0.10727299,0.02659513,0.00081979,0.00057449,0.01079683,0.00153439,0.00046423,0.03767599,0.03043542,0.00144278,6.98e-06
