FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,C5_GNV,INT_GAS,C2G_GNV,ESP_GNV,CC_DSEL,CC_GNV,C2P_GAS,>C5_GAS,C2P_DSEL,C3-C4_DSEL,C2G_GAS,AUT_GNV,C5_GAS,M_GAS,AL_DSEL,B_DSEL,TX_GAS,AUT_GAS,>C5_GNV,C2P_GNV,C2G_DSEL,INT_GNV,C3-C4_GAS,INT_DSEL,ESP_GAS,BT_DSEL,TX_GNV,AT_DSEL,>C5_DSEL,CC_GAS,MB_DSEL,C5_DSEL,C3-C4_GNV,BA_DSEL,ESP_DSEL
11,2856,4.728607,-74.05397,42,39,0,0.0,2.14e-06,0.0,0.0,0.00015268,0.0,2.7e-06,2.35e-05,0.00028741,0.00051236,1.058e-05,0.0,1.78e-05,0.00015701,0.00012685,0.00024621,3.807e-05,0.0001943,0.0,0.0,0.00112536,0.0,1.234e-05,0.00019542,6.533e-05,0.00103469,0.0,0.0002133,0.00097546,2.833e-05,0.00011162,0.00073899,0.0,0.0,2.504e-05
11,2856,4.728607,-74.05397,42,39,1,0.0,1.15e-06,0.0,0.0,8.114e-05,0.0,2.4e-06,2.421e-05,0.00025503,0.00054192,7.42e-06,0.0,1.353e-05,8.25e-05,2.01e-06,8.891e-05,2.023e-05,0.00010325,0.0,0.0,0.00078937,0.0,1.306e-05,0.00010469,5.435e-05,0.00051734,0.0,1.422e-05,0.00100502,1.506e-05,5.581e-05,0.00056163,0.0,0.0,2.083e-05
11,2856,4.728607,-74.05397,42,39,2,0.0,2.52e-06,0.0,0.0,6.632e-05,0.0,4.57e-06,2.564e-05,0.00048577,0.00067987,7.12e-06,0.0,1.377e-05,6.251e-05,0.0,4.787e-05,1.654e-05,8.44e-05,0.0,0.0,0.00075699,0.0,1.638e-05,0.00023031,4.941e-05,0.00037774,0.0,2.133e-05,0.00106414,1.231e-05,0.0,0.00057148,0.0,0.0,1.894e-05
11,2856,4.728607,-74.05397,42,39,3,0.0,2.83e-06,0.0,0.0,8.621e-05,0.0,4.22e-06,4.107e-05,0.00044934,0.00100502,1.001e-05,0.0,2.113e-05,7.269e-05,7.249e-05,0.00020518,2.15e-05,0.00010971,0.0,0.0,0.00106464,0.0,2.421e-05,0.00025823,4.611e-05,0.00047629,0.0,2.844e-05,0.00170459,1.6e-05,0.00011162,0.00087693,0.0,0.0,1.767e-05
11,2856,4.728607,-74.05397,42,39,4,0.0,1.223e-05,0.0,0.0,0.00019287,0.0,8.83e-06,7.739e-05,0.00093915,0.00209872,2.211e-05,0.0,3.917e-05,0.00017591,0.00027586,0.00168244,4.809e-05,0.00024545,0.0,0.0,0.00235193,0.0,5.056e-05,0.00111668,0.00041172,0.00178196,0.0,0.00093143,0.00321213,3.579e-05,0.00122784,0.00162577,0.0,7.47e-06,0.00015779
11,2856,4.728607,-74.05397,42,39,5,0.0,2.851e-05,0.0,0.0,0.00098565,0.0,1.613e-05,8e-05,0.00171638,0.0037442,5.437e-05,0.0,5.46e-05,0.00091591,0.00044902,0.00400777,0.00024578,0.00125435,0.0,0.0,0.00578469,0.0,9.021e-05,0.00260325,0.00183629,0.00304658,0.0,0.0032209,0.00332051,0.0001829,0.00325563,0.00226622,0.0,6.247e-05,0.00070375
11,2856,4.728607,-74.05397,42,39,6,0.0,2.866e-05,0.0,0.0,0.00175681,0.0,1.739e-05,1.092e-05,0.00184997,0.00163562,3.919e-05,0.0,1.045e-05,0.00257292,0.00039667,0.00473272,0.00043808,0.00223575,0.0,0.0,0.00416951,0.0,3.941e-05,0.00261721,0.00300284,0.00293162,0.0,0.00689686,0.00045324,0.00032601,0.0036277,0.00043354,0.0,0.00011951,0.00115083
11,2856,4.728607,-74.05397,42,39,7,0.0,3.501e-05,0.0,0.0,0.00130024,0.0,1.366e-05,3.32e-06,0.00145326,0.00074884,3.291e-05,0.0,1.9e-06,0.00266778,0.00035036,0.00497893,0.00032423,0.00165471,0.0,0.0,0.00350158,0.0,1.804e-05,0.00319649,0.00155851,0.0030548,0.0,0.01016042,0.00013794,0.00024128,0.00399977,7.883e-05,0.0,0.00015958,0.0005973
11,2856,4.728607,-74.05397,42,39,8,0.0,4.066e-05,0.0,0.0,0.00145926,0.0,2.233e-05,8.31e-06,0.00237622,0.00264064,4.421e-05,0.0,8.07e-06,0.00206117,0.00030405,0.0052183,0.00036388,0.00185709,0.0,0.0,0.00470385,0.0,6.362e-05,0.00371295,0.00101778,0.00351466,0.0,0.00992578,0.00034486,0.00027079,0.00349747,0.00033501,0.0,0.00015482,0.00039006
11,2856,4.728607,-74.05397,42,39,9,0.0,2.935e-05,0.0,0.0,0.00154755,0.0,2.058e-05,1.614e-05,0.00219,0.00168489,4.688e-05,0.0,1.163e-05,0.00160248,0.0002376,0.00472588,0.0003859,0.00196945,0.0,0.0,0.00498722,0.0,4.059e-05,0.00268002,0.00038098,0.00388419,0.0,0.00828334,0.00067001,0.00028717,0.00321842,0.0004828,0.0,0.00012494,0.00014601
