FID_LINK,FID_Grilla,LAT,LON,ROW,COL,hora,NHTX_GAS,NHC2P_GAS,NHCC_DSEL,NHC2G_GAS,NHC5_GAS,NHC2G_DSEL,NH>C5_GNV,NHMB_DSEL,NHB_DSEL,NHC5_DSEL,NHC5_GNV,NHC2G_GNV,NHC2P_DSEL,NHESP_GAS,NHAL_DSEL,NHCC_GNV,NHTX_GNV,NHINT_GAS,NHC2P_GNV,NHCC_GAS,NHM_GAS,NHC3-C4_GNV,NHAUT_GAS,NHESP_DSEL,NHAT_DSEL,NHC3-C4_DSEL,NHBA_DSEL,NHINT_GNV,NH>C5_DSEL,NHC3-C4_GAS,NHAUT_GNV,NHINT_DSEL,NHBT_DSEL,NH>C5_GAS,NHESP_GNV
11,2856,4.728607,-74.05397,42,39,0,0.00167324,4.668e-05,0.000189,0.00027719,0.00128386,0.00037988,7.4e-07,8.39e-06,4.431e-05,5.192e-05,2.1e-07,6.2e-07,6.398e-05,0.00923961,9.7e-05,3.523e-05,0.0008687,0.00032608,1e-07,0.00683427,0.00954022,2.2e-07,0.01047754,1.181e-05,8.356e-05,5.517e-05,0.0,1.8e-07,0.00012851,0.0013641,0.00010666,3.79e-05,0.00031912,0.00449351,1e-08
11,2856,4.728607,-74.05397,42,39,1,0.00126034,4.668e-05,0.00014236,0.00029762,0.00120362,0.00040787,5.7e-07,8.39e-06,3.798e-05,4.868e-05,2e-07,6.7e-07,6.398e-05,0.00696524,0.0,2.654e-05,0.00065433,0.00029644,1e-07,0.00514779,0.00843182,1.6e-07,0.00789202,8.9e-06,0.0,3.894e-05,0.0,1.7e-07,0.0001324,0.00096289,8.034e-05,3.446e-05,8.51e-05,0.00345037,1e-08
11,2856,4.728607,-74.05397,42,39,2,0.00120344,8.753e-05,0.00013593,0.00024801,0.00088265,0.0003399,5.1e-07,2.516e-05,6.33e-06,3.57e-05,1.4e-07,5.6e-07,0.00011996,0.0065388,0.0,2.534e-05,0.00062479,0.00032608,2e-07,0.00491537,0.00625459,3.2e-07,0.0075357,8.36e-06,6.43e-06,7.788e-05,0.0,1.8e-07,0.00014019,0.00192579,7.671e-05,3.79e-05,7.801e-05,0.00312941,1e-08
11,2856,4.728607,-74.05397,42,39,3,0.00119732,7.878e-05,0.00013524,0.00027136,0.00192579,0.00037189,8.2e-07,1.678e-05,3.798e-05,7.788e-05,3.2e-07,6.1e-07,0.00010797,0.00597021,0.0,2.521e-05,0.00062162,0.0002668,1.8e-07,0.0048904,0.00760051,2.8e-07,0.00749742,7.63e-06,6.43e-06,6.815e-05,0.0,1.5e-07,0.00022456,0.00168507,7.632e-05,3.101e-05,8.51e-05,0.00497495,1e-08
11,2856,4.728607,-74.05397,42,39,4,0.00103696,0.0001809,0.00011713,0.00042892,0.00312941,0.00058782,1.16e-06,0.00014259,0.00026585,0.00012656,5.1e-07,9.6e-07,0.00024792,0.01122967,8.044e-05,2.183e-05,0.00053836,0.00163042,4.1e-07,0.0042354,0.00609624,7.5e-07,0.00649325,1.435e-05,0.00021211,0.00018497,0.0,9.2e-07,0.00042316,0.00457375,6.61e-05,0.0001895,0.0004255,0.00706123,1e-08
11,2856,4.728607,-74.05397,42,39,5,0.00179411,0.00034138,0.00020265,0.00088701,0.00457375,0.00121563,1.75e-06,0.00044455,0.00108238,0.00018497,7.5e-07,1.99e-06,0.00046786,0.02572875,0.0001656,3.778e-05,0.00093145,0.00317191,7.7e-07,0.00732792,0.02478083,1.38e-06,0.01123435,3.289e-05,0.00071346,0.00034074,1.944e-05,1.79e-06,0.00043744,0.00842533,0.00011437,0.00036867,0.00071626,0.01067208,3e-08
11,2856,4.728607,-74.05397,42,39,6,0.00417418,0.0005077,0.00047148,0.0011963,0.00264796,0.0016395,8e-07,0.00066264,0.00154446,0.00010709,4.3e-07,2.68e-06,0.00069579,0.0416493,0.00010883,8.789e-05,0.00216711,0.00417981,1.14e-06,0.01704918,0.05775596,1.13e-06,0.02613791,5.324e-05,0.00158762,0.00027908,2.991e-05,2.36e-06,5.971e-05,0.00690074,0.00026608,0.00048582,0.00071626,0.00489471,5e-08
11,2856,4.728607,-74.05397,42,39,7,0.00518292,0.00031512,0.00058542,0.00115545,0.00264796,0.00158351,8.3e-07,0.00058715,0.00105707,0.00010709,4.3e-07,2.59e-06,0.00043187,0.03269399,7.334e-05,0.00010913,0.00269082,0.00412053,7.1e-07,0.02116933,0.06337717,8.8e-07,0.03245447,4.179e-05,0.00278958,0.00021742,3.888e-05,2.33e-06,1.817e-05,0.00537616,0.00033038,0.00047893,0.00073753,0.0050552,4e-08
11,2856,4.728607,-74.05397,42,39,8,0.00565555,0.00037932,0.00063881,0.00128092,0.00240724,0.00175546,6.7e-07,0.00052004,0.00129127,9.735e-05,3.9e-07,2.87e-06,0.00051984,0.02743452,5.441e-05,0.00011909,0.0029362,0.00409088,8.5e-07,0.02309975,0.05498494,1.13e-06,0.03541398,3.507e-05,0.00291813,0.00027908,3.44e-05,2.31e-06,4.543e-05,0.00690074,0.00036051,0.00047548,0.0007659,0.0040923,3e-08
11,2856,4.728607,-74.05397,42,39,9,0.00559535,0.00051062,0.00063201,0.00128967,0.00248748,0.00176746,8.3e-07,0.00053682,0.00105707,0.0001006,4.1e-07,2.89e-06,0.00069978,0.02317009,6.388e-05,0.00011782,0.00290495,0.0039723,1.14e-06,0.02285389,0.04500927,8.8e-07,0.03503704,2.962e-05,0.00240393,0.00021742,3.888e-05,2.24e-06,8.827e-05,0.00537616,0.00035667,0.0004617,0.00065243,0.0050552,3e-08
