ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
49,40,4.791351,-74.044975,ISOP,mol/h,0.00200305,0.00130406,0.00140293,0.00194457,0.00546782,0.0124879,0.01357034,0.0135224,0.01539713,0.01426198,0.01634191,0.01496797,0.01486617,0.01487643,0.01531993,0.01572662,0.01620752,0.01451546,0.01225328,0.01158027,0.01048785,0.00896335,0.0059793,0.00381461,0.00200305
45,38,4.755493,-74.062965,PTI,g/h,0.00059133,0.00043336,0.00045642,0.00064355,0.00162845,0.00372279,0.0040943,0.00332097,0.00362484,0.00324406,0.00416769,0.00376216,0.00382185,0.00392432,0.00403474,0.0043963,0.00431031,0.00378544,0.00312643,0.00290044,0.00258065,0.00214429,0.00145942,0.00093529,0.00059133
49,40,4.791351,-74.044975,PNA,g/h,0.02012253,0.01419221,0.01530469,0.0222571,0.05845792,0.12369988,0.12584289,0.12020974,0.13534564,0.12123083,0.1495281,0.13442987,0.13584979,0.13642576,0.13897458,0.14550252,0.14726172,0.12873636,0.10731174,0.10424318,0.09460025,0.08107293,0.0557975,0.03595224,0.02012253
45,38,4.755493,-74.062965,PM10,g/h,2.85668098,2.07606563,2.20396656,3.09962941,7.96552496,17.57761259,18.19635501,15.09915437,17.01070729,15.39932661,19.76022634,17.72617321,17.95858921,18.33307099,18.67172794,20.14732302,19.79868393,16.98265383,14.10791392,13.27829287,11.88468882,9.83658831,6.82033626,4.57460288,2.85668098
49,40,4.791351,-74.044975,TERP,mol/h,0.00071092,0.00046878,0.0005113,0.00071203,0.00202584,0.00442766,0.00457334,0.00472812,0.00538291,0.00491074,0.00567981,0.00516506,0.00513068,0.0051001,0.00523742,0.00546569,0.00564431,0.00494668,0.00408263,0.0038086,0.00343939,0.00298389,0.00205116,0.00135499,0.00071092
53,37,4.827202,-74.07196,ALDX,mol/h,0.00145818,0.00089577,0.00073894,0.00085314,0.00415227,0.01877595,0.03362099,0.02300631,0.01851633,0.01357834,0.01394333,0.01383282,0.01484965,0.01719752,0.02024422,0.02880054,0.02687959,0.02520148,0.01906044,0.01374104,0.01124188,0.0092902,0.00595216,0.00249636,0.00145818
53,37,4.827202,-74.07196,ISOP,mol/h,1.747e-05,9.5e-06,7.33e-06,1.052e-05,3.833e-05,0.0001591,0.00025606,0.00019541,0.0001989,0.00019647,0.00020534,0.0001995,0.00020144,0.00021448,0.00023142,0.00022764,0.00022423,0.00023034,0.00022234,0.00021756,0.00019639,0.00015951,8.929e-05,3.708e-05,1.747e-05
49,40,4.791351,-74.044975,PFE,g/h,0.13564137,0.09008888,0.08937828,0.12283476,0.33677504,0.97814948,1.42212965,1.15886607,1.13720686,0.98843384,1.12784533,1.05991781,1.07883271,1.13203914,1.20208287,1.3536229,1.34932817,1.31932575,1.08575478,0.94479794,0.83136808,0.69369463,0.4447112,0.23917374,0.13564137
49,40,4.791351,-74.044975,MEOH,mol/h,0.0018432,0.00102917,0.00090706,0.00116192,0.00258325,0.01162493,0.01947649,0.01449941,0.01652979,0.01747383,0.0185019,0.0180157,0.01787252,0.01886619,0.01985269,0.01781394,0.01802979,0.01926103,0.01893495,0.01932485,0.01778768,0.01392584,0.00754536,0.00348023,0.0018432
49,42,4.791351,-74.026985,CO2,g/h,216276.342015,128712.13342,119269.109379,160296.373779,447558.65215,1603110.8742,2540389.98938,1933483.92546,1968774.64603,1833702.03578,1969461.07033,1893401.41144,1919338.80505,2049557.27196,2199944.54455,2339377.95417,2317213.08596,2310232.62939,2044365.96745,1914662.86578,1725801.83677,1384927.59179,821359.700637,402978.211865,216276.342015
49,40,4.791351,-74.044975,ETHA,mol/h,3.29940626,1.81103179,1.5184482,1.97446247,4.714354,22.40120695,39.26655125,28.87865516,31.42575923,32.31615222,33.66414436,32.89248042,32.95780605,35.20847714,37.26006285,34.69578181,34.84172379,37.47825185,36.342629,36.632902,33.65482743,26.34067272,14.31921991,6.46327597,3.29940626
53,37,4.827202,-74.07196,NOX,g/h,24.3566583,14.39217585,11.95656715,14.39803374,58.13285262,268.94753323,463.70019186,305.66147613,275.16974974,231.69284259,238.52262276,235.11717681,247.96680751,283.1413095,324.49719622,407.91275921,379.6563784,352.60964634,294.91294853,253.23891451,220.83408627,174.41432791,100.95664627,44.49482602,24.3566583
45,38,4.755493,-74.062965,ISOP,mol/h,0.00019963,0.00013928,0.00014966,0.00020426,0.00053161,0.00116933,0.00111603,0.00096095,0.00117539,0.00113354,0.00141602,0.00127779,0.00126654,0.00127402,0.00129593,0.00132818,0.00132203,0.00110015,0.00094198,0.00090522,0.00081646,0.00067052,0.00046068,0.00031934,0.00019963
53,37,4.827202,-74.07196,PSI,g/h,0.0012056,0.00067608,0.00051112,0.00072403,0.00322666,0.01301515,0.02187849,0.01722209,0.01551378,0.01369992,0.0143278,0.01395784,0.01423295,0.01522137,0.01676223,0.01883079,0.01853939,0.01908839,0.01667744,0.01429112,0.01237713,0.01047613,0.00629688,0.00248392,0.0012056
