ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
42,39,4.728607,-74.05397,PM10 BRAKE,g/h,0.589033,0.34450466,0.31975918,0.44609456,1.41448984,4.67950403,7.11416145,5.50176133,5.50713502,4.94278319,5.22769722,4.9836119,5.1126101,5.4961092,5.91904651,6.59777197,6.48375548,6.2345313,5.42319461,5.06203926,4.57387008,3.68449487,2.26737327,1.16070657,0.589033
49,42,4.791351,-74.026985,PM2.5 BRAKE,g/h,0.97141336,0.56815061,0.52734654,0.73571662,2.33291927,7.71755462,11.73231198,9.07303886,9.08200161,8.15124384,8.62110213,8.21852019,8.43133296,9.06384901,9.76138693,10.88092233,10.69272566,10.28126057,8.94332396,8.34795835,7.54296179,6.07622057,3.7392205,1.91423737,0.97141336
49,40,4.791351,-74.044975,PM2.5 TIRE,g/h,0.29835003,0.1708554,0.15418652,0.20778893,0.58591232,2.17398286,3.48903833,2.675022,2.7806346,2.65825244,2.80804907,2.70648187,2.73525746,2.91620314,3.10752075,3.18452996,3.17493113,3.22224066,2.93502696,2.82113042,2.56391481,2.04298895,1.19088377,0.5774267,0.29835003
45,38,4.755493,-74.062965,PM2.5 BRAKE,g/h,0.09325068,0.05453955,0.05062262,0.07062505,0.22394832,0.74084567,1.12624183,0.87096523,0.87182562,0.78247763,0.82758163,0.7889358,0.80936476,0.87008308,0.93704319,1.04451277,1.02644685,0.98694831,0.85851326,0.80136122,0.72408569,0.58328601,0.35894598,0.18375694,0.09325068
45,38,4.755493,-74.062965,PM2.5 TIRE,g/h,0.03203545,0.0183457,0.01655583,0.02231143,0.06291258,0.23343232,0.37463701,0.28723164,0.2985718,0.28543103,0.30151551,0.29060966,0.29369948,0.31312864,0.33367133,0.34194026,0.34090962,0.34598946,0.31514981,0.30292014,0.27530144,0.21936684,0.12787165,0.06200145,0.03203545
49,40,4.791351,-74.044975,PM10 TIRE,g/h,1.98332061,1.13424844,1.02355282,1.37954225,3.89604657,14.43381522,23.17956396,17.82257603,18.50684616,17.67805973,18.6653806,17.99005397,18.17564166,19.36717225,20.63251966,21.14980337,21.10709801,21.44687214,19.5130791,18.72683007,17.01494491,13.56773817,7.92095307,3.84147392,1.98332061
45,38,4.755493,-74.062965,PM10 BRAKE,g/h,0.74598231,0.43629878,0.40495986,0.56495754,1.79138406,5.92636925,9.00974706,6.96771893,6.97452451,6.25979973,6.62062981,6.31150733,6.47487749,6.96056078,7.49619084,8.35576427,8.21136787,7.89573726,6.86821793,6.41083192,5.79258886,4.66623752,2.87152037,1.46997967,0.74598231
53,37,4.827202,-74.07196,PM2.5 TIRE,g/h,0.02143598,0.0122757,0.01107807,0.01492928,0.04209688,0.15619724,0.25068195,0.19219609,0.1997842,0.19099125,0.20175388,0.19445643,0.19652394,0.20952462,0.22327046,0.22880344,0.22811377,0.23151289,0.21087705,0.20269377,0.18421322,0.14678555,0.08556311,0.04148722,0.02143598
53,37,4.827202,-74.07196,PM2.5 BRAKE,g/h,0.06239709,0.03649419,0.03387323,0.04725752,0.1498512,0.49572416,0.75360536,0.58279144,0.58336713,0.52358145,0.55376203,0.52790287,0.54157252,0.58220112,0.6270063,0.69891776,0.68682929,0.66039953,0.57445941,0.53621705,0.48450949,0.39029583,0.24018254,0.12295783,0.06239709
45,38,4.755493,-74.062965,PM10 TIRE,g/h,0.2129599,0.12179042,0.10990442,0.14812887,0.41833964,1.54983711,2.48891568,1.91370675,1.98718057,1.89818927,2.0042033,1.93168978,1.95161732,2.0795585,2.21542569,2.27096924,2.2663837,2.30286713,2.09522528,2.01080143,1.82698703,1.45684173,0.85051577,0.41247988,0.2129599
53,37,4.827202,-74.07196,PM10 TIRE,g/h,0.14249847,0.08149396,0.07354065,0.09911795,0.2799248,1.03704689,1.66541514,1.280524,1.32968774,1.27014073,1.34107815,1.29255701,1.3058912,1.39150082,1.482414,1.51958003,1.51651171,1.54092398,1.40198396,1.34549322,1.22249698,0.97482061,0.56910796,0.27600386,0.14249847
49,42,4.791351,-74.026985,PM10 TIRE,g/h,2.21845074,1.26871789,1.14489894,1.54309219,4.35793766,16.14499868,25.92758907,19.93550995,20.70090291,19.77386068,20.87823219,20.12284303,20.33043281,21.66322398,23.07858304,23.65719271,23.60942433,23.98948008,21.82642852,20.94696671,19.03213105,15.17624494,8.86001205,4.29689512,2.21845074
53,37,4.827202,-74.07196,PM10 BRAKE,g/h,0.49916125,0.29194179,0.2709719,0.37803163,1.19867387,3.9655281,6.02871737,4.66232934,4.66688317,4.18863739,4.43008065,4.22323666,4.33255295,4.65753963,5.01594724,5.59111606,5.49449566,5.28329686,4.59575002,4.28969803,3.87601125,3.12233256,1.92142854,0.98361163,0.49916125
42,39,4.728607,-74.05397,PM2.5 BRAKE,g/h,0.07363141,0.04306482,0.03997194,0.05576601,0.1768312,0.58497714,0.8892887,0.68772045,0.68839984,0.61785002,0.65346442,0.62294944,0.63908024,0.68702386,0.73989604,0.82475487,0.81048987,0.77930152,0.67788831,0.63276062,0.57174329,0.46056688,0.28342638,0.14509584,0.07363141
49,40,4.791351,-74.044975,PM10 BRAKE,g/h,6.94742095,4.06330146,3.77143792,5.26151612,16.6833702,55.19297317,83.90883253,64.8911848,64.9545659,58.29825026,61.65870311,58.77980934,60.30129453,64.82452054,69.81290574,77.81821448,76.47343357,73.53392897,63.96452078,59.70483056,53.94706045,43.45721762,26.7428068,13.69009352,6.94742095
42,39,4.728607,-74.05397,PM2.5 TIRE,g/h,0.02529542,0.01448588,0.01307261,0.01761727,0.04967626,0.18431984,0.29581608,0.22680016,0.23575452,0.22537837,0.2380788,0.22946751,0.2319072,0.24724856,0.26346936,0.26999854,0.26918469,0.27319579,0.24884454,0.23918789,0.21738003,0.17321362,0.10096838,0.0489568,0.02529542
49,42,4.791351,-74.026985,PM10 BRAKE,g/h,7.77106402,4.54502125,4.21855616,5.88528876,18.66124697,61.7363092,93.8565424,72.58428062,72.65517571,65.2097286,68.96857582,65.74837842,67.45024138,72.50971296,78.08949016,87.04385854,85.53964877,82.2516547,71.54775699,66.78306434,60.34268879,48.60923536,29.91326779,15.31310595,7.77106402
49,40,4.791351,-74.044975,PM2.5 BRAKE,g/h,0.86845472,0.5079332,0.47145391,0.65773912,2.0856568,6.89958296,10.4888224,8.1114015,8.11941428,7.28730616,7.70736483,7.34745198,7.53770894,8.10318559,8.7267926,9.72767014,9.5594202,9.19156566,7.99543489,7.46317108,6.74349501,5.43221141,3.34290631,1.71135032,0.86845472
