ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
42,39,4.728607,-74.05397,PM10 BRAKE,g/h,1.14538265,0.81595748,0.78087184,0.81601776,1.09630305,2.17457396,3.7341486,4.24989228,4.4926219,4.26928897,4.43446383,4.44551202,4.09849441,4.49932625,4.2685948,5.05246676,4.86241807,4.70310092,4.67014791,4.55356534,4.07603677,3.29091335,2.75191084,1.81070111,1.14538265
49,42,4.791351,-74.026985,PM2.5 BRAKE,g/h,1.88888263,1.3455811,1.28773811,1.34570263,1.80805827,3.5863082,6.15802937,7.00853199,7.40888636,7.04058451,7.31287799,7.33112437,6.75876225,7.41977529,7.03930418,8.33203176,8.01855089,7.75579866,7.70156626,7.50933605,6.72184593,5.42709133,4.53827585,2.98610391,1.88888263
49,40,4.791351,-74.044975,PM2.5 TIRE,g/h,0.67330789,0.49853921,0.47525312,0.48601071,0.54256314,1.03577514,1.98987472,2.32991314,2.48837054,2.4082204,2.58442206,2.56201941,2.32582762,2.57138865,2.44743202,2.92265279,2.89267155,2.81128141,2.78975698,2.71493096,2.42061096,1.94421304,1.55205412,1.02447453,0.67330789
45,38,4.755493,-74.062965,PM2.5 BRAKE,g/h,0.1822504,0.12929326,0.12337879,0.12877345,0.17116692,0.3441654,0.59354801,0.67602874,0.71330722,0.6778843,0.69949962,0.7018505,0.64848991,0.71029265,0.67382599,0.79925559,0.76855238,0.74636023,0.74143696,0.71885614,0.64278617,0.5187338,0.43558337,0.28708044,0.1822504
45,38,4.755493,-74.062965,PM2.5 TIRE,g/h,0.07248374,0.05355595,0.05098263,0.05210355,0.05777451,0.11119626,0.21414936,0.25082988,0.2676117,0.25899188,0.27699946,0.27471484,0.24967292,0.27570719,0.26240871,0.31370485,0.31036245,0.30223428,0.29998006,0.29111327,0.25941473,0.20830918,0.16663876,0.11009006,0.07248374
49,40,4.791351,-74.044975,PM10 TIRE,g/h,4.45944441,3.30040078,3.14462632,3.21672114,3.59913288,6.89075149,13.23002847,15.48249326,16.52701604,15.98485454,17.14240452,16.99885662,15.44639536,17.06803912,16.24206214,19.38502242,19.17641902,18.6389491,18.48731657,17.98836096,16.03822645,12.88578653,10.2964671,6.79486736,4.45944441
45,38,4.755493,-74.062965,PM10 BRAKE,g/h,1.45798902,1.03436622,0.98703769,1.03019164,1.36924152,2.75318048,4.74838616,5.40824385,5.70642405,5.42304085,5.5960494,5.61483483,5.1880157,5.68244534,5.39068715,6.39409612,6.14852456,5.97099592,5.93152368,5.75086524,5.14229933,4.14987721,3.4846216,2.29660362,1.45798902
53,37,4.827202,-74.07196,PM2.5 TIRE,g/h,0.04850124,0.035836,0.03411415,0.03486417,0.03865886,0.07440508,0.14329436,0.1678385,0.17906777,0.17329994,0.18534943,0.18382071,0.16706429,0.1844847,0.17558626,0.20991018,0.20767368,0.20223486,0.20072649,0.19479344,0.17358292,0.13938652,0.11150348,0.07366485,0.04850124
53,37,4.827202,-74.07196,PM2.5 BRAKE,g/h,0.12194972,0.08651439,0.08255679,0.08616653,0.11453336,0.23029238,0.39716244,0.45235301,0.47729726,0.45359462,0.46805817,0.46963117,0.43392586,0.47528014,0.45087908,0.53480816,0.5142636,0.49941412,0.49611976,0.48101023,0.43010931,0.34710181,0.29146312,0.19209493,0.12194972
45,38,4.755493,-74.062965,PM10 TIRE,g/h,0.48006056,0.35454635,0.33734171,0.34485867,0.38328932,0.7397629,1.42376411,1.66672965,1.77736095,1.71905646,1.83736939,1.82274816,1.65814479,1.83008699,1.74147211,2.08071272,2.05750665,2.00380181,1.98789389,1.92886206,1.71883767,1.38065702,1.10549787,0.73016986,0.48006056
