FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
1713,3428,37,53,4.8272,-74.072,NHabil,CO,DSEL,118.02246961,85.5328614,83.52434127,93.21723313,215.78096182,460.40582847,635.5992467,657.19471432,717.07982382,674.90615539,606.51750919,638.4274151,565.9775095,585.93322679,523.4133379,611.81151323,497.81085803,475.24217672,456.4906274,459.76737525,390.05013954,317.91783139,326.15141972,229.56092488
1713,3428,37,53,4.8272,-74.072,NHabil,CO,GAS,2188.40207742,1704.95152639,1591.61113716,1714.0032996,2157.73517196,4447.48663702,7507.29267768,7811.45657986,7602.86096118,7010.207891,7451.49726866,7595.62612302,7425.07942877,8442.24793256,7595.70903508,8922.92704675,8362.39567031,7955.02346298,7458.14189293,7267.03571278,6592.28708932,5251.42242037,4611.39534612,3081.86871855
1713,3428,37,53,4.8272,-74.072,NHabil,CO,GNV,517.66320582,399.59871877,385.90071676,398.89018211,431.32351249,754.89597417,1395.02680805,1639.17691496,1781.29410963,1771.03029861,1923.14690884,1880.7444183,1669.35048841,1867.90104409,1780.30779445,2160.72589036,2146.74392314,2081.91600863,2058.19162523,2008.77633508,1776.90612087,1399.30679006,1105.71949986,743.98833946
1713,3428,37,53,4.8272,-74.072,Habil,CO,DSEL,122.72980623,76.86940093,81.76317326,111.27884137,325.87252162,741.95073311,797.27402087,809.24349962,924.19640349,865.1949188,967.92533078,887.67434063,873.33110731,869.77411128,900.65864116,937.04151355,974.40494798,865.13726318,714.3455538,659.6483585,598.61305545,515.06285195,354.65759726,236.38936437
1713,3428,37,53,4.8272,-74.072,Habil,CO,GAS,1270.15487332,910.51746848,860.69521412,1088.42998961,3958.96855746,14870.9659237,24190.9874873,15427.366947,12507.406405,8596.42856782,9686.32909766,9341.44997712,10322.8427091,12218.361602,14520.1416014,21696.3357333,19660.6247578,16855.1796405,12146.2822557,8732.72118594,7103.43007567,5745.46710751,3822.29660698,1919.29094995
1713,3428,37,53,4.8272,-74.072,Habil,CO,GNV,227.71821529,143.98372736,140.66050722,189.74284966,418.75800367,1386.33263777,2003.63163956,1509.70077861,1768.13506574,1819.06486595,2057.23945369,1958.52749904,1958.4982028,2050.00782521,2123.69354192,1940.06791306,1941.98169697,1972.09721023,1913.04102488,1972.05432475,1812.28572699,1421.95309134,794.61901765,399.03990957
6393,3428,37,53,4.8272,-74.072,NHabil,CO,DSEL,156.00318832,113.05812467,110.40324425,123.21539807,285.22126447,608.56866827,840.14094352,868.68603169,947.84272148,892.09717779,801.70043476,843.87924258,748.11428947,774.49194056,691.85257507,808.69809814,658.01098115,628.17949017,603.39351941,607.72475491,515.5718701,420.22672022,431.10995319,303.43574669
6393,3428,37,53,4.8272,-74.072,NHabil,CO,GAS,2892.65003953,2253.62064454,2103.80627322,2265.58536181,2852.11424119,5878.72883561,9923.20866673,10325.2553165,10049.5317049,9266.15741335,9849.45778074,10039.9686291,9814.53843645,11159.0411414,10040.078223,11794.4072256,11053.4916851,10515.0233461,9858.24070635,9605.63479573,8713.74584512,6941.37856505,6095.38487828,4073.64248212
6393,3428,37,53,4.8272,-74.072,NHabil,CO,GNV,684.25199748,528.19327013,510.08712479,527.25671985,570.12739494,997.82845761,1843.95929484,2166.67915682,2354.53097486,2340.96417481,2542.0333125,2485.9853096,2206.56286434,2469.00881915,2353.22725433,2856.06740037,2837.58590719,2751.89577219,2720.53666351,2655.21907745,2348.73089083,1849.61661451,1461.5502279,983.41064548
6393,3428,37,53,4.8272,-74.072,Habil,CO,DSEL,162.22538926,101.60668276,108.07531611,147.08939836,430.74130311,980.71731864,1053.84415038,1069.66551776,1221.61132576,1143.62261939,1279.41262496,1173.33612642,1154.37710835,1149.67543823,1190.49889454,1238.59011067,1287.97744272,1143.54640967,944.22853816,871.92928118,791.25225494,680.8148258,468.78968144,312.46164093
6393,3428,37,53,4.8272,-74.072,Habil,CO,GAS,1678.90242036,1203.53038337,1137.67486828,1438.69679388,5233.00113468,19656.5798448,31975.8702633,20392.0358465,16532.4050846,11362.8385264,12803.4790939,12347.6146931,13644.8286532,16150.3429995,19192.8570214,28678.4165783,25987.5950447,22279.3318269,16055.0678551,11542.9913655,9389.37935642,7594.4113868,5052.34689066,2536.93647047
6393,3428,37,53,4.8272,-74.072,Habil,CO,GNV,301.00003615,190.31901813,185.92635511,250.80384784,553.51818955,1832.46726042,2648.41877153,1995.53640622,2337.1372293,2404.45670874,2719.27807438,2588.79970276,2588.7609787,2709.71924119,2807.11770083,2564.39965186,2566.92930903,2606.73627213,2528.67526189,2606.67958568,2395.49598035,1879.55070428,1050.33474264,527.45463097
