FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
1713,3428,37,53,4.8272,-74.072,NHabil,ETOH,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713,3428,37,53,4.8272,-74.072,NHabil,ETOH,GAS,0.0568106,0.0436971,0.04201467,0.04541663,0.0623401,0.11934985,0.18075745,0.18296104,0.18110059,0.16997702,0.1770225,0.1815213,0.16878218,0.19630663,0.17491699,0.21186165,0.1940263,0.18202532,0.17528408,0.17316155,0.1566902,0.12276334,0.11163174,0.07667971
1713,3428,37,53,4.8272,-74.072,NHabil,ETOH,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713,3428,37,53,4.8272,-74.072,Habil,ETOH,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713,3428,37,53,4.8272,-74.072,Habil,ETOH,GAS,0.03395804,0.02591401,0.02539307,0.03277013,0.11869988,0.42175404,0.6414213,0.37675512,0.30676421,0.19986117,0.23601201,0.2240849,0.2563378,0.31385945,0.38165046,0.59462838,0.52108231,0.4040998,0.28415597,0.20861593,0.16961039,0.13284575,0.08854256,0.04915087
1713,3428,37,53,4.8272,-74.072,Habil,ETOH,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6393,3428,37,53,4.8272,-74.072,NHabil,ETOH,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6393,3428,37,53,4.8272,-74.072,NHabil,ETOH,GAS,0.07509275,0.0577592,0.05553538,0.0600321,0.08240169,0.15775771,0.23892686,0.24183961,0.23938043,0.22467721,0.23398998,0.23993652,0.22309782,0.25947994,0.23120689,0.2800407,0.25646575,0.24060277,0.23169213,0.22888653,0.20711455,0.16226974,0.14755586,0.10135593
6393,3428,37,53,4.8272,-74.072,NHabil,ETOH,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6393,3428,37,53,4.8272,-74.072,Habil,ETOH,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6393,3428,37,53,4.8272,-74.072,Habil,ETOH,GAS,0.04488606,0.03425339,0.03356477,0.04331584,0.15689861,0.55747838,0.84783659,0.49799841,0.40548377,0.26417835,0.31196286,0.29619748,0.33882966,0.41486229,0.5044691,0.78598527,0.68877138,0.53414285,0.3756,0.27575045,0.22419256,0.17559673,0.11703638,0.06496807
6393,3428,37,53,4.8272,-74.072,Habil,ETOH,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
