FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
1713,3428,37,53,4.8272,-74.072,NHabil,MEOH,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713,3428,37,53,4.8272,-74.072,NHabil,MEOH,GAS,0.00082281,0.00063738,0.00060979,0.00060955,0.00058174,0.00103694,0.00220993,0.00263072,0.00288036,0.00287739,0.00314777,0.00309443,0.00269895,0.00300369,0.00284445,0.00345923,0.00348419,0.00339804,0.00337542,0.00329471,0.0029028,0.00230903,0.0017854,0.00119679
1713,3428,37,53,4.8272,-74.072,NHabil,MEOH,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713,3428,37,53,4.8272,-74.072,Habil,MEOH,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713,3428,37,53,4.8272,-74.072,Habil,MEOH,GAS,0.00033061,0.00019056,0.00017546,0.00022293,0.00049389,0.00205238,0.00328606,0.00245736,0.0028348,0.00298956,0.0032216,0.00312421,0.00308864,0.00324216,0.00341489,0.00309445,0.00312697,0.00326775,0.00317615,0.00321312,0.00294683,0.00231448,0.00126587,0.0005989
1713,3428,37,53,4.8272,-74.072,Habil,MEOH,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6393,3428,37,53,4.8272,-74.072,NHabil,MEOH,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6393,3428,37,53,4.8272,-74.072,NHabil,MEOH,GAS,0.00108759,0.00084249,0.00080604,0.00080571,0.00076895,0.00137063,0.00292111,0.0034773,0.00380729,0.00380336,0.00416076,0.00409025,0.00356748,0.0039703,0.00375983,0.00457244,0.00460544,0.00449156,0.00446168,0.00435497,0.00383693,0.00305211,0.00235997,0.00158194
6393,3428,37,53,4.8272,-74.072,NHabil,MEOH,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6393,3428,37,53,4.8272,-74.072,Habil,MEOH,DSEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6393,3428,37,53,4.8272,-74.072,Habil,MEOH,GAS,0.00043701,0.00025188,0.00023192,0.00029467,0.00065283,0.00271284,0.00434355,0.00324817,0.00374707,0.00395162,0.00425834,0.0041296,0.00408259,0.00428552,0.00451383,0.00409027,0.00413324,0.00431934,0.00419828,0.00424711,0.00389514,0.0030593,0.00167326,0.00079162
6393,3428,37,53,4.8272,-74.072,Habil,MEOH,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
