FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
1713,3428,37,53,4.8272,-74.072,NHabil,PAL,DSEL,0.00898364,0.00665797,0.00705932,0.00873026,0.02179098,0.04164506,0.04830473,0.04867409,0.05217481,0.04868514,0.04582681,0.04699889,0.04328148,0.046571,0.04271649,0.04884671,0.0394902,0.03557147,0.03397281,0.0365119,0.03257996,0.02593289,0.02594448,0.01745315
1713,3428,37,53,4.8272,-74.072,NHabil,PAL,GAS,0.00688537,0.00539095,0.00492145,0.00517583,0.00520811,0.01130725,0.02310423,0.02604684,0.02594198,0.02415082,0.02657795,0.02647861,0.02624269,0.02903857,0.02702746,0.0312061,0.0307523,0.02988101,0.02803545,0.02695549,0.02431604,0.01963533,0.01583792,0.01028606
1713,3428,37,53,4.8272,-74.072,NHabil,PAL,GNV,0.00092298,0.000707,0.00068147,0.00068321,0.00076707,0.00136476,0.00265985,0.00314304,0.00339105,0.00335584,0.00364978,0.00351028,0.00318614,0.0035639,0.0034651,0.00414272,0.00418442,0.00405901,0.00404384,0.00392453,0.00346711,0.00270041,0.00207157,0.00135346
1713,3428,37,53,4.8272,-74.072,Habil,PAL,DSEL,0.01004515,0.00704886,0.00754038,0.0110992,0.03074488,0.0614924,0.0574133,0.05903892,0.06752175,0.06103092,0.07429346,0.06607303,0.06668413,0.06634758,0.06683565,0.06906635,0.07049392,0.06035687,0.05053439,0.05004896,0.04582876,0.03981117,0.02795752,0.0189903
1713,3428,37,53,4.8272,-74.072,Habil,PAL,GAS,0.0033222,0.0020288,0.00177604,0.00222328,0.00678324,0.02863692,0.05248102,0.03942207,0.03464669,0.02882853,0.03068393,0.03003243,0.03081972,0.03355969,0.03691451,0.0446355,0.04408234,0.04605322,0.03711884,0.02958271,0.02533215,0.02085537,0.01291311,0.00572552
1713,3428,37,53,4.8272,-74.072,Habil,PAL,GNV,0.00036914,0.00021273,0.00021049,0.00027176,0.00068403,0.00253345,0.00389763,0.00306713,0.0035006,0.00348771,0.00378634,0.00363194,0.00365811,0.00384522,0.00391623,0.00358781,0.00360953,0.00378993,0.00376067,0.00378222,0.00344625,0.00266377,0.00147846,0.00069438
6393,3428,37,53,4.8272,-74.072,NHabil,PAL,DSEL,0.01187467,0.00880054,0.00933107,0.01153976,0.0288035,0.05504684,0.06384962,0.06433787,0.06896519,0.06435245,0.06057433,0.06212361,0.05720987,0.06155799,0.05646303,0.064566,0.05219853,0.04701866,0.04490558,0.04826178,0.04306449,0.03427831,0.03429365,0.02306973
6393,3428,37,53,4.8272,-74.072,NHabil,PAL,GAS,0.00910113,0.00712581,0.0065052,0.00684145,0.00688411,0.01494601,0.03053938,0.03442894,0.03429034,0.03192279,0.03513099,0.03499967,0.03468782,0.03838344,0.03572514,0.04124852,0.04064866,0.03949698,0.03705751,0.03563002,0.03214113,0.02595414,0.02093472,0.0135962
6393,3428,37,53,4.8272,-74.072,NHabil,PAL,GNV,0.00122001,0.0009345,0.00090079,0.00090305,0.00101391,0.00180394,0.00351581,0.00415452,0.00448232,0.0044358,0.00482432,0.00463992,0.00421149,0.00471081,0.00458019,0.00547585,0.00553101,0.00536522,0.00534518,0.00518746,0.00458282,0.00356942,0.00273823,0.00178904
6393,3428,37,53,4.8272,-74.072,Habil,PAL,DSEL,0.0132778,0.00931725,0.00996695,0.014671,0.04063887,0.08128122,0.07588943,0.0780382,0.08925086,0.08067124,0.09820182,0.08733594,0.08814369,0.08769883,0.088344,0.09129255,0.09317953,0.07978026,0.0667968,0.06615523,0.06057693,0.05262279,0.03695452,0.02510155
6393,3428,37,53,4.8272,-74.072,Habil,PAL,GAS,0.00439131,0.00268168,0.00234759,0.00293876,0.00896614,0.03785253,0.06936991,0.05210845,0.04579634,0.03810579,0.04055829,0.03969714,0.04073779,0.04435951,0.04879393,0.05899964,0.05826844,0.06087356,0.04906403,0.03910273,0.03348427,0.0275668,0.01706865,0.00756806
6393,3428,37,53,4.8272,-74.072,Habil,PAL,GNV,0.00048793,0.00028118,0.00027823,0.00035918,0.00090418,0.00334875,0.00515192,0.00405416,0.00462712,0.00461008,0.00500481,0.0048007,0.00483533,0.00508264,0.00517651,0.00474241,0.00477111,0.00500957,0.00497089,0.00499937,0.00455527,0.003521,0.00195423,0.00091785
