FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
1713,3428,37,53,4.8272,-74.072,NHabil,PCA,DSEL,0.05314645,0.03940822,0.04178909,0.05169104,0.12906723,0.24664597,0.28601869,0.28816784,0.30889937,0.28822494,0.27127511,0.27822121,0.25621189,0.27568917,0.25285027,0.28913016,0.23368442,0.21046642,0.20099153,0.21604762,0.19277614,0.15343105,0.15350748,0.10328172
1713,3428,37,53,4.8272,-74.072,NHabil,PCA,GAS,0.03067443,0.02401667,0.02192512,0.02305826,0.02320168,0.0503722,0.10292742,0.11603753,0.11557127,0.10759234,0.11840542,0.11796259,0.11691055,0.12936615,0.12040719,0.1390235,0.13700242,0.13312088,0.12489968,0.12008847,0.10832929,0.08747645,0.07055827,0.04582459
1713,3428,37,53,4.8272,-74.072,NHabil,PCA,GNV,0.00045631,0.00034951,0.00033692,0.00033777,0.00037923,0.00067471,0.00131498,0.00155388,0.00167646,0.00165907,0.00180438,0.00173541,0.00157518,0.00176192,0.00171307,0.00204807,0.0020687,0.0020067,0.00199919,0.0019402,0.00171408,0.00133503,0.00102415,0.00066912
1713,3428,37,53,4.8272,-74.072,Habil,PCA,DSEL,0.05948809,0.04175993,0.04467507,0.06575161,0.18211737,0.36415181,0.33983613,0.34950591,0.39976173,0.36131608,0.43992277,0.39121582,0.39484056,0.39283941,0.39571688,0.40895442,0.41737812,0.35727148,0.29907814,0.29618807,0.27120075,0.23561339,0.16546282,0.11245222
1713,3428,37,53,4.8272,-74.072,Habil,PCA,GAS,0.0148,0.00903788,0.00791193,0.00990434,0.03021726,0.1275704,0.2337909,0.17561722,0.15434633,0.12842983,0.13669515,0.13379275,0.13729961,0.14950531,0.16444969,0.19884076,0.19637746,0.20515932,0.16536078,0.13179095,0.11285557,0.09291093,0.05752733,0.02550694
1713,3428,37,53,4.8272,-74.072,Habil,PCA,GNV,0.00018249,0.00010515,0.00010406,0.00013434,0.00033819,0.00125247,0.00192692,0.00151634,0.00173063,0.00172424,0.00187188,0.00179555,0.0018085,0.00190101,0.00193609,0.00177374,0.00178449,0.00187368,0.00185922,0.00186985,0.00170375,0.00131691,0.00073091,0.00034331
6393,3428,37,53,4.8272,-74.072,NHabil,PCA,DSEL,0.07024947,0.05209016,0.05523717,0.06832569,0.17060227,0.32601888,0.37806216,0.3809029,0.40830606,0.38097837,0.35857394,0.36775535,0.33866325,0.36440847,0.33421983,0.38217491,0.30888619,0.27819646,0.26567246,0.28557374,0.25481328,0.20280659,0.20290761,0.13651871
6393,3428,37,53,4.8272,-74.072,NHabil,PCA,GAS,0.04054576,0.03174545,0.02898086,0.03047864,0.03066819,0.06658242,0.13605041,0.15337948,0.15276317,0.14221654,0.1565094,0.15592406,0.15453345,0.17099737,0.15915533,0.18376254,0.18109104,0.17596039,0.16509356,0.15873406,0.14319068,0.11562718,0.0932646,0.06057137
6393,3428,37,53,4.8272,-74.072,NHabil,PCA,GNV,0.00060315,0.000462,0.00044534,0.00044646,0.00050127,0.00089184,0.00173814,0.00205392,0.00221596,0.00219298,0.00238507,0.00229389,0.00208208,0.00232894,0.00226436,0.00270716,0.00273443,0.00265245,0.00264257,0.00256459,0.00226569,0.00176465,0.00135372,0.00088447
6393,3428,37,53,4.8272,-74.072,Habil,PCA,DSEL,0.07863188,0.05519866,0.0590519,0.08691104,0.24072441,0.48133921,0.44919852,0.46198014,0.52840875,0.47759093,0.58149399,0.5171127,0.52190391,0.51925876,0.52306223,0.54055972,0.55169423,0.47224477,0.39532422,0.39150416,0.35847568,0.31143592,0.21871029,0.14864039
6393,3428,37,53,4.8272,-74.072,Habil,PCA,GAS,0.01956277,0.01194637,0.01045808,0.01309161,0.03994146,0.16862371,0.30902694,0.23213245,0.20401641,0.16975976,0.18068492,0.17684851,0.18148388,0.19761749,0.2173711,0.26282956,0.25957355,0.2711815,0.21857538,0.1742025,0.14917355,0.12281048,0.07604014,0.03371533
6393,3428,37,53,4.8272,-74.072,Habil,PCA,GNV,0.00024123,0.00013901,0.00013755,0.00017757,0.00044701,0.00165556,0.00254702,0.0020043,0.00228757,0.00227915,0.00247429,0.00237339,0.0023905,0.00251276,0.00255919,0.00234457,0.00235876,0.00247665,0.00245753,0.00247159,0.00225205,0.00174071,0.00096614,0.00045376
