FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
1713,3428,37,53,4.8272,-74.072,NHabil,PMG,DSEL,0.00182307,0.00133587,0.00141244,0.00173887,0.00430601,0.00824171,0.00961214,0.00971437,0.01040856,0.00972277,0.00917323,0.00940189,0.00866059,0.00931561,0.00856047,0.00979391,0.00796588,0.00719696,0.00688575,0.00737459,0.0065845,0.0052518,0.00524812,0.00351886
1713,3428,37,53,4.8272,-74.072,NHabil,PMG,GAS,0.00307271,0.00240579,0.0021963,0.00230979,0.00232421,0.00504605,0.01031064,0.01162387,0.01157706,0.01077776,0.01186091,0.01181654,0.01171129,0.01295899,0.01206153,0.01392631,0.01372377,0.01333496,0.01251133,0.01202937,0.01085144,0.00876262,0.00706796,0.00459033
1713,3428,37,53,4.8272,-74.072,NHabil,PMG,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713,3428,37,53,4.8272,-74.072,Habil,PMG,DSEL,0.00199181,0.00138558,0.00147974,0.00218463,0.0060629,0.01220074,0.01151187,0.01180192,0.01346886,0.01218682,0.01476754,0.01315639,0.01327321,0.01321264,0.01331919,0.01374092,0.01404694,0.01209296,0.01016342,0.01007897,0.00923835,0.00800796,0.00562156,0.00377274
1713,3428,37,53,4.8272,-74.072,Habil,PMG,GAS,0.0014826,0.00090539,0.00079257,0.00099222,0.00302706,0.01277933,0.02341991,0.01759252,0.01546158,0.01286524,0.01369327,0.01340253,0.01375382,0.01497648,0.01647351,0.01991877,0.01967206,0.02055185,0.01656481,0.0132018,0.01130493,0.00930709,0.00576272,0.00255512
1713,3428,37,53,4.8272,-74.072,Habil,PMG,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6393,3428,37,53,4.8272,-74.072,NHabil,PMG,DSEL,0.00240977,0.00176575,0.00186698,0.00229846,0.00569171,0.01089394,0.01270543,0.01284052,0.01375813,0.01285165,0.01212527,0.01242752,0.01144766,0.01231347,0.01131534,0.01294568,0.01052936,0.00951301,0.00910167,0.00974777,0.00870344,0.00694189,0.00693702,0.00465127
6393,3428,37,53,4.8272,-74.072,NHabil,PMG,GAS,0.00406154,0.00318001,0.00290305,0.00305313,0.00307215,0.00666994,0.01362872,0.01536454,0.01530269,0.01424614,0.01567786,0.01561923,0.0154801,0.01712933,0.01594303,0.01840791,0.01814023,0.01762626,0.01653759,0.01590053,0.01434355,0.0115825,0.0093425,0.00606754
6393,3428,37,53,4.8272,-74.072,NHabil,PMG,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6393,3428,37,53,4.8272,-74.072,Habil,PMG,DSEL,0.00263282,0.00183148,0.00195594,0.00288767,0.00801403,0.01612706,0.01521649,0.01559989,0.01780328,0.01610867,0.0195199,0.0173902,0.01754467,0.01746457,0.01760542,0.01816287,0.01856736,0.01598457,0.01343411,0.01332246,0.01221133,0.010585,0.00743062,0.00498683
6393,3428,37,53,4.8272,-74.072,Habil,PMG,GAS,0.00195971,0.00119672,0.00104765,0.00131149,0.00400119,0.01689182,0.03095664,0.02325394,0.02043723,0.01700539,0.01809989,0.01771556,0.01817992,0.01979605,0.02177483,0.02632882,0.02600269,0.0271656,0.02189553,0.01745025,0.01494295,0.01230222,0.00761722,0.00337739
6393,3428,37,53,4.8272,-74.072,Habil,PMG,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
