FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
1713,3428,37,53,4.8272,-74.072,NHabil,PNO3,DSEL,0.02744082,0.02037939,0.02161889,0.02675802,0.06688368,0.12778795,0.14807726,0.14912988,0.15986801,0.14914641,0.1403309,0.14393662,0.13254526,0.14262806,0.13077912,0.14953344,0.12075741,0.10871427,0.10379441,0.11162367,0.09959161,0.07924286,0.079295,0.05337497
1713,3428,37,53,4.8272,-74.072,NHabil,PNO3,GAS,0.00613727,0.00480516,0.00438671,0.00461341,0.00464205,0.01007794,0.02059281,0.02321592,0.02312284,0.02152661,0.02369008,0.02360144,0.02339064,0.02588272,0.02409031,0.02781514,0.02741087,0.02663427,0.02498965,0.02402706,0.02167427,0.01750209,0.01411702,0.00916842
1713,3428,37,53,4.8272,-74.072,NHabil,PNO3,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713,3428,37,53,4.8272,-74.072,Habil,PNO3,DSEL,0.03081292,0.02165563,0.02317249,0.03409108,0.09440071,0.18860281,0.17575712,0.18083331,0.20689575,0.1869717,0.22779001,0.20252203,0.2044086,0.20335919,0.20482919,0.2117289,0.21604413,0.18479354,0.15461331,0.15309171,0.1401571,0.12180173,0.08554133,0.05823156
1713,3428,37,53,4.8272,-74.072,Habil,PNO3,GAS,0.00296103,0.00180821,0.00158293,0.00198155,0.00604551,0.02552312,0.04677445,0.03513531,0.03088005,0.0256953,0.02734886,0.02676818,0.02746983,0.02991191,0.0329019,0.03978216,0.03928918,0.04104591,0.03308387,0.02636808,0.02257975,0.01858912,0.01150962,0.00510324
1713,3428,37,53,4.8272,-74.072,Habil,PNO3,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6393,3428,37,53,4.8272,-74.072,NHabil,PNO3,DSEL,0.03627154,0.02693766,0.02857606,0.03536898,0.08840748,0.16891128,0.19572989,0.19712123,0.21131506,0.1971431,0.18549069,0.19025675,0.17519955,0.18852709,0.17286506,0.19765469,0.15961825,0.14369953,0.13719643,0.14754521,0.13164113,0.10474394,0.1048129,0.07055153
6393,3428,37,53,4.8272,-74.072,NHabil,PNO3,GAS,0.00811229,0.00635153,0.00579842,0.00609804,0.00613589,0.0133211,0.02721977,0.03068704,0.03056399,0.02845408,0.03131374,0.03119661,0.03091795,0.03421201,0.03184284,0.03676632,0.03623193,0.03520542,0.03303155,0.0317592,0.02864928,0.02313439,0.01866001,0.01211892
6393,3428,37,53,4.8272,-74.072,NHabil,PNO3,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6393,3428,37,53,4.8272,-74.072,Habil,PNO3,DSEL,0.04072881,0.0286246,0.03062963,0.04506188,0.12477972,0.24929693,0.2323174,0.23902714,0.27347671,0.24714091,0.30109493,0.26769552,0.27018916,0.26880204,0.27074512,0.27986525,0.2855691,0.24426181,0.20436929,0.20235804,0.18526092,0.16099865,0.11306931,0.07697101
6393,3428,37,53,4.8272,-74.072,Habil,PNO3,GAS,0.00391393,0.0023901,0.00209233,0.00261922,0.00799102,0.03373668,0.06182689,0.04644216,0.04081756,0.03396429,0.03615001,0.03538244,0.03630988,0.03953785,0.04349001,0.05258442,0.0519328,0.05425489,0.04373057,0.03485356,0.02984611,0.0245713,0.01521351,0.00674551
6393,3428,37,53,4.8272,-74.072,Habil,PNO3,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
