FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
1713,3428,37,53,4.8272,-74.072,NHabil,PSO4,DSEL,0.21797134,0.13134317,0.13144652,0.14696114,0.29909222,0.59615805,0.79529551,0.85816899,0.9110369,0.87063775,0.86163472,0.87188735,0.80759393,0.86263713,0.82267211,0.95048882,0.86329766,0.82029222,0.80769331,0.8169608,0.7370692,0.6078609,0.59611462,0.37805512
1713,3428,37,53,4.8272,-74.072,NHabil,PSO4,GAS,0.18132793,0.14117301,0.13014048,0.13631301,0.14082863,0.29595834,0.59048415,0.66301077,0.66512185,0.62321557,0.68327822,0.68161383,0.66409439,0.73891856,0.68678693,0.8001005,0.78662463,0.76247852,0.72234124,0.69692967,0.62792803,0.50541027,0.40899767,0.26751082
1713,3428,37,53,4.8272,-74.072,NHabil,PSO4,GNV,0.00107857,0.00082614,0.00079634,0.00079836,0.00089635,0.00159477,0.00310814,0.0036728,0.00396257,0.00392142,0.00426492,0.00410189,0.00372316,0.00416456,0.0040491,0.00484089,0.00488965,0.00474308,0.00472538,0.00458595,0.00405144,0.00315553,0.0024207,0.00158158
1713,3428,37,53,4.8272,-74.072,Habil,PSO4,DSEL,0.15138601,0.08228057,0.08313443,0.13525565,0.39737956,0.94193465,1.11776179,1.07840895,1.17640614,1.08846655,1.19130969,1.10461893,1.10527627,1.11239188,1.13904437,1.13192608,1.19882968,1.15696857,1.0448109,1.06081362,0.98966498,0.82543646,0.57556042,0.30047889
1713,3428,37,53,4.8272,-74.072,Habil,PSO4,GAS,0.08703213,0.0543687,0.04824047,0.06058491,0.19091341,0.79093165,1.40304754,1.01253634,0.89167623,0.73372298,0.78554507,0.76714082,0.79536052,0.87830235,0.9778323,1.21254227,1.17386529,1.17696687,0.94550826,0.76113909,0.65272455,0.53195914,0.32734587,0.14837022
1713,3428,37,53,4.8272,-74.072,Habil,PSO4,GNV,0.00043135,0.00024856,0.00024597,0.00031752,0.00079934,0.00296043,0.00455453,0.00358406,0.00409057,0.00407552,0.00442451,0.00424405,0.00427466,0.00449329,0.00457626,0.0041925,0.00421788,0.0044287,0.0043945,0.00441967,0.00402707,0.00311273,0.00172763,0.00081142
6393,3428,37,53,4.8272,-74.072,NHabil,PSO4,DSEL,0.28811654,0.17361065,0.17374721,0.1942546,0.39534283,0.78800721,1.05122894,1.1343357,1.20421698,1.15081701,1.13891672,1.15246875,1.0674851,1.1402417,1.08741562,1.2563649,1.14111482,1.08426984,1.06761645,1.07986635,0.97426484,0.80347614,0.78794982,0.49971672
6393,3428,37,53,4.8272,-74.072,NHabil,PSO4,GAS,0.23968093,0.18660377,0.1720209,0.18017977,0.18614858,0.39120045,0.78050741,0.87637372,0.8791642,0.82377211,0.90316343,0.90096345,0.87780609,0.97670933,0.90780128,1.05758024,1.03976769,1.00785114,0.95479731,0.92120803,0.83000103,0.66805593,0.54061691,0.35359827
6393,3428,37,53,4.8272,-74.072,NHabil,PSO4,GNV,0.00142564,0.00109199,0.00105262,0.00105527,0.00118481,0.00210797,0.00410837,0.00485472,0.00523777,0.0051834,0.00563743,0.0054219,0.0049213,0.00550476,0.00535214,0.00639875,0.0064632,0.00626946,0.00624606,0.00606177,0.00535525,0.00417101,0.00319972,0.00209054
6393,3428,37,53,4.8272,-74.072,Habil,PSO4,DSEL,0.20010345,0.10875922,0.10988783,0.17878214,0.52525995,1.24505792,1.47746781,1.42545093,1.55498449,1.43874513,1.57468415,1.46009549,1.46096435,1.47036982,1.50559936,1.49619034,1.58462412,1.52929172,1.3810407,1.40219325,1.30814831,1.09106951,0.76078104,0.39717579
6393,3428,37,53,4.8272,-74.072,Habil,PSO4,GAS,0.11503989,0.07186503,0.06376468,0.08008167,0.25235111,1.04546075,1.85456115,1.33837988,1.17862584,0.96984177,1.03834068,1.0140138,1.05131486,1.16094815,1.29250776,1.60274958,1.55162597,1.55572566,1.24978155,1.00608069,0.86277732,0.70314849,0.43268877,0.19611711
6393,3428,37,53,4.8272,-74.072,Habil,PSO4,GNV,0.00057016,0.00032856,0.00032513,0.00041971,0.00105656,0.00391314,0.00602023,0.00473745,0.00540697,0.00538707,0.00584834,0.00560983,0.00565028,0.00593927,0.00604893,0.00554169,0.00557523,0.00585389,0.00580869,0.00584194,0.00532304,0.00411443,0.0022836,0.00107254
