FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
1713,3428,37,53,4.8272,-74.072,NHabil,PTI,DSEL,0.00133013,0.00098566,0.00104507,0.0012924,0.00322571,0.00616482,0.00715097,0.00720573,0.00772398,0.00720741,0.00678441,0.00695789,0.0064076,0.00689458,0.00632403,0.00723161,0.00584673,0.00526666,0.00503006,0.00540583,0.00482374,0.00383962,0.0038413,0.00258402
1713,3428,37,53,4.8272,-74.072,NHabil,PTI,GAS,0.00072434,0.0005671,0.00051775,0.00054449,0.00054784,0.00118918,0.00242993,0.00273954,0.00272876,0.00254051,0.00279584,0.00278535,0.0027602,0.00305433,0.00284286,0.00328256,0.00323494,0.00314328,0.00294936,0.00283579,0.00255807,0.00206562,0.00166606,0.00108206
1713,3428,37,53,4.8272,-74.072,NHabil,PTI,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713,3428,37,53,4.8272,-74.072,Habil,PTI,DSEL,0.00148701,0.00104339,0.00111613,0.00164295,0.00455112,0.00910303,0.00849991,0.00874036,0.009996,0.00903516,0.01099811,0.0097813,0.00987174,0.00982198,0.00989426,0.01022437,0.01043581,0.00893556,0.00748167,0.00740991,0.00678516,0.00589409,0.00413916,0.00281125
1713,3428,37,53,4.8272,-74.072,Habil,PTI,GAS,0.00034941,0.00021336,0.00018679,0.00023383,0.00071334,0.00301156,0.00551866,0.00414516,0.00364353,0.00303212,0.00322727,0.00315871,0.00324152,0.00352971,0.00388248,0.00469388,0.00463561,0.00484269,0.00390366,0.00311176,0.00266484,0.00219376,0.00135816,0.00060222
1713,3428,37,53,4.8272,-74.072,Habil,PTI,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6393,3428,37,53,4.8272,-74.072,NHabil,PTI,DSEL,0.00175818,0.00130288,0.00138138,0.00170831,0.00426377,0.00814872,0.0094522,0.0095246,0.01020959,0.0095268,0.00896769,0.00919702,0.00846961,0.00911329,0.00835918,0.00955882,0.00772825,0.00696148,0.00664876,0.00714549,0.00637603,0.00507527,0.00507749,0.00341559
6393,3428,37,53,4.8272,-74.072,NHabil,PTI,GAS,0.00095744,0.00074961,0.00068437,0.00071969,0.00072415,0.00157185,0.00321188,0.00362118,0.00360691,0.00335808,0.00369558,0.0036817,0.00364846,0.00403722,0.00375772,0.00433893,0.00427594,0.00415481,0.0038985,0.00374838,0.0033813,0.00273038,0.0022022,0.00143028
6393,3428,37,53,4.8272,-74.072,NHabil,PTI,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6393,3428,37,53,4.8272,-74.072,Habil,PTI,DSEL,0.00196554,0.00137917,0.00147529,0.00217167,0.00601569,0.01203246,0.01123527,0.01155308,0.01321279,0.01194274,0.01453739,0.01292902,0.01304857,0.01298278,0.01307832,0.01351466,0.01379417,0.01181112,0.00988933,0.0097945,0.00896872,0.0077909,0.0054712,0.00371595
6393,3428,37,53,4.8272,-74.072,Habil,PTI,GAS,0.00046184,0.00028203,0.00024689,0.00030909,0.00094288,0.00398071,0.00729458,0.00547909,0.00481606,0.0040079,0.00426583,0.00417524,0.00428466,0.0046656,0.0051319,0.00620443,0.00612741,0.00640111,0.00515992,0.00411317,0.0035224,0.00289972,0.00179523,0.00079602
6393,3428,37,53,4.8272,-74.072,Habil,PTI,GNV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
