FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
1713,3428,37,53,4.8272,-74.072,NHabil,TOG,DSEL,24.10373115,16.61383332,16.66609369,19.30331394,49.87105734,105.60148241,139.33864322,144.30478127,155.60864572,144.32423314,129.63174906,135.44799673,123.75873801,128.57031028,117.31369073,134.86227792,109.93860922,103.92172521,101.27789033,102.69678755,89.20089021,72.75210929,73.14694469,49.56487233
1713,3428,37,53,4.8272,-74.072,NHabil,TOG,GAS,153.79088202,121.14079814,111.48226814,122.09963668,152.40205398,325.66097311,556.06281828,581.63284745,558.46979571,508.55545501,542.99022289,551.72451119,558.84118156,628.93921414,567.97485608,655.88168236,614.91407751,587.17441382,538.13071534,520.7949847,473.94114616,379.10342974,333.55645964,220.56465322
1713,3428,37,53,4.8272,-74.072,NHabil,TOG,GNV,157.29545587,118.5254483,113.19486336,112.68856683,98.0127187,169.62209465,392.92316494,487.43260246,531.84147696,526.21976134,587.60694777,574.64424126,508.19950318,567.85237976,547.99252715,664.03347531,681.85919768,666.0998603,669.60157155,650.04063664,579.13021678,463.60945451,348.27349512,230.35237968
1713,3428,37,53,4.8272,-74.072,Habil,TOG,DSEL,25.89283099,16.23755905,17.10414764,24.30707857,74.46150065,163.7345041,174.02075462,182.40358472,203.84530143,186.79703238,207.97384501,189.26804053,188.19727594,187.56462649,191.93840898,199.92526203,208.43303771,186.86193852,156.243038,147.02321849,134.12026161,115.8917341,80.37419292,52.55127183
1713,3428,37,53,4.8272,-74.072,Habil,TOG,GAS,92.49640157,65.42596444,61.73829608,78.7342089,271.67565927,1004.82173286,1669.82602307,1121.89742527,910.58409926,637.83228293,719.82319459,693.91801161,753.52584719,870.55067641,1014.46430393,1477.78942551,1367.82979689,1234.41657367,894.28118369,634.52521354,515.05939066,425.45758019,287.30856465,140.91943759
1713,3428,37,53,4.8272,-74.072,Habil,TOG,GNV,53.45691566,28.51406594,23.41682078,30.47125735,68.15646193,344.74353874,612.25379994,453.28853253,509.0698335,539.57958761,558.61406967,546.74285967,545.02474331,579.56266654,608.93574077,539.39486612,547.01205695,601.146114,599.46537461,618.63770577,571.95062565,446.02334339,238.9725216,106.8085356
6393,3428,37,53,4.8272,-74.072,NHabil,TOG,DSEL,31.86053404,21.96031804,22.02939628,25.51529832,65.92002331,139.58501292,184.17910309,190.74339013,205.68494241,190.76910183,171.34844091,179.03641071,163.58544078,169.94542136,155.06631786,178.26220216,145.31786714,137.36469442,133.87004905,135.7455605,117.90655899,96.16440874,96.68630579,65.51530517
6393,3428,37,53,4.8272,-74.072,NHabil,TOG,GAS,203.28220559,160.1250237,147.35828973,161.39242533,201.44643985,430.46167632,735.00895921,768.80765948,738.19052418,672.21328855,717.72948215,729.2745449,738.68142542,831.33765108,750.75440058,866.95045394,812.79909617,776.13255302,711.30614026,688.39161168,626.45977599,501.10240814,440.89800322,291.54439185
6393,3428,37,53,4.8272,-74.072,NHabil,TOG,GNV,207.91458358,156.66803019,149.62201386,148.95278643,129.55411509,224.20804833,519.36946154,644.29290728,702.99296696,695.56213147,776.70428035,759.57005541,671.74278806,750.59251027,724.34157403,877.72556901,901.28777318,880.45693572,885.08552997,859.22970586,765.49965924,612.80325072,460.35111637,304.48189898
6393,3428,37,53,4.8272,-74.072,Habil,TOG,DSEL,34.22538268,21.46295524,22.60842003,32.12932051,98.42389798,216.42577692,230.02223763,241.10273974,269.44459856,246.91003939,274.90174554,250.17624073,248.76089426,247.92465235,253.70595837,264.26305431,275.50871066,246.99583288,206.52348793,194.33664552,177.28139816,153.1867625,106.23934913,69.46275556
6393,3428,37,53,4.8272,-74.072,Habil,TOG,GAS,122.26259625,86.4806429,81.60624888,104.07160312,359.10339084,1328.18262935,2207.19143045,1482.93435883,1203.61845655,843.09259136,951.46893424,917.22722458,996.01741114,1150.70190918,1340.92826871,1953.35568551,1808.01003473,1631.66320644,1182.06911244,838.72127659,680.81025061,562.37375154,379.76710927,186.26861166
6393,3428,37,53,4.8272,-74.072,Habil,TOG,GNV,70.65984392,37.69015521,30.95256961,40.27718886,90.08983969,455.68518753,809.28271678,599.16096092,672.89319873,713.22127297,738.38122685,722.68975202,720.41872998,766.07127527,804.89687558,712.97710641,723.04557945,794.60047509,792.37885828,817.72102233,756.00960947,589.55776691,315.87608199,141.18050697
