FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
1713,3428,37,53,4.8272,-74.072,NHabil,TOL,DSEL,0.00395188,0.00269233,0.00269744,0.00311582,0.00800548,0.01696613,0.02243173,0.02326981,0.02507658,0.02327898,0.02095633,0.02188074,0.02000643,0.02078553,0.01900025,0.02184297,0.01788608,0.01692743,0.0165099,0.01672207,0.01454534,0.01188098,0.01195769,0.00807292
1713,3428,37,53,4.8272,-74.072,NHabil,TOL,GAS,0.16258543,0.1277493,0.118367,0.12975904,0.16669932,0.35037144,0.58181809,0.60223014,0.57871718,0.52814125,0.56042211,0.571198,0.57330104,0.64872322,0.58313689,0.67745739,0.63027855,0.59952687,0.55158005,0.53564035,0.48739551,0.38845208,0.34612833,0.23042836
1713,3428,37,53,4.8272,-74.072,NHabil,TOL,GNV,0.00052159,0.00039302,0.00037533,0.00037366,0.00032502,0.00056246,0.00130291,0.0016163,0.00176356,0.00174492,0.00194847,0.0019055,0.00168518,0.00188298,0.00181712,0.0022019,0.00226101,0.00220874,0.00222035,0.0021555,0.00192036,0.00153731,0.00115487,0.00076384
1713,3428,37,53,4.8272,-74.072,Habil,TOL,DSEL,0.00416549,0.00258895,0.00272305,0.00388752,0.01193118,0.0263432,0.02817447,0.02947448,0.03288494,0.0301393,0.03346823,0.03049188,0.03031626,0.03022012,0.03093393,0.03218262,0.03359686,0.030228,0.02534728,0.02390655,0.02183202,0.01883701,0.0130815,0.00846186
1713,3428,37,53,4.8272,-74.072,Habil,TOL,GAS,0.099358,0.07165536,0.06827889,0.087252,0.30529954,1.11587247,1.82057307,1.19284113,0.96346936,0.65995641,0.75252044,0.72324189,0.79405376,0.92857702,1.09304254,1.62602667,1.48765929,1.30304326,0.93303815,0.65822514,0.53171108,0.4364067,0.29653102,0.1489512
1713,3428,37,53,4.8272,-74.072,Habil,TOL,GNV,0.00017727,9.455e-05,7.764e-05,0.00010105,0.00022601,0.00114314,0.00203021,0.00150308,0.00168804,0.0017892,0.00185233,0.00181297,0.00180727,0.00192181,0.00201919,0.00178863,0.00181388,0.00199336,0.00198779,0.00205138,0.00189655,0.00147899,0.00079244,0.00035416
6393,3428,37,53,4.8272,-74.072,NHabil,TOL,DSEL,0.00522365,0.00355875,0.00356552,0.00411854,0.01058171,0.02242599,0.02965047,0.03075821,0.03314641,0.03077035,0.02770028,0.0289222,0.02644466,0.02747449,0.02511468,0.02887225,0.02364198,0.02237482,0.02182295,0.02210341,0.01922616,0.01570438,0.01580576,0.01067087
6393,3428,37,53,4.8272,-74.072,NHabil,TOL,GAS,0.21490694,0.16886017,0.15645861,0.17151671,0.22034467,0.46312419,0.76905249,0.79603337,0.76495372,0.69810195,0.7407711,0.7550148,0.7577946,0.85748835,0.7707957,0.89546943,0.83310799,0.79246017,0.72908358,0.70801435,0.64424389,0.51345957,0.45751561,0.30458233
6393,3428,37,53,4.8272,-74.072,NHabil,TOL,GNV,0.00068944,0.00051952,0.00049615,0.00049393,0.0004296,0.00074345,0.00172221,0.00213644,0.0023311,0.00230646,0.00257552,0.00251871,0.00222746,0.00248893,0.00240187,0.00291049,0.00298862,0.00291956,0.0029349,0.00284916,0.00253835,0.00203203,0.00152649,0.00100965
6393,3428,37,53,4.8272,-74.072,Habil,TOL,DSEL,0.00550599,0.00342208,0.00359934,0.00513857,0.01577075,0.03482067,0.03724125,0.03895963,0.04346762,0.0398384,0.04423861,0.04030446,0.04007233,0.03994521,0.04088877,0.04253933,0.04440864,0.03995565,0.03350425,0.03159987,0.02885779,0.02489895,0.01729126,0.01118497
6393,3428,37,53,4.8272,-74.072,Habil,TOL,GAS,0.13133235,0.09471471,0.09025168,0.11533046,0.40354777,1.4749705,2.40645026,1.57670838,1.27352265,0.87233648,0.99468847,0.95598781,1.0495876,1.22740168,1.44479372,2.14929702,1.96640175,1.72237462,1.23329842,0.87004805,0.70282062,0.57684639,0.39195743,0.19688505
6393,3428,37,53,4.8272,-74.072,Habil,TOL,GNV,0.00023431,0.00012498,0.00010263,0.00013356,0.00029873,0.00151104,0.00268354,0.00198678,0.00223127,0.00236501,0.00244844,0.00239641,0.00238888,0.00254026,0.002669,0.0023642,0.0023976,0.00263484,0.00262749,0.00271152,0.0025069,0.00195496,0.00104743,0.00046816
