FID_Grilla,Type,Category,COL,ROW,LAT,LON,POLNAME,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
3428,NHabil,C2P,37,53,4.8272,-74.072,CO,28.38264431,28.38264431,53.21745808,47.89571227,109.98274669,207.54808649,308.66125684,191.58284906,230.60898498,310.4351721,278.50469725,264.3133751,191.58284906,173.84369636,180.93935747,294.46993468,212.8698323,216.41766284,149.00888261,177.39152692,131.26972992,63.86094968,56.76528862,47.89571227
3428,NHabil,B,37,53,4.8272,-74.072,CO,7.17661956,6.1513882,1.02523136,6.1513882,43.05971734,175.31456346,250.15645312,171.213638,209.14719852,171.213638,148.65854797,161.98655571,159.93609299,155.83516753,139.43146567,156.86039889,136.35577159,123.02776383,133.28007749,110.72498745,85.09420332,70.7409642,53.312031,20.5046273
3428,NHabil,BA,37,53,4.8272,-74.072,CO,0.0,0.0,0.0,0.0,0.0,2.09905584,3.22931666,4.19811166,3.71371416,4.19811166,3.39078249,3.22931666,4.3595775,3.87517999,4.19811166,4.03664583,4.03664583,4.03664583,2.74491917,3.71371416,3.71371416,3.87517999,7.58889417,1.61465834
3428,NHabil,TX,37,53,4.8272,-74.072,CO,1044.41147575,786.68430438,751.16609512,747.35008916,647.25331759,1119.85097807,2605.4514499,3235.09243232,3530.09904646,3492.52606477,3901.7193186,3815.71241518,3374.22988019,3770.21388266,3639.00198562,4409.54164943,4530.18614535,4425.97982892,4450.34355923,4320.01227895,3849.17585202,3082.15865524,2313.67376387,1529.92484868
3428,NHabil,MB,37,53,4.8272,-74.072,CO,0.58099668,0.58099668,1.74299005,1.16199337,9.87694365,30.79282432,45.89873814,40.66976797,36.02179449,37.18378786,32.53581437,30.79282432,31.37382101,31.95481769,27.88784089,30.79282432,27.30684421,28.46883758,30.21182764,30.79282432,28.46883758,22.07787404,18.01089724,5.80996685
3428,NHabil,INT,37,53,4.8272,-74.072,CO,43.50898114,39.55361922,43.50898114,35.59825729,217.5449057,423.22372564,557.70603099,549.79530713,545.83994521,530.01849754,498.37560215,387.62546835,474.64343062,533.97385946,589.34892635,617.0364598,605.17037404,561.66139292,545.83994521,514.19704984,427.17908755,245.23243914,189.85737226,83.06260036
3428,NHabil,C2G,37,53,4.8272,-74.072,CO,168.52195058,180.93935747,150.78279787,164.97412002,260.76554456,539.27024183,727.30526035,702.47044658,778.74880315,784.07054897,713.11393821,761.00965046,585.39203882,652.80081904,427.51357987,486.05278374,347.68739276,310.4351721,237.70464608,260.76554456,145.46105207,104.66100088,250.12205295,211.09591702
3428,NHabil,ESP,37,53,4.8272,-74.072,CO,1093.55437899,824.37176264,773.90002207,706.60436796,1329.0891683,3045.12834765,4929.40666222,3869.50011029,3247.01530993,2742.29790422,2506.76311491,3045.12834765,2658.17833663,3499.37401276,2456.29137435,3095.60008821,2355.34789321,1934.75005514,2002.04570924,2136.63701741,1985.22179571,1547.80004411,1867.45440105,1295.44134125
3428,NHabil,M,37,53,4.8272,-74.072,CO,706.22403402,624.1731089,463.00164886,562.63491507,451.28008812,1834.42425432,4275.43927647,4691.5546824,4070.31196368,3331.85363765,3774.34255524,3780.2033356,4841.00458171,5093.01813742,4676.90273148,4773.60560752,4638.8076591,4588.99102601,3616.10148538,3290.8281751,3073.97930158,2608.04726253,2189.00146642,1280.58050981
3428,NHabil,AL,37,53,4.8272,-74.072,CO,13.83783547,0.0,0.0,0.0,11.47527819,23.62557275,15.52537638,10.46275365,7.76268819,9.11272092,9.45022911,12.82531092,12.15029456,9.45022911,11.13777001,11.47527819,10.46275365,10.46275365,12.82531092,11.13777001,12.15029456,13.1628191,24.97560548,20.25049093
