FID_Grilla,Type,Category,COL,ROW,LAT,LON,POLNAME,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
3428,NHabil,C2P,37,53,4.8272,-74.072,CO2,1611.43893382,1611.43893382,3021.44800089,2719.30320081,6244.32586852,11783.6472035,17524.3984052,10877.2128032,13092.9413372,17625.1133386,15812.244538,15006.5250712,10877.2128032,9870.06346959,10272.923203,16718.6789383,12085.7920036,12287.2218703,8460.05440248,10071.4933363,7452.90506889,3625.73760108,3222.87786762,2719.30320081
3428,NHabil,B,37,53,4.8272,-74.072,CO2,1148.7006071,984.60052037,164.10008673,984.60052037,6892.20364258,28061.1148305,40040.4211617,27404.7144835,33476.4176926,27404.7144835,23794.5125756,25927.813703,25599.6135296,24943.2131826,22317.6117951,25107.3132694,21825.3115348,19692.0104073,21333.0112747,17722.8093667,13620.3071984,11322.9059842,8533.20450986,3282.00173456
3428,NHabil,BA,37,53,4.8272,-74.072,CO2,0.0,0.0,0.0,0.0,0.0,2126.85701524,3272.08771575,4253.71403048,3762.90087311,4253.71403048,3435.69210155,3272.08771575,4417.31841627,3926.50525891,4253.71403048,4090.1096447,4090.1096447,4090.1096447,2781.27455839,3762.90087311,3762.90087311,3926.50525891,7689.40613202,1636.04385788
3428,NHabil,TX,37,53,4.8272,-74.072,CO2,27615.4554975,20800.8489976,19861.7061884,19760.8065478,17114.1313581,29610.1637783,68891.1700383,85539.6107472,93339.9291213,92346.4557365,103166.001819,100891.879149,89218.5668761,99688.8449721,96219.4496357,116593.415538,119783.396485,117028.060144,117672.265542,114226.154738,101776.691383,81495.86361,61176.2282833,40452.9943939
3428,NHabil,MB,37,53,4.8272,-74.072,CO2,135.51170719,135.51170719,406.53512157,271.02341439,2303.69902228,7182.12048121,10705.4248683,9485.81950352,8401.72584592,8672.74926036,7588.6556028,7182.12048121,7317.63218841,7453.14389561,6504.56194525,7182.12048121,6369.05023806,6640.07365245,7046.60877403,7182.12048121,6640.07365245,5149.44487332,4200.86292298,1355.11707193
3428,NHabil,INT,37,53,4.8272,-74.072,CO2,1173.0362335,1066.39657592,1173.0362335,959.75691831,5865.18116751,11410.4433622,15036.1917203,14822.9124052,14716.2727475,14289.7141172,13436.5968565,10450.6864439,12796.7589109,14396.3537748,15889.3089811,16635.7865842,16315.8676114,15142.8313779,14716.2727475,13863.1554868,11517.0830198,6611.65877065,5118.70356437,2239.4328094
3428,NHabil,C2G,37,53,4.8272,-74.072,CO2,9567.9186695,10272.923203,8560.76933588,9366.48880275,14805.0952044,30617.3397424,41293.1226789,39883.1136119,44213.8557465,44516.0005465,40487.403212,43206.7064129,33235.92801,37063.0954777,24272.2989405,27595.8917415,19740.1269392,17625.1133386,13495.8010707,14805.0952044,8258.62453577,5942.18106843,14200.8056042,11985.0770702
3428,NHabil,ESP,37,53,4.8272,-74.072,CO2,10498.7916889,7914.47373467,7429.91411826,6783.83462971,12760.0698987,29235.0968566,47325.3225359,37149.5705913,31173.3353223,26327.7391582,24066.4609482,29235.0968566,25520.1397975,33596.1334042,23581.9013319,29719.6564731,22612.782099,18574.7852956,19220.8647842,20513.0237612,19059.344912,14859.8282365,17928.7058071,12437.0301545
3428,NHabil,M,37,53,4.8272,-74.072,CO2,11765.9806273,10398.9787287,7713.79642787,9373.72730476,7518.51044238,30562.2567332,71230.5632171,78163.2157026,67813.0584704,55510.0413829,62882.0873362,62979.7303289,80653.112018,84851.7607068,77919.1082208,79530.2176013,77284.4287678,76454.4633295,60245.7265317,54826.5404337,51213.7497014,43451.1317772,36469.6577951,21334.9939176
3428,NHabil,AL,37,53,4.8272,-74.072,CO2,6710.8097865,0.0,0.0,0.0,5565.06177418,11457.4801233,7529.20122389,5074.02691175,3764.60061194,4419.31376185,4582.99204933,6219.77492408,5892.41834913,4582.99204933,5401.3834867,5565.06177418,5074.02691175,5074.02691175,6219.77492408,5401.3834867,5892.41834913,6383.45321156,12112.1932732,9820.69724854
3428,NHabil,C3-C4,37,53,4.8272,-74.072,CO2,2973.35309997,2098.83748233,4197.67496467,3672.96559408,9969.47804108,18364.8279704,15041.6686234,11718.5092764,15041.6686234,11718.5092764,9969.47804108,10494.1874117,9269.86554697,11543.6061528,11193.7999058,9619.67179403,6996.12494112,5247.09370583,1749.03123529,3323.15934704,3148.25622351,2973.35309997,5946.70619994,2623.54685292
