FID_Grilla,Type,Category,COL,ROW,LAT,LON,POLNAME,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
3428,NHabil,C2P,37,53,4.8272,-74.072,ETHA,0.00277097,0.00277097,0.00519557,0.00467602,0.01073748,0.02026268,0.03013425,0.01870403,0.0225141,0.03030744,0.02719011,0.02580461,0.01870403,0.01697217,0.01766491,0.02874878,0.02078225,0.02112863,0.01454758,0.01731854,0.01281572,0.00623467,0.00554193,0.00467602
3428,NHabil,B,37,53,4.8272,-74.072,ETHA,0.00113915,0.00097641,0.00016274,0.00097641,0.00683491,0.02782784,0.03970756,0.02717689,0.03319813,0.02717689,0.02359671,0.02571227,0.0253868,0.02473586,0.02213209,0.02489859,0.02164388,0.01952831,0.02115567,0.01757547,0.01350708,0.01122878,0.00846227,0.00325472
3428,NHabil,BA,37,53,4.8272,-74.072,ETHA,0.0,0.0,0.0,0.0,0.0,0.00037114,0.00057098,0.00074226,0.00065661,0.00074226,0.00059952,0.00057098,0.00077081,0.00068517,0.00074226,0.00071372,0.00071372,0.00071372,0.00048533,0.00065661,0.00065661,0.00068517,0.00134179,0.00028549
3428,NHabil,TX,37,53,4.8272,-74.072,ETHA,6.57517966,4.95263673,4.72902888,4.70500489,4.07483731,7.05011535,16.40283717,20.36679454,22.22403333,21.98748948,24.56359978,24.02213613,21.24274597,23.73569632,22.90964086,27.76063767,28.52016517,27.8641256,28.0175095,27.19699803,24.232808,19.40398719,14.56592638,9.63176964
3428,NHabil,MB,37,53,4.8272,-74.072,ETHA,0.0002169,0.0002169,0.00065068,0.00043379,0.00368719,0.01149537,0.0171346,0.01518256,0.01344741,0.01388119,0.01214605,0.01149537,0.01171226,0.01192915,0.0104109,0.01149537,0.010194,0.01062779,0.01127847,0.01149537,0.01062779,0.00824196,0.0067237,0.00216894
3428,NHabil,INT,37,53,4.8272,-74.072,ETHA,0.00438895,0.00398996,0.00438895,0.00359097,0.02194481,0.04269261,0.0562585,0.05546051,0.05506151,0.05346553,0.05027355,0.03910165,0.04787958,0.05386452,0.05945047,0.06224344,0.06104645,0.0566575,0.05506151,0.05186954,0.04309162,0.02473778,0.01915183,0.00837893
3428,NHabil,C2G,37,53,4.8272,-74.072,ETHA,0.0164526,0.01766491,0.01472076,0.01610624,0.02545824,0.05264834,0.07100601,0.06858139,0.07602837,0.07654794,0.0696205,0.07429653,0.05715117,0.06373222,0.04173767,0.0474528,0.03394433,0.03030744,0.02320684,0.02545824,0.01420119,0.01021794,0.02441913,0.02060906
3428,NHabil,ESP,37,53,4.8272,-74.072,ETHA,0.05759212,0.04341559,0.04075749,0.03721337,0.06999657,0.1603719,0.25960753,0.20378747,0.17100427,0.1444233,0.13201884,0.1603719,0.13999313,0.18429477,0.12936074,0.16302998,0.12404454,0.10189374,0.10543787,0.11252612,0.10455183,0.08151499,0.09834962,0.0682245
3428,NHabil,M,37,53,4.8272,-74.072,ETHA,0.06603182,0.05836007,0.04329057,0.05260626,0.04219461,0.17151834,0.39975281,0.43865951,0.38057344,0.31152771,0.35290035,0.35344833,0.45263306,0.47619627,0.43728957,0.44633126,0.43372768,0.42906983,0.33810483,0.30769184,0.28741651,0.24385195,0.20467124,0.11973405
3428,NHabil,AL,37,53,4.8272,-74.072,ETHA,0.00214934,0.0,0.0,0.0,0.00178238,0.0036696,0.00241145,0.00162511,0.00120572,0.00141542,0.00146784,0.00199207,0.00188722,0.00146784,0.00172995,0.00178238,0.00162511,0.00162511,0.00199207,0.00172995,0.00188722,0.00204449,0.00387929,0.00314537
3428,NHabil,C3-C4,37,53,4.8272,-74.072,ETHA,0.01156247,0.00816174,0.01632348,0.01428306,0.03876828,0.07141523,0.05849248,0.04556972,0.05849248,0.04556972,0.03876828,0.0408087,0.0360477,0.04488957,0.04352928,0.03740799,0.0272058,0.02040436,0.00680145,0.01292276,0.01224262,0.01156247,0.02312494,0.01020217
3428,NHabil,BT,37,53,4.8272,-74.072,ETHA,0.00825192,0.00220052,0.00201714,0.00220052,0.01100257,0.01852099,0.01852099,0.01907111,0.01980462,0.01687061,0.01742074,0.03025707,0.0245724,0.01888774,0.01742074,0.02127163,0.01687061,0.01375321,0.01723736,0.01742074,0.01760411,0.01778749,0.02017137,0.02237189
3428,NHabil,CC,37,53,4.8272,-74.072,ETHA,0.31289879,0.23568543,0.2250444,0.22390116,0.19391283,0.33549997,0.78057606,0.96921233,1.05759437,1.04633774,1.16892936,1.14316225,1.01089699,1.12953118,1.09022098,1.32106956,1.35721386,1.32599433,1.33329355,1.29424715,1.15318768,0.92339438,0.69316139,0.45835538
