FID_Grilla,Type,Category,COL,ROW,LAT,LON,POLNAME,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
3428,NHabil,C2P,37,53,4.8272,-74.072,PCA,0.00398279,0.00398279,0.00746774,0.00672097,0.01543335,0.02912423,0.04331296,0.02688391,0.03236025,0.04356189,0.03908124,0.03708982,0.02688391,0.02439465,0.02539036,0.04132155,0.029871,0.03036886,0.02090971,0.02489251,0.01842046,0.00896131,0.0079656,0.00672097
3428,NHabil,B,37,53,4.8272,-74.072,PCA,0.00287496,0.00246426,0.00041071,0.00246426,0.01724981,0.07023136,0.10021316,0.06858852,0.08378478,0.06858852,0.0595529,0.06489213,0.06407072,0.06242787,0.05585651,0.06283858,0.05462439,0.04928516,0.05339226,0.04435665,0.0340889,0.02833896,0.02135691,0.00821419
3428,NHabil,BA,37,53,4.8272,-74.072,PCA,0.0,0.0,0.0,0.0,0.0,0.00060053,0.00092389,0.00120105,0.00106247,0.00120105,0.00097008,0.00092389,0.00124725,0.00110866,0.00120105,0.00115486,0.00115486,0.00115486,0.00078531,0.00106247,0.00106247,0.00110866,0.00217114,0.00046195
3428,NHabil,TX,37,53,4.8272,-74.072,PCA,0.0078315,0.00589893,0.0056326,0.00560399,0.00485342,0.00839718,0.01953691,0.02425827,0.02647037,0.02618863,0.02925696,0.02861205,0.02530159,0.02827087,0.02728697,0.03306485,0.0339695,0.03318812,0.03337081,0.03239353,0.02886296,0.0231115,0.01734903,0.01147211
3428,NHabil,MB,37,53,4.8272,-74.072,PCA,0.00111581,0.00111581,0.00334744,0.00223163,0.01896881,0.05913808,0.08814921,0.0781069,0.0691804,0.07141202,0.06248552,0.05913808,0.0602539,0.06136971,0.05355901,0.05913808,0.05244321,0.05467483,0.05802227,0.05913808,0.05467483,0.04240088,0.0345902,0.01115813
3428,NHabil,INT,37,53,4.8272,-74.072,PCA,0.00476995,0.00433632,0.00476995,0.00390268,0.02384972,0.04639854,0.06114201,0.06027474,0.05984111,0.05810658,0.05463754,0.04249586,0.05203574,0.05854021,0.06461104,0.06764647,0.06634558,0.06157563,0.05984111,0.05637207,0.04683217,0.02688512,0.0208143,0.00910625
3428,NHabil,C2G,37,53,4.8272,-74.072,PCA,0.02364788,0.02539036,0.02115863,0.02315004,0.03659197,0.07567322,0.10205926,0.09857431,0.1092781,0.11002487,0.10006787,0.10678884,0.08214526,0.09160441,0.05999094,0.06820546,0.04878932,0.04356189,0.03335596,0.03659197,0.02041185,0.01468658,0.03509843,0.02962208
3428,NHabil,ESP,37,53,4.8272,-74.072,PCA,0.00637436,0.00480528,0.00451109,0.00411883,0.00774731,0.01775015,0.02873365,0.02255545,0.01892695,0.01598495,0.01461201,0.01775015,0.01549461,0.02039796,0.01431779,0.01804435,0.01372941,0.01127771,0.01166998,0.01245451,0.01157192,0.00902218,0.01088545,0.00755117
3428,NHabil,M,37,53,4.8272,-74.072,PCA,0.01363048,0.01204685,0.00893616,0.01085913,0.00870992,0.03540529,0.08251809,0.09054932,0.07855904,0.06430642,0.07284667,0.07295979,0.09343378,0.09829776,0.09026653,0.09213294,0.08953128,0.0885698,0.06979254,0.0635146,0.05932931,0.0503366,0.04224881,0.02471584
3428,NHabil,AL,37,53,4.8272,-74.072,PCA,0.00514529,0.0,0.0,0.0,0.00426682,0.00878463,0.00577276,0.00389033,0.00288638,0.00338836,0.00351385,0.00476881,0.00451782,0.00351385,0.00414132,0.00426682,0.00389033,0.00389033,0.00476881,0.00414132,0.00451782,0.0048943,0.00928661,0.00752969
