FID_Grilla,Type,Category,COL,ROW,LAT,LON,POLNAME,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
3428,NHabil,C2P,37,53,4.8272,-74.072,PMG,0.00013752,0.00013752,0.00025786,0.00023207,0.0005329,0.00100565,0.00149557,0.0009283,0.00111739,0.00150418,0.00134946,0.00128069,0.0009283,0.00084233,0.00087672,0.00142682,0.00103142,0.00104863,0.000722,0.00085951,0.00063605,0.00030943,0.00027506,0.00023207
3428,NHabil,B,37,53,4.8272,-74.072,PMG,9.566e-05,8.2e-05,1.367e-05,8.2e-05,0.000574,0.00233701,0.00333468,0.00228234,0.00278801,0.00228234,0.00198167,0.00215935,0.00213201,0.00207734,0.00185868,0.002091,0.00181767,0.00164001,0.00177667,0.001476,0.00113434,0.000943,0.00071067,0.00027333
3428,NHabil,BA,37,53,4.8272,-74.072,PMG,0.0,0.0,0.0,0.0,0.0,3.821e-05,5.879e-05,7.643e-05,6.761e-05,7.643e-05,6.173e-05,5.879e-05,7.936e-05,7.054e-05,7.643e-05,7.349e-05,7.349e-05,7.349e-05,4.997e-05,6.761e-05,6.761e-05,7.054e-05,0.00013815,2.939e-05
3428,NHabil,TX,37,53,4.8272,-74.072,PMG,0.00070158,0.00052845,0.00050459,0.00050202,0.00043478,0.00075225,0.00175018,0.00217314,0.00237131,0.00234607,0.00262094,0.00256316,0.0022666,0.0025326,0.00244447,0.00296207,0.0030431,0.0029731,0.00298947,0.00290192,0.00258564,0.00207041,0.00155419,0.00102771
3428,NHabil,MB,37,53,4.8272,-74.072,PMG,3.677e-05,3.677e-05,0.00011031,7.355e-05,0.00062514,0.00194895,0.00290505,0.0025741,0.00227992,0.00235346,0.00205928,0.00194895,0.00198573,0.0020225,0.00176509,0.00194895,0.00172833,0.00180187,0.00191219,0.00194895,0.00180187,0.00139736,0.00113996,0.00036773
3428,NHabil,INT,37,53,4.8272,-74.072,PMG,0.00016486,0.00014987,0.00016486,0.00013488,0.00082426,0.00160356,0.00211311,0.00208313,0.00206815,0.0020082,0.00188831,0.00146869,0.00179838,0.00202319,0.002233,0.0023379,0.00229295,0.00212808,0.00206815,0.00194826,0.00161854,0.00092917,0.00071935,0.00031472
3428,NHabil,C2G,37,53,4.8272,-74.072,PMG,0.00081655,0.00087672,0.0007306,0.00079936,0.0012635,0.00261296,0.00352405,0.00340372,0.00377331,0.0037991,0.00345529,0.00368736,0.00283644,0.00316305,0.00207146,0.0023551,0.00168467,0.00150418,0.00115176,0.0012635,0.00070481,0.00050713,0.00121193,0.00102284
3428,NHabil,ESP,37,53,4.8272,-74.072,PMG,0.00058322,0.00043966,0.00041274,0.00037684,0.00070883,0.00162403,0.00262896,0.00206369,0.0017317,0.00146253,0.00133692,0.00162403,0.00141767,0.00186629,0.00131,0.00165096,0.00125617,0.00103185,0.00106773,0.00113952,0.00105877,0.00082547,0.00099595,0.00069088
3428,NHabil,M,37,53,4.8272,-74.072,PMG,0.00136553,0.00120688,0.00089524,0.00108789,0.00087258,0.00354698,0.00826682,0.0090714,0.00787019,0.00644234,0.00729792,0.00730925,0.00936037,0.00984766,0.00904307,0.00923005,0.00896941,0.00887309,0.00699195,0.00636301,0.00594372,0.00504281,0.00423257,0.00247608
3428,NHabil,AL,37,53,4.8272,-74.072,PMG,0.0002198,0.0,0.0,0.0,0.00018227,0.00037527,0.0002466,0.00016619,0.00012331,0.00014474,0.00015011,0.00020372,0.00019299,0.00015011,0.00017692,0.00018227,0.00016619,0.00016619,0.00020372,0.00017692,0.00019299,0.00020908,0.00039671,0.00032166
3428,NHabil,C3-C4,37,53,4.8272,-74.072,PMG,0.00039401,0.00027812,0.00055626,0.00048673,0.00132111,0.00243361,0.00199324,0.00155288,0.00199324,0.00155288,0.00132111,0.00139063,0.0012284,0.00152969,0.00148335,0.00127474,0.00092709,0.00069532,0.00023177,0.00044037,0.00041719,0.00039401,0.00078804,0.00034766
3428,NHabil,BT,37,53,4.8272,-74.072,PMG,0.00073044,0.00019478,0.00017855,0.00019478,0.00097391,0.00163943,0.00163943,0.00168812,0.00175304,0.00149334,0.00154203,0.00267826,0.00217507,0.00167189,0.00154203,0.0018829,0.00149334,0.00121739,0.0015258,0.00154203,0.00155826,0.00157449,0.00178551,0.00198029
3428,NHabil,CC,37,53,4.8272,-74.072,PMG,0.00100735,0.00075877,0.00072451,0.00072083,0.00062428,0.00108011,0.00251301,0.0031203,0.00340484,0.0033686,0.00376328,0.00368031,0.0032545,0.00363643,0.00350987,0.00425308,0.00436944,0.00426892,0.00429243,0.00416672,0.00371259,0.00297279,0.00223158,0.00147563
3428,NHabil,AUT,37,53,4.8272,-74.072,PMG,0.00357983,0.00269644,0.0025747,0.00256161,0.00221853,0.0038384,0.00893044,0.01108861,0.01209976,0.01197099,0.01337353,0.01307873,0.01156551,0.01292279,0.01247304,0.01511414,0.01552766,0.01517049,0.015254,0.01480727,0.01319343,0.01056441,0.00793035,0.00524397
3428,NHabil,>C5,37,53,4.8272,-74.072,PMG,0.00097851,0.00095378,0.00098572,0.00157722,0.00286539,0.00311763,0.00058413,0.00034223,0.00046142,0.00076291,0.00250643,0.0021841,0.00187053,0.00253196,0.00221118,0.00230778,0.00173011,0.00040805,0.00024114,0.00154702,0.00189603,0.00146658,0.00118224,0.00133534
3428,NHabil,C5,37,53,4.8272,-74.072,PMG,0.00037083,0.00034766,0.00025495,0.00055626,0.00090392,0.00132111,0.00076485,0.00076485,0.00069532,0.00071849,0.00039401,0.00062579,0.00048673,0.00088074,0.00067214,0.00162241,0.0008112,0.00076485,0.00050989,0.00062579,0.00050989,0.0002086,0.00071849,0.00050989
3428,NHabil,AT,37,53,4.8272,-74.072,PMG,0.00018463,0.0,1.421e-05,1.421e-05,0.00046868,0.00157648,0.00350802,0.00616387,0.00644792,0.00531172,0.00373525,0.00332337,0.00372105,0.00394829,0.00413292,0.00436015,0.003437,0.00390568,0.0040477,0.00377786,0.0034512,0.00305353,0.00258485,0.00117881
3428,Habil,C2P,37,53,4.8272,-74.072,PMG,0.00024411,0.0002166,0.00041257,0.00038164,0.00079763,0.00145776,0.00157121,0.00123428,0.00201816,0.00186001,0.00204223,0.00183594,0.00219007,0.00155059,0.00210068,0.00206286,0.00186689,0.00125491,0.00103486,0.00058103,0.00046758,0.00034725,0.00034381,0.00028535
3428,Habil,B,37,53,4.8272,-74.072,PMG,0.0001968,7.107e-05,3.827e-05,0.000164,0.00134481,0.00320348,0.00378295,0.00397975,0.00417108,0.00377749,0.00360255,0.00326908,0.00307228,0.00319801,0.00305588,0.00330189,0.00362442,0.00307775,0.00263495,0.00250375,0.00236161,0.00158534,0.00085827,0.0002788
3428,Habil,BA,37,53,4.8272,-74.072,PMG,0.0,0.0,0.0,0.0,1.293e-05,0.00010817,0.00020694,0.00027631,0.00026808,0.00021635,0.0001752,0.00016343,0.00014228,0.00013169,0.00014228,0.00016109,0.00019988,0.00022575,0.00024456,0.00025985,0.00025045,0.00024809,0.00017167,1.999e-05
3428,Habil,TX,37,53,4.8272,-74.072,PMG,0.00023733,0.00012612,0.00010309,0.00013401,0.00029979,0.0015321,0.00273081,0.00202111,0.0022683,0.00240554,0.0024867,0.00243504,0.00242722,0.00258174,0.0027133,0.00240215,0.00243662,0.0026812,0.00267481,0.00276047,0.00255239,0.00199028,0.00106565,0.00047537
3428,Habil,MB,37,53,4.8272,-74.072,PMG,8.825e-05,4.413e-05,0.0,8.825e-05,0.0009708,0.0025741,0.00286827,0.00316246,0.00276532,0.00254468,0.00280944,0.00261823,0.00261823,0.00252996,0.0027506,0.00263293,0.00266235,0.00264765,0.00270648,0.00242701,0.00202986,0.00205928,0.00132382,0.00038244
3428,Habil,INT,37,53,4.8272,-74.072,PMG,0.00016785,8.992e-05,0.00019782,0.0002218,0.00095914,0.002236,0.00224799,0.00274554,0.00318914,0.00230193,0.00272755,0.00243982,0.00263165,0.00263763,0.00208013,0.00214608,0.00215807,0.00209812,0.00229594,0.00185234,0.00146869,0.00095914,0.00068338,0.00032371
3428,Habil,C2G,37,53,4.8272,-74.072,PMG,0.00095579,0.00067042,0.00064291,0.00090422,0.00199753,0.00491306,0.00354123,0.00297396,0.00399509,0.00423574,0.00646019,0.00597886,0.0051709,0.00555597,0.00549409,0.00585508,0.00596511,0.0044592,0.00325931,0.00276424,0.00222101,0.00202848,0.00137524,0.0010555
3428,Habil,ESP,37,53,4.8272,-74.072,PMG,0.0004271,0.00035531,0.00032301,0.00030148,0.00269177,0.01200529,0.01963197,0.01018924,0.00665405,0.00249077,0.00244412,0.00253743,0.00376848,0.00591472,0.00860648,0.01770107,0.0146504,0.00983393,0.00558093,0.00235081,0.00127051,0.00085059,0.00085419,0.00045939
3428,Habil,M,37,53,4.8272,-74.072,PMG,0.0009791,0.00051448,0.00038983,0.00045329,0.00109696,0.00571142,0.01604409,0.01663563,0.01285295,0.00999271,0.01026695,0.01025562,0.00988392,0.00965274,0.00972754,0.01115539,0.01340143,0.01908338,0.01419921,0.00861245,0.00671544,0.00644348,0.00469832,0.00169756
