FID_Grilla,Type,Category,COL,ROW,LAT,LON,POLNAME,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
3428,NHabil,C2P,37,53,4.827202,-74.07196,ETH,0.00140745,0.00140745,0.00263895,0.00237505,0.00545383,0.0102919,0.01530591,0.00950022,0.01143545,0.01539387,0.0138105,0.01310678,0.00950022,0.00862056,0.00897242,0.01460218,0.01055579,0.01073173,0.00738905,0.0087965,0.00650941,0.00316673,0.00281487,0.00237505
3428,NHabil,B,37,53,4.827202,-74.07196,ETH,0.00091631,0.00078541,0.0001309,0.00078541,0.00549788,0.02238422,0.03194006,0.02186061,0.02670398,0.02186061,0.01898077,0.0206825,0.02042069,0.01989708,0.01780265,0.02002799,0.01740995,0.01570822,0.01701724,0.0141374,0.01086486,0.00903223,0.0068069,0.00261804
3428,NHabil,BA,37,53,4.827202,-74.07196,ETH,0.0,0.0,0.0,0.0,0.0,0.00023386,0.00035979,0.00046772,0.00041376,0.00046772,0.00037778,0.00035979,0.00048571,0.00043175,0.00046772,0.00044974,0.00044974,0.00044974,0.00030582,0.00041376,0.00041376,0.00043175,0.0008455,0.00017989
3428,NHabil,TX,37,53,4.827202,-74.07196,ETH,0.0236895,0.0178437,0.01703806,0.01695151,0.0146811,0.02540063,0.05909724,0.07337886,0.08007025,0.07921801,0.0884994,0.08654857,0.0765348,0.08551657,0.0825404,0.10001789,0.10275438,0.10039075,0.10094337,0.09798718,0.08730759,0.06990999,0.05247911,0.03470199
3428,NHabil,MB,37,53,4.827202,-74.07196,ETH,0.00017509,0.00017509,0.00052528,0.00035018,0.00297656,0.00927987,0.01383226,0.01225644,0.0108557,0.01120588,0.00980515,0.00927987,0.00945496,0.00963006,0.00840441,0.00927987,0.00822932,0.00857951,0.00910478,0.00927987,0.00857951,0.00665349,0.00542785,0.00175092
3428,NHabil,INT,37,53,4.827202,-74.07196,ETH,0.00117125,0.00106478,0.00117125,0.00095831,0.00585631,0.01139317,0.01501343,0.01480048,0.014694,0.01426809,0.01341626,0.01043487,0.01277739,0.01437456,0.01586526,0.0166106,0.01629117,0.01511992,0.014694,0.01384217,0.01149964,0.00660165,0.00511096,0.00223604
3428,NHabil,C2G,37,53,4.827202,-74.07196,ETH,0.00835667,0.00897242,0.00747701,0.00818074,0.01293084,0.02674134,0.03606562,0.03483411,0.03861661,0.03888051,0.0353619,0.03773697,0.02902843,0.0323711,0.02119955,0.02410239,0.01724113,0.01539387,0.01178729,0.01293084,0.00721312,0.00518993,0.01240305,0.01046783
3428,NHabil,ESP,37,53,4.827202,-74.07196,ETH,0.01088758,0.00820755,0.00770505,0.00703504,0.01323259,0.03031771,0.04907783,0.03852526,0.03232772,0.02730269,0.02495767,0.03031771,0.02646518,0.03484024,0.02445516,0.03082021,0.02345016,0.01926264,0.01993263,0.02127265,0.01976514,0.01541011,0.01859263,0.01289759
3428,NHabil,M,37,53,4.827202,-74.07196,ETH,0.01228274,0.0108557,0.00805258,0.00978542,0.00784872,0.03190455,0.074359,0.08159613,0.0707914,0.05794803,0.06564386,0.06574579,0.08419538,0.08857843,0.0813413,0.08302317,0.08067875,0.07981233,0.06289171,0.05723451,0.05346305,0.0453595,0.0380714,0.02227202
3428,NHabil,AL,37,53,4.827202,-74.07196,ETH,0.00155582,0.0,0.0,0.0,0.00129019,0.00265627,0.00174555,0.00117635,0.00087277,0.00102456,0.00106251,0.00144197,0.00136608,0.00106251,0.00125224,0.00129019,0.00117635,0.00117635,0.00144197,0.00125224,0.00136608,0.00147992,0.00280806,0.0022768
