FID_Grilla,Type,Category,COL,ROW,LAT,LON,POLNAME,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
3428,NHabil,C2P,37,53,4.827202,-74.07196,OLE,0.00057925,0.00057925,0.00108609,0.00097747,0.00224458,0.00423574,0.0062993,0.00390991,0.00470637,0.00633551,0.00568386,0.00539423,0.00390991,0.00354789,0.0036927,0.00600969,0.00434435,0.00441676,0.00304105,0.00362029,0.00267902,0.00130331,0.00115849,0.00097747
3428,NHabil,B,37,53,4.827202,-74.07196,OLE,0.00036489,0.00031276,5.213e-05,0.00031276,0.00218935,0.0089138,0.01271911,0.00870529,0.01063401,0.00870529,0.00755849,0.00823614,0.00813189,0.00792338,0.00708934,0.00797551,0.00693296,0.0062553,0.00677657,0.00562977,0.00432658,0.0035968,0.00271063,0.00104255
3428,NHabil,BA,37,53,4.827202,-74.07196,OLE,0.0,0.0,0.0,0.0,0.0,9.479e-05,0.00014583,0.00018958,0.0001677,0.00018958,0.00015312,0.00014583,0.00019687,0.00017499,0.00018958,0.00018229,0.00018229,0.00018229,0.00012395,0.0001677,0.0001677,0.00017499,0.0003427,7.291e-05
3428,NHabil,TX,37,53,4.827202,-74.07196,OLE,0.05026907,0.03786428,0.03615473,0.03597106,0.03115326,0.05390008,0.12540424,0.15570979,0.1699089,0.16810045,0.18779553,0.18365589,0.16240668,0.18146598,0.17515055,0.21223777,0.21804457,0.21302897,0.21420163,0.20792859,0.18526653,0.14834886,0.11136055,0.07363755
3428,NHabil,MB,37,53,4.827202,-74.07196,OLE,6.971e-05,6.971e-05,0.00020913,0.00013942,0.00118504,0.00369455,0.00550697,0.00487959,0.00432193,0.00446134,0.00390368,0.00369455,0.00376426,0.00383397,0.00334601,0.00369455,0.0032763,0.00341572,0.00362484,0.00369455,0.00341572,0.00264892,0.00216096,0.00069708
3428,NHabil,INT,37,53,4.827202,-74.07196,OLE,0.00059093,0.00053722,0.00059093,0.00048349,0.00295465,0.00574814,0.00757466,0.00746722,0.0074135,0.00719862,0.00676884,0.00526466,0.00644652,0.00725233,0.00800442,0.00838047,0.00821931,0.00762838,0.0074135,0.00698372,0.00580186,0.00333071,0.00257861,0.00112814
3428,NHabil,C2G,37,53,4.827202,-74.07196,OLE,0.00343927,0.0036927,0.00307724,0.00336687,0.00532183,0.01100568,0.01484319,0.01433634,0.01589307,0.01600169,0.01455357,0.01553104,0.01194696,0.01332267,0.00872489,0.00991959,0.00709576,0.00633551,0.00485118,0.00532183,0.00296864,0.00213597,0.00510461,0.00430814
3428,NHabil,ESP,37,53,4.827202,-74.07196,OLE,0.00762461,0.00574778,0.00539588,0.00492667,0.00926683,0.0212316,0.03436938,0.02697938,0.02263922,0.01912017,0.01747795,0.0212316,0.01853366,0.02439874,0.01712604,0.02158351,0.01642223,0.01348969,0.0139589,0.01489731,0.0138416,0.01079175,0.01302048,0.00903223
3428,NHabil,M,37,53,4.827202,-74.07196,OLE,0.00868056,0.00767203,0.00569099,0.00691563,0.00554691,0.02254784,0.0525516,0.05766628,0.05003027,0.04095351,0.04639236,0.0464644,0.05950325,0.06260087,0.05748619,0.05867481,0.05701794,0.05640562,0.04444734,0.04044924,0.03778384,0.03205683,0.02690613,0.01574027
3428,NHabil,AL,37,53,4.827202,-74.07196,OLE,0.000624,0.0,0.0,0.0,0.00051746,0.00106536,0.00070009,0.0004718,0.00035005,0.00041092,0.00042614,0.00057834,0.0005479,0.00042614,0.00050224,0.00051746,0.0004718,0.0004718,0.00057834,0.00050224,0.0005479,0.00059356,0.00112624,0.00091317
3428,NHabil,C3-C4,37,53,4.827202,-74.07196,OLE,0.00158215,0.00111681,0.00223362,0.00195442,0.00530486,0.00977212,0.00800382,0.00623554,0.00800382,0.00623554,0.00530486,0.00558406,0.00493259,0.00614247,0.00595634,0.00511872,0.00372271,0.00279203,0.00093068,0.00176828,0.00167522,0.00158215,0.00316429,0.00139601
3428,NHabil,BT,37,53,4.827202,-74.07196,OLE,0.00265214,0.00070724,0.0006483,0.00070724,0.00353619,0.00595258,0.00595258,0.00612939,0.00636514,0.00542216,0.00559897,0.00972452,0.00789749,0.00607046,0.00559897,0.00683663,0.00542216,0.00442024,0.00554003,0.00559897,0.0056579,0.00571684,0.00648301,0.00719025
3428,NHabil,CC,37,53,4.827202,-74.07196,OLE,0.00884614,0.00666319,0.00636236,0.00633003,0.00548221,0.0094851,0.02206811,0.02740114,0.02989984,0.0295816,0.03304745,0.03231898,0.02857963,0.03193361,0.03082224,0.0373487,0.03837055,0.03748792,0.03769429,0.03659039,0.03260241,0.0261058,0.01959675,0.01295841
3428,NHabil,AUT,37,53,4.827202,-74.07196,OLE,0.01483562,0.01117467,0.01067014,0.01061594,0.00919408,0.01590722,0.03700983,0.04595374,0.05014423,0.04961052,0.05542302,0.0542013,0.04793015,0.05355501,0.05169118,0.06263652,0.06435024,0.06287002,0.06321609,0.06136477,0.05467665,0.04378135,0.0328652,0.02173223
3428,NHabil,>C5,37,53,4.827202,-74.07196,OLE,0.00476949,0.00394259,0.00374291,0.00596438,0.00933347,0.01242655,0.00452823,0.00431522,0.00374858,0.00489776,0.00779986,0.00704864,0.00722417,0.00838396,0.00714711,0.00874425,0.00587122,0.00330884,0.0028948,0.00439823,0.00536931,0.00386002,0.00468575,0.00575137
3428,NHabil,C5,37,53,4.827202,-74.07196,OLE,0.00148908,0.00139601,0.00102374,0.00223362,0.00362964,0.00530486,0.00307123,0.00307123,0.00279203,0.0028851,0.00158215,0.00251283,0.00195442,0.00353658,0.00269896,0.00651475,0.00325737,0.00307123,0.00204749,0.00251283,0.00204749,0.00083761,0.0028851,0.00204749
3428,NHabil,AT,37,53,4.827202,-74.07196,OLE,0.00068824,0.0,5.294e-05,5.294e-05,0.00174707,0.00587651,0.01307657,0.02297664,0.02403547,0.01980015,0.01392363,0.01238833,0.01387069,0.01471776,0.015406,0.01625306,0.01281186,0.01455893,0.01508835,0.01408246,0.0128648,0.01138244,0.00963537,0.00439415
3428,Habil,C2P,37,53,4.827202,-74.07196,OLE,0.00102816,0.00091231,0.00173774,0.00160741,0.00335963,0.00614001,0.00661789,0.00519874,0.00850044,0.00783431,0.00860181,0.00773294,0.0092245,0.006531,0.00884798,0.00868869,0.00786326,0.00528563,0.00435883,0.00244731,0.00196944,0.00146259,0.00144812,0.00120195
3428,Habil,B,37,53,4.827202,-74.07196,OLE,0.00075064,0.00027106,0.00014596,0.00062553,0.00512935,0.01221869,0.01442889,0.01517953,0.01590931,0.01440804,0.01374081,0.0124689,0.01171826,0.01219783,0.01165571,0.012594,0.01382421,0.01173911,0.01005018,0.00954976,0.00900763,0.00604679,0.00327361,0.0010634
3428,Habil,BA,37,53,4.827202,-74.07196,OLE,0.0,0.0,0.0,0.0,3.208e-05,0.00026832,0.00051332,0.00068539,0.00066498,0.00053665,0.00043457,0.0004054,0.0003529,0.00032666,0.0003529,0.00039957,0.00049582,0.00055998,0.00060665,0.00064456,0.00062123,0.00061539,0.00042582,4.958e-05
3428,Habil,TX,37,53,4.827202,-74.07196,OLE,0.01700502,0.00903657,0.00738636,0.0096017,0.02148091,0.10977815,0.19566791,0.14481674,0.16252819,0.17236159,0.17817687,0.17447522,0.17391572,0.18498679,0.19441331,0.17211859,0.17458824,0.19211319,0.19165543,0.19779283,0.18288448,0.14260705,0.07635587,0.0340609
