FID_Grilla,Type,Category,COL,ROW,LAT,LON,POLNAME,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
2856,NHabil,C2P,39,42,4.728607,-74.05397,ISOP,5e-06,5e-06,9.38e-06,8.44e-06,1.938e-05,3.657e-05,5.439e-05,3.376e-05,4.063e-05,5.47e-05,4.908e-05,4.658e-05,3.376e-05,3.063e-05,3.188e-05,5.188e-05,3.751e-05,3.814e-05,2.626e-05,3.126e-05,2.313e-05,1.125e-05,1e-05,8.44e-06
2856,NHabil,B,39,42,4.728607,-74.05397,ISOP,3.33e-06,2.86e-06,4.8e-07,2.86e-06,2e-05,8.144e-05,0.00011621,7.954e-05,9.716e-05,7.954e-05,6.906e-05,7.525e-05,7.43e-05,7.239e-05,6.477e-05,7.287e-05,6.334e-05,5.715e-05,6.191e-05,5.144e-05,3.953e-05,3.286e-05,2.477e-05,9.53e-06
2856,NHabil,BA,39,42,4.728607,-74.05397,ISOP,0.0,0.0,0.0,0.0,0.0,7.9e-07,1.21e-06,1.58e-06,1.4e-06,1.58e-06,1.27e-06,1.21e-06,1.64e-06,1.46e-06,1.58e-06,1.52e-06,1.52e-06,1.52e-06,1.03e-06,1.4e-06,1.4e-06,1.46e-06,2.85e-06,6.1e-07
2856,NHabil,TX,39,42,4.728607,-74.05397,ISOP,1.95e-06,1.47e-06,1.4e-06,1.4e-06,1.21e-06,2.09e-06,4.87e-06,6.05e-06,6.6e-06,6.53e-06,7.29e-06,7.13e-06,6.31e-06,7.05e-06,6.8e-06,8.24e-06,8.47e-06,8.27e-06,8.32e-06,8.08e-06,7.2e-06,5.76e-06,4.32e-06,2.86e-06
2856,NHabil,MB,39,42,4.728607,-74.05397,ISOP,6.4e-07,6.4e-07,1.91e-06,1.28e-06,1.084e-05,3.379e-05,5.037e-05,4.463e-05,3.953e-05,4.08e-05,3.57e-05,3.379e-05,3.443e-05,3.506e-05,3.06e-05,3.379e-05,2.996e-05,3.124e-05,3.315e-05,3.379e-05,3.124e-05,2.423e-05,1.976e-05,6.38e-06
2856,NHabil,INT,39,42,4.728607,-74.05397,ISOP,2.88e-06,2.62e-06,2.88e-06,2.36e-06,1.44e-05,2.802e-05,3.692e-05,3.64e-05,3.614e-05,3.509e-05,3.299e-05,2.566e-05,3.142e-05,3.535e-05,3.902e-05,4.085e-05,4.007e-05,3.718e-05,3.614e-05,3.404e-05,2.828e-05,1.624e-05,1.257e-05,5.5e-06
2856,NHabil,C2G,39,42,4.728607,-74.05397,ISOP,2.969e-05,3.188e-05,2.657e-05,2.907e-05,4.595e-05,9.502e-05,0.00012816,0.00012378,0.00013721,0.00013816,0.00012566,0.00013409,0.00010315,0.00011503,7.533e-05,8.564e-05,6.126e-05,5.47e-05,4.189e-05,4.595e-05,2.563e-05,1.845e-05,4.407e-05,3.72e-05
2856,NHabil,ESP,39,42,4.728607,-74.05397,ISOP,9e-07,6.8e-07,6.4e-07,5.8e-07,1.09e-06,2.5e-06,4.05e-06,3.18e-06,2.67e-06,2.25e-06,2.06e-06,2.5e-06,2.18e-06,2.87e-06,2.02e-06,2.54e-06,1.93e-06,1.59e-06,1.64e-06,1.75e-06,1.63e-06,1.27e-06,1.53e-06,1.06e-06
2856,NHabil,M,39,42,4.728607,-74.05397,ISOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2856,NHabil,AL,39,42,4.728607,-74.05397,ISOP,5.5e-06,0.0,0.0,0.0,4.56e-06,9.38e-06,6.17e-06,4.16e-06,3.08e-06,3.62e-06,3.75e-06,5.09e-06,4.83e-06,3.75e-06,4.42e-06,4.56e-06,4.16e-06,4.16e-06,5.09e-06,4.42e-06,4.83e-06,5.23e-06,9.92e-06,8.04e-06
2856,NHabil,C3-C4,39,42,4.728607,-74.05397,ISOP,4.19e-06,2.96e-06,5.92e-06,5.18e-06,1.406e-05,2.59e-05,2.121e-05,1.652e-05,2.121e-05,1.652e-05,1.406e-05,1.48e-05,1.307e-05,1.628e-05,1.578e-05,1.356e-05,9.87e-06,7.4e-06,2.47e-06,4.69e-06,4.44e-06,4.19e-06,8.39e-06,3.7e-06
2856,NHabil,BT,39,42,4.728607,-74.05397,ISOP,2.426e-05,6.47e-06,5.93e-06,6.47e-06,3.235e-05,5.445e-05,5.445e-05,5.607e-05,5.822e-05,4.96e-05,5.121e-05,8.895e-05,7.224e-05,5.553e-05,5.121e-05,6.253e-05,4.96e-05,4.043e-05,5.067e-05,5.121e-05,5.175e-05,5.229e-05,5.93e-05,6.577e-05
2856,NHabil,CC,39,42,4.728607,-74.05397,ISOP,1.155e-05,8.7e-06,8.31e-06,8.26e-06,7.16e-06,1.238e-05,2.881e-05,3.577e-05,3.903e-05,3.862e-05,4.314e-05,4.219e-05,3.731e-05,4.169e-05,4.024e-05,4.876e-05,5.009e-05,4.894e-05,4.921e-05,4.777e-05,4.256e-05,3.408e-05,2.558e-05,1.692e-05
2856,NHabil,AUT,39,42,4.728607,-74.05397,ISOP,1.095e-05,8.25e-06,7.88e-06,7.84e-06,6.79e-06,1.175e-05,2.733e-05,3.393e-05,3.703e-05,3.663e-05,4.093e-05,4.002e-05,3.539e-05,3.955e-05,3.817e-05,4.625e-05,4.752e-05,4.642e-05,4.668e-05,4.531e-05,4.037e-05,3.233e-05,2.427e-05,1.605e-05
2856,NHabil,>C5,39,42,4.728607,-74.05397,ISOP,9.77e-06,1.006e-05,1.065e-05,1.707e-05,3.216e-05,3.325e-05,4.54e-06,1.38e-06,3.45e-06,6.71e-06,2.841e-05,2.456e-05,2.013e-05,2.831e-05,2.486e-05,2.496e-05,1.924e-05,3.06e-06,1.09e-06,1.786e-05,2.19e-05,1.717e-05,1.263e-05,1.391e-05
2856,NHabil,C5,39,42,4.728607,-74.05397,ISOP,3.95e-06,3.7e-06,2.71e-06,5.92e-06,9.62e-06,1.406e-05,8.14e-06,8.14e-06,7.4e-06,7.65e-06,4.19e-06,6.66e-06,5.18e-06,9.37e-06,7.15e-06,1.726e-05,8.63e-06,8.14e-06,5.43e-06,6.66e-06,5.43e-06,2.22e-06,7.65e-06,5.43e-06
2856,NHabil,AT,39,42,4.728607,-74.05397,ISOP,6.29e-06,0.0,4.8e-07,4.8e-07,1.596e-05,5.369e-05,0.00011947,0.00020991,0.00021959,0.00018089,0.00012721,0.00011318,0.00012672,0.00013446,0.00014075,0.00014849,0.00011705,0.00013301,0.00013785,0.00012866,0.00011753,0.00010399,8.803e-05,4.014e-05
2856,Habil,C2P,39,42,4.728607,-74.05397,ISOP,8.87e-06,7.88e-06,1.5e-05,1.388e-05,2.901e-05,5.301e-05,5.714e-05,4.488e-05,7.339e-05,6.764e-05,7.427e-05,6.676e-05,7.964e-05,5.639e-05,7.64e-05,7.502e-05,6.789e-05,4.563e-05,3.763e-05,2.113e-05,1.701e-05,1.263e-05,1.25e-05,1.037e-05
2856,Habil,B,39,42,4.728607,-74.05397,ISOP,6.86e-06,2.48e-06,1.33e-06,5.72e-06,4.686e-05,0.00011164,0.00013183,0.00013869,0.00014536,0.00013164,0.00012554,0.00011392,0.00010706,0.00011145,0.00010649,0.00011506,0.0001263,0.00010725,9.182e-05,8.725e-05,8.23e-05,5.525e-05,2.991e-05,9.72e-06
2856,Habil,BA,39,42,4.728607,-74.05397,ISOP,0.0,0.0,0.0,0.0,2.7e-07,2.23e-06,4.27e-06,5.7e-06,5.53e-06,4.47e-06,3.62e-06,3.37e-06,2.94e-06,2.72e-06,2.94e-06,3.33e-06,4.13e-06,4.66e-06,5.05e-06,5.37e-06,5.17e-06,5.12e-06,3.54e-06,4.1e-07
2856,Habil,TX,39,42,4.728607,-74.05397,ISOP,6.6e-07,3.5e-07,2.9e-07,3.7e-07,8.3e-07,4.26e-06,7.6e-06,5.62e-06,6.31e-06,6.69e-06,6.92e-06,6.78e-06,6.75e-06,7.18e-06,7.55e-06,6.68e-06,6.78e-06,7.46e-06,7.44e-06,7.68e-06,7.1e-06,5.54e-06,2.97e-06,1.32e-06
2856,Habil,MB,39,42,4.728607,-74.05397,ISOP,1.53e-06,7.7e-07,0.0,1.53e-06,1.683e-05,4.463e-05,4.973e-05,5.483e-05,4.794e-05,4.412e-05,4.871e-05,4.539e-05,4.539e-05,4.386e-05,4.769e-05,4.565e-05,4.616e-05,4.59e-05,4.692e-05,4.208e-05,3.519e-05,3.57e-05,2.295e-05,6.63e-06
2856,Habil,INT,39,42,4.728607,-74.05397,ISOP,2.93e-06,1.57e-06,3.46e-06,3.88e-06,1.676e-05,3.907e-05,3.928e-05,4.797e-05,5.572e-05,4.022e-05,4.766e-05,4.263e-05,4.598e-05,4.609e-05,3.635e-05,3.75e-05,3.771e-05,3.666e-05,4.012e-05,3.237e-05,2.566e-05,1.676e-05,1.194e-05,5.66e-06
