FID_Grilla,Type,Category,COL,ROW,LAT,LON,POLNAME,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
2856,NHabil,C2P,39,42,4.728607,-74.05397,PM2.5 TIRE,0.0002137,0.0002137,0.00040068,0.00036061,0.00082809,0.00156266,0.00232397,0.00144245,0.0017363,0.00233732,0.00209691,0.00199006,0.00144245,0.0013089,0.00136232,0.00221711,0.00160273,0.00162945,0.00112192,0.00133561,0.00098835,0.00048082,0.0004274,0.00036061
2856,NHabil,B,39,42,4.728607,-74.05397,PM2.5 TIRE,0.00018075,0.00015493,2.582e-05,0.00015493,0.00108452,0.00441553,0.00630053,0.00431225,0.00526766,0.00431225,0.00374417,0.00407985,0.00402821,0.00392492,0.00351177,0.00395074,0.0034343,0.00309862,0.00335684,0.00278876,0.00214321,0.00178171,0.00134274,0.00051644
2856,NHabil,BA,39,42,4.728607,-74.05397,PM2.5 TIRE,0.0,0.0,0.0,0.0,0.0,0.00033568,0.00051644,0.00067137,0.0005939,0.00067137,0.00054226,0.00051644,0.00069719,0.00061972,0.00067137,0.00064555,0.00064555,0.00064555,0.00043897,0.0005939,0.0005939,0.00061972,0.00121363,0.00025822
2856,NHabil,TX,39,42,4.728607,-74.05397,PM2.5 TIRE,0.00729525,0.00549501,0.00524692,0.00522027,0.00452109,0.0078222,0.01819917,0.02259724,0.02465787,0.02439542,0.02725365,0.02665289,0.02356911,0.02633508,0.02541856,0.0308008,0.03164351,0.03091563,0.0310858,0.03017544,0.02688662,0.02152898,0.01616109,0.01068658
2856,NHabil,MB,39,42,4.728607,-74.05397,PM2.5 TIRE,2.404e-05,2.404e-05,7.212e-05,4.808e-05,0.0004087,0.00127417,0.00189924,0.00168287,0.00149054,0.00153863,0.0013463,0.00127417,0.00129822,0.00132226,0.00115397,0.00127417,0.00112993,0.00117801,0.00125013,0.00127417,0.00117801,0.00091356,0.00074527,0.00024041
2856,NHabil,INT,39,42,4.728607,-74.05397,PM2.5 TIRE,0.00026445,0.00024041,0.00026445,0.00021637,0.00132226,0.00257239,0.00338978,0.0033417,0.00331765,0.00322149,0.00302917,0.00235602,0.00288492,0.00324553,0.00358212,0.0037504,0.00367828,0.00341382,0.00331765,0.00312533,0.00259643,0.00149055,0.00115397,0.00050485
2856,NHabil,C2G,39,42,4.728607,-74.05397,PM2.5 TIRE,0.00126883,0.00136232,0.00113527,0.00124211,0.00196336,0.00406026,0.00547601,0.00528903,0.00586334,0.00590341,0.00536916,0.00572979,0.00440752,0.00491506,0.00321883,0.00365958,0.0026178,0.00233732,0.00178971,0.00196336,0.0010952,0.00078801,0.00188321,0.00158938
2856,NHabil,ESP,39,42,4.728607,-74.05397,PM2.5 TIRE,0.00156267,0.001178,0.00110588,0.00100973,0.00189924,0.00435143,0.00704402,0.00552944,0.00463992,0.00391869,0.00358212,0.00435143,0.00379848,0.00500054,0.00350999,0.00442355,0.00336574,0.00276472,0.00286089,0.00305321,0.00283684,0.00221177,0.00266855,0.00185116
2856,NHabil,M,39,42,4.728607,-74.05397,PM2.5 TIRE,0.00150212,0.0013276,0.00098479,0.00119671,0.00095986,0.00390177,0.00909374,0.00997881,0.00865744,0.00708676,0.00802792,0.00804039,0.01029668,0.01083271,0.00994764,0.01015333,0.00986661,0.00976066,0.00769135,0.0069995,0.00653827,0.00554724,0.00465595,0.00272376
2856,NHabil,AL,39,42,4.728607,-74.05397,PM2.5 TIRE,0.0010587,0.0,0.0,0.0,0.00087794,0.00180753,0.0011878,0.00080048,0.0005939,0.00069719,0.00072301,0.00098123,0.00092959,0.00072301,0.00085212,0.00087794,0.00080048,0.00080048,0.00098123,0.00085212,0.00092959,0.00100705,0.00191082,0.00154931
