FID_Grilla,Type,Category,COL,ROW,LAT,LON,POLNAME,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
2856,NHabil,C2P,39,42,4.728607,-74.05397,PMN,9e-07,9e-07,1.67e-06,1.51e-06,3.47e-06,6.53e-06,9.72e-06,6.04e-06,7.27e-06,9.77e-06,8.77e-06,8.33e-06,6.04e-06,5.48e-06,5.7e-06,9.28e-06,6.71e-06,6.81e-06,4.7e-06,5.58e-06,4.14e-06,2.01e-06,1.79e-06,1.51e-06
2856,NHabil,B,39,42,4.728607,-74.05397,PMN,4.6e-07,3.9e-07,7e-08,3.9e-07,2.75e-06,1.121e-05,1.599e-05,1.094e-05,1.337e-05,1.094e-05,9.5e-06,1.035e-05,1.022e-05,9.96e-06,8.91e-06,1.003e-05,8.72e-06,7.86e-06,8.52e-06,7.08e-06,5.44e-06,4.52e-06,3.41e-06,1.31e-06
2856,NHabil,BA,39,42,4.728607,-74.05397,PMN,0.0,0.0,0.0,0.0,0.0,1.8e-07,2.7e-07,3.6e-07,3.1e-07,3.6e-07,2.9e-07,2.7e-07,3.7e-07,3.3e-07,3.6e-07,3.4e-07,3.4e-07,3.4e-07,2.3e-07,3.1e-07,3.1e-07,3.3e-07,6.4e-07,1.4e-07
2856,NHabil,TX,39,42,4.728607,-74.05397,PMN,2.28e-06,1.72e-06,1.64e-06,1.63e-06,1.41e-06,2.45e-06,5.69e-06,7.07e-06,7.71e-06,7.63e-06,8.53e-06,8.34e-06,7.37e-06,8.24e-06,7.95e-06,9.64e-06,9.9e-06,9.67e-06,9.73e-06,9.44e-06,8.41e-06,6.74e-06,5.06e-06,3.34e-06
2856,NHabil,MB,39,42,4.728607,-74.05397,PMN,7e-08,7e-08,2.1e-07,1.4e-07,1.2e-06,3.75e-06,5.59e-06,4.96e-06,4.39e-06,4.53e-06,3.97e-06,3.75e-06,3.82e-06,3.89e-06,3.4e-06,3.75e-06,3.33e-06,3.47e-06,3.68e-06,3.75e-06,3.47e-06,2.69e-06,2.19e-06,7.1e-07
2856,NHabil,INT,39,42,4.728607,-74.05397,PMN,3.6e-07,3.3e-07,3.6e-07,3e-07,1.82e-06,3.56e-06,4.68e-06,4.62e-06,4.58e-06,4.45e-06,4.19e-06,3.25e-06,3.99e-06,4.49e-06,4.95e-06,5.18e-06,5.08e-06,4.72e-06,4.58e-06,4.32e-06,3.59e-06,2.06e-06,1.59e-06,7e-07
2856,NHabil,C2G,39,42,4.728607,-74.05397,PMN,5.3e-06,5.7e-06,4.75e-06,5.19e-06,8.22e-06,1.699e-05,2.29e-05,2.213e-05,2.452e-05,2.47e-05,2.246e-05,2.396e-05,1.843e-05,2.056e-05,1.347e-05,1.531e-05,1.095e-05,9.77e-06,7.48e-06,8.22e-06,4.58e-06,3.29e-06,7.87e-06,6.65e-06
2856,NHabil,ESP,39,42,4.728607,-74.05397,PMN,8.7e-07,6.5e-07,6.1e-07,5.6e-07,1.05e-06,2.41e-06,3.9e-06,3.06e-06,2.57e-06,2.17e-06,1.98e-06,2.41e-06,2.1e-06,2.77e-06,1.94e-06,2.44e-06,1.86e-06,1.53e-06,1.59e-06,1.69e-06,1.57e-06,1.23e-06,1.47e-06,1.02e-06
2856,NHabil,M,39,42,4.728607,-74.05397,PMN,2.85e-06,2.52e-06,1.87e-06,2.27e-06,1.82e-06,7.4e-06,1.725e-05,1.893e-05,1.642e-05,1.344e-05,1.523e-05,1.525e-05,1.953e-05,2.055e-05,1.887e-05,1.926e-05,1.872e-05,1.852e-05,1.459e-05,1.328e-05,1.24e-05,1.052e-05,8.83e-06,5.17e-06
2856,NHabil,AL,39,42,4.728607,-74.05397,PMN,8.8e-07,0.0,0.0,0.0,7.3e-07,1.5e-06,9.8e-07,6.6e-07,4.9e-07,5.8e-07,6e-07,8.1e-07,7.7e-07,6e-07,7.1e-07,7.3e-07,6.6e-07,6.6e-07,8.1e-07,7.1e-07,7.7e-07,8.3e-07,1.58e-06,1.28e-06
