FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
1713,3428,37,53,4.8272,-74.072,NHabil,ETH,C2P,0.00890719,0.00890719,0.016701,0.01503089,0.03451538,0.06513387,0.09686575,0.06012356,0.07237096,0.09742245,0.08740185,0.08294826,0.06012356,0.05455656,0.05678337,0.09241215,0.06680396,0.06791736,0.04676278,0.05566998,0.04119578,0.02004119,0.01781439,0.01503089
1713,3428,37,53,4.8272,-74.072,NHabil,ETH,B,0.00579903,0.0049706,0.00082843,0.0049706,0.03479417,0.14166199,0.20213757,0.13834826,0.16900027,0.13834826,0.12012274,0.13089236,0.1292355,0.12592177,0.11266684,0.1267502,0.11018155,0.09941192,0.10769625,0.08947073,0.06875991,0.05716185,0.0430785,0.01656865
1713,3428,37,53,4.8272,-74.072,NHabil,ETH,BA,0.0,0.0,0.0,0.0,0.0,0.00148003,0.00227698,0.00296007,0.00261852,0.00296007,0.00239082,0.00227698,0.00307392,0.00273237,0.00296007,0.00284622,0.00284622,0.00284622,0.00193543,0.00261852,0.00261852,0.00273237,0.00535089,0.00113849
1713,3428,37,53,4.8272,-74.072,NHabil,ETH,TX,0.14992267,0.11292657,0.10782802,0.10728024,0.0929116,0.16075182,0.37400606,0.46438946,0.50673691,0.50134341,0.56008208,0.547736,0.48436229,0.5412048,0.52236966,0.63297871,0.65029693,0.63533837,0.63883572,0.62012699,0.5525396,0.44243619,0.3321221,0.2196169
1713,3428,37,53,4.8272,-74.072,NHabil,ETH,MB,0.0011081,0.0011081,0.00332429,0.00221619,0.01883764,0.05872911,0.08753961,0.07756675,0.06870197,0.07091817,0.0620534,0.05872911,0.0598372,0.0609453,0.05318863,0.05872911,0.05208053,0.05429672,0.05762101,0.05872911,0.05429672,0.04210766,0.03435099,0.01108096
1713,3428,37,53,4.8272,-74.072,NHabil,ETH,INT,0.00741251,0.00673864,0.00741251,0.00606478,0.03706252,0.07210345,0.09501484,0.09366711,0.09299324,0.09029779,0.08490688,0.06603869,0.08086369,0.09097164,0.10040575,0.1051228,0.1031012,0.09568869,0.09299324,0.08760233,0.07277733,0.04177957,0.03234548,0.01415115
1713,3428,37,53,4.8272,-74.072,NHabil,ETH,ESP,0.0689037,0.05194278,0.04876262,0.04452238,0.08374449,0.19187029,0.31059666,0.24381308,0.20459098,0.17278927,0.15794847,0.19187029,0.16748899,0.22049183,0.15476831,0.19505046,0.14840796,0.12190654,0.12614677,0.13462722,0.12508671,0.09752523,0.11766631,0.08162438
1713,3428,37,53,4.8272,-74.072,NHabil,ETH,M,0.07773322,0.06870197,0.05096203,0.06192854,0.04967185,0.20191284,0.47059238,0.5163937,0.44801427,0.36673306,0.41543728,0.41608237,0.53284347,0.56058229,0.51478098,0.52542494,0.5105879,0.50510464,0.39801988,0.36221744,0.33834915,0.28706458,0.24094072,0.14095193
1713,3428,37,53,4.8272,-74.072,NHabil,ETH,AL,0.00984622,0.0,0.0,0.0,0.00816515,0.01681061,0.01104697,0.0074447,0.00552349,0.00648409,0.00672425,0.00912576,0.00864546,0.00672425,0.007925,0.00816515,0.0074447,0.0074447,0.00912576,0.007925,0.00864546,0.00936591,0.01777122,0.0144091
1713,3428,37,53,4.8272,-74.072,NHabil,ETH,AUT,0.10103527,0.07610301,0.07266701,0.07229786,0.06261461,0.10833321,0.25204863,0.31295944,0.34149807,0.3378633,0.37744822,0.369128,0.32641945,0.36472653,0.35203323,0.42657442,0.43824545,0.42816463,0.43052156,0.41791344,0.37236522,0.29816478,0.22382236,0.14800332
