FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
1713,3428,37,53,4.8272,-74.072,NHabil,ISOP,C2P,2.683e-05,2.683e-05,5.029e-05,4.526e-05,0.00010393,0.00019613,0.00029168,0.00018105,0.00021792,0.00029336,0.00026318,0.00024977,0.00018105,0.00016428,0.00017098,0.00027827,0.00020116,0.00020451,0.00014081,0.00016763,0.00012405,6.035e-05,5.364e-05,4.526e-05
1713,3428,37,53,4.8272,-74.072,NHabil,ISOP,B,1.788e-05,1.533e-05,2.55e-06,1.533e-05,0.00010728,0.00043677,0.00062323,0.00042655,0.00052106,0.00042655,0.00037036,0.00040357,0.00039846,0.00038824,0.00034737,0.0003908,0.00033971,0.00030651,0.00033205,0.00027586,0.000212,0.00017624,0.00013282,5.108e-05
1713,3428,37,53,4.8272,-74.072,NHabil,ISOP,BA,0.0,0.0,0.0,0.0,0.0,4.23e-06,6.51e-06,8.46e-06,7.49e-06,8.46e-06,6.84e-06,6.51e-06,8.79e-06,7.81e-06,8.46e-06,8.14e-06,8.14e-06,8.14e-06,5.53e-06,7.49e-06,7.49e-06,7.81e-06,1.53e-05,3.25e-06
1713,3428,37,53,4.8272,-74.072,NHabil,ISOP,TX,1.047e-05,7.89e-06,7.53e-06,7.49e-06,6.49e-06,1.123e-05,2.612e-05,3.243e-05,3.539e-05,3.501e-05,3.912e-05,3.825e-05,3.383e-05,3.78e-05,3.648e-05,4.421e-05,4.542e-05,4.437e-05,4.462e-05,4.331e-05,3.859e-05,3.09e-05,2.319e-05,1.534e-05
1713,3428,37,53,4.8272,-74.072,NHabil,ISOP,MB,3.42e-06,3.42e-06,1.026e-05,6.84e-06,5.813e-05,0.00018121,0.00027011,0.00023934,0.00021199,0.00021882,0.00019147,0.00018121,0.00018463,0.00018805,0.00016412,0.00018121,0.0001607,0.00016754,0.00017779,0.00018121,0.00016754,0.00012993,0.00010599,3.419e-05
1713,3428,37,53,4.8272,-74.072,NHabil,ISOP,INT,1.545e-05,1.404e-05,1.545e-05,1.264e-05,7.724e-05,0.00015027,0.00019802,0.00019521,0.00019381,0.00018819,0.00017695,0.00013763,0.00016853,0.00018959,0.00020925,0.00021908,0.00021487,0.00019942,0.00019381,0.00018257,0.00015167,8.707e-05,6.741e-05,2.949e-05
1713,3428,37,53,4.8272,-74.072,NHabil,ISOP,ESP,4.81e-06,3.63e-06,3.41e-06,3.11e-06,5.85e-06,1.341e-05,2.17e-05,1.704e-05,1.43e-05,1.207e-05,1.104e-05,1.341e-05,1.17e-05,1.541e-05,1.081e-05,1.363e-05,1.037e-05,8.52e-06,8.81e-06,9.41e-06,8.74e-06,6.81e-06,8.22e-06,5.7e-06
1713,3428,37,53,4.8272,-74.072,NHabil,ISOP,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713,3428,37,53,4.8272,-74.072,NHabil,ISOP,AL,2.948e-05,0.0,0.0,0.0,2.445e-05,5.033e-05,3.307e-05,2.229e-05,1.654e-05,1.941e-05,2.013e-05,2.732e-05,2.588e-05,2.013e-05,2.373e-05,2.445e-05,2.229e-05,2.229e-05,2.732e-05,2.373e-05,2.588e-05,2.804e-05,5.32e-05,4.314e-05
1713,3428,37,53,4.8272,-74.072,NHabil,ISOP,AUT,5.875e-05,4.425e-05,4.226e-05,4.204e-05,3.641e-05,6.3e-05,0.00014656,0.00018198,0.00019858,0.00019647,0.00021948,0.00021465,0.00018981,0.00021209,0.0002047,0.00024805,0.00025484,0.00024897,0.00025035,0.00024301,0.00021653,0.00017338,0.00013015,8.606e-05
