FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
1713,3428,37,53,4.8272,-74.072,NHabil,PEC,C2P,0.11418745,0.11418745,0.21410146,0.19269131,0.44247636,0.8349957,1.24178848,0.77076526,0.927773,1.2489252,1.12046431,1.06337059,0.77076526,0.69939811,0.72794497,1.18469475,0.85640585,0.87067928,0.59948409,0.71367154,0.52811693,0.25692176,0.22837489,0.19269131
1713,3428,37,53,4.8272,-74.072,NHabil,PEC,B,0.10605741,0.09090635,0.01515106,0.09090635,0.63634444,2.59083092,3.69685816,2.53022669,3.09081584,2.53022669,2.19690341,2.39386717,2.36356505,2.30296082,2.06054389,2.31811188,2.01509072,1.81812696,1.96963754,1.63631427,1.25753782,1.045423,0.78785502,0.30302116
1713,3428,37,53,4.8272,-74.072,NHabil,PEC,BA,0.0,0.0,0.0,0.0,0.0,0.01753234,0.02697283,0.03506468,0.03101875,0.03506468,0.02832147,0.02697283,0.03641332,0.0323674,0.03506468,0.03371604,0.03371604,0.03371604,0.0229269,0.03101875,0.03101875,0.0323674,0.06338615,0.01348641
1713,3428,37,53,4.8272,-74.072,NHabil,PEC,TX,0.03815848,0.02874219,0.0274445,0.02730508,0.02364795,0.04091472,0.09519241,0.11819688,0.12897521,0.12760244,0.14255267,0.13941033,0.12328039,0.137748,0.13295407,0.1611064,0.16551425,0.16170698,0.16259713,0.15783537,0.14063295,0.11260932,0.08453206,0.05589712
1713,3428,37,53,4.8272,-74.072,NHabil,PEC,MB,0.02044457,0.02044457,0.06133371,0.04088914,0.3475577,1.08356224,1.61512108,1.43111994,1.26756338,1.30845252,1.14489595,1.08356224,1.10400681,1.12445138,0.98133939,1.08356224,0.96089482,1.00178396,1.06311767,1.08356224,1.00178396,0.77689368,0.63378169,0.20444571
1713,3428,37,53,4.8272,-74.072,NHabil,PEC,INT,0.09469123,0.08608294,0.09469123,0.07747464,0.47345616,0.92108744,1.21376943,1.19655285,1.18794454,1.15351138,1.08464502,0.84361279,1.03299526,1.16211966,1.28263577,1.34289383,1.31706896,1.22237771,1.18794454,1.11907819,0.92969573,0.53371422,0.4131981,0.18077416
1713,3428,37,53,4.8272,-74.072,NHabil,PEC,ESP,0.0543071,0.04093921,0.03843272,0.03509074,0.06600402,0.1512244,0.24479971,0.19216359,0.16125032,0.1361855,0.12448858,0.1512244,0.13200803,0.17378272,0.12198211,0.15373087,0.11696915,0.0960818,0.09942377,0.10610773,0.09858828,0.07686544,0.09273982,0.06433303
1713,3428,37,53,4.8272,-74.072,NHabil,PEC,M,0.05673545,0.05014378,0.03719585,0.04520002,0.03625419,0.14737091,0.3434731,0.37690229,0.32699393,0.26766889,0.30321683,0.30368766,0.38890854,0.40915439,0.3757252,0.38349396,0.37266478,0.3686627,0.29050432,0.26437306,0.24695222,0.20952095,0.17585635,0.10287714
1713,3428,37,53,4.8272,-74.072,NHabil,PEC,AL,0.18923102,0.0,0.0,0.0,0.15692328,0.32307735,0.21230797,0.14307711,0.10615399,0.12461555,0.12923094,0.17538485,0.16615407,0.12923094,0.15230789,0.15692328,0.14307711,0.14307711,0.17538485,0.15230789,0.16615407,0.18000024,0.34153891,0.27692344
1713,3428,37,53,4.8272,-74.072,NHabil,PEC,AUT,0.14987802,0.11289294,0.10779591,0.1072483,0.09288393,0.16070395,0.37389469,0.46425117,0.50658602,0.50119412,0.5599153,0.5475729,0.48421805,0.54104364,0.52221412,0.63279022,0.65010328,0.63514918,0.63864549,0.61994233,0.55237506,0.44230444,0.3320232,0.2195515
1713,3428,37,53,4.8272,-74.072,NHabil,PEC,C3-C4,0.20665254,0.14587239,0.29174476,0.25527666,0.69289381,1.27638333,1.04541872,0.81445413,1.04541872,0.81445413,0.69289381,0.72936191,0.64426969,0.80229809,0.77798603,0.66858175,0.48624127,0.36468095,0.12156032,0.23096461,0.21880857,0.20665254,0.41330508,0.18234048
1713,3428,37,53,4.8272,-74.072,NHabil,PEC,BT,0.84238799,0.2246368,0.20591706,0.2246368,1.12318399,1.89069304,1.89069304,1.94685224,2.02173117,1.72221544,1.77837464,3.08875596,2.50844423,1.92813251,1.77837464,2.17148904,1.72221544,1.40397998,1.75965491,1.77837464,1.79709438,1.81581411,2.05917064,2.28380744
1713,3428,37,53,4.8272,-74.072,NHabil,PEC,CC,0.34494549,0.25982404,0.24809317,0.24683283,0.21377312,0.36986145,0.86052169,1.06847786,1.16591188,1.15350237,1.28864965,1.26024352,1.11443182,1.24521638,1.20188006,1.45637188,1.49621803,1.46180104,1.46984783,1.42680236,1.27129573,1.0179673,0.76415412,0.50529958
1713,3428,37,53,4.8272,-74.072,NHabil,PEC,AT,0.2071902,0.0,0.01593771,0.01593771,0.52594436,1.76908557,3.93661384,6.91696521,7.23571936,5.96070274,4.19161716,3.72942364,4.17567946,4.43068278,4.63787298,4.89287631,3.8569253,4.38286966,4.54224674,4.23943029,3.87286301,3.42660719,2.90066283,1.32282975
1713,3428,37,53,4.8272,-74.072,NHabil,PEC,>C5,0.48395942,0.49631227,0.5244797,0.84006446,1.57847485,1.63834985,0.23037415,0.07710574,0.17600645,0.33627724,1.39341993,1.20545376,0.99105103,1.39003662,1.22000953,1.22858543,0.9448661,0.15586444,0.05940294,0.87452646,1.07256363,0.83982869,0.6222,0.68679606
1713,3428,37,53,4.8272,-74.072,NHabil,PEC,C5,0.19449651,0.18234048,0.13371636,0.29174476,0.47408524,0.69289381,0.40114905,0.40114905,0.36468095,0.37683699,0.20665254,0.32821286,0.25527666,0.4619292,0.35252491,0.85092222,0.42546112,0.40114905,0.26743269,0.32821286,0.26743269,0.10940428,0.37683699,0.26743269
1713,3428,37,53,4.8272,-74.072,NHabil,PEC,C2G,0.67798797,0.72794497,0.60662081,0.66371454,1.04909716,2.16956148,2.92605331,2.82613929,3.13301805,3.1544282,2.86895958,3.0616509,2.35511608,2.62631127,1.7199484,1.95546001,1.39879621,1.2489252,0.95631986,1.04909716,0.58521066,0.42106621,1.00627687,0.84926913
1713,3428,37,53,4.8272,-74.072,Habil,PEC,C2P,0.20268272,0.17984523,0.34256234,0.31687016,0.66228719,1.21038693,1.30459157,1.02483232,1.67570077,1.54438521,1.69568358,1.5244024,1.81843509,1.28746346,1.74421325,1.71281169,1.55009458,1.04196044,0.85926053,0.48244196,0.38823731,0.2883233,0.28546862,0.23693895
1713,3428,37,53,4.8272,-74.072,Habil,PEC,B,0.21817524,0.0787855,0.04242296,0.1818127,1.49086411,3.551408,4.19381286,4.41198809,4.62410291,4.18775244,3.99381889,3.62413308,3.40595784,3.54534758,3.38777657,3.66049562,4.01806059,3.41201827,2.92112399,2.77567383,2.61810283,1.75752273,0.95148644,0.30908158
1713,3428,37,53,4.8272,-74.072,Habil,PEC,BA,0.0,0.0,0.0,0.0,0.00593402,0.04963001,0.09494436,0.1267723,0.1229961,0.09926001,0.08037903,0.07498447,0.06527425,0.06041914,0.06527425,0.07390555,0.09170762,0.10357566,0.11220697,0.11921991,0.11490425,0.11382534,0.07876066,0.00917076
1713,3428,37,53,4.8272,-74.072,Habil,PEC,TX,0.01290824,0.00685952,0.00560687,0.0072885,0.01630583,0.0833309,0.14852847,0.10992815,0.12337262,0.13083701,0.13525129,0.13244142,0.13201673,0.1404206,0.14757612,0.13065255,0.13252722,0.14583014,0.14548266,0.15014147,0.13882477,0.1082508,0.05796055,0.0258551
1713,3428,37,53,4.8272,-74.072,Habil,PEC,MB,0.04906697,0.02453348,0.0,0.04906697,0.53973666,1.43111994,1.59467651,1.75823307,1.53743171,1.41476429,1.5619652,1.45565343,1.45565343,1.40658646,1.52925388,1.46383126,1.48018691,1.47200908,1.5047204,1.34934166,1.1285403,1.14489595,0.73600454,0.21262353
1713,3428,37,53,4.8272,-74.072,Habil,PEC,INT,0.09641288,0.05164976,0.11362948,0.12740275,0.5509308,1.28435743,1.29124407,1.57703942,1.83184492,1.32223393,1.56670946,1.40143023,1.51161639,1.5150597,1.19483118,1.23270767,1.2395943,1.20516113,1.31879062,1.06398511,0.84361279,0.5509308,0.39253819,0.18593915
1713,3428,37,53,4.8272,-74.072,Habil,PEC,ESP,0.03976951,0.03308555,0.03007779,0.02807259,0.25064816,1.11789081,1.82806061,0.94878685,0.61960227,0.23193311,0.22758852,0.23627768,0.35090742,0.55075756,0.80140573,1.64826232,1.3641944,0.91570129,0.51967719,0.21889939,0.11830593,0.07920482,0.07953902,0.04277729
1713,3428,37,53,4.8272,-74.072,Habil,PEC,M,0.04068002,0.02137584,0.01619668,0.01883334,0.04557669,0.23730013,0.66660619,0.69118371,0.53401946,0.41518106,0.42657523,0.4261044,0.41066106,0.40105605,0.40416355,0.46348858,0.5568078,0.79288376,0.58995449,0.35783353,0.27901598,0.26771598,0.19520761,0.07053087
1713,3428,37,53,4.8272,-74.072,Habil,PEC,AL,0.11630785,0.00184616,0.0,0.06646163,0.25292341,0.41169285,0.36369279,0.32123119,0.2787696,0.21784644,0.19753872,0.21600029,0.24369263,0.21415413,0.2067695,0.2196926,0.33415429,0.37107741,0.30461579,0.34707738,0.36369279,0.24184647,0.38769282,0.19938488
