FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
1713,3428,37,53,4.8272,-74.072,NHabil,PM10 BRAKE,C2P,0.0210343,0.0210343,0.03943931,0.03549538,0.0815079,0.15381329,0.22874798,0.14198151,0.17090366,0.23006262,0.20639904,0.19588189,0.14198151,0.12883507,0.13409364,0.21823082,0.15775722,0.16038651,0.11043005,0.13146436,0.09728362,0.04732718,0.0420686,0.03549538
1713,3428,37,53,4.8272,-74.072,NHabil,PM10 BRAKE,B,0.04103856,0.03517591,0.00586265,0.03517591,0.24623135,1.00251335,1.43048688,0.97906274,1.19598084,0.97906274,0.85008442,0.92629888,0.91457358,0.89112298,0.79732056,0.89698563,0.7797326,0.70351814,0.76214465,0.63316632,0.48660005,0.40452293,0.30485786,0.11725302
1713,3428,37,53,4.8272,-74.072,NHabil,PM10 BRAKE,BA,0.0,0.0,0.0,0.0,0.0,0.07621447,0.11725302,0.15242893,0.13484098,0.15242893,0.12311567,0.11725302,0.15829158,0.14070363,0.15242893,0.14656628,0.14656628,0.14656628,0.09966507,0.13484098,0.13484098,0.14070363,0.2755446,0.05862651
1713,3428,37,53,4.8272,-74.072,NHabil,PM10 BRAKE,TX,0.6750343,0.50845753,0.48550106,0.48303465,0.41833912,0.72379309,1.683981,2.09093674,2.28160832,2.25732378,2.52179759,2.46620876,2.18086543,2.4368017,2.35199554,2.85001831,2.92799444,2.8606428,2.87638981,2.79215281,2.48783718,1.99209109,1.49539637,0.98883607
1713,3428,37,53,4.8272,-74.072,NHabil,PM10 BRAKE,MB,0.00503413,0.00503413,0.0151024,0.01006827,0.08558029,0.26680913,0.39769662,0.35238941,0.31211634,0.3221846,0.28191153,0.26680913,0.27184326,0.27687739,0.24163845,0.26680913,0.23660432,0.24667259,0.26177499,0.26680913,0.24667259,0.19129711,0.15605817,0.05034134
1713,3428,37,53,4.8272,-74.072,NHabil,PM10 BRAKE,INT,0.05537548,0.05034134,0.05537548,0.04530721,0.27687739,0.53865239,0.70981295,0.69974468,0.69471055,0.67457402,0.63430094,0.49334518,0.60409613,0.67960815,0.75008602,0.78532498,0.77022257,0.71484709,0.69471055,0.65443747,0.54368652,0.31211634,0.24163846,0.10571682
1713,3428,37,53,4.8272,-74.072,NHabil,PM10 BRAKE,ESP,0.32721874,0.24667259,0.23157019,0.21143364,0.39769661,0.91117833,1.47500139,1.15785092,0.97158794,0.82056392,0.75008604,0.91117833,0.79539324,1.04709997,0.73498364,0.92628073,0.70477883,0.57892547,0.59906199,0.63933507,0.59402786,0.46314037,0.55878892,0.38762835
1713,3428,37,53,4.8272,-74.072,NHabil,PM10 BRAKE,M,0.1668733,0.14748553,0.10940241,0.1329447,0.10663273,0.43345512,1.01024124,1.10856492,0.96177181,0.7872819,0.89183736,0.8932222,1.14387836,1.2034265,1.10510282,1.12795269,1.09610135,1.08433021,0.85444667,0.77758801,0.72634891,0.61625408,0.51723797,0.30258768
1713,3428,37,53,4.8272,-74.072,NHabil,PM10 BRAKE,AL,0.2403687,0.0,0.0,0.0,0.19933014,0.41038558,0.26968195,0.18174219,0.13484098,0.15829158,0.16415423,0.22278074,0.21105544,0.16415423,0.19346749,0.19933014,0.18174219,0.18174219,0.22278074,0.19346749,0.21105544,0.2286434,0.43383619,0.35175907
1713,3428,37,53,4.8272,-74.072,NHabil,PM10 BRAKE,AUT,2.62198043,1.97495996,1.88579199,1.87621196,1.62492042,2.81137024,6.54094948,8.12165437,8.86226436,8.76793791,9.79521186,9.57929274,8.470957,9.4650693,9.13566367,11.07009273,11.37296905,11.11136056,11.17252536,10.8453305,9.66330222,7.73771626,5.80844568,3.84085496
