FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
1713,3428,37,53,4.8272,-74.072,NHabil,PMOTHR,C2P,0.00550414,0.00550414,0.01032027,0.00928825,0.02132856,0.04024905,0.05985757,0.03715297,0.04472116,0.06020157,0.05400941,0.05125733,0.03715297,0.03371288,0.03508891,0.05710549,0.04128109,0.0419691,0.02889676,0.0344009,0.02545666,0.01238433,0.01100829,0.00928825
1713,3428,37,53,4.8272,-74.072,NHabil,PMOTHR,B,0.00387971,0.00332547,0.00055424,0.00332547,0.02327829,0.09477588,0.13523576,0.0925589,0.11306596,0.0925589,0.08036551,0.0875707,0.08646221,0.08424523,0.07537731,0.08479947,0.07371458,0.06650939,0.07205184,0.05985845,0.04600233,0.0382429,0.02882074,0.0110849
1713,3428,37,53,4.8272,-74.072,NHabil,PMOTHR,BA,0.0,0.0,0.0,0.0,0.0,0.00076577,0.0011781,0.00153154,0.00135482,0.00153154,0.00123701,0.0011781,0.00159044,0.00141372,0.00153154,0.00147263,0.00147263,0.00147263,0.00100139,0.00135482,0.00135482,0.00141372,0.00276854,0.00058905
1713,3428,37,53,4.8272,-74.072,NHabil,PMOTHR,TX,0.04174874,0.03144649,0.03002671,0.02987417,0.02587295,0.04476432,0.1041489,0.12931783,0.14111027,0.13960835,0.15596521,0.15252723,0.13487964,0.15070849,0.14546349,0.17626463,0.18108721,0.17692173,0.17789563,0.17268583,0.15386487,0.12320454,0.09248554,0.06115638
1713,3428,37,53,4.8272,-74.072,NHabil,PMOTHR,MB,0.00150664,0.00150664,0.00451992,0.00301328,0.02561291,0.07985201,0.11902469,0.10546492,0.09341178,0.09642507,0.08437193,0.07985201,0.08135865,0.08286529,0.0723188,0.07985201,0.07081216,0.07382544,0.07834537,0.07985201,0.07382544,0.05725238,0.04670589,0.01506642
1713,3428,37,53,4.8272,-74.072,NHabil,PMOTHR,INT,0.00773822,0.00703474,0.00773822,0.00633127,0.0386911,0.07527177,0.0991899,0.09778296,0.09707947,0.09426558,0.08863778,0.06894049,0.08441694,0.09496905,0.1048177,0.10974202,0.1076316,0.09989339,0.09707947,0.09145169,0.07597524,0.04361542,0.03376677,0.01477296
1713,3428,37,53,4.8272,-74.072,NHabil,PMOTHR,ESP,0.00877697,0.00661648,0.00621139,0.00567127,0.01066739,0.02444047,0.03956384,0.03105694,0.02606082,0.02200992,0.0201195,0.02444047,0.02133477,0.02808627,0.01971441,0.02484555,0.01890422,0.01552847,0.0160686,0.01714884,0.01593356,0.01242278,0.01498835,0.01039732
1713,3428,37,53,4.8272,-74.072,NHabil,PMOTHR,M,0.01863402,0.01646907,0.01221649,0.01484536,0.01190721,0.04840205,0.11280925,0.12378863,0.10739688,0.08791235,0.0995876,0.09974224,0.12773193,0.13438141,0.12340203,0.12595358,0.12239688,0.12108244,0.09541235,0.08682987,0.08110823,0.06881442,0.05775772,0.03378865
1713,3428,37,53,4.8272,-74.072,NHabil,PMOTHR,AL,0.00682451,0.0,0.0,0.0,0.00565935,0.01165159,0.00765676,0.00515999,0.00382838,0.00449419,0.00466064,0.00632515,0.00599225,0.00466064,0.00549289,0.00565935,0.00515999,0.00515999,0.00632515,0.00549289,0.00599225,0.0064916,0.0123174,0.00998708
1713,3428,37,53,4.8272,-74.072,NHabil,PMOTHR,AUT,0.0528123,0.03977993,0.0379839,0.03779093,0.03272938,0.05662703,0.13174875,0.16358753,0.178505,0.17660507,0.19729657,0.19294749,0.17062323,0.19064679,0.18401185,0.2229754,0.22907598,0.22380662,0.22503861,0.21844821,0.19463963,0.1558542,0.11699454,0.07736305
