FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
1713,3428,37,53,4.8272,-74.072,NHabil,PTI,C2P,4.275e-05,4.275e-05,8.016e-05,7.215e-05,0.00016566,0.00031262,0.00046492,0.00028857,0.00034735,0.00046759,0.0004195,0.00039811,0.00028857,0.00026185,0.00027253,0.00044354,0.00032063,0.00032598,0.00022444,0.00026719,0.00019773,9.619e-05,8.55e-05,7.215e-05
1713,3428,37,53,4.8272,-74.072,NHabil,PTI,B,3.095e-05,2.652e-05,4.42e-06,2.652e-05,0.00018567,0.00075596,0.00107867,0.00073827,0.00090184,0.00073827,0.00064102,0.00069849,0.00068964,0.00067196,0.00060123,0.00067638,0.00058797,0.0005305,0.0005747,0.00047745,0.00036693,0.00030503,0.00022988,8.842e-05
1713,3428,37,53,4.8272,-74.072,NHabil,PTI,BA,0.0,0.0,0.0,0.0,0.0,6.76e-06,1.041e-05,1.353e-05,1.197e-05,1.353e-05,1.093e-05,1.041e-05,1.405e-05,1.249e-05,1.353e-05,1.301e-05,1.301e-05,1.301e-05,8.85e-06,1.197e-05,1.197e-05,1.249e-05,2.445e-05,5.2e-06
1713,3428,37,53,4.8272,-74.072,NHabil,PTI,TX,7.123e-05,5.365e-05,5.123e-05,5.097e-05,4.414e-05,7.637e-05,0.00017769,0.00022063,0.00024075,0.00023819,0.00026609,0.00026023,0.00023012,0.00025713,0.00024818,0.00030073,0.00030896,0.00030185,0.00030351,0.00029462,0.00026251,0.0002102,0.00015779,0.00010434
1713,3428,37,53,4.8272,-74.072,NHabil,PTI,MB,1.2e-05,1.2e-05,3.601e-05,2.401e-05,0.00020407,0.00063621,0.00094832,0.00084028,0.00074425,0.00076826,0.00067222,0.00063621,0.00064822,0.00066022,0.00057619,0.00063621,0.00056419,0.0005882,0.00062421,0.00063621,0.0005882,0.00045615,0.00037212,0.00012004
1713,3428,37,53,4.8272,-74.072,NHabil,PTI,INT,5.087e-05,4.624e-05,5.087e-05,4.162e-05,0.00025434,0.0004948,0.00065204,0.00064278,0.00063816,0.00061966,0.00058267,0.00045318,0.00055493,0.00062429,0.00068902,0.0007214,0.00070753,0.00065666,0.00063816,0.00060117,0.00049943,0.00028671,0.00022197,9.711e-05
1713,3428,37,53,4.8272,-74.072,NHabil,PTI,ESP,6.526e-05,4.92e-05,4.618e-05,4.217e-05,7.931e-05,0.00018173,0.00029419,0.00023092,0.00019378,0.00016366,0.0001496,0.00018173,0.00015864,0.00020884,0.00014659,0.00018474,0.00014057,0.00011546,0.00011948,0.00012751,0.00011848,9.237e-05,0.00011145,7.731e-05
1713,3428,37,53,4.8272,-74.072,NHabil,PTI,M,0.00013847,0.00012238,9.078e-05,0.00011032,8.848e-05,0.00035968,0.00083829,0.00091988,0.00079807,0.00065328,0.00074004,0.00074119,0.00094918,0.0009986,0.00091701,0.00093597,0.00090954,0.00089977,0.00070901,0.00064524,0.00060272,0.00051136,0.0004292,0.00025109
1713,3428,37,53,4.8272,-74.072,NHabil,PTI,AL,5.617e-05,0.0,0.0,0.0,4.658e-05,9.59e-05,6.302e-05,4.247e-05,3.151e-05,3.699e-05,3.836e-05,5.206e-05,4.932e-05,3.836e-05,4.521e-05,4.658e-05,4.247e-05,4.247e-05,5.206e-05,4.521e-05,4.932e-05,5.343e-05,0.00010138,8.22e-05
1713,3428,37,53,4.8272,-74.072,NHabil,PTI,AUT,0.00036362,0.00027389,0.00026153,0.0002602,0.00022535,0.00038989,0.00090712,0.00112633,0.00122904,0.00121596,0.00135843,0.00132848,0.00117477,0.00131264,0.00126696,0.00153523,0.00157723,0.00154095,0.00154944,0.00150406,0.00134013,0.00107309,0.00080553,0.00053266
