FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
1713,3428,37,53,4.8272,-74.072,NHabil,TERP,C2P,1.009e-05,1.009e-05,1.893e-05,1.703e-05,3.911e-05,7.381e-05,0.00010977,6.813e-05,8.201e-05,0.0001104,9.905e-05,9.4e-05,6.813e-05,6.183e-05,6.435e-05,0.00010473,7.57e-05,7.697e-05,5.299e-05,6.309e-05,4.668e-05,2.271e-05,2.019e-05,1.703e-05
1713,3428,37,53,4.8272,-74.072,NHabil,TERP,B,6.92e-06,5.93e-06,9.9e-07,5.93e-06,4.149e-05,0.00016893,0.00024105,0.00016498,0.00020153,0.00016498,0.00014325,0.00015609,0.00015411,0.00015016,0.00013436,0.00015115,0.00013139,0.00011855,0.00012843,0.00010669,8.2e-05,6.817e-05,5.137e-05,1.976e-05
1713,3428,37,53,4.8272,-74.072,NHabil,TERP,BA,0.0,0.0,0.0,0.0,0.0,1.64e-06,2.52e-06,3.28e-06,2.9e-06,3.28e-06,2.65e-06,2.52e-06,3.4e-06,3.03e-06,3.28e-06,3.15e-06,3.15e-06,3.15e-06,2.14e-06,2.9e-06,2.9e-06,3.03e-06,5.93e-06,1.26e-06
1713,3428,37,53,4.8272,-74.072,NHabil,TERP,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713,3428,37,53,4.8272,-74.072,NHabil,TERP,MB,1.32e-06,1.32e-06,3.97e-06,2.65e-06,2.25e-05,7.014e-05,0.00010454,9.263e-05,8.205e-05,8.469e-05,7.411e-05,7.014e-05,7.146e-05,7.278e-05,6.352e-05,7.014e-05,6.22e-05,6.484e-05,6.881e-05,7.014e-05,6.484e-05,5.029e-05,4.102e-05,1.323e-05
1713,3428,37,53,4.8272,-74.072,NHabil,TERP,INT,5.98e-06,5.43e-06,5.98e-06,4.89e-06,2.989e-05,5.815e-05,7.663e-05,7.554e-05,7.5e-05,7.282e-05,6.848e-05,5.326e-05,6.522e-05,7.337e-05,8.098e-05,8.478e-05,8.315e-05,7.717e-05,7.5e-05,7.065e-05,5.869e-05,3.369e-05,2.609e-05,1.141e-05
1713,3428,37,53,4.8272,-74.072,NHabil,TERP,ESP,1.86e-06,1.4e-06,1.32e-06,1.2e-06,2.26e-06,5.19e-06,8.4e-06,6.59e-06,5.53e-06,4.67e-06,4.27e-06,5.19e-06,4.53e-06,5.96e-06,4.18e-06,5.27e-06,4.01e-06,3.3e-06,3.41e-06,3.64e-06,3.38e-06,2.64e-06,3.18e-06,2.21e-06
1713,3428,37,53,4.8272,-74.072,NHabil,TERP,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713,3428,37,53,4.8272,-74.072,NHabil,TERP,AL,1.14e-05,0.0,0.0,0.0,9.46e-06,1.947e-05,1.279e-05,8.62e-06,6.4e-06,7.51e-06,7.79e-06,1.057e-05,1.001e-05,7.79e-06,9.18e-06,9.46e-06,8.62e-06,8.62e-06,1.057e-05,9.18e-06,1.001e-05,1.085e-05,2.058e-05,1.669e-05
1713,3428,37,53,4.8272,-74.072,NHabil,TERP,AUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1713,3428,37,53,4.8272,-74.072,NHabil,TERP,C3-C4,8.7e-06,6.14e-06,1.228e-05,1.075e-05,2.918e-05,5.375e-05,4.402e-05,3.429e-05,4.402e-05,3.429e-05,2.918e-05,3.071e-05,2.713e-05,3.378e-05,3.276e-05,2.815e-05,2.047e-05,1.536e-05,5.12e-06,9.73e-06,9.21e-06,8.7e-06,1.74e-05,7.68e-06
1713,3428,37,53,4.8272,-74.072,NHabil,TERP,BT,5.034e-05,1.342e-05,1.23e-05,1.342e-05,6.711e-05,0.00011298,0.00011298,0.00011633,0.00012081,0.00010291,0.00010626,0.00018456,0.00014989,0.00011521,0.00010626,0.00012975,0.00010291,8.389e-05,0.00010515,0.00010626,0.00010738,0.0001085,0.00012304,0.00013647
1713,3428,37,53,4.8272,-74.072,NHabil,TERP,CC,2.394e-05,1.803e-05,1.722e-05,1.713e-05,1.484e-05,2.567e-05,5.972e-05,7.415e-05,8.091e-05,8.005e-05,8.943e-05,8.746e-05,7.734e-05,8.642e-05,8.341e-05,0.00010107,0.00010384,0.00010145,0.00010201,9.902e-05,8.823e-05,7.065e-05,5.303e-05,3.507e-05
1713,3428,37,53,4.8272,-74.072,NHabil,TERP,AT,1.305e-05,0.0,1e-06,1e-06,3.313e-05,0.00011144,0.00024798,0.00043572,0.0004558,0.00037548,0.00026404,0.00023493,0.00026304,0.0002791,0.00029215,0.00030822,0.00024296,0.00027609,0.00028613,0.00026705,0.00024396,0.00021585,0.00018272,8.333e-05
1713,3428,37,53,4.8272,-74.072,NHabil,TERP,>C5,2.027e-05,2.088e-05,2.211e-05,3.542e-05,6.675e-05,6.9e-05,9.42e-06,2.87e-06,7.17e-06,1.392e-05,5.897e-05,5.098e-05,4.177e-05,5.876e-05,5.16e-05,5.18e-05,3.993e-05,6.35e-06,2.25e-06,3.706e-05,4.545e-05,3.563e-05,2.621e-05,2.887e-05
1713,3428,37,53,4.8272,-74.072,NHabil,TERP,C5,8.19e-06,7.68e-06,5.63e-06,1.228e-05,1.996e-05,2.918e-05,1.689e-05,1.689e-05,1.536e-05,1.587e-05,8.7e-06,1.382e-05,1.075e-05,1.945e-05,1.484e-05,3.583e-05,1.792e-05,1.689e-05,1.126e-05,1.382e-05,1.126e-05,4.61e-06,1.587e-05,1.126e-05
1713,3428,37,53,4.8272,-74.072,NHabil,TERP,C2G,5.993e-05,6.435e-05,5.362e-05,5.867e-05,9.274e-05,0.00019179,0.00025866,0.00024983,0.00027695,0.00027885,0.00025361,0.00027065,0.00020819,0.00023216,0.00015204,0.00017286,0.00012365,0.0001104,8.454e-05,9.274e-05,5.173e-05,3.722e-05,8.895e-05,7.507e-05
1713,3428,37,53,4.8272,-74.072,Habil,TERP,C2P,1.792e-05,1.59e-05,3.028e-05,2.801e-05,5.855e-05,0.000107,0.00011532,9.059e-05,0.00014813,0.00013652,0.0001499,0.00013475,0.00016075,0.00011381,0.00015419,0.00015141,0.00013703,9.211e-05,7.596e-05,4.265e-05,3.432e-05,2.549e-05,2.523e-05,2.095e-05
1713,3428,37,53,4.8272,-74.072,Habil,TERP,B,1.423e-05,5.14e-06,2.77e-06,1.185e-05,9.721e-05,0.00023157,0.00027346,0.00028768,0.00030151,0.00027306,0.00026041,0.00023631,0.00022208,0.00023117,0.0002209,0.00023868,0.000262,0.00022248,0.00019047,0.00018099,0.00017071,0.0001146,6.204e-05,2.015e-05
1713,3428,37,53,4.8272,-74.072,Habil,TERP,BA,0.0,0.0,0.0,0.0,5.5e-07,4.64e-06,8.88e-06,1.185e-05,1.15e-05,9.28e-06,7.51e-06,7.01e-06,6.1e-06,5.65e-06,6.1e-06,6.91e-06,8.57e-06,9.68e-06,1.049e-05,1.114e-05,1.074e-05,1.064e-05,7.36e-06,8.6e-07
1713,3428,37,53,4.8272,-74.072,Habil,TERP,TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
