FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
360,3428,37,53,4.827202,-74.07196,NHabil,PM10,C2P,0.03710007,0.03710007,0.06956264,0.06260638,0.14376279,0.2712943,0.40346331,0.25042551,0.30143812,0.40578206,0.36404447,0.34549445,0.25042551,0.22723796,0.23651298,0.38491327,0.27825056,0.28288807,0.19477539,0.23187546,0.17158785,0.08347517,0.07420015,0.06260638
360,3428,37,53,4.827202,-74.07196,NHabil,PM10,B,0.03092868,0.02651029,0.00441838,0.02651029,0.18557205,0.75554336,1.07808526,0.73786983,0.90134997,0.73786983,0.64066542,0.69810439,0.68926763,0.6715941,0.60089998,0.67601248,0.58764484,0.53020587,0.57438969,0.47718528,0.36672572,0.30486837,0.22975588,0.08836764
360,3428,37,53,4.827202,-74.07196,NHabil,PM10,BA,0.0,0.0,0.0,0.0,0.0,0.00825714,0.01270329,0.01651428,0.01460879,0.01651428,0.01333846,0.01270329,0.01714945,0.01524395,0.01651428,0.01587912,0.01587912,0.01587912,0.0107978,0.01460879,0.01460879,0.01524395,0.02985274,0.00635165
360,3428,37,53,4.827202,-74.07196,NHabil,PM10,TX,0.03770381,0.02839973,0.0271175,0.02697974,0.02336619,0.04042722,0.09405819,0.11678857,0.12743847,0.12608206,0.14085416,0.13774926,0.12181151,0.13610674,0.13136992,0.15918682,0.16354215,0.15978025,0.16065979,0.15595476,0.13895731,0.11126758,0.08352486,0.05523111
360,3428,37,53,4.827202,-74.07196,NHabil,PM10,MB,0.00839468,0.00839468,0.02518405,0.01678936,0.14270959,0.44491814,0.66317987,0.58762773,0.52047028,0.53725964,0.47010219,0.44491814,0.45331282,0.46170751,0.40294473,0.44491814,0.39455005,0.41133941,0.43652346,0.44491814,0.41133941,0.31899791,0.26023514,0.08394682
360,3428,37,53,4.827202,-74.07196,NHabil,PM10,INT,0.04438894,0.04035358,0.04438894,0.03631821,0.2219447,0.43178332,0.5689855,0.56091478,0.55687942,0.54073799,0.50845513,0.39546509,0.48424297,0.54477334,0.60126836,0.62951587,0.61740979,0.57302086,0.55687942,0.52459655,0.43581868,0.2501922,0.19369719,0.08474253
360,3428,37,53,4.827202,-74.07196,NHabil,PM10,ESP,0.03940509,0.02970538,0.02788669,0.02546176,0.04789235,0.10972805,0.17762607,0.13943344,0.11700283,0.09881587,0.09032861,0.10972805,0.09578471,0.12609633,0.08850992,0.11154674,0.08487253,0.06971671,0.07214164,0.0769915,0.07153542,0.05577337,0.06729179,0.04667988
360,3428,37,53,4.827202,-74.07196,NHabil,PM10,M,0.07246267,0.06404377,0.04750665,0.0577296,0.04630395,0.18822254,0.4386848,0.48138065,0.41763756,0.34186746,0.38726938,0.38787073,0.49671508,0.52257313,0.47987728,0.48979955,0.4759685,0.47085703,0.37103293,0.33765801,0.31540806,0.26760074,0.22460421,0.13139497
360,3428,37,53,4.827202,-74.07196,NHabil,PM10,AL,0.06215844,0.0,0.0,0.0,0.05154602,0.10612416,0.06973873,0.04699784,0.03486937,0.0409336,0.04244966,0.05761026,0.05457814,0.04244966,0.05002996,0.05154602,0.04699784,0.04699784,0.05761026,0.05002996,0.05457814,0.05912632,0.1121884,0.09096356
360,3428,37,53,4.827202,-74.07196,NHabil,PM10,AUT,0.19470296,0.14665653,0.1400351,0.13932371,0.1206633,0.20876666,0.48571766,0.60309761,0.65809382,0.65108932,0.72737261,0.71133888,0.62903612,0.70285689,0.67839589,0.82204267,0.84453366,0.82510715,0.82964912,0.80535229,0.71757726,0.57458715,0.43132341,0.28521412
