FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
360,3428,37,53,4.827202,-74.07196,NHabil,XYL,C2P,9.387e-05,9.387e-05,0.00017601,0.0001584,0.00036374,0.00068642,0.00102083,0.00063361,0.00076269,0.0010267,0.00092109,0.00087416,0.00063361,0.00057495,0.00059842,0.0009739,0.00070403,0.00071576,0.00049282,0.00058668,0.00043414,0.0002112,0.00018774,0.0001584
360,3428,37,53,4.827202,-74.07196,NHabil,XYL,B,3.755e-05,3.218e-05,5.36e-06,3.218e-05,0.00022529,0.00091724,0.00130881,0.00089578,0.00109425,0.00089578,0.00077778,0.00084751,0.00083678,0.00081532,0.0007295,0.00082069,0.00071341,0.00064368,0.00069732,0.00057931,0.00044521,0.00037011,0.00027893,0.00010728
360,3428,37,53,4.827202,-74.07196,NHabil,XYL,BA,0.0,0.0,0.0,0.0,0.0,1.647e-05,2.535e-05,3.295e-05,2.915e-05,3.295e-05,2.661e-05,2.535e-05,3.422e-05,3.041e-05,3.295e-05,3.168e-05,3.168e-05,3.168e-05,2.154e-05,2.915e-05,2.915e-05,3.041e-05,5.956e-05,1.267e-05
360,3428,37,53,4.827202,-74.07196,NHabil,XYL,TX,0.00215411,0.00162254,0.00154928,0.00154141,0.00133497,0.0023097,0.00537376,0.0066724,0.00728086,0.00720336,0.00804733,0.00786993,0.00695937,0.00777609,0.00750547,0.00909472,0.00934354,0.00912862,0.00917887,0.00891006,0.00793896,0.00635697,0.00477197,0.00315548
360,3428,37,53,4.827202,-74.07196,NHabil,XYL,MB,7.11e-06,7.11e-06,2.132e-05,1.422e-05,0.00012084,0.00037673,0.00056153,0.00049756,0.0004407,0.00045491,0.00039805,0.00037673,0.00038383,0.00039094,0.00034119,0.00037673,0.00033408,0.00034829,0.00036962,0.00037673,0.00034829,0.0002701,0.00022035,7.108e-05
360,3428,37,53,4.827202,-74.07196,NHabil,XYL,INT,0.00030861,0.00028055,0.00030861,0.0002525,0.00154303,0.0030019,0.00395577,0.00389967,0.00387161,0.00375939,0.00353495,0.0027494,0.00336661,0.00378744,0.00418021,0.00437659,0.00429243,0.00398382,0.00387161,0.00364717,0.00302995,0.00173942,0.00134664,0.00058916
360,3428,37,53,4.827202,-74.07196,NHabil,XYL,ESP,0.00783989,0.00591007,0.00554823,0.00506578,0.00952847,0.02183108,0.0353398,0.02774114,0.02327844,0.01966003,0.01797143,0.02183108,0.01905696,0.02508765,0.0176096,0.02219292,0.01688592,0.01387058,0.01435303,0.01531793,0.01423242,0.01109646,0.01338812,0.00928726
360,3428,37,53,4.827202,-74.07196,NHabil,XYL,M,0.00808462,0.00714533,0.00530029,0.00644086,0.00516611,0.02099989,0.04894383,0.05370739,0.0465956,0.03814197,0.04320744,0.04327453,0.05541824,0.05830321,0.05353966,0.05464668,0.05310356,0.05253327,0.04139595,0.03767233,0.03518991,0.02985607,0.02505897,0.01465967
360,3428,37,53,4.827202,-74.07196,NHabil,XYL,AL,8.22e-05,0.0,0.0,0.0,6.816e-05,0.00014034,9.222e-05,6.215e-05,4.611e-05,5.413e-05,5.613e-05,7.618e-05,7.217e-05,5.613e-05,6.616e-05,6.816e-05,6.215e-05,6.215e-05,7.618e-05,6.616e-05,7.217e-05,7.819e-05,0.00014836,0.00012029
360,3428,37,53,4.827202,-74.07196,NHabil,XYL,AUT,0.00896932,0.00675598,0.00645095,0.00641818,0.00555856,0.00961719,0.02237539,0.0277827,0.03031619,0.02999352,0.03350764,0.03276901,0.0289776,0.03237828,0.03125144,0.03786877,0.03890486,0.03800994,0.03821917,0.0370999,0.03305639,0.02646932,0.01986963,0.01313886
360,3428,37,53,4.827202,-74.07196,NHabil,XYL,C3-C4,0.00120291,0.00084911,0.00169823,0.00148595,0.0040333,0.00742975,0.00608532,0.00474089,0.00608532,0.00474089,0.0040333,0.00424557,0.00375025,0.00467013,0.00452861,0.00389177,0.00283039,0.00212278,0.00070759,0.00134443,0.00127367,0.00120291,0.00240583,0.0010614
360,3428,37,53,4.827202,-74.07196,NHabil,XYL,BT,0.00027043,7.212e-05,6.611e-05,7.212e-05,0.00036058,0.00060697,0.00060697,0.000625,0.00064904,0.00055289,0.00057091,0.00099159,0.00080529,0.00061899,0.00057091,0.00069712,0.00055289,0.00045072,0.00056491,0.00057091,0.00057692,0.00058293,0.00066106,0.00073318
360,3428,37,53,4.827202,-74.07196,NHabil,XYL,CC,0.00598155,0.0045055,0.00430207,0.00428022,0.00370695,0.0064136,0.01492192,0.018528,0.02021756,0.02000237,0.0223459,0.02185332,0.01932487,0.02159274,0.02084127,0.0252543,0.02594525,0.02534844,0.02548797,0.02474154,0.02204498,0.01765212,0.01325085,0.00876217
