FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
11,2856,39,42,4.728607,-74.05397,NHabil,ALDX,C2P,0.00011775,0.00011775,0.00022079,0.00019871,0.0004563,0.00086109,0.00128059,0.00079486,0.00095677,0.00128796,0.00115548,0.00109661,0.00079486,0.00072125,0.0007507,0.00122172,0.00088318,0.00089789,0.00061822,0.00073598,0.00054462,0.00026495,0.00023552,0.00019871
11,2856,39,42,4.728607,-74.05397,NHabil,ALDX,B,7.955e-05,6.819e-05,1.136e-05,6.819e-05,0.00047733,0.0019434,0.00277303,0.00189794,0.00231844,0.00189794,0.00164791,0.00179565,0.00177292,0.00172746,0.00154562,0.00173883,0.00151153,0.00136379,0.00147744,0.00122741,0.00094329,0.00078418,0.00059097,0.0002273
11,2856,39,42,4.728607,-74.05397,NHabil,ALDX,BA,0.0,0.0,0.0,0.0,0.0,2.184e-05,3.36e-05,4.368e-05,3.864e-05,4.368e-05,3.528e-05,3.36e-05,4.536e-05,4.032e-05,4.368e-05,4.2e-05,4.2e-05,4.2e-05,2.856e-05,3.864e-05,3.864e-05,4.032e-05,7.896e-05,1.68e-05
11,2856,39,42,4.728607,-74.05397,NHabil,ALDX,TX,0.00026707,0.00020117,0.00019208,0.00019111,0.00016551,0.00028636,0.00066626,0.00082727,0.00090271,0.0008931,0.00099773,0.00097574,0.00086285,0.00096411,0.00093056,0.00112759,0.00115844,0.0011318,0.00113803,0.0011047,0.0009843,0.00078816,0.00059164,0.00039123
11,2856,39,42,4.728607,-74.05397,NHabil,ALDX,MB,1.519e-05,1.519e-05,4.556e-05,3.037e-05,0.00025817,0.00080489,0.00119975,0.00106307,0.00094157,0.00097195,0.00085045,0.00080489,0.00082008,0.00083527,0.00072896,0.00080489,0.00071377,0.00074415,0.00078971,0.00080489,0.00074415,0.00057709,0.00047079,0.00015187
11,2856,39,42,4.728607,-74.05397,NHabil,ALDX,INT,8.337e-05,7.579e-05,8.337e-05,6.821e-05,0.00041686,0.00081097,0.00106867,0.00105351,0.00104593,0.00101561,0.00095498,0.00074277,0.0009095,0.0010232,0.0011293,0.00118235,0.00115962,0.00107625,0.00104593,0.00098531,0.00081855,0.00046991,0.0003638,0.00015917
11,2856,39,42,4.728607,-74.05397,NHabil,ALDX,ESP,0.00043814,0.00033029,0.00031007,0.00028311,0.00053251,0.00122006,0.00197501,0.00155035,0.00130095,0.00109873,0.00100436,0.00122006,0.00106503,0.00140205,0.00098414,0.00124028,0.00094369,0.00077517,0.00080214,0.00085606,0.00079539,0.00062013,0.0007482,0.00051903
11,2856,39,42,4.728607,-74.05397,NHabil,ALDX,M,0.00044034,0.00038918,0.00028868,0.00035081,0.00028138,0.00114378,0.00266577,0.00292522,0.00253787,0.00207743,0.00235333,0.00235698,0.0030184,0.00317553,0.00291608,0.00297638,0.00289233,0.00286127,0.00225466,0.00205185,0.00191665,0.00162613,0.00136486,0.00079845
11,2856,39,42,4.728607,-74.05397,NHabil,ALDX,AL,0.00013919,0.0,0.0,0.0,0.00011543,0.00023765,0.00015617,0.00010524,7.808e-05,9.166e-05,9.506e-05,0.00012901,0.00012222,9.506e-05,0.00011203,0.00011543,0.00010524,0.00010524,0.00012901,0.00011203,0.00012222,0.0001324,0.00025123,0.0002037
11,2856,39,42,4.728607,-74.05397,NHabil,ALDX,AUT,0.0004781,0.00036011,0.00034386,0.00034211,0.00029629,0.00051263,0.00119269,0.00148092,0.00161597,0.00159877,0.00178608,0.00174671,0.00154461,0.00172587,0.00166581,0.00201854,0.00207377,0.00202607,0.00203722,0.00197755,0.00176202,0.00141091,0.00105912,0.00070034
11,2856,39,42,4.728607,-74.05397,NHabil,ALDX,C3-C4,0.00016146,0.00011398,0.00022794,0.00019946,0.00054138,0.00099727,0.00081681,0.00063635,0.00081681,0.00063635,0.00054138,0.00056987,0.00050339,0.00062686,0.00060787,0.00052238,0.00037991,0.00028494,9.498e-05,0.00018047,0.00017096,0.00016146,0.00032293,0.00014246
11,2856,39,42,4.728607,-74.05397,NHabil,ALDX,BT,0.00057779,0.00015408,0.00014124,0.00015408,0.00077039,0.00129682,0.00129682,0.00133534,0.0013867,0.00118126,0.00121978,0.00211857,0.00172054,0.0013225,0.00121978,0.00148942,0.00118126,0.00096299,0.00120694,0.00121978,0.00123262,0.00124546,0.00141238,0.00156646
11,2856,39,42,4.728607,-74.05397,NHabil,ALDX,CC,0.00060386,0.00045485,0.00043432,0.0004321,0.00037423,0.00064748,0.00150644,0.00187049,0.00204105,0.00201933,0.00225592,0.00220618,0.00195092,0.00217988,0.00210402,0.00254954,0.00261929,0.00255904,0.00257313,0.00249777,0.00222554,0.00178207,0.00133773,0.00088458
11,2856,39,42,4.728607,-74.05397,NHabil,ALDX,AT,0.00015005,0.0,1.154e-05,1.154e-05,0.00038089,0.00128119,0.00285094,0.00500934,0.00524018,0.0043168,0.00303561,0.00270089,0.00302407,0.00320875,0.0033588,0.00354347,0.00279323,0.00317412,0.00328954,0.00307024,0.00280477,0.00248159,0.00210069,0.00095801
11,2856,39,42,4.728607,-74.05397,NHabil,ALDX,>C5,0.00043552,0.00039548,0.00039508,0.00063117,0.00108493,0.00127379,0.00032907,0.00026111,0.000267,0.00038803,0.00093405,0.00082428,0.00075474,0.00096431,0.00083495,0.00092424,0.00066476,0.00023586,0.00017798,0.00055942,0.00068475,0.00051761,0.00048195,0.00056321
11,2856,39,42,4.728607,-74.05397,NHabil,ALDX,C5,0.00015197,0.00014246,0.00010447,0.00022794,0.00037041,0.00054138,0.00031343,0.00031343,0.00028494,0.00029443,0.00016146,0.00025644,0.00019946,0.00036091,0.00027544,0.00066485,0.00033242,0.00031343,0.00020895,0.00025644,0.00020895,8.548e-05,0.00029443,0.00020895
11,2856,39,42,4.728607,-74.05397,NHabil,ALDX,C2G,0.00069918,0.0007507,0.00062558,0.00068446,0.00108189,0.00223737,0.0030175,0.00291446,0.00323093,0.00325302,0.00295862,0.00315734,0.00242872,0.00270839,0.0017737,0.00201657,0.00144252,0.00128796,0.00098621,0.00108189,0.0006035,0.00043423,0.00103773,0.00087581
11,2856,39,42,4.728607,-74.05397,Habil,ALDX,C2P,0.00020902,0.00018547,0.00035327,0.00032678,0.00068299,0.00124821,0.00134536,0.00105686,0.00172807,0.00159266,0.00174868,0.00157204,0.00187526,0.0013277,0.00179873,0.00176634,0.00159854,0.00107452,0.00088612,0.00049752,0.00040038,0.00029734,0.00029439,0.00024435
11,2856,39,42,4.728607,-74.05397,Habil,ALDX,B,0.00016365,5.91e-05,3.182e-05,0.00013638,0.0011183,0.00266393,0.0031458,0.00330946,0.00346856,0.00314125,0.00299578,0.00271848,0.00255483,0.00265938,0.00254119,0.00274576,0.00301397,0.00255937,0.00219115,0.00208205,0.00196385,0.00131833,0.00071371,0.00023184
11,2856,39,42,4.728607,-74.05397,Habil,ALDX,BA,0.0,0.0,0.0,0.0,7.39e-06,6.183e-05,0.00011828,0.00015793,0.00015322,0.00012365,0.00010013,9.341e-05,8.132e-05,7.527e-05,8.132e-05,9.207e-05,0.00011425,0.00012903,0.00013978,0.00014852,0.00014314,0.0001418,9.812e-05,1.142e-05
11,2856,39,42,4.728607,-74.05397,Habil,ALDX,TX,9.034e-05,4.802e-05,3.924e-05,5.101e-05,0.00011412,0.00058324,0.00103956,0.0007694,0.0008635,0.00091574,0.00094663,0.00092697,0.00092399,0.00098281,0.0010329,0.00091445,0.00092757,0.00102067,0.00101824,0.00105085,0.00097164,0.00075766,0.00040567,0.00018096
11,2856,39,42,4.728607,-74.05397,Habil,ALDX,MB,3.645e-05,1.822e-05,0.0,3.645e-05,0.00040093,0.00106307,0.00118456,0.00130605,0.00114204,0.00105092,0.00116026,0.00108129,0.00108129,0.00104484,0.00113596,0.00108737,0.00109951,0.00109344,0.00111774,0.00100232,0.0008383,0.00085045,0.00054672,0.00015794
11,2856,39,42,4.728607,-74.05397,Habil,ALDX,INT,8.489e-05,4.547e-05,0.00010005,0.00011218,0.00048507,0.00113082,0.00113688,0.00138852,0.00161286,0.00116416,0.00137942,0.00123389,0.00133091,0.00133394,0.00105199,0.00108535,0.00109141,0.00106109,0.00116114,0.00093679,0.00074277,0.00048507,0.00034561,0.00016371
11,2856,39,42,4.728607,-74.05397,Habil,ALDX,ESP,0.00032085,0.00026693,0.00024266,0.00022648,0.00202219,0.00901898,0.01474852,0.00765467,0.00499886,0.0018712,0.00183615,0.00190625,0.00283107,0.00444342,0.00646563,0.01329794,0.01100612,0.00738774,0.00419267,0.00176605,0.00095448,0.00063901,0.00064171,0.00034512
11,2856,39,42,4.728607,-74.05397,Habil,ALDX,M,0.00031573,0.0001659,0.00012571,0.00014617,0.00035373,0.00184173,0.00517367,0.00536442,0.00414463,0.00322231,0.00331074,0.00330708,0.00318722,0.00311268,0.0031368,0.00359723,0.0043215,0.00615373,0.00457876,0.00277722,0.0021655,0.0020778,0.00151505,0.0005474
11,2856,39,42,4.728607,-74.05397,Habil,ALDX,AL,8.555e-05,1.36e-06,0.0,4.889e-05,0.00018604,0.00030283,0.00026752,0.00023629,0.00020505,0.00016024,0.0001453,0.00015888,0.00017925,0.00015753,0.00015209,0.0001616,0.00024579,0.00027295,0.00022407,0.0002553,0.00026752,0.0001779,0.00028518,0.00014666
11,2856,39,42,4.728607,-74.05397,Habil,ALDX,AUT,0.00016173,8.595e-05,7.025e-05,9.132e-05,0.0002043,0.00104408,0.00186095,0.00137732,0.00154576,0.00163929,0.0016946,0.00165939,0.00165407,0.00175936,0.00184901,0.00163698,0.00166046,0.00182714,0.00182279,0.00188116,0.00173937,0.0013563,0.0007262,0.00032394
11,2856,39,42,4.728607,-74.05397,Habil,ALDX,C3-C4,0.00019755,0.00020895,0.00026214,0.00038751,0.00080922,0.00144368,0.00063066,0.00028874,0.00101817,0.00064965,0.00180079,0.00130691,0.00143988,0.00141707,0.0013373,0.00139808,0.0012993,0.00063826,0.00030013,0.00041791,0.00034572,0.00022794,0.00021275,0.00023934
11,2856,39,42,4.728607,-74.05397,Habil,ALDX,BT,0.00064713,0.00032356,0.00023625,0.00029788,0.0011145,0.00190543,0.00183353,0.00191057,0.00219818,0.0024293,0.00190543,0.00159727,0.0017719,0.00182326,0.00171027,0.00176162,0.00194138,0.0022444,0.00203897,0.00222386,0.00231631,0.00207492,0.00192084,0.0018438
11,2856,39,42,4.728607,-74.05397,Habil,ALDX,CC,0.00020427,0.00010856,8.873e-05,0.00011534,0.00025805,0.00131872,0.00235049,0.00173963,0.00195239,0.00207052,0.00214037,0.0020959,0.00208918,0.00222217,0.00233542,0.00206759,0.00209727,0.00230778,0.00230228,0.00237602,0.00219692,0.00171308,0.00091724,0.00040916
11,2856,39,42,4.728607,-74.05397,Habil,ALDX,AT,0.00013851,9.23e-06,1.385e-05,1.847e-05,0.00060481,0.00209146,0.0044784,0.00659755,0.0064452,0.00537869,0.00457535,0.00443684,0.00443223,0.00436759,0.00473233,0.00487545,0.00559569,0.00612663,0.00496317,0.00442299,0.00401209,0.00384588,0.00221611,0.00113114
11,2856,39,42,4.728607,-74.05397,Habil,ALDX,>C5,0.00037612,0.00038751,0.0004103,0.00065725,0.00123851,0.00128032,0.00017476,5.319e-05,0.00013297,0.00025835,0.00109416,0.00094599,0.00077503,0.00109036,0.00095739,0.00096119,0.00074083,0.00011778,4.179e-05,0.00068764,0.00084341,0.00066106,0.00048629,0.00053568
11,2856,39,42,4.728607,-74.05397,Habil,ALDX,C5,0.00028494,0.00021655,0.00022035,0.00033812,0.00062686,0.0008738,0.00016716,3.039e-05,0.00012917,0.00018616,0.00060407,0.00040271,0.00065345,0.00031533,0.00038371,0.00032293,0.00028114,0.00010258,2.659e-05,0.00022035,0.00019755,0.00035712,0.00031913,0.00031153
11,2856,39,42,4.728607,-74.05397,Habil,ALDX,C2G,0.0008184,0.00057406,0.00055051,0.00077424,0.00171041,0.00420685,0.00303222,0.00254648,0.00342081,0.00362689,0.0055316,0.00511946,0.00442764,0.00475736,0.00470436,0.00501347,0.00510768,0.00381824,0.00279083,0.0023669,0.00190177,0.00173691,0.00117756,0.00090378
