FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
11,2856,39,42,4.728607,-74.05397,NHabil,BEN,C2P,3.244e-05,3.244e-05,6.083e-05,5.475e-05,0.00012571,0.00023724,0.00035282,0.00021899,0.0002636,0.00035484,0.00031834,0.00030212,0.00021899,0.00019872,0.00020682,0.0003366,0.00024332,0.00024738,0.00017032,0.00020277,0.00015005,7.299e-05,6.489e-05,5.475e-05
11,2856,39,42,4.728607,-74.05397,NHabil,BEN,B,1.342e-05,1.15e-05,1.92e-06,1.15e-05,8.049e-05,0.00032771,0.00046761,0.00032005,0.00039095,0.00032005,0.00027788,0.0003028,0.00029897,0.0002913,0.00026064,0.00029322,0.00025489,0.00022997,0.00024914,0.00020698,0.00015906,0.00013223,9.966e-05,3.833e-05
11,2856,39,42,4.728607,-74.05397,NHabil,BEN,BA,0.0,0.0,0.0,0.0,0.0,4.69e-06,7.22e-06,9.39e-06,8.3e-06,9.39e-06,7.58e-06,7.22e-06,9.75e-06,8.66e-06,9.39e-06,9.03e-06,9.03e-06,9.03e-06,6.14e-06,8.3e-06,8.3e-06,8.66e-06,1.697e-05,3.61e-06
11,2856,39,42,4.728607,-74.05397,NHabil,BEN,TX,0.00041898,0.00031559,0.00030134,0.00029981,0.00025965,0.00044924,0.00104521,0.0012978,0.00141614,0.00140107,0.00156522,0.00153072,0.00135361,0.00151247,0.00145983,0.00176894,0.00181734,0.00177553,0.00178531,0.00173302,0.00154414,0.00123644,0.00092816,0.00061375
11,2856,39,42,4.728607,-74.05397,NHabil,BEN,MB,2.55e-06,2.55e-06,7.65e-06,5.1e-06,4.337e-05,0.0001352,0.00020153,0.00017857,0.00015816,0.00016326,0.00014286,0.0001352,0.00013775,0.0001403,0.00012245,0.0001352,0.0001199,0.000125,0.00013265,0.0001352,0.000125,9.694e-05,7.908e-05,2.551e-05
11,2856,39,42,4.728607,-74.05397,NHabil,BEN,INT,8.788e-05,7.989e-05,8.788e-05,7.19e-05,0.00043937,0.00085477,0.00112638,0.0011104,0.00110242,0.00107046,0.00100655,0.00078288,0.00095862,0.00107845,0.00119028,0.00124621,0.00122224,0.00113437,0.00110242,0.0010385,0.00086276,0.00049529,0.00038345,0.00016776
11,2856,39,42,4.728607,-74.05397,NHabil,BEN,ESP,0.00216687,0.00163349,0.00153347,0.00140013,0.00263358,0.00603389,0.00976757,0.00766738,0.00643393,0.00543384,0.00496713,0.00603389,0.00526716,0.00693397,0.00486712,0.00613391,0.0046671,0.00383369,0.00396704,0.00423373,0.0039337,0.00306695,0.00370034,0.0025669
11,2856,39,42,4.728607,-74.05397,NHabil,BEN,M,0.00312496,0.00276189,0.00204873,0.00248959,0.00199686,0.00811711,0.01891831,0.02075957,0.01801064,0.01474305,0.01670101,0.01672695,0.02142086,0.02253599,0.02069473,0.02112263,0.02052617,0.02030573,0.01600081,0.01456152,0.01360199,0.0115403,0.00968607,0.00566642
11,2856,39,42,4.728607,-74.05397,NHabil,BEN,AL,2.617e-05,0.0,0.0,0.0,2.171e-05,4.469e-05,2.937e-05,1.979e-05,1.468e-05,1.724e-05,1.787e-05,2.426e-05,2.298e-05,1.787e-05,2.107e-05,2.171e-05,1.979e-05,1.979e-05,2.426e-05,2.107e-05,2.298e-05,2.49e-05,4.724e-05,3.83e-05
11,2856,39,42,4.728607,-74.05397,NHabil,BEN,AUT,0.00257734,0.00194134,0.00185369,0.00184427,0.00159726,0.00276351,0.00642959,0.00798339,0.00871139,0.00861867,0.00962845,0.00941621,0.00832674,0.00930393,0.00898013,0.01088163,0.01117935,0.0109222,0.01098232,0.0106607,0.00949879,0.00760599,0.00570956,0.00377547
11,2856,39,42,4.728607,-74.05397,NHabil,BEN,C3-C4,0.00033616,0.00023728,0.00047458,0.00041526,0.00112712,0.00207626,0.00170056,0.00132485,0.00170056,0.00132485,0.00112712,0.00118644,0.00104802,0.00130508,0.00126553,0.00108756,0.00079096,0.00059322,0.00019774,0.0003757,0.00035593,0.00033616,0.00067232,0.0002966
11,2856,39,42,4.728607,-74.05397,NHabil,BEN,BT,9.706e-05,2.588e-05,2.372e-05,2.588e-05,0.00012941,0.00021784,0.00021784,0.00022431,0.00023293,0.00019842,0.00020489,0.00035587,0.00028901,0.00022215,0.00020489,0.00025019,0.00019842,0.00016176,0.00020274,0.00020489,0.00020705,0.00020921,0.00023725,0.00026313
