FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
11,2856,39,42,4.728607,-74.05397,NHabil,NOX,C2P,0.82991541,0.82991541,1.55609139,1.40048225,3.2159222,6.06875643,9.02533006,5.601929,6.7430627,9.07719978,8.14354495,7.72858724,5.601929,5.08323188,5.29071073,8.61037235,6.22436556,6.32810499,4.35705589,5.1869713,3.83835876,1.86730967,1.65983081,1.40048225
11,2856,39,42,4.728607,-74.05397,NHabil,NOX,B,1.64348899,1.40870485,0.23478414,1.40870485,9.86093396,40.14808828,57.28733064,39.20895171,47.89596496,39.20895171,34.04370059,37.09589443,36.62632615,35.68718958,31.93064331,35.92197372,31.22629088,28.17409704,30.52193846,25.35668733,19.48708378,16.2001058,12.20877538,4.69568284
11,2856,39,42,4.728607,-74.05397,NHabil,NOX,BA,0.0,0.0,0.0,0.0,0.0,0.56993596,0.87682455,1.13987191,1.00834823,1.13987191,0.92066578,0.87682455,1.18371314,1.05218946,1.13987191,1.09603069,1.09603069,1.09603069,0.74530087,1.00834823,1.00834823,1.05218946,2.06053769,0.43841227
11,2856,39,42,4.728607,-74.05397,NHabil,NOX,TX,22.24431083,16.75513013,15.99864852,15.91737362,13.78547088,23.85105279,55.4919907,68.90234672,75.18552053,74.38527551,83.10044394,81.26863307,71.86575407,80.29958636,77.5049807,93.91625555,96.4857923,94.26636275,94.78527164,92.00942171,81.98135129,65.64509941,49.27758795,32.58497697
11,2856,39,42,4.728607,-74.05397,NHabil,NOX,MB,0.15862,0.15862,0.47586001,0.31724001,2.69654006,8.40686018,12.53098026,11.10340023,9.83444021,10.15168021,8.88272019,8.40686018,8.56548018,8.72410018,7.61376016,8.40686018,7.45514016,7.77238016,8.24824017,8.40686018,7.77238016,6.02756013,4.9172201,1.58620003
11,2856,39,42,4.728607,-74.05397,NHabil,NOX,INT,1.11336668,1.01215153,1.11336668,0.91093637,5.56683342,10.83002138,14.2713366,14.06890629,13.96769113,13.56283053,12.7531093,9.91908501,12.14581839,13.66404567,15.08105782,15.78956389,15.48591843,14.37255174,13.96769113,13.15796992,10.93123654,6.27533949,4.85832735,2.12551821
11,2856,39,42,4.728607,-74.05397,NHabil,NOX,ESP,5.1832314,3.90735906,3.66813299,3.34916491,6.2996197,14.4333059,23.3644123,18.34066496,15.39021016,12.9979495,11.8815612,14.4333059,12.5992394,16.58634047,11.64233514,14.67253197,11.16388301,9.17033247,9.48930056,10.12723674,9.40955853,7.33626597,8.85136439,6.14013566
11,2856,39,42,4.728607,-74.05397,NHabil,NOX,M,1.92246425,1.6991074,1.26037075,1.53158977,1.22846263,4.99362082,11.63848687,12.77122514,11.08009476,9.06988319,10.27441473,10.29036879,13.17805367,13.86407826,12.73133999,12.99458198,12.6276386,12.49202908,9.8436551,8.95820477,8.36790454,7.09955676,5.95884146,3.48596214
11,2856,39,42,4.728607,-74.05397,NHabil,NOX,AL,3.71397921,0.0,0.0,0.0,3.0798852,6.34094012,4.1669035,2.80813062,2.08345175,2.44579119,2.53637605,3.44222463,3.26105492,2.53637605,2.98930034,3.0798852,2.80813062,2.80813062,3.44222463,2.98930034,3.26105492,3.53280949,6.70327955,5.43509153
11,2856,39,42,4.728607,-74.05397,NHabil,NOX,AUT,12.0746737,9.09503246,8.68439853,8.64028084,7.48303977,12.94684658,30.12220453,37.40162417,40.81226134,40.37787173,45.10864607,44.11430111,39.01022319,43.58828244,42.07131247,50.97969315,52.37449104,51.16973861,51.45141312,49.94462416,44.50117935,35.6335227,26.74889771,17.68780194
