FID_LINK,FID_Grilla,COL,ROW,LAT,LON,Type,POLNAME,Category,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
11,2856,39,42,4.728607,-74.05397,NHabil,PAL,C2P,5.49e-05,5.49e-05,0.00010292,9.263e-05,0.00021271,0.00040141,0.00059696,0.00037053,0.00044601,0.00060039,0.00053864,0.00051119,0.00037053,0.00033621,0.00034995,0.00056952,0.0004117,0.00041855,0.00028819,0.00034309,0.00025389,0.0001235,0.00010979,9.263e-05
11,2856,39,42,4.728607,-74.05397,NHabil,PAL,B,3.898e-05,3.341e-05,5.57e-06,3.341e-05,0.00023386,0.00095215,0.00135862,0.00092988,0.0011359,0.00092988,0.00080738,0.00087976,0.00086863,0.00084635,0.00075726,0.00085192,0.00074056,0.00066817,0.00072385,0.00060136,0.00046215,0.0003842,0.00028954,0.00011136
11,2856,39,42,4.728607,-74.05397,NHabil,PAL,BA,0.0,0.0,0.0,0.0,0.0,8.46e-06,1.301e-05,1.691e-05,1.496e-05,1.691e-05,1.366e-05,1.301e-05,1.756e-05,1.561e-05,1.691e-05,1.626e-05,1.626e-05,1.626e-05,1.106e-05,1.496e-05,1.496e-05,1.561e-05,3.057e-05,6.5e-06
11,2856,39,42,4.728607,-74.05397,NHabil,PAL,TX,0.00026065,0.00019633,0.00018746,0.00018651,0.00016153,0.00027948,0.00065022,0.00080735,0.00088098,0.0008716,0.00097373,0.00095226,0.00084208,0.0009409,0.00090816,0.00110045,0.00113056,0.00110456,0.00111064,0.00107812,0.00096061,0.00076919,0.00057741,0.00038182
11,2856,39,42,4.728607,-74.05397,NHabil,PAL,MB,1.512e-05,1.512e-05,4.536e-05,3.024e-05,0.00025706,0.00080143,0.00119458,0.00105849,0.00093752,0.00096776,0.00084679,0.00080143,0.00081655,0.00083167,0.00072582,0.00080143,0.0007107,0.00074094,0.00078631,0.00080143,0.00074094,0.00057461,0.00046876,0.00015121
11,2856,39,42,4.728607,-74.05397,NHabil,PAL,INT,7.036e-05,6.396e-05,7.036e-05,5.757e-05,0.00035181,0.00068444,0.00090192,0.00088913,0.00088273,0.00085714,0.00080597,0.00062686,0.00076759,0.00086354,0.0009531,0.00099787,0.00097868,0.00090832,0.00088273,0.00083156,0.00069083,0.00039658,0.00030703,0.00013433
11,2856,39,42,4.728607,-74.05397,NHabil,PAL,ESP,0.00011155,8.409e-05,7.894e-05,7.207e-05,0.00013557,0.00031061,0.00050282,0.0003947,0.0003312,0.00027972,0.0002557,0.00031061,0.00027114,0.00035695,0.00025055,0.00031577,0.00024025,0.00019735,0.00020422,0.00021795,0.0002025,0.00015788,0.00019048,0.00013214
11,2856,39,42,4.728607,-74.05397,NHabil,PAL,M,0.00024573,0.00021718,0.0001611,0.00019577,0.00015702,0.00063828,0.00148763,0.00163242,0.00141626,0.00115931,0.00131328,0.00131532,0.00168442,0.00177211,0.00162732,0.00166097,0.00161407,0.00159673,0.00125822,0.00114504,0.00106959,0.00090747,0.00076166,0.00044558
11,2856,39,42,4.728607,-74.05397,NHabil,PAL,AL,7.06e-05,0.0,0.0,0.0,5.854e-05,0.00012053,7.92e-05,5.338e-05,3.96e-05,4.649e-05,4.821e-05,6.543e-05,6.199e-05,4.821e-05,5.682e-05,5.854e-05,5.338e-05,5.338e-05,6.543e-05,5.682e-05,6.199e-05,6.715e-05,0.00012742,0.00010331
11,2856,39,42,4.728607,-74.05397,NHabil,PAL,AUT,0.00066076,0.00049771,0.00047523,0.00047281,0.00040949,0.00070849,0.00164836,0.00204672,0.00223336,0.00220958,0.00246847,0.00241405,0.00213474,0.00238527,0.00230226,0.00278975,0.00286607,0.00280015,0.00281555,0.0027331,0.00243522,0.00194996,0.00146377,0.00096792
11,2856,39,42,4.728607,-74.05397,NHabil,PAL,C3-C4,0.00014838,0.00010474,0.00020948,0.00018329,0.00049751,0.00091647,0.00075063,0.0005848,0.00075063,0.0005848,0.00049751,0.0005237,0.0004626,0.00057606,0.00055861,0.00048006,0.00034913,0.00026185,8.729e-05,0.00016584,0.00015711,0.00014838,0.00029676,0.00013092
11,2856,39,42,4.728607,-74.05397,NHabil,PAL,BT,0.00030036,8.01e-05,7.342e-05,8.01e-05,0.00040048,0.00067414,0.00067414,0.00069416,0.00072086,0.00061407,0.00063409,0.00110132,0.0008944,0.00068749,0.00063409,0.00077426,0.00061407,0.0005006,0.00062742,0.00063409,0.00064077,0.00064744,0.00073421,0.00081431
11,2856,39,42,4.728607,-74.05397,NHabil,PAL,CC,0.00025541,0.00019238,0.0001837,0.00018276,0.00015828,0.00027385,0.00063716,0.00079115,0.00086328,0.0008541,0.00095416,0.00093312,0.00082517,0.00092201,0.00088991,0.00107835,0.00110785,0.00108237,0.00108832,0.00105646,0.00094132,0.00075374,0.00056581,0.00037414
11,2856,39,42,4.728607,-74.05397,NHabil,PAL,AT,7.525e-05,0.0,5.79e-06,5.79e-06,0.00019102,0.00064251,0.00142973,0.00251215,0.00262792,0.00216485,0.00152234,0.00135448,0.00151655,0.00160917,0.00168441,0.00177703,0.00140078,0.0015918,0.00164968,0.00153971,0.00140657,0.0012445,0.00105348,0.00048043
